u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
-4.15,0.26,-4.16,0.12,4.16,93.58,4.16,91.72,4.16,4.16
-4.69,1.5,-4.66,1.41,4.92,107.75,4.86,106.8,4.9,4.9
-5.93,2.16,-6.0,2.03,6.31,110.03,6.33,108.7,6.32,6.32
-5.28,2.35,-5.25,2.19,5.78,114.0,5.69,112.61,5.74,5.75
-6.46,2.35,-6.47,2.22,6.88,109.97,6.84,108.93,6.86,6.87
-7.43,2.72,-7.5,2.59,7.91,110.14,7.94,109.07,7.92,7.92
-8.6,2.29,-8.75,2.16,8.9,104.88,9.01,103.84,8.94,8.94
-8.36,2.56,-8.56,2.5,8.74,107.05,8.92,106.27,8.81,8.79
-7.88,3.19,-8.13,3.16,8.5,112.02,8.72,111.23,8.58,8.57
-9.44,1.62,-9.69,1.53,9.58,99.76,9.81,98.98,9.67,9.65
-9.28,1.31,-9.59,1.22,9.37,98.05,9.67,97.24,9.49,9.46
-8.91,0.56,-9.25,0.5,8.93,93.61,9.26,93.09,9.05,9.03
-8.76,-0.25,-9.03,-0.31,8.76,88.36,9.04,88.02,8.86,8.84
-8.47,-0.37,-8.72,-0.44,8.48,87.53,8.73,87.13,8.57,8.55
-7.6,-0.74,-7.75,-0.88,7.64,84.44,7.8,83.56,7.7,7.69
-6.42,-2.21,-6.59,-2.31,6.79,70.97,6.99,70.67,6.86,6.85
-5.74,-2.2,-5.84,-2.28,6.15,69.0,6.27,68.68,6.2,6.19
-5.33,-2.21,-5.5,-2.28,5.77,67.44,5.95,67.47,5.84,5.83
-4.85,-2.52,-5.09,-2.66,5.47,62.6,5.75,62.46,5.57,5.55
-4.33,-3.02,-4.56,-3.19,5.28,55.13,5.57,55.06,5.39,5.36
-3.42,-3.3,-3.63,-3.44,4.75,45.98,5.0,46.52,4.84,4.83
-2.99,-2.65,-3.19,-2.69,4.0,48.44,4.17,49.87,4.06,4.05
-2.67,-2.49,-3.0,-2.59,3.65,46.97,3.97,49.16,3.77,3.74
