u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
3.56,2.53,3.86,2.7,4.36,234.59,4.71,235.04,4.63,4.61
4.21,2.84,4.55,3.01,5.08,236.0,5.46,236.49,5.37,5.34
4.4,3.03,4.77,3.2,5.34,235.46,5.75,236.17,5.65,5.62
4.12,2.81,4.46,2.95,4.99,235.69,5.35,236.53,5.26,5.24
4.74,3.37,5.19,3.57,5.82,234.59,6.3,235.42,6.19,6.15
4.87,4.03,5.31,4.26,6.32,230.4,6.81,231.25,6.69,6.66
4.62,4.34,5.02,4.61,6.34,226.78,6.82,227.45,6.71,6.67
4.52,4.59,4.96,4.92,6.44,224.59,6.99,225.21,6.86,6.82
4.52,4.96,4.96,5.34,6.71,222.35,7.29,222.91,7.15,7.11
2.65,6.77,3.02,7.58,7.27,201.38,8.16,201.74,7.95,7.89
-0.59,8.92,-0.76,10.14,8.94,176.21,10.17,175.71,9.88,9.8
-0.9,7.54,-1.11,8.94,7.59,173.17,9.01,172.92,8.68,8.59
-1.31,6.01,-1.55,7.35,6.15,167.72,7.52,168.11,7.2,7.11
-2.09,4.83,-2.61,6.1,5.26,156.61,6.64,156.86,6.31,6.22
-1.96,4.42,-2.58,5.78,4.84,156.09,6.33,155.91,5.98,5.88
-2.05,3.45,-2.75,4.74,4.02,149.26,5.48,149.92,5.14,5.04
-2.36,2.27,-3.23,3.38,3.27,133.8,4.68,136.28,4.35,4.26
-2.05,1.62,-3.03,2.42,2.61,128.23,3.88,128.6,3.58,3.5
-1.27,1.27,-2.18,1.87,1.8,135.09,2.87,130.62,2.62,2.55
-1.55,1.9,-2.28,2.67,2.45,140.71,3.51,139.46,3.26,3.19
-1.83,1.46,-2.71,2.26,2.34,128.5,3.52,129.83,3.25,3.17
-1.27,1.31,-1.91,1.94,1.83,135.72,2.72,135.55,2.51,2.45
-1.06,2.34,-1.12,2.51,2.57,155.63,2.75,155.87,2.71,2.7
-0.25,3.31,-0.25,3.47,3.32,175.68,3.48,175.89,3.44,3.43
0.31,3.87,0.38,4.07,3.88,184.59,4.09,185.26,4.04,4.03
0.63,4.09,0.63,4.36,4.14,188.69,4.41,188.16,4.34,4.32
0.84,3.96,0.91,4.2,4.05,192.0,4.3,192.25,4.24,4.22
0.53,3.5,0.6,3.66,3.54,188.63,3.71,189.3,3.67,3.66
0.5,2.9,0.57,3.04,2.95,189.77,3.09,190.7,3.06,3.05
0.78,3.15,0.85,3.29,3.25,193.9,3.4,194.49,3.36,3.35
0.63,4.37,0.7,4.57,4.42,188.14,4.63,188.69,4.58,4.56
-0.12,4.93,-0.05,5.24,4.93,178.55,5.24,179.44,5.17,5.15
-0.72,4.93,-0.75,5.27,4.98,171.72,5.33,171.91,5.25,5.22
-2.24,5.4,-2.62,5.97,5.84,157.42,6.52,156.29,6.36,6.32
-3.18,5.7,-3.93,6.87,6.53,150.88,7.91,150.2,7.59,7.5
-4.92,5.7,-5.96,6.56,7.53,139.21,8.86,137.75,8.55,8.46
-3.83,4.21,-4.87,5.03,5.69,137.69,7.0,135.95,6.69,6.61
-3.7,3.71,-4.71,4.5,5.24,135.02,6.51,133.69,6.21,6.13
-3.45,2.52,-4.53,3.25,4.28,126.12,5.57,125.62,5.27,5.18
-2.58,1.84,-3.8,2.22,3.17,125.49,4.4,120.3,4.11,4.03
-2.73,2.4,-3.99,2.92,3.64,131.27,4.95,126.21,4.64,4.55
-3.3,2.34,-4.69,3.0,4.04,125.32,5.56,122.57,5.21,5.11
-3.51,2.12,-4.9,2.56,4.1,121.08,5.53,117.57,5.2,5.1
-3.61,1.46,-4.82,1.51,3.89,112.09,5.05,107.45,4.78,4.7
-3.27,1.12,-3.72,0.61,3.46,108.99,3.77,99.25,3.7,3.68
-2.68,0.81,-3.62,0.59,2.8,106.86,3.66,99.27,3.46,3.4
-1.69,0.13,-2.35,-0.27,1.69,94.3,2.37,83.44,2.21,2.17
-1.19,-0.53,-1.51,-0.88,1.3,65.98,1.75,59.64,1.64,1.61
-2.34,-1.93,-2.44,-2.14,3.04,50.44,3.24,48.76,3.19,3.18
-1.0,-2.44,-1.0,-2.61,2.63,22.32,2.8,20.96,2.76,2.75
-0.06,-3.62,-0.06,-3.86,3.62,0.99,3.86,0.93,3.81,3.79
0.78,-4.06,0.81,-4.32,4.13,349.11,4.4,349.36,4.34,4.32
0.81,-5.27,0.85,-5.65,5.34,351.24,5.71,351.45,5.62,5.6
1.53,-5.55,1.66,-5.96,5.76,344.62,6.19,344.42,6.09,6.06
2.03,-5.62,2.2,-6.1,5.97,340.15,6.48,340.17,6.36,6.33
2.25,-5.68,2.49,-6.19,6.11,338.42,6.67,338.1,6.53,6.5
1.81,-5.68,2.05,-6.26,5.96,342.33,6.59,341.88,6.44,6.4
