u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
-2.92,5.23,-3.16,5.47,5.99,150.79,6.32,149.98,6.24,6.22
-2.36,5.44,-2.6,5.75,5.93,156.56,6.31,155.69,6.22,6.2
-2.02,5.41,-2.19,5.69,5.78,159.54,6.1,158.94,6.02,6.0
-1.36,4.36,-1.53,4.53,4.57,162.68,4.79,161.31,4.73,4.72
0.19,4.52,0.12,4.69,4.52,182.38,4.69,181.48,4.65,4.64
2.56,6.85,2.53,7.13,7.32,200.5,7.56,199.54,7.51,7.49
3.4,7.82,3.4,8.1,8.53,203.52,8.78,202.81,8.72,8.71
3.8,8.06,3.87,8.44,8.91,205.27,9.29,204.66,9.2,9.18
3.12,8.68,3.19,9.13,9.22,199.76,9.67,199.25,9.56,9.53
2.4,8.7,2.37,9.19,9.03,195.43,9.49,194.47,9.38,9.35
1.1,9.35,0.96,10.07,9.41,186.7,10.12,185.46,9.95,9.91
0.57,8.65,0.37,9.77,8.66,183.77,9.78,182.16,9.52,9.45
-0.39,8.17,-0.76,9.63,8.17,177.29,9.66,175.48,9.31,9.22
-1.23,7.48,-1.77,9.04,7.58,170.68,9.21,168.94,8.83,8.72
-1.72,6.91,-2.3,8.58,7.12,166.02,8.88,165.0,8.47,8.35
-2.09,5.7,-2.8,7.26,6.07,159.9,7.78,158.91,7.38,7.27
-1.78,5.73,-2.36,7.36,6.0,162.72,7.73,162.22,7.32,7.21
-1.59,5.42,-2.07,7.11,5.65,163.6,7.41,163.75,7.0,6.88
-1.6,4.79,-1.98,6.42,5.05,161.51,6.72,162.88,6.33,6.22
-1.6,4.44,-1.91,6.11,4.72,160.17,6.4,162.62,6.01,5.9
-1.94,3.86,-2.35,5.36,4.32,153.3,5.85,156.28,5.49,5.39
-2.25,2.56,-2.79,3.75,3.41,138.77,4.68,143.33,4.38,4.3
-2.2,2.14,-3.05,2.79,3.07,134.18,4.14,132.45,3.89,3.82
-1.72,1.46,-3.06,1.43,2.26,130.43,3.38,115.13,3.11,3.04
-2.47,1.1,-3.05,0.96,2.7,113.96,3.2,107.55,3.08,3.05
-2.41,0.16,-2.79,0.06,2.42,93.79,2.79,91.21,2.7,2.68
-1.73,-0.15,-2.01,-0.25,1.74,84.98,2.02,82.8,1.96,1.94
-0.68,-1.24,-0.78,-1.38,1.42,28.69,1.59,29.6,1.55,1.53
1.31,-0.62,1.31,-0.72,1.45,295.19,1.5,298.77,1.49,1.48
5.24,2.34,5.28,2.31,5.74,245.95,5.76,246.38,5.76,5.76
7.69,5.42,7.94,5.6,9.41,234.82,9.71,234.82,9.64,9.62
5.85,5.57,6.1,5.75,8.08,226.39,8.38,226.67,8.31,8.29
4.3,6.16,4.47,6.38,7.51,214.88,7.79,215.04,7.72,7.7
3.58,4.89,3.72,5.0,6.07,216.2,6.23,216.65,6.19,6.18
2.4,5.79,2.37,6.0,6.27,202.54,6.45,201.57,6.41,6.4
2.89,6.38,2.9,7.17,7.01,204.39,7.74,202.02,7.57,7.52
1.59,6.33,1.46,7.69,6.53,194.09,7.83,190.74,7.53,7.44
0.66,6.23,0.46,7.83,6.26,186.05,7.84,183.36,7.47,7.37
-0.3,5.58,-0.6,7.04,5.58,176.95,7.06,175.11,6.72,6.62
0.57,4.24,0.3,5.5,4.28,187.65,5.51,183.14,5.22,5.14
1.06,3.81,0.96,5.1,3.95,195.6,5.19,190.7,4.9,4.82
1.3,3.86,1.47,5.26,4.07,198.57,5.46,195.63,5.13,5.04
1.01,4.1,1.32,5.63,4.23,193.86,5.79,193.18,5.42,5.32
0.64,4.29,0.88,5.82,4.34,188.55,5.89,188.62,5.53,5.42
0.3,4.69,0.44,6.29,4.7,183.72,6.31,184.01,5.93,5.83
0.61,3.7,0.82,5.16,3.75,189.35,5.23,188.98,4.88,4.79
0.7,4.31,0.97,6.05,4.37,189.22,6.12,189.15,5.71,5.6
0.65,4.4,0.69,5.11,4.45,188.44,5.16,187.66,4.99,4.95
1.21,5.19,1.25,5.57,5.33,193.17,5.71,192.65,5.62,5.6
1.55,5.75,1.59,6.1,5.96,195.12,6.3,194.63,6.22,6.2
1.94,6.41,1.94,6.82,6.69,196.83,7.09,195.86,7.0,6.97
3.05,6.1,3.13,6.38,6.82,206.59,7.1,206.1,7.04,7.02
4.39,7.03,4.5,7.38,8.29,212.0,8.64,211.38,8.56,8.54
4.42,7.34,4.53,7.69,8.57,211.05,8.93,210.5,8.84,8.82
4.36,8.03,4.47,8.44,9.14,208.49,9.55,207.88,9.46,9.43
3.3,8.09,3.38,8.57,8.74,202.23,9.21,201.5,9.1,9.07
2.99,8.12,3.06,8.57,8.66,200.23,9.1,199.67,9.0,8.97
2.12,7.9,2.09,8.38,8.18,195.06,8.64,194.01,8.53,8.5
1.62,7.45,1.62,7.97,7.63,192.24,8.14,191.49,8.02,7.98
1.77,7.34,1.87,8.23,7.55,193.55,8.45,192.83,8.24,8.18
0.53,6.21,0.5,7.44,6.23,184.86,7.45,183.82,7.17,7.09
-0.71,6.35,-0.94,7.98,6.38,173.64,8.04,173.25,7.65,7.54
-0.96,6.03,-1.16,7.73,6.11,170.98,7.82,171.46,7.42,7.31
-1.27,5.16,-1.41,6.83,5.31,166.17,6.97,168.34,6.58,6.47
-0.87,5.35,-0.87,7.05,5.42,170.78,7.1,172.95,6.71,6.59
-0.59,5.41,-0.59,7.11,5.44,173.77,7.13,175.24,6.74,6.63
-1.05,5.03,-1.13,6.7,5.14,168.16,6.79,170.47,6.41,6.3
-1.39,4.79,-1.53,6.36,4.99,163.77,6.54,166.44,6.17,6.07
-0.93,4.63,-0.97,6.2,4.72,168.65,6.27,171.13,5.91,5.81
-1.02,3.88,-0.71,5.51,4.01,165.34,5.56,172.66,5.2,5.09
-1.73,2.76,-1.43,4.36,3.25,147.88,4.58,161.86,4.27,4.18
-1.43,2.4,-1.53,3.48,2.79,149.21,3.8,156.21,3.56,3.5
-0.87,3.01,-0.97,3.25,3.13,163.94,3.4,163.39,3.33,3.32
-0.0,2.18,-0.07,2.25,2.18,180.0,2.25,178.32,2.23,2.23
0.91,2.24,0.87,2.35,2.42,202.09,2.5,200.46,2.48,2.48
2.34,3.23,2.41,3.38,3.99,215.88,4.15,215.51,4.11,4.1
3.21,4.23,3.25,4.44,5.32,217.21,5.5,216.2,5.46,5.45
3.65,4.95,3.69,5.19,6.15,216.42,6.37,215.39,6.32,6.3
4.21,5.98,4.28,6.25,7.31,215.14,7.58,214.38,7.51,7.5
4.18,6.48,4.25,6.75,7.71,212.84,7.98,212.18,7.92,7.9
3.43,6.44,3.47,6.72,7.3,208.03,7.56,207.29,7.5,7.48
3.06,5.54,3.03,5.78,6.33,208.94,6.53,207.65,6.48,6.47
2.78,5.73,2.78,5.94,6.36,205.87,6.56,205.09,6.51,6.5
1.9,5.27,1.87,5.95,5.6,199.86,6.24,197.45,6.09,6.05
0.6,4.9,0.3,6.09,4.93,186.96,6.1,182.8,5.82,5.75
-0.79,4.45,-1.23,5.91,4.52,169.94,6.04,168.24,5.68,5.58
-1.78,4.26,-2.33,5.66,4.62,157.32,6.12,157.66,5.77,5.67
-2.0,3.24,-2.32,4.44,3.81,148.29,5.0,152.43,4.73,4.65
-1.03,4.1,-1.0,5.5,4.23,165.94,5.59,169.74,5.27,5.18
-1.8,4.01,-1.29,5.47,4.39,155.8,5.62,166.69,5.34,5.25
-1.97,4.19,-1.23,5.69,4.63,154.82,5.82,167.85,5.54,5.46
-2.39,3.69,-1.79,5.22,4.39,147.03,5.52,161.11,5.26,5.18
-2.45,3.72,-1.98,5.26,4.45,146.69,5.62,159.37,5.34,5.27
-1.06,3.33,-0.45,4.56,3.49,162.35,4.58,174.37,4.32,4.25
-0.54,3.45,0.24,4.65,3.49,171.13,4.66,182.98,4.38,4.31
0.23,2.67,0.74,3.82,2.68,185.02,3.89,190.94,3.61,3.53
1.73,3.82,1.94,4.17,4.2,204.4,4.6,204.99,4.5,4.48
2.68,4.35,2.82,4.66,5.11,211.62,5.45,211.14,5.37,5.35
4.11,5.6,4.28,5.94,6.95,216.26,7.33,215.77,7.24,7.21
5.82,5.75,6.07,6.07,8.19,225.35,8.58,225.0,8.49,8.46
6.16,6.59,6.47,7.01,9.03,223.07,9.54,222.74,9.42,9.39
6.29,7.18,6.6,7.63,9.55,221.2,10.09,220.85,9.96,9.93
6.19,8.21,6.54,8.76,10.28,217.02,10.93,216.73,10.78,10.74
5.54,9.11,5.88,9.76,10.66,211.31,11.4,211.07,11.22,11.17
4.66,9.97,4.97,10.8,11.01,205.06,11.89,204.73,11.68,11.62
3.95,9.94,4.16,10.8,10.69,201.67,11.57,201.06,11.36,11.31
1.55,11.21,1.62,12.27,11.32,187.9,12.38,187.54,12.13,12.06
0.71,10.33,0.75,11.46,10.35,183.96,11.48,183.74,11.22,11.14
0.37,9.67,0.34,11.0,9.67,182.22,11.0,181.78,10.69,10.6
-0.52,9.26,-0.72,10.72,9.27,176.79,10.75,176.14,10.4,10.3
-1.79,8.35,-2.13,9.75,8.54,167.91,9.98,167.67,9.65,9.55
-2.32,7.67,-2.76,9.07,8.01,163.18,9.48,163.06,9.13,9.04
-3.18,7.23,-3.83,8.66,7.9,156.22,9.47,156.14,9.1,9.0
-2.56,7.47,-3.14,9.17,7.9,161.09,9.69,161.1,9.27,9.15
-3.05,7.56,-3.87,9.3,8.15,158.02,10.07,157.41,9.62,9.49
-4.11,8.69,-4.99,10.36,9.61,154.7,11.5,154.26,11.05,10.93
-4.2,8.25,-5.12,9.92,9.25,153.03,11.16,152.71,10.71,10.59
-4.01,7.19,-4.93,8.73,8.23,150.87,10.02,150.54,9.6,9.49
-4.16,6.83,-5.18,8.26,7.99,148.63,9.75,147.88,9.34,9.22
-5.8,7.63,-6.52,8.39,9.59,142.77,10.62,142.16,10.38,10.31
-6.79,7.08,-7.48,7.7,9.81,136.18,10.73,135.82,10.52,10.46
-6.77,6.18,-7.42,6.67,9.17,132.43,9.97,131.94,9.78,9.73
-6.34,5.69,-6.89,6.07,8.52,131.93,9.18,131.4,9.02,8.98
-6.09,4.6,-6.54,4.88,7.64,127.06,8.16,126.72,8.04,8.0
-5.25,4.45,-5.63,4.69,6.89,130.26,7.33,129.79,7.23,7.2
-4.54,4.3,-4.88,4.57,6.25,133.43,6.69,133.11,6.58,6.56
-4.07,4.39,-4.38,4.66,5.99,137.12,6.4,136.77,6.3,6.27
-2.55,5.39,-2.85,5.63,5.96,154.69,6.31,153.12,6.23,6.2
0.11,8.72,-0.23,9.1,8.72,180.74,9.1,178.57,9.01,8.99
1.76,9.7,1.52,10.26,9.86,190.27,10.37,188.44,10.25,10.22
1.88,10.65,1.65,11.48,10.82,190.02,11.6,188.16,11.42,11.36
0.01,10.17,-0.19,11.34,10.17,180.04,11.34,179.02,11.07,10.99
-1.39,9.6,-1.76,10.97,9.7,171.78,11.11,170.88,10.78,10.69
-2.37,8.53,-2.95,10.2,8.86,164.47,10.62,163.86,10.21,10.09
-2.78,8.28,-3.36,9.95,8.74,161.44,10.5,161.34,10.09,9.97
-2.62,7.28,-3.23,9.08,7.73,160.18,9.64,160.39,9.19,9.07
-2.59,7.03,-3.14,8.83,7.49,159.73,9.37,160.43,8.93,8.81
-2.65,6.59,-3.26,8.46,7.1,158.09,9.07,158.9,8.61,8.48
-2.66,6.84,-3.23,8.74,7.34,158.77,9.32,159.69,8.86,8.73
-2.53,6.65,-3.08,8.52,7.12,159.16,9.06,160.15,8.6,8.48
-2.84,6.28,-3.45,8.08,6.89,155.68,8.79,156.87,8.34,8.22
-2.99,5.35,-3.74,7.05,6.12,150.79,7.98,152.05,7.54,7.42
-3.47,4.3,-4.69,5.66,5.52,141.12,7.35,140.36,6.92,6.8
-3.84,3.92,-4.52,4.16,5.49,135.57,6.14,132.63,5.99,5.95
-4.72,3.71,-5.2,3.78,6.0,128.15,6.43,126.02,6.33,6.3
-4.13,4.17,-4.54,4.35,5.87,135.3,6.28,133.75,6.19,6.16
-3.04,4.95,-3.35,5.19,5.81,148.45,6.18,147.17,6.09,6.07
-3.48,5.39,-3.76,5.63,6.42,147.1,6.77,146.28,6.68,6.66
-3.17,5.26,-3.41,5.5,6.14,148.92,6.48,148.21,6.4,6.38
-1.82,6.69,-2.1,7.0,6.94,164.75,7.31,163.32,7.22,7.2
0.64,9.9,0.37,10.38,9.92,183.7,10.39,182.03,10.28,10.25
1.63,11.72,1.43,12.51,11.84,187.93,12.6,186.52,12.42,12.37
0.2,12.93,-0.14,13.89,12.93,180.9,13.89,179.44,13.67,13.61
-0.8,12.74,-1.1,13.7,12.76,176.42,13.75,175.4,13.52,13.45
-1.6,12.51,-2.01,13.58,12.62,172.7,13.73,171.58,13.47,13.39
-1.39,11.19,-1.76,12.56,11.28,172.94,12.68,172.02,12.35,12.26
-2.28,9.81,-2.86,11.41,10.07,166.91,11.77,165.93,11.37,11.26
-2.87,10.03,-3.48,11.83,10.43,164.02,12.33,163.59,11.89,11.76
-3.15,9.83,-3.83,11.74,10.32,162.24,12.35,161.93,11.87,11.74
-2.97,8.18,-3.58,9.98,8.7,160.04,10.61,160.27,10.16,10.03
-3.11,7.34,-3.83,9.14,7.97,157.0,9.91,157.27,9.46,9.33
-3.49,6.63,-4.3,8.2,7.49,152.25,9.26,152.3,8.84,8.73
-4.13,6.51,-5.25,8.01,7.71,147.65,9.58,146.76,9.14,9.02
-5.05,5.62,-6.61,6.81,7.55,138.06,9.49,135.87,9.04,8.91
-6.08,4.98,-8.12,5.77,7.86,129.33,9.96,125.39,9.47,9.33
-6.8,4.58,-8.9,5.3,8.19,123.97,10.36,120.75,9.85,9.71
-7.21,4.77,-9.21,5.45,8.64,123.49,10.7,120.62,10.22,10.08
-8.42,4.88,-9.69,5.26,9.73,120.08,11.02,118.49,10.72,10.64
-8.97,4.88,-9.86,5.19,10.21,118.56,11.14,117.77,10.92,10.86
-8.22,5.28,-9.01,5.66,9.77,122.71,10.64,122.13,10.44,10.38
-7.61,5.84,-8.33,6.22,9.59,127.54,10.4,126.78,10.21,10.15
-7.77,6.93,-8.39,7.38,10.41,131.76,11.17,131.36,10.99,10.94
-7.49,6.5,-8.11,6.88,9.92,130.97,10.63,130.33,10.47,10.42
-7.21,5.85,-7.76,6.16,9.29,129.06,9.91,128.45,9.76,9.72
-7.12,5.41,-7.64,5.69,8.95,127.24,9.52,126.7,9.39,9.35
-6.71,5.07,-7.23,5.32,8.41,127.09,8.97,126.33,8.84,8.8
-3.53,6.91,-4.01,7.32,7.76,152.92,8.35,151.28,8.21,8.17
-3.15,8.18,-3.76,8.69,8.76,158.94,9.47,156.59,9.31,9.26
-1.16,12.11,-1.7,13.14,12.17,174.54,13.25,172.62,13.0,12.93
-1.91,11.44,-2.36,12.84,11.59,170.5,13.06,169.6,12.71,12.62
-2.59,10.09,-3.14,11.69,10.42,165.58,12.11,164.97,11.71,11.6
-3.0,8.9,-3.64,10.64,9.39,161.39,11.24,161.1,10.81,10.69
-3.49,7.94,-4.27,9.67,8.67,156.27,10.57,156.17,10.13,10.0
-3.86,6.58,-4.84,8.07,7.62,149.61,9.41,149.05,8.99,8.88
-4.13,6.33,-5.35,7.72,7.55,146.88,9.39,145.3,8.96,8.84
-4.83,6.11,-6.45,7.37,7.79,141.7,9.8,138.81,9.33,9.2
-5.53,5.93,-7.4,7.02,8.11,136.99,10.2,133.51,9.71,9.58
-6.87,5.35,-8.77,6.21,8.7,127.92,10.74,125.28,10.27,10.13
-8.14,4.74,-10.02,5.36,9.42,120.2,11.36,118.13,10.9,10.78
-8.47,4.15,-10.62,4.76,9.44,116.09,11.64,114.16,11.12,10.98
-8.72,3.62,-10.84,4.1,9.45,112.54,11.59,110.74,11.09,10.94
-9.35,3.29,-10.82,3.57,9.91,109.38,11.39,108.24,11.04,10.95
-10.33,2.46,-11.4,2.53,10.62,103.38,11.67,102.51,11.43,11.36
-9.74,1.84,-10.71,1.88,9.92,100.69,10.87,99.93,10.64,10.58
-8.11,0.97,-8.86,0.94,8.16,96.84,8.91,96.04,8.73,8.69
-6.31,1.0,-6.76,1.0,6.39,99.01,6.83,98.42,6.73,6.7
-4.89,1.78,-5.16,1.85,5.2,109.99,5.48,109.67,5.42,5.4
-4.23,3.18,-4.47,3.32,5.3,126.9,5.57,126.54,5.5,5.49
-3.07,4.67,-3.38,4.85,5.59,146.65,5.91,145.09,5.83,5.81
0.23,10.14,-0.04,10.66,10.14,181.3,10.66,179.78,10.54,10.51
2.38,12.65,2.15,13.54,12.87,190.67,13.71,189.01,13.51,13.46
1.67,12.27,1.4,13.2,12.38,187.74,13.28,186.04,13.07,13.01
