u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
3.07,1.68,3.28,1.78,3.5,241.34,3.73,241.5,3.68,3.66
3.92,1.09,4.09,1.16,4.07,254.47,4.25,254.22,4.21,4.2
4.73,0.62,4.94,0.62,4.77,262.48,4.98,262.79,4.93,4.92
5.5,1.77,5.81,1.84,5.78,252.18,6.1,252.41,6.02,6.0
4.41,2.54,4.66,2.69,5.09,240.02,5.38,240.01,5.31,5.29
2.98,1.87,3.16,1.94,3.52,237.96,3.7,238.46,3.66,3.65
2.52,2.05,2.59,2.12,3.25,230.8,3.35,230.66,3.33,3.32
0.65,2.43,0.69,2.5,2.51,195.02,2.59,195.38,2.57,2.57
-1.21,3.12,-1.25,3.19,3.34,158.71,3.42,158.59,3.41,3.4
-1.3,3.6,-1.41,3.91,3.83,160.09,4.15,160.2,4.08,4.06
-2.21,3.69,-2.63,4.51,4.3,149.01,5.22,149.76,5.0,4.94
-3.28,2.23,-4.1,2.91,3.96,124.26,5.03,125.39,4.78,4.71
-3.88,1.87,-5.01,2.12,4.31,115.77,5.44,112.98,5.18,5.1
-5.39,0.33,-6.92,-0.0,5.4,93.51,6.92,89.96,6.57,6.47
-6.6,0.66,-8.3,0.5,6.63,95.72,8.31,93.42,7.92,7.81
-6.72,0.51,-8.42,0.25,6.74,94.33,8.43,91.67,8.03,7.92
-7.31,0.45,-9.15,0.18,7.32,93.5,9.15,91.14,8.72,8.6
-8.24,-0.27,-10.24,-0.6,8.24,88.14,10.26,86.65,9.79,9.65
-7.94,-0.36,-9.74,-0.76,7.94,87.42,9.77,85.56,9.34,9.22
-8.15,-0.94,-9.99,-1.57,8.2,83.44,10.11,81.05,9.66,9.54
-7.17,-1.33,-8.77,-2.17,7.29,79.49,9.03,76.11,8.62,8.51
-7.37,-2.15,-8.16,-2.73,7.68,73.74,8.61,71.53,8.39,8.33
-6.14,-2.25,-6.6,-2.69,6.54,69.88,7.12,67.79,6.99,6.95
-5.65,-1.61,-5.94,-1.91,5.88,74.13,6.24,72.16,6.15,6.13
-5.44,-0.08,-5.65,-0.32,5.44,89.15,5.66,86.8,5.61,5.6
-5.57,-1.67,-5.69,-1.97,5.82,73.32,6.02,70.86,5.97,5.96
-4.42,-0.86,-4.43,-1.13,4.5,79.03,4.58,75.72,4.56,4.55
-6.06,-1.22,-6.28,-1.63,6.18,78.59,6.49,75.45,6.42,6.4
-5.35,-0.38,-5.53,-0.72,5.36,85.9,5.58,82.55,5.53,5.51
-5.45,-0.32,-5.56,-0.69,5.46,86.62,5.6,82.9,5.57,5.56
-5.81,1.52,-6.06,1.12,6.01,104.64,6.16,100.45,6.13,6.12
-7.2,0.43,-8.45,-0.23,7.22,93.41,8.46,88.43,8.17,8.08
-6.4,-2.24,-7.8,-3.52,6.78,70.71,8.55,65.71,8.14,8.02
-5.72,-4.01,-6.82,-5.46,6.99,54.99,8.74,51.34,8.33,8.21
-5.11,-6.34,-6.2,-8.43,8.14,38.86,10.47,36.32,9.92,9.77
-5.57,-8.7,-6.8,-10.81,10.33,32.62,12.77,32.16,12.2,12.04
