u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
0.63,0.66,0.66,0.55,0.91,223.65,0.86,230.64,0.85,0.84
3.97,0.59,4.2,0.56,4.02,261.52,4.24,262.38,4.3,4.34
5.41,1.06,5.74,0.98,5.52,258.9,5.83,260.29,5.91,5.96
6.35,0.47,6.72,0.4,6.37,265.79,6.73,266.61,6.83,6.89
7.29,0.5,7.72,0.44,7.31,266.09,7.73,266.76,7.85,7.91
7.45,0.81,7.95,0.81,7.49,263.77,7.99,264.16,8.13,8.2
7.01,1.41,7.51,1.44,7.15,258.65,7.65,259.17,7.78,7.86
6.17,2.25,6.64,2.41,6.56,249.92,7.06,250.01,7.2,7.27
4.98,2.66,5.59,2.93,5.65,241.88,6.31,242.33,6.5,6.59
2.48,1.85,3.07,2.26,3.09,233.24,3.81,233.61,4.01,4.11
-1.59,0.88,-0.96,1.36,1.82,119.07,1.67,144.86,1.63,1.6
-9.06,-0.53,-10.57,-0.7,9.07,86.62,10.59,86.19,11.01,11.23
-9.18,0.09,-10.59,0.02,9.18,90.58,10.59,90.12,10.98,11.18
-7.37,1.88,-8.64,1.98,7.6,104.3,8.86,102.9,9.21,9.39
-6.71,2.79,-8.03,3.1,7.26,112.56,8.61,111.09,8.97,9.17
-5.83,3.1,-7.09,3.39,6.6,118.0,7.86,115.56,8.21,8.39
-5.33,3.51,-6.59,3.99,6.38,123.35,7.7,121.18,8.07,8.26
-4.99,3.57,-6.3,4.11,6.13,125.62,7.52,123.16,7.9,8.1
-5.4,2.82,-6.84,3.22,6.09,117.6,7.56,115.23,7.96,8.17
-5.55,2.35,-7.06,2.58,6.03,112.93,7.52,110.06,7.93,8.15
-6.14,2.1,-7.16,2.19,6.49,108.86,7.49,106.99,7.76,7.91
-6.14,1.75,-6.64,1.71,6.38,105.92,6.85,104.45,6.98,7.05
-5.7,1.19,-6.1,1.19,5.82,101.78,6.21,101.02,6.32,6.38
-4.51,0.47,-4.81,0.4,4.53,95.93,4.82,94.73,4.9,4.95
