u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
2.19,2.81,2.25,2.94,3.57,217.87,3.7,217.45,3.66,3.65
2.81,2.44,2.91,2.54,3.72,229.08,3.87,228.93,3.82,3.81
3.5,2.56,3.64,2.66,4.34,233.79,4.51,233.81,4.46,4.44
3.91,2.69,4.04,2.79,4.74,235.47,4.91,235.37,4.86,4.84
4.82,3.19,5.08,3.29,5.78,236.49,6.05,237.07,5.96,5.94
5.5,3.69,5.81,3.85,6.63,236.16,6.97,236.44,6.86,6.83
6.29,4.03,6.66,4.31,7.47,237.31,7.93,237.11,7.78,7.74
6.94,4.22,7.38,4.56,8.13,238.69,8.68,238.33,8.5,8.46
7.41,4.44,7.91,4.84,8.64,239.07,9.27,238.5,9.07,9.02
7.19,4.88,7.84,5.46,8.69,235.85,9.55,235.13,9.28,9.21
5.29,5.13,6.04,6.03,7.37,225.86,8.54,225.04,8.16,8.07
3.63,5.51,4.15,6.73,6.6,213.37,7.91,211.66,7.48,7.38
4.13,5.89,4.71,7.35,7.19,215.05,8.73,212.68,8.23,8.11
4.19,5.89,4.77,7.21,7.23,215.46,8.64,213.53,8.19,8.08
3.19,5.39,3.63,6.68,6.26,210.66,7.61,208.53,7.17,7.07
2.69,5.39,3.07,6.72,6.02,206.55,7.39,204.56,6.95,6.84
2.66,5.7,3.05,6.81,6.29,205.02,7.47,204.1,7.09,6.99
2.75,5.41,2.89,5.96,6.07,206.95,6.63,205.87,6.45,6.4
1.85,3.91,1.9,4.88,4.33,205.25,5.23,201.27,4.94,4.87
0.75,3.82,0.63,4.52,3.89,191.11,4.56,187.97,4.35,4.29
0.72,3.6,0.47,4.35,3.67,191.27,4.37,186.15,4.15,4.09
0.53,3.1,0.42,3.34,3.14,189.73,3.37,187.19,3.3,3.28
1.06,4.72,1.12,5.09,4.84,192.69,5.22,192.45,5.1,5.07
2.66,5.57,2.83,6.01,6.17,205.52,6.64,205.21,6.49,6.45
2.81,5.35,3.06,5.72,6.04,207.76,6.48,208.11,6.34,6.31
3.56,5.75,3.77,6.16,6.77,211.78,7.22,211.45,7.07,7.04
3.6,5.85,3.87,6.26,6.87,211.59,7.36,211.71,7.2,7.16
3.38,5.72,3.58,6.09,6.65,210.55,7.07,210.42,6.93,6.9
3.97,6.04,4.24,6.41,7.23,213.35,7.68,213.51,7.54,7.5
4.38,6.13,4.68,6.53,7.53,215.54,8.04,215.62,7.87,7.83
4.85,6.35,5.18,6.78,7.99,217.36,8.53,217.37,8.36,8.32
4.72,7.1,5.02,7.61,8.53,213.64,9.11,213.39,8.93,8.88
3.66,7.6,3.89,8.17,8.44,205.71,9.05,205.46,8.85,8.81
3.57,7.82,3.91,8.52,8.6,204.51,9.38,204.62,9.13,9.06
2.69,7.23,3.03,8.36,7.71,200.42,8.89,199.93,8.51,8.42
1.75,6.73,1.99,8.02,6.95,194.59,8.26,193.96,7.84,7.74
1.16,5.86,1.33,7.24,5.97,191.19,7.37,190.39,6.92,6.81
1.03,5.51,1.06,6.91,5.61,190.6,6.99,188.74,6.55,6.44
0.12,5.83,-0.13,7.28,5.83,181.22,7.29,178.95,6.82,6.7
-0.97,5.57,-1.36,7.01,5.66,170.11,7.14,169.02,6.66,6.55
-1.79,4.86,-2.45,6.14,5.17,159.8,6.62,158.22,6.15,6.04
-2.38,4.32,-3.08,5.52,4.93,151.15,6.32,150.84,5.87,5.77
-2.51,4.51,-3.2,5.85,5.16,150.95,6.67,151.27,6.18,6.06
-2.98,4.14,-3.85,5.39,5.1,144.26,6.62,144.51,6.13,6.01
-3.07,4.04,-3.91,5.27,5.08,142.78,6.56,143.43,6.08,5.97
-3.69,4.32,-4.21,4.88,5.68,139.46,6.44,139.18,6.2,6.14
-4.63,4.22,-4.97,4.59,6.27,132.38,6.77,132.75,6.61,6.57
-4.5,3.44,-4.81,3.64,5.67,127.37,6.03,127.15,5.91,5.88
-3.94,2.66,-4.18,2.79,4.75,124.01,5.03,123.71,4.94,4.92
-3.03,1.97,-3.16,2.04,3.62,123.0,3.76,122.8,3.72,3.71
-1.91,1.91,-1.94,1.94,2.7,135.0,2.74,135.0,2.73,2.72
-1.31,2.38,-1.35,2.52,2.71,151.08,2.86,151.75,2.81,2.8
-0.38,3.81,-0.44,4.02,3.83,174.37,4.04,173.78,3.97,3.96
-0.34,4.35,-0.38,4.58,4.36,175.47,4.59,175.32,4.52,4.5
-0.06,4.88,-0.1,5.18,4.88,179.26,5.18,178.87,5.08,5.06
0.06,5.6,-0.02,5.97,5.6,180.64,5.97,179.85,5.85,5.82
-0.34,5.75,-0.41,6.2,5.77,176.57,6.21,176.17,6.07,6.03
-1.03,5.19,-1.24,5.66,5.3,168.75,5.79,167.61,5.63,5.59
0.06,5.29,-0.12,6.22,5.29,180.66,6.22,178.91,5.92,5.85
0.37,6.01,0.22,7.29,6.02,183.57,7.29,181.71,6.89,6.79
-1.85,5.32,-2.52,6.5,5.64,160.84,6.97,158.84,6.54,6.44
-3.76,4.17,-4.74,5.17,5.61,137.94,7.01,137.53,6.56,6.45
-5.82,2.79,-7.1,3.63,6.46,115.58,7.98,117.1,7.49,7.37
-6.73,1.66,-8.38,2.49,6.93,103.86,8.74,106.53,8.16,8.02
-7.08,1.1,-8.93,1.78,7.16,98.82,9.11,101.29,8.48,8.33
-6.86,0.47,-8.86,1.08,6.88,93.94,8.93,96.94,8.27,8.11
