u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
1.92,-0.76,2.05,-0.77,2.07,291.59,2.18,290.53,2.15,2.14
0.44,0.35,0.44,0.42,0.56,231.4,0.61,226.09,0.59,0.59
-1.24,1.39,-1.31,1.48,1.86,138.29,1.98,138.5,1.94,1.93
-5.02,1.35,-5.43,1.47,5.2,105.05,5.63,105.11,5.49,5.46
-4.47,1.66,-4.76,1.78,4.77,110.39,5.08,110.49,4.98,4.96
-5.09,2.33,-5.56,2.58,5.6,114.63,6.13,114.86,5.96,5.92
-4.89,2.87,-5.36,3.14,5.67,120.4,6.21,120.37,6.04,5.99
-4.03,2.75,-4.64,3.01,4.88,124.28,5.53,123.03,5.32,5.27
-3.13,2.15,-3.4,2.3,3.8,124.43,4.11,124.0,4.01,3.98
-1.9,-1.1,-1.32,-0.99,2.2,59.96,1.65,53.26,1.83,1.87
-0.11,-1.75,0.39,-1.83,1.75,3.6,1.87,348.02,1.83,1.82
2.4,0.35,3.37,0.51,2.43,261.72,3.4,261.33,3.09,3.01
2.14,2.46,2.61,3.57,3.27,221.03,4.42,216.15,4.05,3.96
-1.09,3.13,-1.06,4.25,3.31,160.8,4.38,165.98,4.04,3.95
-0.39,3.07,-0.53,4.16,3.1,172.84,4.2,172.75,3.84,3.76
-0.32,3.5,-0.87,4.63,3.52,174.78,4.71,169.37,4.33,4.23
-1.63,3.81,-2.54,5.08,4.15,156.87,5.68,153.47,5.18,5.07
-2.07,5.15,-2.79,6.56,5.55,158.13,7.13,156.97,6.62,6.5
-1.18,5.23,-1.54,7.03,5.36,167.25,7.2,167.62,6.61,6.46
-0.04,3.29,-0.2,4.67,3.29,179.36,4.68,177.54,4.23,4.12
0.19,2.42,0.14,3.35,2.42,184.44,3.35,182.42,3.05,2.98
-0.15,4.27,-0.03,5.45,4.27,177.98,5.46,179.66,5.07,4.98
0.95,4.65,1.09,5.4,4.75,191.52,5.51,191.44,5.26,5.2
0.38,4.77,0.38,5.18,4.78,184.5,5.2,184.14,5.06,5.03
-1.24,2.58,-1.36,2.83,2.86,154.46,3.14,154.32,3.05,3.03
-0.7,2.21,-0.84,2.36,2.32,162.45,2.5,160.35,2.44,2.43
-1.71,3.08,-1.9,3.28,3.53,151.0,3.79,149.85,3.71,3.69
-0.92,3.35,-1.09,3.64,3.47,164.58,3.8,163.29,3.69,3.67
-1.32,3.6,-1.47,3.93,3.83,159.79,4.2,159.55,4.08,4.05
-2.88,3.25,-3.15,3.47,4.34,138.4,4.69,137.7,4.58,4.55
-2.85,2.24,-3.14,2.4,3.62,128.15,3.95,127.46,3.85,3.82
-2.22,2.21,-2.47,2.4,3.13,134.86,3.45,134.26,3.34,3.32
-2.31,2.5,-2.58,2.72,3.4,137.23,3.74,136.53,3.63,3.61
-2.73,3.23,-3.17,3.67,4.23,139.79,4.85,139.18,4.65,4.6
-2.58,2.32,-3.14,2.73,3.47,131.95,4.16,131.05,3.94,3.88
-2.17,2.23,-2.74,2.67,3.11,135.81,3.83,134.2,3.6,3.54
-1.66,2.54,-2.14,3.03,3.04,146.91,3.7,144.8,3.49,3.44
-1.41,2.83,-1.89,3.39,3.16,153.55,3.87,150.89,3.65,3.59
-1.6,2.86,-2.07,3.43,3.27,150.81,4.01,148.87,3.77,3.71
-2.99,3.21,-3.71,3.81,4.39,136.97,5.32,135.73,5.02,4.94
-3.52,2.83,-4.47,3.39,4.51,128.85,5.61,127.11,5.26,5.17
