u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
-2.44,-4.31,-2.58,-4.65,4.95,29.48,5.32,28.97,5.23,5.21
0.09,-2.56,0.13,-2.8,2.56,357.91,2.8,357.45,2.75,2.73
1.37,-2.09,1.51,-2.26,2.5,326.71,2.72,326.23,2.67,2.66
3.12,-1.78,3.33,-1.95,3.6,299.68,3.86,300.4,3.8,3.78
3.97,-0.97,4.24,-1.1,4.08,283.71,4.38,284.55,4.31,4.29
4.62,-0.62,4.97,-0.73,4.67,277.69,5.02,278.31,4.94,4.91
4.25,0.0,4.59,-0.04,4.25,270.0,4.59,270.48,4.51,4.49
3.97,1.03,4.42,1.1,4.1,255.43,4.55,256.01,4.45,4.42
3.56,2.03,4.28,2.52,4.1,240.31,4.97,239.55,4.76,4.71
-0.81,2.78,-0.5,3.78,2.9,163.69,3.82,172.52,3.6,3.54
-3.19,-0.03,-3.95,0.81,3.19,89.41,4.04,101.56,3.84,3.78
1.44,1.9,1.35,2.42,2.39,217.03,2.77,209.14,2.68,2.65
-0.25,0.94,-0.14,1.5,0.97,164.99,1.51,174.73,1.38,1.35
-2.06,-1.03,-2.08,-1.05,2.31,63.43,2.33,63.13,2.32,2.32
-3.06,-4.71,-3.52,-6.21,5.62,32.99,7.14,29.57,6.78,6.69
-2.28,-4.0,-2.56,-5.8,4.6,29.71,6.35,23.82,5.94,5.82
-0.31,-3.25,-0.15,-4.71,3.26,5.49,4.72,1.77,4.38,4.28
0.44,-4.09,1.48,-5.58,4.11,353.92,5.77,345.18,5.38,5.27
-0.22,0.69,0.48,-0.12,0.72,162.29,0.5,284.09,0.55,0.57
-0.53,-1.0,0.65,-1.38,1.13,28.12,1.52,334.8,1.43,1.41
-0.82,-2.28,0.37,-2.98,2.42,19.68,3.0,352.84,2.87,2.83
0.19,-1.34,1.21,-2.25,1.35,352.12,2.55,331.66,2.27,2.19
2.87,-3.47,3.37,-4.02,4.5,320.35,5.24,320.03,5.07,5.02
4.28,-3.91,4.75,-4.28,5.79,312.38,6.39,311.99,6.25,6.21
5.31,-4.03,5.85,-4.44,6.67,307.19,7.35,307.18,7.19,7.14
7.19,-2.16,7.87,-2.39,7.5,286.7,8.22,286.89,8.05,8.01
7.37,-0.34,8.06,-0.41,7.38,272.67,8.07,272.94,7.91,7.86
8.37,0.03,9.16,0.06,8.37,269.79,9.16,269.61,8.97,8.92
7.06,3.47,7.67,3.74,7.87,243.84,8.53,244.0,8.37,8.33
3.53,6.5,3.88,7.0,7.4,208.52,8.01,208.98,7.86,7.82
0.09,8.5,0.16,9.38,8.5,180.63,9.38,181.0,9.18,9.12
-0.25,8.78,-0.25,9.69,8.78,178.37,9.7,178.52,9.48,9.42
-0.22,7.75,-0.29,8.77,7.75,178.38,8.78,178.12,8.53,8.47
-0.25,5.75,-0.35,6.96,5.75,177.51,6.97,177.12,6.68,6.6
-2.25,4.28,-2.73,5.49,4.83,152.27,6.13,153.55,5.82,5.74
-2.56,4.72,-3.29,5.88,5.37,151.49,6.74,150.76,6.42,6.33
-2.69,4.75,-3.48,5.92,5.45,150.5,6.87,149.55,6.54,6.45
-3.22,3.72,-4.16,4.65,4.92,139.12,6.24,138.16,5.93,5.84
-3.06,3.34,-4.0,4.13,4.53,137.52,5.75,135.95,5.46,5.38
-5.22,2.12,-6.46,2.82,5.63,112.15,7.05,113.57,6.72,6.62
-7.65,-1.34,-9.49,-1.44,7.77,80.04,9.6,81.39,9.17,9.05
-7.96,0.19,-9.8,0.19,7.97,91.35,9.81,91.1,9.38,9.25
-7.18,0.44,-8.99,0.36,7.2,93.49,9.0,92.3,8.58,8.46
-7.06,-0.81,-8.69,-1.09,7.11,83.44,8.76,82.85,8.37,8.26
-11.31,-3.34,-13.29,-3.89,11.79,73.53,13.85,73.68,13.37,13.23
-9.84,-4.28,-11.33,-4.93,10.73,66.5,12.35,66.48,11.97,11.87
-8.34,-4.44,-9.19,-5.09,9.45,62.0,10.51,61.01,10.26,10.19
-6.94,-5.5,-7.47,-6.14,8.85,51.59,9.67,50.55,9.48,9.42
-3.78,-4.15,-3.98,-4.67,5.62,42.3,6.13,40.43,6.01,5.98
-0.16,-4.12,-0.05,-4.57,4.13,2.17,4.57,0.61,4.46,4.43
4.78,-3.5,5.19,-3.8,5.92,306.2,6.43,306.22,6.31,6.28
3.87,-3.5,4.25,-3.84,5.22,312.09,5.73,312.08,5.61,5.58
11.06,-2.47,12.18,-2.74,11.33,282.58,12.49,282.67,12.22,12.14
11.4,-1.56,12.62,-1.74,11.51,277.8,12.74,277.85,12.45,12.37
10.31,-0.44,11.43,-0.58,10.32,272.43,11.45,272.89,11.18,11.11
9.72,0.53,10.91,0.56,9.73,266.87,10.92,267.05,10.64,10.57
9.09,3.19,10.32,3.63,9.63,250.68,10.94,250.63,10.63,10.55
6.25,6.87,7.35,8.25,9.29,222.28,11.05,221.69,10.63,10.52
5.31,7.06,6.35,8.58,8.83,216.95,10.67,216.5,10.24,10.12
4.84,9.09,5.63,10.85,10.3,208.04,12.23,207.42,11.78,11.65
4.06,8.31,4.72,9.86,9.25,206.05,10.93,205.56,10.54,10.43
4.56,7.4,5.32,8.85,8.69,211.64,10.33,211.01,9.94,9.84
5.44,7.28,6.26,8.66,9.08,216.75,10.69,215.84,10.31,10.21
5.5,6.62,6.36,7.86,8.61,219.7,10.11,218.96,9.76,9.66
6.12,6.43,7.04,7.67,8.88,223.58,10.42,222.56,10.06,9.96
5.4,6.0,6.19,7.13,8.07,222.02,9.45,220.96,9.13,9.04
4.97,6.34,5.72,7.59,8.05,218.07,9.5,217.01,9.16,9.07
4.4,6.25,5.06,7.6,7.64,215.19,9.13,213.63,8.78,8.68
3.75,6.37,4.19,7.59,7.39,210.47,8.67,208.92,8.37,8.28
3.09,7.56,3.36,8.48,8.17,202.25,9.13,201.64,8.9,8.84
3.22,7.22,3.53,7.93,7.9,204.03,8.68,203.98,8.5,8.45
3.44,5.84,3.7,6.35,6.78,210.46,7.35,210.22,7.22,7.18
4.19,4.87,4.49,5.28,6.43,220.66,6.93,220.39,6.81,6.78
5.25,4.78,5.65,5.15,7.1,227.68,7.65,227.65,7.52,7.48
6.19,4.62,6.65,4.97,7.72,233.22,8.3,233.26,8.17,8.13
6.5,5.37,7.0,5.78,8.43,230.41,9.08,230.48,8.93,8.89
6.31,4.97,6.85,5.38,8.03,231.79,8.71,231.88,8.55,8.51
6.44,4.5,6.98,4.84,7.85,235.04,8.49,235.26,8.34,8.3
6.53,4.56,7.1,4.97,7.96,235.06,8.67,235.05,8.5,8.46
6.28,4.56,6.85,4.97,7.76,234.01,8.46,234.08,8.3,8.25
5.37,4.62,5.92,5.17,7.09,229.29,7.85,228.87,7.68,7.62
3.97,4.69,4.66,5.58,6.14,220.25,7.27,219.83,7.0,6.93
3.31,5.12,4.17,6.44,6.1,212.87,7.67,212.93,7.3,7.2
2.65,5.47,3.46,6.89,6.08,205.91,7.71,206.66,7.32,7.22
2.0,5.47,2.69,7.07,5.82,200.09,7.56,200.87,7.15,7.04
1.28,5.62,1.81,7.33,5.77,192.83,7.55,193.84,7.13,7.01
0.62,5.43,1.06,7.18,5.47,186.55,7.26,188.36,6.84,6.72
-0.59,5.06,-0.51,6.8,5.09,173.31,6.82,175.71,6.42,6.3
-1.62,4.22,-1.93,5.71,4.52,158.93,6.03,161.37,5.68,5.58
-2.09,3.59,-2.68,4.7,4.16,149.77,5.41,150.29,5.11,5.03
-2.65,2.37,-3.41,3.09,3.56,131.8,4.6,132.25,4.36,4.29
-3.59,1.0,-4.44,1.59,3.73,105.54,4.72,109.72,4.49,4.42
-4.28,0.59,-5.37,1.19,4.32,97.89,5.5,102.53,5.22,5.15
-3.66,0.22,-4.18,0.29,3.66,93.42,4.19,93.94,4.07,4.03
