u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
3.48,-11.66,3.82,-13.3,12.17,343.39,13.84,343.97,14.11,14.24
7.03,-8.59,8.26,-9.79,11.1,320.71,12.81,319.84,13.09,13.22
0.67,-11.38,1.18,-13.6,11.4,356.65,13.66,355.05,14.02,14.2
2.13,-14.11,2.74,-16.16,14.27,351.41,16.39,350.36,16.74,16.9
5.66,-13.36,6.82,-15.38,14.51,337.04,16.82,336.08,17.2,17.38
8.86,-16.44,10.23,-18.63,18.68,331.67,21.25,331.23,21.67,21.87
8.08,-10.85,9.52,-12.49,13.53,323.31,15.7,322.69,16.06,16.22
7.77,-6.7,9.24,-7.59,10.26,310.77,11.96,309.41,12.23,12.36
6.43,-1.56,7.83,-1.36,6.62,283.65,7.95,279.86,8.17,8.27
6.18,-2.65,7.55,-2.72,6.72,293.17,8.02,289.79,8.23,8.33
5.75,1.08,6.91,1.32,5.85,259.33,7.04,259.17,7.23,7.32
5.88,2.2,6.91,2.48,6.28,249.48,7.34,250.28,7.51,7.59
6.69,1.42,7.85,1.66,6.84,257.98,8.02,258.04,8.22,8.31
6.81,2.33,7.94,2.74,7.2,251.15,8.4,251.0,8.6,8.69
6.79,4.78,7.72,5.33,8.3,234.87,9.38,235.38,9.55,9.63
5.4,3.29,6.18,3.76,6.32,238.67,7.24,238.66,7.39,7.46
5.35,2.22,6.38,2.74,5.8,247.46,6.94,246.79,7.13,7.22
5.6,1.6,6.69,2.14,5.82,254.07,7.03,252.24,7.22,7.32
5.19,0.69,6.32,1.27,5.23,262.37,6.44,258.6,6.64,6.73
5.06,0.48,6.19,1.06,5.09,264.59,6.28,260.31,6.48,6.57
5.04,0.08,6.2,0.59,5.04,269.13,6.22,264.6,6.42,6.51
5.25,0.61,5.86,0.95,5.29,263.36,5.94,260.78,6.05,6.1
4.76,2.11,5.13,2.42,5.2,246.07,5.68,244.78,5.75,5.79
5.16,2.89,5.57,3.16,5.91,240.76,6.41,240.42,6.49,6.53
5.16,3.11,5.57,3.35,6.03,238.91,6.5,238.98,6.58,6.62
5.04,3.45,5.38,3.69,6.11,235.6,6.53,235.56,6.6,6.63
4.35,3.86,4.63,4.1,5.82,228.43,6.18,228.47,6.24,6.27
3.7,3.67,3.98,3.85,5.22,225.22,5.53,225.95,5.58,5.61
3.36,3.9,3.57,4.03,5.15,220.79,5.38,221.49,5.42,5.44
2.99,4.15,3.19,4.32,5.11,215.76,5.37,216.48,5.41,5.43
2.9,4.86,3.07,5.03,5.66,210.78,5.89,211.36,5.93,5.95
2.96,4.74,3.1,4.94,5.58,211.99,5.83,212.06,5.87,5.89
2.06,4.27,2.19,4.38,4.74,205.7,4.89,206.61,4.92,4.93
0.65,4.74,0.65,4.88,4.78,187.85,4.92,187.64,4.94,4.95
0.31,5.84,0.28,6.42,5.85,183.06,6.43,182.49,6.52,6.57
0.03,4.81,-0.0,5.42,4.81,180.41,5.42,180.0,5.52,5.57
0.1,3.97,-0.04,4.65,3.97,181.4,4.65,179.53,4.76,4.81
