u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
1.25,5.99,1.35,6.32,6.11,191.76,6.46,192.04,6.63,6.74
1.12,5.83,1.22,6.21,5.94,190.89,6.33,191.15,6.51,6.64
0.62,5.61,0.66,5.92,5.65,186.35,5.96,186.37,6.11,6.2
0.53,5.99,0.56,6.33,6.01,185.05,6.36,185.08,6.52,6.63
0.81,5.8,0.87,6.14,5.86,187.94,6.21,188.11,6.37,6.48
0.97,5.49,1.07,5.79,5.57,189.99,5.89,190.48,6.05,6.15
0.93,6.24,1.07,6.64,6.3,188.52,6.73,189.16,6.94,7.07
0.65,6.89,0.72,7.37,6.92,185.43,7.4,185.61,7.64,7.79
-0.0,8.04,-0.0,8.65,8.04,180.0,8.65,180.0,8.95,9.14
-0.62,8.93,-0.76,10.03,8.96,176.02,10.06,175.67,10.59,10.94
-1.0,9.3,-1.17,10.54,9.36,173.89,10.6,173.66,11.21,11.6
-0.59,9.43,-0.79,10.72,9.44,176.43,10.75,175.76,11.39,11.8
-0.93,8.46,-1.21,9.72,8.51,173.73,9.8,172.93,10.42,10.83
-1.49,7.84,-1.87,9.07,7.98,169.24,9.26,168.38,9.89,10.29
-1.96,7.43,-2.44,8.53,7.69,165.26,8.87,164.05,9.44,9.82
-1.96,7.62,-2.37,8.65,7.87,165.61,8.97,164.7,9.5,9.85
-1.68,7.56,-2.02,8.55,7.75,167.5,8.79,166.73,9.3,9.62
-1.37,7.78,-1.61,8.88,7.9,170.03,9.02,169.74,9.57,9.92
-1.8,7.91,-2.07,8.83,8.11,167.17,9.07,166.8,9.54,9.84
-2.15,6.72,-2.49,7.71,7.05,162.27,8.1,162.08,8.61,8.94
-2.24,6.82,-2.58,7.63,7.17,161.82,8.06,161.32,8.49,8.77
-2.77,6.69,-3.04,7.34,7.25,157.51,7.95,157.47,8.29,8.51
-2.24,6.67,-2.48,7.21,7.03,161.4,7.62,160.99,7.91,8.09
-1.99,7.1,-2.2,7.64,7.38,164.33,7.95,163.97,8.23,8.41
-1.96,7.11,-2.13,7.58,7.37,164.56,7.88,164.28,8.12,8.28
-2.31,6.64,-2.51,7.04,7.03,160.85,7.48,160.4,7.7,7.84
-2.28,5.86,-2.45,6.23,6.29,158.78,6.7,158.57,6.89,7.02
-1.56,6.39,-1.7,6.77,6.58,166.3,6.98,165.93,7.17,7.3
-1.65,6.05,-1.79,6.39,6.27,164.74,6.64,164.39,6.82,6.93
-1.4,6.21,-1.54,6.54,6.36,167.28,6.72,166.79,6.9,7.01
-1.37,6.42,-1.47,6.83,6.57,167.95,6.99,167.83,7.19,7.32
-1.25,6.51,-1.38,6.96,6.63,169.17,7.09,168.75,7.32,7.46
-1.31,6.86,-1.45,7.37,6.98,169.19,7.51,168.89,7.76,7.93
-1.37,7.53,-1.61,8.46,7.66,169.71,8.61,169.24,9.07,9.37
-0.87,8.8,-1.21,10.11,8.85,174.37,10.18,173.15,10.83,11.25
-2.82,6.75,-3.65,7.78,7.32,157.3,8.59,154.84,9.21,9.61
-3.22,6.13,-4.15,7.02,6.92,152.25,8.16,149.39,8.75,9.14
-2.92,6.06,-3.85,7.13,6.73,154.32,8.1,151.62,8.77,9.2
-2.72,5.9,-3.76,7.11,6.5,155.23,8.04,152.12,8.79,9.27
-2.57,5.12,-3.67,6.26,5.73,153.4,7.26,149.61,8.0,8.48
-2.16,4.53,-3.31,5.56,5.02,154.51,6.47,149.29,7.17,7.63
-2.57,4.22,-3.78,5.18,4.94,148.7,6.41,143.89,7.13,7.59
-2.85,3.85,-4.09,4.71,4.79,143.53,6.24,139.0,6.94,7.4
-2.54,4.19,-3.64,4.98,4.9,148.84,6.17,143.82,6.79,7.19
-2.32,3.51,-3.43,4.23,4.21,146.55,5.45,140.98,6.05,6.44
-1.93,2.56,-2.38,2.76,3.2,142.99,3.64,139.27,3.85,3.99
-1.22,1.93,-1.32,1.93,2.28,147.82,2.34,145.58,2.36,2.38
-0.84,0.81,-0.91,0.78,1.17,133.98,1.2,130.46,1.21,1.22
0.0,-0.9,0.0,-0.97,0.9,360.0,0.97,0.0,1.01,1.03
1.47,-1.09,1.54,-1.12,1.83,306.66,1.9,306.22,1.94,1.96
2.18,-1.03,2.29,-1.06,2.41,295.24,2.52,294.93,2.57,2.61
2.53,-0.78,2.66,-0.81,2.64,287.15,2.78,286.98,2.85,2.89
3.09,-1.31,3.26,-1.38,3.35,292.97,3.54,292.87,3.63,3.68
3.56,-1.47,3.76,-1.54,3.85,292.42,4.06,292.22,4.17,4.23
3.56,-1.4,3.76,-1.47,3.82,291.56,4.04,291.4,4.14,4.21
3.43,-1.37,3.63,-1.44,3.69,291.79,3.91,291.58,4.01,4.08
3.18,-1.4,3.38,-1.51,3.48,293.83,3.71,294.03,3.82,3.89
2.99,-1.03,3.39,-1.06,3.16,289.03,3.56,287.39,3.75,3.87
2.41,-1.06,3.22,-1.19,2.63,293.66,3.44,290.22,3.83,4.08
0.85,-0.8,1.49,-1.07,1.17,313.35,1.84,305.7,2.16,2.37
-1.01,-1.23,-0.57,-1.91,1.59,39.58,1.99,16.64,2.19,2.32
-1.37,-1.95,-1.37,-3.67,2.39,35.09,3.92,20.41,4.66,5.14
-1.55,-1.54,-1.68,-3.44,2.19,45.14,3.83,26.01,4.62,5.14
