u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
4.68,-1.03,5.09,-1.06,4.79,282.47,5.2,281.8,5.06,5.03
4.52,-0.38,4.92,-0.38,4.54,274.74,4.93,274.36,4.81,4.77
4.71,-0.53,5.15,-0.52,4.74,276.47,5.17,275.77,5.03,5.0
3.45,-1.26,3.79,-1.31,3.67,289.98,4.01,289.08,3.91,3.88
2.36,-1.38,2.67,-1.44,2.73,300.35,3.03,298.31,2.93,2.91
1.07,-1.66,1.27,-1.73,1.98,327.1,2.15,323.67,2.09,2.08
1.98,-1.57,2.29,-1.62,2.53,308.35,2.81,305.32,2.72,2.7
2.89,-0.85,3.23,-0.88,3.01,286.32,3.35,285.15,3.24,3.21
2.61,-0.41,3.02,-0.44,2.64,278.9,3.05,278.23,2.92,2.89
-7.24,2.95,-8.36,3.21,7.82,112.19,8.95,111.0,8.59,8.5
-6.4,0.18,-7.7,-0.0,6.4,91.63,7.7,89.99,7.28,7.18
-5.99,0.25,-7.28,0.08,6.0,92.39,7.28,90.64,6.87,6.77
-5.15,0.18,-6.4,-0.25,5.15,92.03,6.41,87.73,6.0,5.9
-4.95,-0.81,-6.07,-1.78,5.02,80.76,6.32,73.67,5.9,5.8
-4.61,-1.59,-5.71,-2.82,4.88,70.92,6.37,63.72,5.89,5.78
-3.83,-0.87,-5.01,-1.99,3.93,77.16,5.39,68.34,4.92,4.8
-3.58,-1.03,-4.61,-2.22,3.72,73.9,5.12,64.31,4.67,4.56
-3.78,0.07,-5.01,-0.8,3.78,91.14,5.07,80.93,4.65,4.55
-3.39,1.03,-4.63,0.81,3.54,106.96,4.7,99.91,4.33,4.24
-3.2,1.04,-4.3,0.96,3.36,108.01,4.4,102.54,4.07,3.99
-3.19,0.24,-3.88,-0.07,3.2,94.39,3.88,89.04,3.66,3.61
-3.36,-0.54,-3.54,-0.79,3.4,80.87,3.63,77.37,3.56,3.54
-3.04,-1.57,-3.04,-1.86,3.42,62.63,3.56,58.6,3.52,3.51
-1.88,-2.07,-1.81,-2.4,2.8,42.21,3.01,37.06,2.94,2.92
-0.94,-2.77,-0.85,-3.11,2.92,18.72,3.22,15.36,3.12,3.1
0.6,-2.29,0.81,-2.61,2.37,345.3,2.73,342.65,2.62,2.59
5.06,0.69,5.67,0.69,5.11,262.26,5.71,263.09,5.52,5.47
2.77,-0.88,3.15,-0.98,2.9,287.66,3.3,287.29,3.17,3.14
0.54,-2.57,0.86,-2.86,2.63,348.05,2.98,343.31,2.87,2.84
-0.31,-1.67,-0.08,-1.9,1.7,10.42,1.9,2.46,1.83,1.82
-6.17,1.41,-7.23,1.35,6.33,102.86,7.36,100.59,7.03,6.95
-8.37,-0.85,-9.44,-1.0,8.41,84.22,9.5,83.95,9.15,9.06
-7.26,-0.85,-8.17,-1.06,7.31,83.31,8.24,82.58,7.94,7.87
-7.33,1.45,-8.28,1.52,7.47,101.18,8.41,100.41,8.11,8.04
-7.2,1.64,-8.19,1.79,7.39,102.8,8.39,102.34,8.06,7.99
-7.2,1.66,-8.13,1.79,7.39,103.02,8.33,102.43,8.02,7.95
-7.11,1.6,-7.98,1.77,7.28,102.7,8.18,102.51,7.89,7.82
-6.54,1.7,-7.4,1.9,6.75,104.56,7.64,104.37,7.36,7.29
-5.66,2.04,-6.46,2.27,6.02,109.87,6.85,109.37,6.58,6.52
-4.4,1.82,-5.02,1.98,4.76,112.5,5.4,111.5,5.2,5.15
-4.43,1.51,-5.02,1.6,4.68,108.77,5.27,107.71,5.08,5.04
-4.56,1.13,-5.21,1.15,4.7,103.92,5.34,102.39,5.13,5.08
-4.69,0.94,-5.53,1.0,4.79,101.36,5.62,100.26,5.35,5.28
-4.69,0.56,-5.34,0.52,4.72,96.84,5.36,95.57,5.16,5.11
-4.71,0.4,-5.15,0.29,4.73,94.9,5.16,93.23,5.02,4.98
-3.68,-0.44,-3.92,-0.58,3.7,83.13,3.96,81.52,3.88,3.86
-3.83,-1.35,-4.08,-1.48,4.06,70.55,4.34,70.09,4.25,4.23
-3.8,-2.01,-4.04,-2.21,4.3,62.11,4.61,61.34,4.51,4.48
-3.11,-2.14,-3.25,-2.29,3.77,55.5,3.98,54.81,3.91,3.89
-1.88,-2.26,-1.94,-2.44,2.94,39.82,3.11,38.46,3.06,3.04
-1.35,-2.16,-1.29,-2.33,2.55,31.89,2.67,28.94,2.63,2.62
-0.4,-2.67,-0.29,-2.9,2.7,8.6,2.91,5.73,2.84,2.83
-0.53,-2.45,-0.46,-2.65,2.5,12.19,2.69,9.82,2.63,2.61
-1.85,-3.92,-1.83,-4.15,4.33,25.23,4.53,23.85,4.47,4.45
-3.11,-4.37,-3.29,-4.84,5.36,35.43,5.85,34.25,5.69,5.65
-2.95,-4.06,-3.15,-4.48,5.01,36.02,5.48,35.08,5.33,5.29
-3.58,-4.25,-3.94,-4.9,5.56,40.15,6.29,38.8,6.05,6.0
-4.78,-3.5,-5.46,-4.3,5.93,53.77,6.95,51.81,6.62,6.54
-5.26,-2.91,-6.19,-3.8,6.01,61.06,7.26,58.48,6.86,6.76
-4.63,-3.32,-5.53,-4.47,5.7,54.37,7.11,51.05,6.65,6.54
-3.59,-4.11,-4.27,-5.47,5.46,41.17,6.94,38.02,6.46,6.35
-2.27,-3.67,-2.79,-5.07,4.32,31.73,5.79,28.86,5.32,5.2
-1.45,-2.49,-1.79,-3.88,2.88,30.32,4.28,24.78,3.83,3.72
-0.76,-1.16,-0.96,-2.28,1.39,33.2,2.47,22.83,2.12,2.04
-0.57,-0.95,-0.62,-2.09,1.1,30.96,2.18,16.64,1.84,1.75
0.1,-0.44,0.25,-1.61,0.45,347.67,1.63,351.14,1.25,1.16
0.46,-0.28,1.02,-1.3,0.54,301.59,1.65,321.74,1.3,1.21
0.98,-0.31,1.84,-1.03,1.02,287.4,2.11,299.17,1.76,1.67
1.56,-0.3,2.9,-0.88,1.59,280.9,3.03,286.85,2.57,2.46
1.79,-0.45,3.37,-1.0,1.84,284.24,3.51,286.61,2.98,2.85
3.3,-1.38,3.79,-1.61,3.58,292.7,4.12,292.94,3.95,3.9
4.18,-2.57,4.61,-2.81,4.91,301.61,5.4,301.42,5.24,5.2
4.65,-2.54,5.13,-2.77,5.3,298.71,5.83,298.39,5.66,5.62
5.18,-2.29,5.69,-2.52,5.67,293.89,6.22,293.9,6.04,6.0
5.4,-2.23,5.94,-2.4,5.84,292.4,6.41,291.97,6.22,6.18
3.18,-3.48,3.54,-3.75,4.71,317.64,5.16,316.63,5.02,4.98
3.2,-4.4,3.54,-4.79,5.44,323.92,5.96,323.53,5.79,5.75
