u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
3.3,1.31,3.41,1.28,3.55,248.33,3.64,249.4,3.58,3.57
3.45,1.75,3.59,1.69,3.87,243.14,3.97,244.87,3.9,3.89
4.02,2.25,4.12,2.19,4.6,240.75,4.67,242.08,4.62,4.62
4.05,3.44,4.12,3.41,5.31,229.7,5.35,230.46,5.32,5.32
4.33,4.24,4.5,4.31,6.06,225.59,6.23,226.23,6.11,6.1
3.7,4.3,3.84,4.34,5.68,220.73,5.8,221.51,5.71,5.7
2.58,4.46,2.69,4.5,5.16,210.02,5.24,210.84,5.18,5.17
1.62,4.64,1.69,4.72,4.92,199.19,5.01,199.68,4.94,4.93
1.37,4.77,1.41,4.91,4.96,196.09,5.1,196.0,5.0,4.99
0.12,4.73,0.12,4.91,4.73,181.51,4.91,181.46,4.78,4.77
-0.94,4.4,-0.94,4.78,4.5,167.97,4.87,168.91,4.6,4.57
-1.93,3.64,-1.97,4.19,4.12,152.1,4.63,154.85,4.25,4.22
-2.18,3.73,-2.22,4.25,4.32,149.72,4.8,152.45,4.45,4.42
-2.02,4.13,-2.13,4.66,4.6,153.98,5.12,155.48,4.74,4.7
-2.39,3.86,-2.6,4.35,4.54,148.18,5.06,149.15,4.68,4.64
-2.63,3.2,-2.88,3.69,4.15,140.58,4.68,142.06,4.29,4.25
-3.57,2.93,-3.81,3.38,4.62,129.34,5.09,131.53,4.74,4.71
-4.18,2.24,-4.6,2.69,4.74,118.2,5.33,120.34,4.89,4.86
-4.33,2.0,-5.38,2.28,4.77,114.79,5.85,112.97,5.05,4.98
-4.56,1.86,-5.76,1.94,4.92,112.16,6.08,108.58,5.23,5.15
-4.65,1.4,-5.95,1.37,4.86,106.78,6.1,103.0,5.18,5.11
-4.63,0.01,-6.11,-0.22,4.63,90.11,6.11,87.92,5.02,4.93
-5.97,-0.15,-6.28,-0.25,5.97,88.55,6.29,87.71,6.06,6.04
-6.31,-0.3,-6.63,-0.44,6.32,87.25,6.64,86.21,6.4,6.38
-6.26,0.01,-6.5,-0.13,6.26,90.08,6.5,88.89,6.32,6.31
-6.53,-0.3,-6.78,-0.5,6.54,87.34,6.8,85.76,6.61,6.59
-6.72,-0.7,-6.97,-0.94,6.76,84.01,7.03,82.32,6.83,6.81
-6.79,-0.76,-6.97,-1.07,6.84,83.63,7.05,81.31,6.89,6.88
-7.16,-0.38,-7.41,-0.72,7.17,86.94,7.44,84.43,7.24,7.22
-7.07,-0.13,-7.31,-0.5,7.07,88.92,7.33,86.06,7.14,7.12
-6.69,1.42,-7.03,1.12,6.84,101.99,7.12,99.06,6.91,6.89
-6.86,2.85,-7.28,2.65,7.43,112.54,7.75,110.01,7.52,7.5
-7.2,3.68,-7.79,3.59,8.09,117.05,8.57,114.76,8.22,8.19
-6.44,3.58,-7.26,3.66,7.37,119.05,8.13,116.73,7.57,7.52
-6.13,3.58,-7.64,4.35,7.1,120.27,8.8,119.66,7.55,7.44
-7.59,2.97,-9.62,3.82,8.15,111.37,10.35,111.67,8.73,8.59
-9.6,1.54,-11.9,1.85,9.73,99.14,12.04,98.82,10.33,10.19
-10.55,0.3,-12.61,0.5,10.55,91.65,12.62,92.28,11.1,10.97
-10.36,-1.58,-12.43,-1.72,10.48,81.33,12.55,82.12,11.02,10.89
-9.41,-3.61,-11.36,-4.26,10.07,69.03,12.14,69.47,10.62,10.49
-9.87,-4.93,-11.83,-6.01,11.03,63.48,13.27,63.07,11.62,11.48
-9.87,-4.64,-11.86,-5.86,10.91,64.82,13.23,63.73,11.52,11.37
-9.66,-4.98,-11.49,-6.36,10.86,62.72,13.13,61.03,11.46,11.32
-9.1,-6.26,-10.83,-8.08,11.05,55.47,13.51,53.26,11.7,11.54
-7.81,-7.18,-9.2,-9.27,10.61,47.39,13.06,44.78,11.26,11.1
-6.3,-5.83,-7.35,-7.8,8.58,47.24,10.72,43.29,9.15,9.01
-5.2,-6.98,-5.37,-8.52,8.7,36.66,10.07,32.25,9.06,8.98
-3.9,-7.39,-3.81,-8.51,8.36,27.83,9.32,24.11,8.61,8.55
-2.16,-9.78,-2.03,-10.92,10.02,12.46,11.1,10.53,10.3,10.24
-0.73,-9.64,-0.56,-10.63,9.67,4.35,10.65,3.02,9.93,9.86
0.42,-9.15,0.66,-10.04,9.16,357.38,10.06,356.25,9.4,9.34
3.31,-6.03,3.75,-6.72,6.88,331.25,7.7,330.83,7.1,7.05
9.33,-3.52,10.26,-4.51,9.97,290.7,11.2,293.73,10.3,10.22
10.83,0.36,12.33,0.06,10.83,268.11,12.33,269.73,11.23,11.13
2.16,3.12,2.6,3.19,3.79,214.74,4.11,219.19,3.88,3.86
4.47,3.76,4.88,4.03,5.84,229.96,6.33,230.42,5.97,5.94
7.69,6.66,8.47,7.38,10.17,229.09,11.24,228.95,10.45,10.38
6.22,10.1,7.01,11.26,11.86,211.64,13.26,211.89,12.23,12.14
6.53,9.74,7.38,11.14,11.73,213.86,13.36,213.54,12.16,12.05
6.78,9.21,7.51,10.57,11.44,216.37,12.97,215.37,11.84,11.74
5.05,7.54,5.57,8.67,9.08,213.82,10.3,212.71,9.4,9.32
3.94,6.83,4.35,7.88,7.88,209.96,9.0,208.87,8.18,8.11
6.39,6.3,7.01,7.23,8.98,225.41,10.06,224.11,9.26,9.19
6.73,6.94,7.32,7.72,9.66,224.14,10.64,223.44,9.92,9.86
5.53,6.47,6.0,7.26,8.51,220.49,9.42,219.6,8.75,8.69
5.49,6.8,5.94,7.73,8.74,218.91,9.75,217.55,9.0,8.94
2.88,5.52,3.16,6.45,6.23,207.56,7.18,206.1,6.48,6.42
3.53,6.33,3.81,7.29,7.25,209.19,8.23,207.62,7.51,7.44
2.97,8.12,3.25,9.39,8.65,200.1,9.93,199.11,8.99,8.91
3.23,7.92,3.44,9.01,8.55,202.2,9.64,200.89,8.84,8.77
2.98,9.52,3.19,10.44,9.97,197.4,10.92,196.98,10.22,10.16
0.75,9.16,0.81,9.91,9.19,184.68,9.95,184.69,9.39,9.34
-0.22,8.82,-0.19,9.47,8.82,178.55,9.48,178.87,8.99,8.95
-1.09,8.29,-1.16,8.88,8.36,172.52,8.95,172.58,8.52,8.48
-1.34,8.58,-1.41,9.16,8.68,171.13,9.27,171.27,8.84,8.8
-1.55,8.29,-1.66,8.88,8.44,169.39,9.03,169.43,8.59,8.56
-1.93,7.74,-2.06,8.29,7.98,166.01,8.54,166.01,8.12,8.09
-2.58,7.61,-2.75,8.16,8.03,161.26,8.61,161.37,8.18,8.15
-1.83,7.77,-1.94,8.32,7.98,166.74,8.54,166.89,8.13,8.09
-1.93,7.77,-2.03,8.32,8.0,166.06,8.56,166.27,8.15,8.11
-2.48,7.23,-2.69,7.82,7.64,161.06,8.27,161.02,7.81,7.77
-2.95,7.02,-3.13,7.53,7.61,157.16,8.16,157.47,7.76,7.72
-3.72,6.17,-4.07,6.82,7.2,148.89,7.94,149.19,7.4,7.35
-4.1,6.03,-4.44,6.76,7.29,145.82,8.08,146.68,7.5,7.45
-4.71,6.35,-5.16,7.1,7.9,143.4,8.78,143.99,8.13,8.08
-4.53,6.22,-5.0,6.97,7.69,143.97,8.58,144.34,7.93,7.87
-5.09,6.47,-5.5,7.22,8.23,141.82,9.08,142.71,8.46,8.4
-6.2,5.69,-6.72,6.35,8.42,132.55,9.25,133.36,8.64,8.59
-5.8,5.36,-6.32,5.97,7.9,132.71,8.69,133.4,8.11,8.06
-6.11,5.29,-6.69,5.97,8.08,130.92,8.97,131.76,8.31,8.26
-6.61,5.14,-7.22,5.72,8.37,127.9,9.22,128.39,8.59,8.54
-7.03,4.88,-7.76,5.54,8.56,124.77,9.53,125.52,8.82,8.76
-7.57,4.7,-8.26,5.32,8.91,121.86,9.82,122.79,9.15,9.09
-6.89,4.78,-7.41,5.22,8.38,124.72,9.06,125.18,8.56,8.52
-7.15,5.53,-7.63,5.97,9.04,127.7,9.69,128.05,9.21,9.17
-7.4,5.78,-7.85,6.19,9.39,127.97,9.99,128.27,9.55,9.51
-7.83,6.06,-8.35,6.41,9.9,127.75,10.52,127.51,10.06,10.03
-8.02,6.03,-8.57,6.35,10.03,126.97,10.66,126.53,10.2,10.16
-8.18,5.37,-8.69,5.69,9.79,123.31,10.39,123.21,9.94,9.91
-8.15,4.63,-8.63,4.91,9.38,119.62,9.93,119.63,9.52,9.49
-8.03,4.29,-8.5,4.5,9.1,118.15,9.62,117.89,9.24,9.21
-7.68,3.7,-8.16,3.84,8.52,115.76,9.02,115.23,8.65,8.62
-7.46,3.14,-7.91,3.28,8.1,112.83,8.56,112.53,8.22,8.19
-6.53,2.83,-6.94,2.94,7.11,113.44,7.54,112.94,7.22,7.2
-6.06,2.62,-6.47,2.69,6.6,113.34,7.01,112.55,6.71,6.68
-6.86,2.12,-7.38,2.22,7.18,107.13,7.71,106.74,7.32,7.29
-6.13,2.36,-6.82,2.53,6.57,111.02,7.27,110.37,6.75,6.71
-6.61,2.41,-7.47,2.72,7.04,110.02,7.95,110.0,7.28,7.22
-7.33,2.1,-8.22,2.44,7.62,105.97,8.58,106.53,7.87,7.81
-6.96,1.53,-7.79,1.91,7.13,102.43,8.02,103.78,7.36,7.31
-7.18,2.22,-8.2,2.6,7.51,107.21,8.6,107.58,7.8,7.73
-7.44,3.89,-8.19,4.47,8.39,117.63,9.33,118.64,8.64,8.58
-7.1,3.77,-7.75,4.38,8.03,117.96,8.91,119.46,8.26,8.21
-7.0,2.8,-7.72,3.28,7.54,111.82,8.39,113.04,7.76,7.71
-6.04,2.2,-6.69,2.5,6.43,109.97,7.15,110.5,6.62,6.57
-5.33,2.35,-5.85,2.59,5.82,113.77,6.4,113.93,5.97,5.94
-4.65,2.87,-5.07,3.12,5.47,121.72,5.95,121.67,5.59,5.56
-4.09,2.61,-4.53,3.03,4.85,122.6,5.46,123.78,5.01,4.97
-4.13,2.49,-4.41,2.56,4.83,121.07,5.1,120.17,4.9,4.88
-3.58,2.34,-3.78,2.38,4.28,123.16,4.47,122.12,4.33,4.31
-2.89,2.46,-3.06,2.5,3.8,130.43,3.95,129.21,3.84,3.83
-3.33,3.53,-3.5,3.56,4.85,136.64,5.0,135.49,4.89,4.88
-4.17,4.37,-4.38,4.41,6.04,136.32,6.21,135.19,6.08,6.07
-4.02,4.95,-4.22,5.06,6.38,140.96,6.59,140.18,6.43,6.42
-3.58,6.32,-3.72,6.5,7.26,150.47,7.49,150.22,7.32,7.31
-3.08,7.47,-3.25,7.75,8.08,157.6,8.41,157.24,8.17,8.15
-1.93,8.06,-2.03,8.38,8.29,166.55,8.62,166.36,8.38,8.35
