u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
0.09,6.71,0.03,7.15,6.71,180.81,7.15,180.21,6.9,6.87
-0.78,6.3,-0.85,6.71,6.35,172.94,6.76,172.79,6.53,6.5
-0.59,6.24,-0.66,6.65,6.27,174.58,6.68,174.31,6.45,6.42
0.87,7.36,0.87,7.87,7.41,186.78,7.92,186.34,7.64,7.6
2.19,7.58,2.32,8.06,7.89,196.07,8.39,196.08,8.11,8.07
2.97,8.02,3.14,8.52,8.55,200.29,9.08,200.2,8.78,8.74
1.84,8.67,1.94,9.28,8.87,191.98,9.48,191.79,9.14,9.09
1.19,8.61,1.25,9.26,8.69,187.84,9.34,187.69,8.98,8.93
1.12,8.7,1.11,9.35,8.78,187.35,9.41,186.8,9.06,9.0
0.03,8.95,-0.07,9.76,8.95,180.21,9.76,179.57,9.31,9.24
0.09,8.35,0.06,9.38,8.35,180.65,9.38,180.38,8.81,8.72
-0.75,8.17,-0.89,9.19,8.2,174.77,9.23,174.49,8.66,8.57
-0.81,8.2,-0.99,9.29,8.24,174.35,9.34,173.95,8.73,8.63
-1.03,7.95,-1.24,9.08,8.01,172.63,9.16,172.25,8.52,8.43
-1.31,7.63,-1.58,8.76,7.74,170.28,8.91,169.75,8.26,8.16
-1.9,8.13,-2.25,9.36,8.35,166.85,9.63,166.51,8.92,8.81
-2.43,8.45,-2.85,9.61,8.79,163.95,10.03,163.51,9.34,9.23
-2.12,8.16,-2.46,9.33,8.43,165.46,9.65,165.23,8.97,8.87
-2.12,8.32,-2.5,9.45,8.59,165.72,9.78,165.21,9.11,9.01
-2.56,8.73,-2.97,9.85,9.09,163.68,10.29,163.22,9.62,9.52
-2.62,8.98,-3.03,10.0,9.35,163.74,10.45,163.13,9.84,9.75
-3.27,9.38,-3.65,10.37,9.94,160.77,10.99,160.62,10.4,10.32
-2.84,8.73,-3.15,9.54,9.18,161.99,10.05,161.75,9.57,9.49
-3.09,8.95,-3.36,9.69,9.47,160.97,10.26,160.88,9.82,9.75
-3.81,8.67,-4.15,9.36,9.47,156.31,10.23,156.1,9.81,9.75
-3.74,8.11,-4.08,8.72,8.93,155.23,9.63,154.9,9.24,9.18
-3.96,7.96,-4.37,8.53,8.89,153.54,9.59,152.88,9.2,9.14
-5.05,8.77,-5.5,9.44,10.12,150.04,10.93,149.8,10.48,10.41
-5.71,8.86,-6.18,9.51,10.54,147.21,11.34,146.96,10.9,10.83
-5.68,9.45,-6.16,10.13,11.03,149.01,11.86,148.71,11.4,11.33
-6.52,10.14,-7.13,10.92,12.05,147.26,13.04,146.85,12.49,12.41
-7.3,9.14,-7.98,9.92,11.69,141.39,12.73,141.18,12.15,12.07
-8.08,8.05,-8.93,8.79,11.4,134.89,12.53,134.56,11.9,11.81
-8.45,8.51,-9.37,9.39,11.99,135.21,13.27,135.08,12.56,12.45
-6.39,7.7,-7.28,8.55,10.01,140.32,11.23,139.61,10.55,10.45
-6.26,7.64,-7.19,8.49,9.88,140.65,11.13,139.74,10.43,10.33
-6.36,7.04,-7.39,7.97,9.49,137.94,10.87,137.15,10.1,9.98
-6.45,6.26,-7.65,7.19,8.99,134.18,10.5,133.23,9.66,9.53
-7.26,6.48,-8.46,7.34,9.73,131.77,11.2,130.94,10.38,10.26
-8.01,5.42,-9.31,6.21,9.67,124.1,11.19,123.68,10.34,10.22
-7.66,5.11,-8.94,5.79,9.21,123.7,10.65,122.96,9.85,9.73
-7.23,4.4,-8.5,5.02,8.46,121.31,9.87,120.56,9.08,8.97
-7.26,3.83,-8.46,4.42,8.21,117.84,9.55,117.57,8.8,8.69
-8.13,2.96,-9.44,3.37,8.65,110.01,10.02,109.66,9.26,9.15
-6.7,3.18,-7.9,3.69,7.41,115.39,8.72,115.06,7.99,7.88
-8.54,3.74,-9.47,4.16,9.33,113.66,10.34,113.71,9.78,9.69
-10.32,1.72,-11.27,1.81,10.46,99.44,11.41,99.14,10.88,10.8
-7.11,2.15,-7.62,2.25,7.43,106.84,7.95,106.45,7.66,7.62
-6.4,1.62,-6.87,1.55,6.6,104.26,7.04,102.72,6.8,6.76
-5.77,2.75,-6.15,2.85,6.39,115.45,6.77,114.87,6.56,6.53
-4.37,3.06,-4.71,3.26,5.33,125.0,5.73,124.7,5.51,5.47
-5.12,3.18,-5.46,3.39,6.03,121.88,6.42,121.81,6.2,6.17
-4.68,1.19,-5.26,1.32,4.82,104.22,5.42,104.13,5.09,5.04
-4.99,1.0,-5.51,1.14,5.09,101.3,5.62,101.65,5.33,5.28
-6.08,1.28,-6.9,1.51,6.21,101.85,7.07,102.34,6.59,6.52
-6.08,0.75,-6.73,0.85,6.13,97.01,6.78,97.19,6.42,6.36
-4.49,1.09,-5.11,1.16,4.62,103.68,5.24,102.82,4.89,4.84
-7.6,2.56,-8.7,2.76,8.02,108.59,9.13,107.6,8.51,8.42
-6.79,3.43,-7.96,3.87,7.61,116.78,8.85,115.93,8.16,8.06
-7.35,4.21,-8.51,4.72,8.47,119.79,9.73,119.01,9.03,8.93
-6.98,3.77,-8.11,4.28,7.93,118.38,9.17,117.83,8.48,8.38
-6.04,3.12,-7.19,3.5,6.8,117.29,7.99,115.94,7.33,7.23
-5.2,2.96,-6.41,3.33,5.98,119.66,7.23,117.48,6.53,6.43
-3.95,1.9,-5.16,2.25,4.38,115.7,5.63,113.52,4.93,4.83
-3.6,1.4,-4.92,1.67,3.87,111.24,5.2,108.77,4.46,4.35
-3.63,0.97,-5.08,1.06,3.76,104.89,5.19,101.81,4.39,4.27
-4.42,0.41,-5.66,-0.02,4.43,95.3,5.66,89.82,4.98,4.88
-4.29,0.26,-5.54,-0.45,4.3,93.43,5.55,85.34,4.86,4.75
-4.54,0.07,-5.85,-0.6,4.54,90.88,5.88,84.12,5.13,5.02
-4.14,0.53,-4.97,0.43,4.17,97.33,4.98,94.91,4.53,4.47
-4.68,0.31,-4.95,0.2,4.69,93.82,4.95,92.34,4.81,4.78
-4.06,-0.47,-4.32,-0.54,4.08,83.42,4.36,82.92,4.2,4.18
-2.28,1.0,-2.45,1.0,2.49,113.7,2.64,112.22,2.56,2.54
-3.31,1.69,-3.51,1.75,3.71,117.0,3.92,116.49,3.81,3.79
-4.31,2.47,-4.57,2.6,4.96,119.8,5.26,119.61,5.09,5.07
-4.68,3.12,-5.02,3.29,5.62,123.69,6.0,123.2,5.79,5.76
-5.49,3.0,-5.9,3.27,6.25,118.61,6.74,119.02,6.47,6.43
-7.14,2.12,-7.68,2.36,7.45,106.53,8.04,107.08,7.71,7.66
-7.05,2.78,-7.66,3.05,7.57,111.49,8.24,111.7,7.87,7.81
-7.17,1.75,-7.82,1.99,7.38,103.67,8.07,104.24,7.69,7.63
-6.58,2.65,-7.19,2.92,7.09,111.94,7.77,112.11,7.39,7.34
-8.54,4.71,-9.49,5.15,9.75,118.87,10.8,118.47,10.22,10.13
-7.76,3.96,-8.89,4.43,8.71,117.03,9.93,116.51,9.25,9.15
-6.92,3.43,-8.01,3.83,7.72,116.37,8.88,115.57,8.24,8.14
-6.76,2.49,-7.9,2.76,7.21,110.24,8.37,109.26,7.72,7.62
-6.26,2.18,-7.44,2.52,6.63,109.2,7.85,108.73,7.17,7.07
