u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
-0.15,0.5,-0.19,0.36,0.53,162.87,0.41,152.78,0.43,0.43
0.34,2.28,0.38,2.31,2.31,188.54,2.34,189.21,2.34,2.34
0.66,3.03,0.69,3.16,3.1,192.21,3.24,192.27,3.22,3.21
0.84,4.71,0.88,4.95,4.79,190.14,5.02,190.03,4.99,4.98
0.75,6.33,0.81,6.7,6.38,186.73,6.75,186.92,6.7,6.68
0.47,7.27,0.5,7.77,7.28,183.68,7.79,183.68,7.72,7.7
-0.16,7.23,-0.13,7.81,7.24,178.75,7.81,179.08,7.73,7.71
-0.59,7.23,-0.66,7.92,7.26,175.32,7.94,175.22,7.85,7.82
-0.68,7.92,-0.79,8.8,7.95,175.06,8.84,174.89,8.72,8.68
-0.87,9.19,-1.01,10.66,9.23,174.57,10.7,174.58,10.5,10.44
-1.24,7.37,-1.45,9.09,7.47,170.41,9.2,170.95,8.97,8.89
-1.24,6.56,-1.48,8.21,6.68,169.26,8.35,169.76,8.12,8.05
-1.87,6.12,-2.21,7.89,6.4,163.04,8.19,164.35,7.95,7.87
-1.49,6.09,-1.94,7.92,6.27,166.23,8.16,166.22,7.9,7.82
-1.24,5.5,-1.62,7.37,5.64,167.27,7.55,167.6,7.29,7.2
-1.8,5.0,-2.26,6.83,5.31,160.15,7.2,161.73,6.94,6.86
-1.4,4.22,-1.92,5.96,4.45,161.69,6.26,162.17,6.01,5.93
-1.15,3.54,-1.57,5.03,3.72,161.99,5.27,162.67,5.06,4.99
-1.12,3.69,-1.43,5.18,3.86,163.12,5.37,164.53,5.17,5.1
-1.24,3.82,-1.48,5.34,4.01,161.93,5.54,164.46,5.33,5.27
-1.28,3.76,-1.52,5.12,3.97,161.23,5.34,163.44,5.15,5.09
-1.68,4.17,-1.89,5.14,4.5,158.02,5.47,159.84,5.34,5.3
-1.74,4.23,-1.98,5.1,4.58,157.6,5.47,158.74,5.35,5.31
-1.65,7.2,-1.82,7.98,7.39,167.07,8.19,167.13,8.08,8.04
-1.21,8.1,-1.31,8.84,8.19,171.47,8.94,171.56,8.84,8.81
-0.84,8.17,-0.94,8.88,8.21,174.13,8.93,173.97,8.83,8.8
-0.72,7.95,-0.82,8.63,7.98,174.84,8.67,174.55,8.58,8.55
-0.0,7.92,-0.04,8.63,7.92,180.0,8.63,179.76,8.53,8.5
0.12,7.51,0.09,8.16,7.51,180.95,8.16,180.62,8.07,8.04
0.16,7.76,0.12,8.44,7.77,181.16,8.44,180.85,8.35,8.32
-0.03,8.54,-0.14,9.39,8.54,179.8,9.39,179.17,9.28,9.24
-0.37,8.73,-0.51,9.71,8.73,177.56,9.73,176.99,9.59,9.55
-0.37,9.0,-0.55,10.13,9.01,177.63,10.14,176.91,9.99,9.94
-0.15,9.81,-0.22,11.28,9.81,179.1,11.28,178.86,11.08,11.02
-0.15,7.9,-0.19,9.65,7.9,178.88,9.65,178.89,9.42,9.34
-0.59,6.06,-0.7,7.68,6.09,174.42,7.71,174.8,7.49,7.42
-0.72,5.22,-0.86,6.7,5.27,172.17,6.76,172.69,6.56,6.49
-1.03,4.69,-1.23,6.18,4.8,167.65,6.3,168.7,6.1,6.03
-1.12,4.41,-1.36,5.87,4.55,165.76,6.02,166.95,5.82,5.76
-1.74,3.72,-2.12,5.14,4.11,154.92,5.56,157.59,5.36,5.3
-1.68,3.69,-2.13,5.12,4.06,155.55,5.54,157.39,5.34,5.27
-1.27,2.86,-1.62,4.08,3.13,155.95,4.39,158.34,4.22,4.16
-1.0,3.04,-1.21,4.22,3.2,161.84,4.39,164.02,4.23,4.18
-1.34,3.04,-1.58,4.26,3.32,156.22,4.54,159.59,4.38,4.32
-1.43,3.05,-1.82,4.06,3.37,154.82,4.45,155.87,4.3,4.25
