u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
2.92,5.28,3.16,5.69,6.04,208.95,6.51,209.04,6.35,6.31
3.3,4.94,3.5,5.35,5.94,213.71,6.4,213.21,6.24,6.2
3.82,4.79,4.07,5.13,6.13,218.61,6.55,218.39,6.4,6.37
5.1,4.75,5.41,5.13,6.97,227.02,7.46,226.52,7.29,7.25
7.07,4.25,7.44,4.66,8.25,238.95,8.78,237.93,8.6,8.56
8.06,5.03,8.51,5.51,9.5,238.02,10.13,237.07,9.92,9.87
7.06,6.18,7.47,6.79,9.38,228.82,10.1,227.73,9.85,9.8
4.63,7.17,4.94,7.89,8.53,212.86,9.31,212.06,9.04,8.98
1.53,8.6,1.6,9.42,8.73,190.08,9.55,189.61,9.27,9.21
-0.19,9.74,-0.19,10.74,9.74,178.9,10.74,179.0,10.4,10.32
-0.86,8.51,-1.1,9.78,8.55,174.24,9.84,173.59,9.4,9.3
-2.07,7.82,-2.51,9.09,8.09,165.21,9.43,164.56,8.97,8.87
-2.66,6.92,-3.17,8.15,7.41,159.01,8.74,158.76,8.29,8.19
-2.19,6.36,-2.63,7.62,6.73,160.99,8.06,160.93,7.61,7.5
-1.94,5.92,-2.38,7.18,6.23,161.85,7.57,161.64,7.11,7.01
-2.21,5.31,-2.89,6.43,5.75,157.41,7.05,155.8,6.61,6.51
-2.3,5.49,-3.05,6.65,5.95,157.27,7.32,155.37,6.85,6.74
-2.71,5.37,-3.46,6.49,6.01,153.2,7.36,151.97,6.9,6.79
-2.83,4.94,-3.58,5.96,5.69,150.2,6.95,149.02,6.52,6.42
-2.68,4.72,-3.46,5.68,5.43,150.47,6.65,148.66,6.23,6.13
-3.39,5.02,-4.11,5.73,6.05,145.94,7.05,144.38,6.71,6.63
-3.84,5.11,-4.45,5.83,6.39,143.12,7.33,142.64,7.01,6.94
-4.62,5.59,-5.1,6.1,7.25,140.4,7.95,140.1,7.71,7.66
-4.38,5.43,-4.79,5.88,6.98,141.13,7.58,140.84,7.38,7.33
-3.54,5.59,-3.91,6.04,6.62,147.68,7.2,147.05,7.0,6.95
-2.91,6.09,-3.22,6.51,6.75,154.44,7.26,153.64,7.09,7.05
-2.55,6.59,-2.82,7.01,7.07,158.88,7.55,158.08,7.39,7.35
-2.17,6.47,-2.44,6.85,6.82,161.44,7.27,160.36,7.12,7.08
-2.36,6.63,-2.63,7.01,7.04,160.41,7.48,159.42,7.33,7.3
-2.01,7.06,-2.29,7.51,7.34,164.09,7.85,163.06,7.67,7.63
-2.05,8.09,-2.32,8.6,8.34,165.8,8.91,164.91,8.72,8.67
-1.51,9.35,-1.82,10.01,9.48,170.82,10.17,169.7,9.94,9.88
-0.33,10.68,-0.54,11.61,10.68,178.22,11.62,177.36,11.3,11.23
-0.52,11.1,-0.69,12.3,11.11,177.32,12.32,176.79,11.91,11.81
-0.83,10.2,-1.04,11.5,10.23,175.34,11.54,174.85,11.1,10.99
-2.07,9.57,-2.41,11.0,9.79,167.77,11.26,167.62,10.76,10.64
-2.78,8.82,-3.36,10.35,9.24,162.49,10.88,162.02,10.32,10.19
-3.83,7.75,-4.64,9.29,8.65,153.72,10.38,153.43,9.79,9.65
-4.19,6.39,-5.18,7.68,7.64,146.7,9.27,146.01,8.71,8.58
-3.78,5.56,-4.81,6.65,6.73,145.77,8.21,144.15,7.7,7.58
-3.91,5.12,-5.0,6.15,6.45,142.66,7.92,140.9,7.42,7.3
-3.81,4.26,-5.0,5.11,5.71,138.16,7.15,135.64,6.66,6.55
-4.34,4.01,-5.63,4.76,5.91,132.72,7.37,130.24,6.87,6.76
-5.32,3.61,-6.82,4.26,6.43,124.16,8.04,122.01,7.49,7.37
-5.45,3.12,-6.98,3.6,6.28,119.8,7.85,117.31,7.32,7.19
-5.35,2.27,-6.5,2.47,5.81,113.0,6.95,110.84,6.56,6.47
-5.55,1.31,-6.17,1.28,5.7,103.3,6.3,101.72,6.1,6.05
-4.38,1.34,-4.79,1.31,4.58,107.01,4.96,105.29,4.83,4.8
-3.26,1.71,-3.54,1.75,3.68,117.73,3.95,116.33,3.86,3.84
-2.27,2.99,-2.51,3.13,3.76,142.82,4.01,141.3,3.92,3.9
-2.48,4.3,-2.72,4.5,4.96,149.97,5.26,148.83,5.16,5.14
-2.42,4.67,-2.63,4.91,5.26,152.6,5.57,151.85,5.47,5.44
-2.7,5.26,-2.94,5.57,5.91,152.84,6.3,152.16,6.17,6.14
-3.73,5.01,-4.07,5.29,6.24,143.37,6.67,142.41,6.53,6.49
-4.63,4.79,-5.04,5.1,6.66,135.97,7.17,135.34,7.0,6.96
-5.28,3.66,-5.76,3.94,6.43,124.75,6.98,124.38,6.79,6.75
-6.36,3.61,-6.98,3.88,7.32,119.56,7.99,119.08,7.76,7.7
-1.19,7.56,-1.8,8.52,7.65,171.05,8.71,168.08,8.35,8.27
-1.14,6.99,-1.54,8.12,7.08,170.77,8.26,169.24,7.86,7.77
-2.5,6.01,-3.14,7.44,6.51,157.45,8.08,157.11,7.54,7.42
-3.4,4.98,-4.05,6.6,6.03,145.67,7.74,148.51,7.16,7.02
-4.01,4.48,-4.96,6.04,6.01,138.21,7.82,140.62,7.2,7.06
-4.3,3.26,-5.53,4.21,5.4,127.12,6.95,127.29,6.42,6.3
-4.39,2.55,-5.69,3.17,5.08,120.13,6.51,119.12,6.02,5.91
-4.64,2.63,-6.0,2.97,5.33,119.55,6.7,116.37,6.23,6.12
-4.7,2.86,-6.13,3.48,5.5,121.36,7.05,119.59,6.52,6.4
-5.01,2.92,-6.47,3.74,5.8,120.21,7.47,120.0,6.9,6.77
-5.13,2.37,-6.73,2.95,5.65,114.81,7.34,113.68,6.77,6.63
-4.63,2.04,-6.26,2.35,5.06,113.78,6.69,110.57,6.13,6.0
-4.11,2.84,-5.63,3.35,4.99,124.61,6.56,120.75,6.02,5.9
-4.12,2.14,-4.7,2.25,4.65,117.49,5.21,115.58,5.02,4.97
-4.63,1.28,-4.97,1.31,4.8,105.43,5.14,104.78,5.03,5.0
-3.85,1.09,-4.16,1.12,4.0,105.8,4.31,105.13,4.21,4.18
-2.3,1.78,-2.57,1.81,2.9,127.74,3.14,125.21,3.06,3.04
-0.87,2.21,-1.0,2.22,2.38,158.62,2.43,155.66,2.41,2.41
1.04,2.43,0.93,2.47,2.64,203.08,2.64,200.74,2.64,2.64
1.35,2.65,1.25,2.69,2.98,206.94,2.96,204.89,2.97,2.97
0.97,3.18,0.84,3.32,3.33,197.01,3.42,194.2,3.39,3.38
-0.05,4.21,-0.22,4.38,4.21,179.26,4.38,177.08,4.32,4.31
-1.46,7.25,-1.66,7.69,7.39,168.63,7.87,167.82,7.71,7.67
-1.48,9.28,-1.69,10.04,9.4,170.92,10.18,170.45,9.92,9.86
0.47,7.53,0.4,8.52,7.54,183.59,8.53,182.72,8.19,8.11
0.66,6.02,0.46,7.28,6.05,186.26,7.29,183.62,6.87,6.77
-0.79,5.73,-1.2,7.26,5.78,172.16,7.35,170.63,6.82,6.69
-1.91,4.71,-2.45,6.1,5.08,157.95,6.57,158.11,6.06,5.94
-2.58,4.14,-3.39,5.47,4.88,148.12,6.44,148.18,5.91,5.78
-2.82,3.97,-3.81,4.99,4.87,144.63,6.28,142.69,5.8,5.69
-3.12,4.01,-4.21,4.89,5.08,142.06,6.46,139.28,5.99,5.88
-2.6,4.8,-3.56,6.0,5.46,151.53,6.97,149.33,6.46,6.34
-2.78,4.21,-3.87,5.37,5.05,146.55,6.62,144.22,6.09,5.96
-2.69,3.66,-3.81,4.58,4.54,143.63,5.96,140.24,5.48,5.37
-1.85,3.69,-2.84,4.52,4.13,153.34,5.33,147.85,4.93,4.83
-1.7,3.85,-2.65,4.51,4.21,156.17,5.23,149.55,4.89,4.8
-1.91,4.35,-2.61,5.54,4.75,156.36,6.12,154.72,5.66,5.55
-2.17,3.67,-2.51,4.17,4.27,149.4,4.87,148.98,4.66,4.62
-2.3,3.68,-2.47,3.72,4.34,147.94,4.46,146.36,4.42,4.41
-1.87,2.53,-2.0,2.46,3.14,143.55,3.18,140.89,3.16,3.16
0.0,1.96,-0.07,1.93,1.96,180.0,1.94,178.06,1.95,1.95
0.88,2.03,0.88,2.06,2.21,203.35,2.24,202.99,2.23,2.23
2.65,1.31,2.65,1.31,2.96,243.67,2.96,243.69,2.96,2.96
2.9,1.31,2.94,1.31,3.19,245.67,3.22,245.92,3.21,3.2
3.12,0.81,3.12,0.81,3.23,255.43,3.23,255.43,3.23,3.23
