u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
-2.52,1.73,-2.66,1.91,3.05,124.52,3.27,125.67,3.15,3.13
-1.05,2.37,-1.12,2.5,2.59,156.0,2.74,155.78,2.65,2.64
-2.95,2.93,-3.09,3.03,4.16,134.74,4.33,134.42,4.23,4.22
-3.54,0.87,-3.75,0.87,3.65,103.87,3.85,103.13,3.74,3.72
-3.24,-1.12,-3.31,-1.25,3.43,71.0,3.54,69.31,3.48,3.47
-3.43,-0.93,-3.5,-1.06,3.55,74.85,3.66,73.1,3.6,3.59
-4.2,-0.8,-4.34,-0.94,4.28,79.19,4.44,77.81,4.35,4.34
-6.0,1.37,-6.31,1.31,6.15,102.91,6.45,101.73,6.28,6.25
-7.18,4.73,-7.56,4.75,8.6,123.4,8.93,122.12,8.74,8.71
-6.38,5.81,-7.07,6.09,8.63,132.32,9.33,130.77,8.93,8.87
-6.61,4.25,-7.76,4.63,7.86,122.72,9.03,120.81,8.36,8.26
-5.5,3.88,-6.89,4.06,6.74,125.2,8.0,120.54,7.27,7.16
-5.57,3.17,-6.89,3.25,6.4,119.65,7.61,115.26,6.92,6.82
-6.03,3.01,-7.39,3.03,6.74,116.51,7.98,112.3,7.26,7.16
-6.83,1.35,-8.39,0.99,6.97,101.16,8.45,96.76,7.59,7.47
-6.46,0.58,-7.98,0.09,6.48,95.14,7.98,90.63,7.12,6.99
-5.66,0.23,-6.95,-0.6,5.66,92.28,6.97,85.04,6.21,6.11
-5.25,-1.46,-6.32,-2.83,5.45,74.47,6.92,65.9,6.07,5.95
-5.12,-2.32,-5.75,-4.24,5.62,65.59,7.14,53.63,6.27,6.14
-3.61,-4.43,-4.06,-6.58,5.72,39.2,7.74,31.7,6.57,6.4
-3.29,-7.28,-3.94,-9.64,7.99,24.34,10.42,22.23,9.01,8.81
-3.99,-8.18,-4.5,-10.24,9.1,25.99,11.18,23.75,9.98,9.81
-3.76,-9.75,-4.03,-11.14,10.45,21.07,11.84,19.91,11.04,10.93
-2.95,-10.75,-3.13,-11.91,11.15,15.36,12.32,14.7,11.64,11.55
-1.99,-12.08,-2.0,-13.26,12.25,9.35,13.41,8.58,12.74,12.64
-0.13,-12.65,0.03,-13.88,12.65,0.61,13.88,359.86,13.17,13.07
4.27,-12.22,4.85,-13.32,12.94,340.76,14.17,340.0,13.46,13.36
9.59,-8.96,10.38,-9.79,13.12,313.07,14.26,313.32,13.6,13.51
9.81,-7.75,10.57,-8.54,12.5,308.3,13.58,308.93,12.96,12.87
10.12,-7.56,10.88,-8.35,12.63,306.75,13.71,307.5,13.09,13.0
10.83,-6.82,11.72,-7.5,12.79,302.2,13.92,302.62,13.27,13.18
10.84,-3.17,11.66,-4.01,11.29,286.29,12.33,288.97,11.73,11.64
8.34,-1.38,9.35,-1.82,8.45,279.42,9.53,280.99,8.9,8.82
5.72,-1.17,7.26,-1.41,5.84,281.55,7.4,280.97,6.5,6.37
3.7,-2.65,5.61,-2.53,4.55,305.64,6.15,294.26,5.23,5.1
5.56,-0.99,7.33,-0.49,5.65,280.11,7.34,273.86,6.37,6.23
3.1,2.24,3.94,3.01,3.83,234.2,4.96,232.68,4.31,4.21
2.34,3.37,2.91,4.45,4.1,214.73,5.31,213.21,4.61,4.51
-2.91,1.46,-2.68,2.64,3.26,116.64,3.76,134.47,3.47,3.43
-3.65,0.28,-4.22,0.91,3.66,94.45,4.32,102.21,3.94,3.88
-0.86,2.19,-1.95,1.78,2.35,158.51,2.64,132.43,2.47,2.45
-0.67,2.82,-1.35,2.59,2.9,166.71,2.92,152.51,2.91,2.91
-2.48,0.68,-2.22,0.53,2.57,105.27,2.28,103.39,2.45,2.47
-4.51,-1.33,-3.58,-1.0,4.7,73.54,3.72,74.39,4.29,4.37
-5.09,-2.99,-4.21,-2.34,5.91,59.55,4.81,60.96,5.44,5.53
-4.74,-1.99,-5.53,-2.06,5.14,67.25,5.9,69.58,5.46,5.4
-2.81,-2.15,-2.88,-2.22,3.54,52.59,3.63,52.35,3.58,3.57
