u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
-7.52,0.06,-8.06,0.06,7.52,90.48,8.06,90.44,7.88,7.84
-6.74,-0.4,-7.22,-0.47,6.75,86.56,7.24,86.24,7.08,7.04
-5.8,-0.22,-6.17,-0.25,5.81,87.85,6.18,87.68,6.06,6.03
-4.68,0.72,-4.96,0.75,4.74,98.71,5.02,98.6,4.93,4.9
-4.52,0.62,-4.8,0.62,4.57,97.86,4.84,97.42,4.75,4.73
-4.24,0.37,-4.45,0.37,4.26,95.05,4.46,94.82,4.4,4.38
-4.06,0.69,-4.3,0.69,4.12,99.62,4.35,99.09,4.28,4.26
-3.99,0.94,-4.2,0.94,4.1,103.21,4.3,102.59,4.24,4.22
-4.12,0.97,-4.36,1.04,4.23,103.22,4.48,103.37,4.4,4.38
-4.65,0.56,-4.92,0.56,4.68,96.9,4.95,96.52,4.87,4.85
-5.08,0.59,-5.46,0.62,5.12,96.65,5.49,96.53,5.37,5.34
-4.89,0.31,-5.78,0.28,4.9,93.66,5.78,92.73,5.5,5.43
-5.16,0.35,-6.39,0.17,5.17,93.83,6.39,91.49,6.0,5.9
-6.31,0.1,-8.07,-0.36,6.31,90.91,8.07,87.48,7.51,7.37
-7.3,-0.96,-9.45,-1.63,7.37,82.51,9.59,80.23,8.87,8.7
-7.31,-1.3,-9.2,-2.14,7.42,79.91,9.45,76.92,8.79,8.64
-7.22,0.04,-8.98,-0.49,7.22,90.3,8.99,86.87,8.42,8.28
-7.87,0.22,-9.91,0.0,7.87,91.6,9.91,90.03,9.25,9.1
-8.75,-0.84,-10.65,-1.26,8.79,84.53,10.72,83.27,10.1,9.95
-9.4,-1.68,-11.26,-2.17,9.55,79.87,11.47,79.11,10.85,10.7
-9.0,-2.24,-10.9,-2.9,9.27,76.02,11.28,75.09,10.63,10.48
-7.9,-1.93,-9.7,-2.59,8.14,76.3,10.04,75.05,9.43,9.28
-7.78,-2.43,-9.48,-3.05,8.15,72.68,9.96,72.14,9.38,9.23
-8.57,-4.24,-9.32,-4.72,9.57,63.69,10.45,63.14,10.16,10.09
-7.48,-4.86,-8.06,-5.27,8.93,56.98,9.63,56.81,9.4,9.35
-6.52,-4.83,-6.96,-5.17,8.12,53.44,8.67,53.38,8.49,8.45
-6.15,-4.06,-6.59,-4.26,7.37,56.57,7.85,57.13,7.69,7.66
-6.21,-1.28,-6.58,-1.31,6.34,78.35,6.71,78.73,6.59,6.56
-6.3,-1.56,-6.65,-1.7,6.49,76.1,6.86,75.67,6.74,6.71
-5.8,-2.21,-6.15,-2.35,6.21,69.11,6.58,69.08,6.46,6.43
-5.24,-2.18,-5.55,-2.31,5.68,67.4,6.01,67.37,5.9,5.88
-4.52,-1.93,-4.76,-2.07,4.92,66.85,5.19,66.47,5.11,5.08
