u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
-4.74,6.15,-5.18,6.52,7.76,142.37,8.33,141.52,8.15,8.1
-3.84,5.02,-4.11,5.26,6.32,142.63,6.68,142.0,6.56,6.53
-2.31,4.49,-2.51,4.7,5.05,152.83,5.33,151.88,5.24,5.22
-0.72,4.24,-0.75,4.45,4.31,170.41,4.51,170.43,4.44,4.43
0.53,4.03,0.56,4.16,4.06,187.5,4.2,187.7,4.16,4.14
1.75,3.9,1.89,4.04,4.28,204.12,4.46,205.04,4.4,4.38
2.96,3.78,3.14,3.91,4.8,218.13,5.01,218.72,4.95,4.93
4.06,3.65,4.26,3.79,5.46,228.01,5.7,228.37,5.62,5.6
4.49,4.56,4.77,4.76,6.4,224.6,6.74,225.06,6.63,6.6
3.49,4.93,3.7,5.17,6.05,215.32,6.36,215.57,6.26,6.23
3.15,4.4,3.42,4.64,5.41,215.6,5.76,216.44,5.65,5.62
1.68,3.8,1.89,4.25,4.16,203.87,4.65,203.95,4.49,4.45
0.53,3.7,0.64,4.38,3.74,188.15,4.43,188.26,4.21,4.15
-0.21,3.51,-0.52,4.19,3.52,176.54,4.23,172.91,4.0,3.94
2.35,1.55,2.02,2.03,2.81,236.5,2.87,224.83,2.85,2.84
4.74,2.17,4.96,2.7,5.21,245.4,5.65,241.47,5.51,5.47
3.89,4.32,4.81,5.67,5.81,221.98,7.44,220.34,6.91,6.79
4.23,4.48,4.95,5.59,6.16,223.39,7.47,221.57,7.05,6.95
4.01,3.76,4.77,4.7,5.5,226.84,6.69,225.41,6.31,6.22
4.23,2.92,5.03,3.82,5.15,235.39,6.32,232.74,5.94,5.85
3.86,2.23,4.64,3.17,4.46,239.91,5.62,235.64,5.25,5.16
3.48,1.61,4.09,2.55,3.84,245.21,4.82,238.1,4.51,4.43
3.41,1.61,4.26,2.62,3.78,244.76,5.0,238.36,4.61,4.51
3.31,1.93,3.37,2.07,3.83,239.69,3.96,238.44,3.92,3.91
3.18,1.19,3.25,1.19,3.4,249.55,3.46,249.93,3.44,3.44
4.09,0.65,4.26,0.69,4.14,260.9,4.32,260.83,4.26,4.25
4.87,0.0,5.07,0.0,4.87,270.0,5.07,270.0,5.01,4.99
5.43,-0.4,5.71,-0.44,5.45,274.26,5.73,274.38,5.64,5.61
6.46,-0.44,6.8,-0.47,6.47,273.87,6.81,273.99,6.7,6.68
7.43,0.5,7.87,0.56,7.44,266.17,7.89,265.91,7.75,7.71
7.71,2.65,8.18,2.82,8.15,251.01,8.66,250.97,8.49,8.45
6.77,4.31,7.18,4.58,8.03,237.54,8.52,237.46,8.36,8.32
5.99,5.3,6.33,5.65,8.0,228.48,8.49,228.28,8.33,8.29
5.08,5.24,5.42,5.61,7.3,224.14,7.8,224.03,7.64,7.6
4.43,5.46,4.77,5.9,7.03,219.07,7.59,218.98,7.41,7.36
3.36,5.05,3.84,5.8,6.07,213.69,6.96,213.52,6.67,6.6
2.8,4.66,3.45,5.93,5.44,210.99,6.87,210.2,6.41,6.3
3.08,5.28,3.77,6.81,6.12,210.23,7.78,208.97,7.24,7.11
3.92,6.28,4.58,7.73,7.41,211.99,8.99,210.64,8.48,8.36
3.05,7.03,3.4,8.52,7.67,203.47,9.17,201.74,8.69,8.57
1.38,8.44,1.3,9.92,8.55,189.25,10.0,187.48,9.54,9.42
-4.11,8.38,-4.94,9.57,9.33,153.88,10.77,152.71,10.31,10.2
-4.39,6.91,-5.25,8.05,8.19,147.59,9.61,146.88,9.15,9.04
-4.01,5.98,-4.84,7.01,7.2,146.12,8.52,145.39,8.1,7.99
-4.08,4.7,-4.84,5.56,6.23,139.05,7.37,138.98,7.0,6.91
-4.67,3.24,-5.77,4.0,5.68,124.75,7.02,124.73,6.59,6.49
-4.23,2.61,-5.27,3.2,4.97,121.71,6.17,121.29,5.79,5.69
-4.86,3.52,-5.27,3.8,6.01,125.93,6.5,125.77,6.34,6.3
-3.93,3.77,-4.17,4.01,5.45,133.83,5.79,133.87,5.68,5.65
-3.31,3.37,-3.51,3.57,4.72,135.54,5.01,135.51,4.92,4.89
-2.56,3.25,-2.66,3.39,4.14,141.75,4.31,141.83,4.25,4.24
-1.13,3.06,-1.16,3.16,3.26,159.81,3.37,159.83,3.33,3.33
-0.5,3.03,-0.5,3.1,3.07,170.63,3.14,170.83,3.12,3.11
-0.13,3.43,-0.13,3.5,3.44,177.92,3.5,177.95,3.48,3.48
0.0,3.81,0.04,3.87,3.81,180.0,3.88,180.54,3.85,3.85
0.0,3.93,0.0,4.04,3.93,180.0,4.04,180.0,4.0,4.0
0.06,4.0,0.1,4.1,4.0,180.9,4.1,181.39,4.07,4.06
-0.34,4.06,-0.37,4.2,4.07,175.18,4.21,174.9,4.17,4.16
-0.5,4.31,-0.5,4.51,4.34,173.38,4.54,173.68,4.47,4.46
-0.84,5.07,-1.08,5.93,5.14,170.6,6.03,169.64,5.74,5.67
-1.36,5.81,-1.99,7.22,5.97,166.79,7.49,164.59,7.0,6.88
-1.83,5.87,-2.66,7.49,6.15,162.7,7.95,160.43,7.37,7.23
-2.98,5.59,-4.1,7.22,6.34,151.94,8.3,150.42,7.67,7.51
-4.1,4.01,-5.65,5.11,5.73,134.38,7.62,132.11,7.01,6.87
-5.03,4.17,-6.94,4.88,6.53,129.66,8.48,125.13,7.85,7.7
-7.12,3.05,-8.82,3.36,7.75,113.21,9.43,110.86,8.89,8.76
-6.69,1.71,-8.38,1.81,6.9,104.38,8.57,102.21,8.03,7.9
-6.75,0.35,-8.72,0.17,6.76,92.93,8.72,91.09,8.09,7.94
-6.59,-0.28,-8.25,-0.59,6.6,87.59,8.27,85.88,7.74,7.6
-6.18,-0.24,-8.12,-0.63,6.19,87.73,8.15,85.56,7.52,7.36
-6.16,-1.52,-8.0,-2.19,6.34,76.11,8.29,74.69,7.67,7.51
-5.74,-2.74,-6.08,-3.08,6.36,64.47,6.82,63.12,6.67,6.64
-3.74,-2.81,-3.91,-3.01,4.68,53.14,4.94,52.42,4.85,4.83
-1.5,-1.93,-1.5,-2.07,2.45,37.78,2.56,35.89,2.52,2.51
0.56,-0.09,0.56,-0.13,0.57,279.34,0.58,282.53,0.57,0.57
1.0,2.37,1.06,2.41,2.58,202.78,2.64,203.78,2.62,2.61
1.47,3.15,1.54,3.22,3.48,204.94,3.57,205.48,3.54,3.53
1.97,3.43,2.04,3.57,3.96,209.8,4.11,209.68,4.06,4.05
2.75,3.9,2.89,4.04,4.77,215.15,4.96,215.56,4.9,4.89
3.4,4.4,3.57,4.57,5.56,217.7,5.8,218.0,5.73,5.71
3.49,4.84,3.7,5.07,5.97,215.85,6.28,216.09,6.18,6.15
3.06,5.12,3.26,5.39,5.96,210.86,6.3,211.19,6.19,6.16
2.93,5.65,3.14,5.98,6.36,207.44,6.76,207.65,6.63,6.6
2.05,5.79,2.4,6.82,6.15,199.53,7.23,199.35,6.88,6.8
1.24,6.53,1.45,8.19,6.65,190.79,8.32,190.03,7.78,7.65
0.31,7.06,0.24,8.96,7.07,182.53,8.97,181.53,8.35,8.21
-0.84,7.18,-1.22,9.19,7.23,173.35,9.27,172.44,8.61,8.45
-4.19,7.62,-5.62,9.21,8.7,151.18,10.78,148.61,10.11,9.95
-6.32,6.6,-7.6,7.74,9.14,136.25,10.84,135.52,10.29,10.16
-6.6,5.73,-7.95,6.69,8.74,130.96,10.39,130.09,9.86,9.73
-6.75,4.95,-8.13,5.81,8.38,126.25,10.0,125.56,9.48,9.35
-6.91,4.17,-8.29,4.97,8.07,121.12,9.67,120.9,9.15,9.03
-7.04,4.02,-8.42,4.74,8.1,119.72,9.66,119.38,9.16,9.04
-6.56,2.71,-8.12,3.16,7.1,112.43,8.71,111.25,8.19,8.07
-7.63,3.02,-8.84,3.4,8.21,111.6,9.47,111.03,9.06,8.96
-8.17,3.09,-8.92,3.32,8.73,110.7,9.52,110.44,9.26,9.2
-7.45,2.9,-8.07,3.04,8.0,111.27,8.62,110.62,8.42,8.37
-6.99,1.65,-7.46,1.69,7.18,103.33,7.65,102.75,7.5,7.46
-6.55,1.4,-6.96,1.44,6.7,102.1,7.11,101.67,6.98,6.94
-4.81,1.5,-5.08,1.5,5.04,107.33,5.3,106.44,5.22,5.19
-4.71,0.94,-4.98,0.9,4.8,101.25,5.07,100.24,4.98,4.96
-4.37,0.22,-4.61,0.15,4.38,92.88,4.61,91.87,4.54,4.52
-3.74,-0.34,-3.95,-0.45,3.76,84.77,3.97,83.52,3.9,3.89
-3.4,-0.53,-3.54,-0.64,3.44,81.15,3.59,79.81,3.55,3.53
-3.25,-0.59,-3.39,-0.7,3.3,79.66,3.46,78.35,3.41,3.39
-3.59,-0.47,-3.76,-0.57,3.62,82.58,3.8,81.33,3.74,3.73
-4.18,-0.37,-4.39,-0.51,4.2,84.91,4.42,83.36,4.35,4.33
-4.79,0.72,-5.62,0.65,4.85,98.54,5.65,96.61,5.39,5.33
-5.87,1.68,-7.42,1.64,6.11,106.0,7.6,102.47,7.12,7.0
-6.59,1.96,-8.6,2.05,6.88,106.58,8.84,103.42,8.21,8.05
-7.9,0.94,-9.73,0.86,7.96,96.77,9.77,95.08,9.18,9.04
-8.03,-0.37,-9.75,-0.72,8.04,87.36,9.78,85.78,9.22,9.08
