u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
5.3,-1.98,5.77,-2.23,5.66,290.44,6.19,291.12,6.12,6.1
6.02,-1.88,6.56,-2.08,6.31,287.37,6.88,287.61,6.81,6.79
6.62,-1.35,7.23,-1.52,6.76,281.53,7.39,281.88,7.31,7.28
7.72,0.66,8.35,0.69,7.74,265.12,8.38,265.3,8.3,8.27
7.82,0.56,8.58,0.56,7.84,265.88,8.6,266.25,8.5,8.47
7.84,0.78,8.62,0.77,7.88,264.3,8.66,264.89,8.56,8.53
7.76,1.1,8.67,1.12,7.84,261.96,8.74,262.6,8.62,8.59
4.43,1.07,5.17,1.08,4.56,256.46,5.28,258.16,5.19,5.16
1.78,-0.5,2.73,-0.69,1.85,285.81,2.81,284.14,2.69,2.65
1.17,-4.73,1.79,-5.79,4.87,346.08,6.06,342.81,5.91,5.86
0.7,-5.49,1.33,-6.87,5.53,352.72,7.0,349.03,6.81,6.75
2.72,-6.56,3.73,-8.21,7.1,337.5,9.01,335.57,8.77,8.69
4.35,-6.43,5.56,-8.0,7.76,325.93,9.74,325.19,9.49,9.41
6.2,-5.73,7.69,-7.1,8.45,312.74,10.47,312.74,10.21,10.12
7.46,-6.49,9.08,-7.96,9.89,311.02,12.07,311.22,11.79,11.7
9.6,-4.13,11.48,-5.19,10.45,293.27,12.59,294.32,12.32,12.23
9.06,-2.59,10.96,-3.29,9.43,285.92,11.44,286.72,11.18,11.1
8.84,-1.04,10.71,-1.17,8.9,276.7,10.77,276.22,10.53,10.45
5.99,-2.36,7.62,-2.73,6.44,291.51,8.1,289.7,7.88,7.81
6.56,-3.03,8.37,-3.83,7.22,294.79,9.21,294.59,8.95,8.87
8.66,-3.66,10.69,-4.48,9.4,292.9,11.59,292.74,11.31,11.21
7.37,-4.09,9.1,-5.08,8.43,299.06,10.43,299.18,10.17,10.09
9.45,-2.29,10.6,-2.52,9.73,283.63,10.9,283.37,10.75,10.7
11.71,-1.88,13.06,-2.08,11.86,279.14,13.23,279.06,13.05,13.0
11.49,-1.23,12.81,-1.35,11.56,276.09,12.88,276.03,12.71,12.66
11.93,-0.72,13.29,-0.79,11.95,273.46,13.31,273.41,13.14,13.08
11.53,0.09,13.02,0.06,11.53,269.55,13.02,269.73,12.83,12.77
13.69,0.28,15.39,0.35,13.7,268.81,15.4,268.68,15.18,15.11
13.13,1.07,14.73,1.31,13.17,265.33,14.79,264.91,14.58,14.51
11.94,0.82,13.69,1.06,11.97,266.06,13.73,265.56,13.5,13.43
10.15,-0.43,11.54,-0.29,10.16,272.44,11.54,271.45,11.37,11.31
9.56,1.45,11.23,1.92,9.67,261.37,11.39,260.32,11.17,11.1
9.09,1.7,10.6,2.08,9.25,259.4,10.81,258.89,10.61,10.54
7.77,-0.53,9.14,-0.46,7.79,273.89,9.16,272.87,8.98,8.92
5.76,-1.79,7.1,-1.83,6.03,287.24,7.34,284.47,7.17,7.11
5.73,-1.66,7.1,-1.71,5.97,286.18,7.31,283.52,7.13,7.08
6.93,-1.82,8.39,-2.02,7.16,284.74,8.63,283.53,8.45,8.38
6.73,-2.61,8.02,-2.98,7.22,291.19,8.56,290.38,8.38,8.33
3.97,-3.02,5.04,-3.6,4.99,307.29,6.2,305.56,6.04,5.99
