u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
-1.69,-3.6,-1.83,-3.91,3.98,25.15,4.32,25.08,4.36,4.38
-1.66,-2.66,-1.79,-2.79,3.13,31.96,3.31,32.68,3.34,3.35
-2.1,-2.13,-2.23,-2.19,2.99,44.59,3.12,45.52,3.14,3.15
-2.75,-1.25,-2.95,-1.25,3.02,65.59,3.21,67.07,3.23,3.25
-3.44,-0.88,-3.64,-0.84,3.55,75.74,3.74,77.09,3.76,3.77
-4.07,-0.97,-4.41,-0.92,4.18,76.59,4.5,78.21,4.55,4.57
-4.44,-1.12,-4.78,-1.12,4.58,75.79,4.92,76.77,4.96,4.98
-4.63,-1.41,-5.11,-1.44,4.84,73.11,5.31,74.3,5.38,5.41
-4.86,-2.13,-5.47,-2.33,5.3,66.32,5.94,66.92,6.03,6.07
-5.11,-2.51,-6.14,-3.13,5.7,63.84,6.9,62.99,7.06,7.14
-5.05,-5.15,-6.08,-6.17,7.21,44.47,8.66,44.6,8.86,8.95
-4.99,-4.96,-5.96,-5.92,7.03,45.17,8.4,45.19,8.58,8.67
-4.45,-5.08,-5.27,-6.18,6.76,41.22,8.13,40.46,8.32,8.4
-3.98,-4.33,-4.73,-5.51,5.89,42.59,7.27,40.65,7.46,7.54
-3.61,-3.36,-4.46,-4.45,4.93,47.05,6.3,45.07,6.49,6.58
-3.33,-2.95,-4.19,-3.93,4.45,48.42,5.75,46.8,5.93,6.01
-2.51,-2.42,-3.31,-3.51,3.49,46.05,4.83,43.33,5.01,5.1
-2.48,-2.55,-3.07,-3.54,3.55,44.24,4.68,40.96,4.84,4.91
-2.48,-3.14,-2.99,-4.08,4.0,38.28,5.06,36.22,5.2,5.27
-2.26,-3.17,-2.74,-4.14,3.9,35.45,4.97,33.47,5.12,5.18
-2.7,-3.3,-3.1,-4.09,4.26,39.29,5.13,37.16,5.25,5.3
-2.98,-2.63,-3.41,-3.07,3.98,48.52,4.59,47.96,4.68,4.71
-3.32,-3.07,-3.62,-3.37,4.52,47.24,4.95,47.05,5.0,5.03
-3.13,-3.1,-3.39,-3.33,4.41,45.3,4.75,45.53,4.8,4.82
-3.1,-2.63,-3.33,-2.83,4.06,49.69,4.37,49.64,4.41,4.43
-3.38,-1.75,-3.58,-1.85,3.81,62.59,4.03,62.64,4.06,4.08
-4.07,-0.78,-4.37,-0.77,4.14,79.12,4.44,79.97,4.48,4.5
-4.44,-0.69,-4.74,-0.65,4.5,81.21,4.79,82.23,4.83,4.85
-5.13,-0.19,-5.53,-0.19,5.14,87.91,5.54,88.06,5.59,5.62
-5.7,-0.12,-6.18,-0.12,5.7,88.74,6.18,88.84,6.24,6.27
-6.11,-0.31,-6.64,-0.31,6.11,87.07,6.64,87.3,6.72,6.75
-6.45,-0.34,-7.05,-0.34,6.46,86.94,7.06,87.28,7.14,7.18
-6.89,-0.47,-7.77,-0.5,6.91,86.1,7.79,86.32,7.91,7.97
-6.18,-2.13,-7.21,-2.47,6.53,70.96,7.62,71.07,7.77,7.84
-5.83,-3.26,-6.97,-3.84,6.68,60.79,7.96,61.15,8.14,8.22
-5.8,-4.14,-6.83,-4.82,7.13,54.49,8.36,54.8,8.53,8.61
-5.36,-4.48,-6.29,-5.19,6.99,50.09,8.16,50.46,8.32,8.39
-4.99,-4.55,-5.98,-5.38,6.75,47.65,8.04,48.04,8.22,8.3
-4.68,-3.99,-5.75,-4.92,6.14,49.55,7.56,49.45,7.76,7.85
-4.68,-3.33,-5.89,-4.23,5.74,54.57,7.25,54.32,7.46,7.55
-4.8,-3.24,-6.04,-4.17,5.79,56.04,7.33,55.38,7.55,7.64
-4.74,-3.14,-5.95,-4.12,5.69,56.47,7.24,55.3,7.45,7.55
-4.58,-3.27,-5.72,-4.31,5.63,54.51,7.16,53.03,7.38,7.47
-4.46,-2.89,-5.6,-3.87,5.31,57.04,6.81,55.34,7.01,7.11
-4.33,-3.01,-5.27,-3.89,5.27,55.15,6.55,53.53,6.73,6.81
-4.23,-3.39,-4.76,-3.97,5.42,51.33,6.2,50.2,6.31,6.35
-4.23,-3.41,-4.68,-3.78,5.43,51.07,6.02,51.02,6.1,6.13
-4.16,-3.1,-4.53,-3.37,5.19,53.34,5.65,53.38,5.71,5.74
-4.04,-2.69,-4.37,-2.89,4.85,56.32,5.24,56.5,5.29,5.32
-4.35,-2.0,-4.72,-2.14,4.79,65.29,5.19,65.6,5.24,5.26
-4.82,-1.53,-5.2,-1.66,5.06,72.34,5.46,72.24,5.51,5.54
-4.63,-1.6,-4.99,-1.73,4.9,70.98,5.29,70.92,5.34,5.36
-4.82,-1.56,-5.22,-1.66,5.07,72.02,5.48,72.32,5.54,5.56
-5.32,-1.38,-5.72,-1.44,5.5,75.49,5.9,75.9,5.96,5.98
-5.82,-1.31,-6.36,-1.38,5.97,77.28,6.51,77.81,6.59,6.62
-6.14,-1.53,-6.74,-1.62,6.33,75.96,6.93,76.44,7.02,7.05
-6.08,-2.0,-6.78,-2.2,6.4,71.75,7.13,71.98,7.23,7.27
-5.55,-3.54,-6.54,-4.19,6.59,57.44,7.77,57.33,7.93,8.01
-5.74,-4.55,-6.77,-5.4,7.32,51.6,8.66,51.42,8.84,8.93
-5.55,-4.23,-6.72,-5.02,6.98,52.68,8.39,53.23,8.59,8.68
-5.3,-3.55,-6.47,-4.38,6.38,56.23,7.81,55.94,8.01,8.1
-4.52,-3.08,-5.72,-4.02,5.47,55.76,6.99,54.92,7.2,7.3
-4.58,-3.24,-5.83,-4.21,5.61,54.79,7.19,54.17,7.4,7.5
-4.46,-3.14,-5.74,-4.18,5.46,54.83,7.1,53.92,7.33,7.43
-4.4,-3.14,-5.72,-4.3,5.41,54.45,7.16,53.04,7.4,7.51
-4.4,-2.8,-5.8,-3.97,5.21,57.53,7.03,55.61,7.28,7.39
-4.56,-2.61,-6.09,-3.78,5.25,60.19,7.17,58.16,7.43,7.55
-4.52,-2.61,-6.07,-3.74,5.22,60.02,7.13,58.33,7.39,7.51
-4.08,-2.45,-5.45,-3.59,4.76,59.01,6.53,56.58,6.77,6.88
-3.98,-2.73,-4.59,-3.28,4.83,55.57,5.64,54.47,5.76,5.81
-4.2,-3.85,-4.64,-4.22,5.7,47.45,6.27,47.68,6.35,6.39
-3.29,-3.76,-3.58,-4.06,4.99,41.2,5.41,41.42,5.47,5.49
-2.88,-3.44,-3.16,-3.7,4.49,39.9,4.87,40.46,4.92,4.95
-2.75,-3.07,-2.95,-3.27,4.12,41.93,4.41,42.12,4.44,4.46
-3.19,-2.35,-3.45,-2.48,3.96,53.69,4.25,54.36,4.29,4.31
-3.47,-2.0,-3.74,-2.1,4.01,60.05,4.29,60.69,4.33,4.35
-4.07,-1.56,-4.37,-1.66,4.36,68.97,4.68,69.14,4.72,4.74
-4.95,-1.25,-5.35,-1.25,5.1,75.82,5.49,76.84,5.54,5.57
-5.54,-1.25,-6.01,-1.31,5.68,77.27,6.15,77.68,6.22,6.25
-5.82,-1.5,-6.36,-1.64,6.01,75.54,6.57,75.53,6.65,6.68
-5.89,-2.72,-6.63,-3.03,6.49,65.18,7.29,65.41,7.4,7.45
-5.21,-4.45,-6.17,-5.31,6.85,49.45,8.14,49.25,8.32,8.4
-5.52,-5.71,-6.66,-6.89,7.94,44.04,9.58,44.04,9.81,9.91
-5.36,-5.3,-6.35,-6.37,7.54,45.34,9.0,44.92,9.2,9.29
-4.68,-4.83,-5.63,-5.97,6.72,44.05,8.21,43.29,8.41,8.5
-4.36,-4.55,-5.25,-5.76,6.3,43.77,7.8,42.34,8.0,8.1
-3.8,-4.05,-4.65,-5.38,5.55,43.14,7.11,40.81,7.33,7.43
-3.23,-3.8,-4.02,-5.13,4.99,40.37,6.52,38.09,6.73,6.83
-2.86,-3.68,-3.57,-5.13,4.66,37.86,6.25,34.84,6.47,6.57
-2.64,-3.4,-3.22,-4.98,4.3,37.79,5.93,32.86,6.15,6.26
-2.58,-3.27,-3.22,-4.86,4.17,38.19,5.82,33.52,6.05,6.16
-2.29,-2.9,-2.94,-4.56,3.7,38.34,5.43,32.85,5.67,5.78
-2.14,-2.62,-2.76,-4.29,3.38,39.22,5.1,32.74,5.33,5.44
-1.75,-2.86,-2.03,-3.83,3.35,31.56,4.33,28.0,4.47,4.53
-1.91,-4.67,-2.08,-5.06,5.04,22.26,5.47,22.35,5.53,5.55
-1.69,-3.98,-1.85,-4.31,4.32,23.05,4.69,23.27,4.74,4.76
-1.6,-3.26,-1.73,-3.52,3.63,26.12,3.92,26.16,3.96,3.98
-2.41,-2.88,-2.66,-3.08,3.75,39.92,4.07,40.81,4.11,4.13
-3.19,-2.82,-3.39,-2.98,4.26,48.57,4.51,48.73,4.55,4.56
-3.13,-3.07,-3.37,-3.27,4.38,45.58,4.69,45.88,4.74,4.76
