u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
4.25,-0.31,4.61,-0.31,4.26,274.21,4.62,273.88,4.6,4.59
4.0,0.62,4.32,0.71,4.04,261.11,4.38,260.63,4.35,4.34
4.56,1.32,4.93,1.42,4.75,253.85,5.13,253.93,5.1,5.09
3.77,1.12,4.07,1.12,3.94,253.4,4.22,254.54,4.2,4.19
2.96,1.82,3.3,1.88,3.48,238.42,3.8,240.4,3.77,3.76
4.34,1.72,4.68,1.84,4.67,248.33,5.02,248.54,5.0,4.99
2.89,0.79,3.18,0.81,3.0,254.8,3.28,255.65,3.26,3.25
2.18,1.07,2.4,1.12,2.42,243.81,2.65,244.89,2.63,2.63
1.11,1.01,1.36,1.11,1.5,227.64,1.76,230.93,1.74,1.73
-1.89,-2.43,-1.91,-2.61,3.08,37.93,3.23,36.27,3.22,3.22
-5.11,-3.75,-6.33,-4.8,6.34,53.7,7.94,52.81,7.82,7.78
-5.38,-5.51,-6.58,-6.75,7.7,44.34,9.42,44.27,9.29,9.25
-4.37,-5.74,-5.41,-7.23,7.21,37.27,9.03,36.78,8.9,8.85
-3.87,-5.18,-4.86,-6.63,6.46,36.77,8.22,36.28,8.09,8.04
-3.55,-4.83,-4.51,-6.21,6.0,36.36,7.67,35.98,7.55,7.5
-3.63,-5.14,-4.72,-6.56,6.29,35.19,8.09,35.72,7.95,7.91
-2.89,-5.62,-3.73,-7.13,6.32,27.25,8.04,27.64,7.92,7.87
-2.35,-6.32,-2.89,-8.03,6.75,20.4,8.53,19.79,8.4,8.35
-1.46,-5.82,-1.76,-7.42,6.0,14.1,7.63,13.32,7.51,7.46
-1.36,-4.21,-1.31,-5.65,4.42,17.84,5.79,13.02,5.69,5.66
-2.52,-2.35,-2.42,-3.69,3.45,47.06,4.41,33.31,4.34,4.32
-1.18,-3.61,-0.73,-4.73,3.8,18.1,4.78,8.78,4.71,4.68
0.61,-5.04,0.91,-5.58,5.08,353.15,5.65,350.76,5.61,5.59
3.09,-6.1,3.53,-6.64,6.84,333.11,7.52,331.99,7.47,7.45
5.25,-3.24,5.72,-3.55,6.17,301.65,6.73,301.83,6.69,6.68
5.91,-0.38,6.45,-0.53,5.93,273.7,6.47,274.65,6.43,6.42
3.87,-3.11,4.28,-3.34,4.97,308.81,5.43,307.94,5.39,5.38
3.5,-2.99,3.95,-3.21,4.6,310.52,5.09,309.12,5.06,5.04
4.32,-2.83,4.74,-3.03,5.16,303.23,5.62,302.56,5.59,5.58
2.43,-0.72,2.84,-0.79,2.54,286.54,2.95,285.6,2.92,2.91
3.1,0.22,3.77,0.25,3.11,265.89,3.78,266.21,3.73,3.71
0.42,0.95,0.72,1.04,1.03,203.82,1.27,214.54,1.25,1.24
-2.9,-0.84,-3.24,-1.35,3.02,73.91,3.51,67.36,3.47,3.46
-6.41,-0.7,-7.49,-1.08,6.45,83.74,7.57,81.83,7.48,7.45
-6.76,-2.91,-7.91,-3.58,7.36,66.67,8.68,65.63,8.58,8.55
-6.82,-3.13,-7.93,-3.77,7.5,65.36,8.78,64.56,8.68,8.65
-6.7,-1.05,-7.71,-1.49,6.78,81.08,7.86,79.04,7.78,7.75
-6.5,-0.36,-7.42,-0.61,6.51,86.87,7.44,85.28,7.38,7.35
-6.08,-0.26,-6.88,-0.53,6.09,87.57,6.9,85.58,6.84,6.82
-5.05,-0.83,-5.9,-1.2,5.11,80.68,6.02,78.5,5.95,5.93
-4.89,-0.58,-5.69,-0.95,4.93,83.26,5.77,80.51,5.71,5.68
-5.21,-0.04,-5.91,-0.24,5.21,89.61,5.92,87.7,5.87,5.85
-5.42,-0.7,-6.32,-1.01,5.47,82.69,6.4,80.89,6.33,6.31
-5.55,-0.95,-6.31,-1.19,5.63,80.25,6.43,79.29,6.37,6.35
-4.98,-1.04,-5.69,-1.39,5.08,78.16,5.86,76.29,5.8,5.78
-4.78,-1.52,-5.0,-1.76,5.02,72.41,5.3,70.64,5.28,5.27
-4.37,-1.83,-4.56,-2.03,4.74,67.3,4.99,66.06,4.97,4.97
-3.52,-1.98,-3.62,-2.15,4.04,60.61,4.21,59.33,4.2,4.2
-2.32,-1.95,-2.29,-2.15,3.03,49.91,3.14,46.77,3.13,3.13
-0.15,-1.29,0.01,-1.42,1.3,6.72,1.42,359.74,1.41,1.41
0.38,-0.6,0.53,-0.71,0.71,327.37,0.89,323.62,0.87,0.87
-1.03,-0.0,-0.87,-0.04,1.03,90.0,0.87,87.11,0.88,0.89
-2.0,-2.17,-2.0,-2.34,2.95,42.69,3.08,40.55,3.07,3.06
-3.43,-2.17,-3.61,-2.34,4.05,57.67,4.3,57.05,4.28,4.27
-2.86,-2.7,-3.03,-2.9,3.93,46.57,4.19,46.21,4.17,4.16
-3.24,-3.52,-3.46,-3.86,4.79,42.59,5.19,41.87,5.16,5.15
-3.52,-4.16,-3.86,-4.7,5.45,40.24,6.08,39.41,6.04,6.02
-4.58,-5.22,-5.29,-6.15,6.94,41.3,8.11,40.69,8.03,7.99
-4.68,-5.54,-5.54,-6.66,7.25,40.21,8.66,39.79,8.56,8.52
-3.98,-5.63,-4.84,-6.91,6.9,35.27,8.44,34.98,8.33,8.29
-3.48,-5.61,-4.29,-7.0,6.6,31.87,8.21,31.52,8.09,8.05
-2.5,-5.84,-3.06,-7.4,6.35,23.22,8.01,22.44,7.89,7.84
-1.34,-6.09,-1.54,-7.8,6.24,12.37,7.95,11.19,7.83,7.78
-0.63,-5.72,-0.42,-7.3,5.75,6.31,7.31,3.33,7.19,7.15
0.26,-5.88,0.75,-7.35,5.88,357.49,7.39,354.17,7.28,7.24
1.18,-5.97,1.81,-7.46,6.09,348.78,7.68,346.33,7.56,7.52
1.73,-5.78,2.48,-7.1,6.03,343.37,7.52,340.72,7.41,7.37
2.07,-5.46,2.99,-6.54,5.84,339.2,7.19,335.46,7.09,7.06
2.3,-5.18,3.48,-6.19,5.67,336.0,7.1,330.67,6.99,6.95
2.82,-3.48,4.05,-4.32,4.48,320.91,5.92,316.88,5.81,5.77
3.72,-2.67,4.16,-2.79,4.58,305.66,5.01,303.91,4.98,4.97
4.25,-1.82,4.66,-1.96,4.62,293.21,5.05,292.85,5.02,5.01
3.84,-1.76,4.18,-1.86,4.22,294.62,4.57,293.97,4.54,4.53
3.84,-0.85,4.13,-0.88,3.93,282.46,4.22,281.96,4.2,4.19
3.43,-0.19,3.69,-0.23,3.43,273.13,3.7,273.58,3.68,3.67
1.76,-1.92,1.9,-2.04,2.6,317.49,2.79,317.09,2.78,2.77
2.7,-2.17,2.94,-2.29,3.47,308.73,3.73,307.92,3.71,3.71
3.11,-2.08,3.38,-2.23,3.74,303.72,4.05,303.42,4.03,4.02
3.96,-0.54,4.3,-0.61,4.0,277.69,4.34,278.03,4.32,4.31
4.38,0.85,4.8,0.79,4.46,259.04,4.86,260.69,4.83,4.82
3.44,0.19,4.04,0.23,3.45,266.88,4.04,266.72,4.0,3.99
0.53,-3.44,1.28,-3.99,3.48,351.23,4.19,342.29,4.14,4.12
-0.31,-3.78,0.06,-4.63,3.79,4.62,4.63,359.3,4.56,4.54
-1.0,-4.79,-0.74,-5.75,4.9,11.79,5.8,7.31,5.73,5.71
-1.33,-5.97,-1.35,-7.19,6.12,12.54,7.32,10.63,7.23,7.2
-0.5,-6.44,-0.24,-7.87,6.46,4.44,7.87,1.72,7.77,7.73
1.5,-7.31,2.54,-9.09,7.46,348.37,9.44,344.39,9.29,9.24
2.89,-8.18,3.8,-10.32,8.67,340.56,10.99,339.77,10.82,10.76
3.81,-8.53,5.04,-10.6,9.34,335.91,11.74,334.58,11.56,11.5
4.38,-8.83,5.6,-10.94,9.86,333.65,12.29,332.89,12.11,12.05
4.95,-8.83,6.31,-10.85,10.12,330.75,12.56,329.81,12.38,12.31
5.83,-8.2,7.34,-10.08,10.06,324.59,12.47,323.93,12.29,12.23
6.49,-8.13,7.94,-9.78,10.4,321.4,12.59,320.92,12.43,12.38
6.73,-9.05,7.95,-10.37,11.28,323.36,13.07,322.52,12.94,12.89
7.99,-10.02,9.13,-11.19,12.82,321.45,14.45,320.79,14.33,14.28
8.93,-9.54,10.11,-10.63,13.07,316.91,14.67,316.43,14.56,14.51
9.11,-8.66,10.19,-9.56,12.57,313.56,13.98,313.17,13.87,13.84
9.58,-7.8,10.65,-8.63,12.36,309.17,13.71,309.0,13.61,13.57
8.29,-8.28,9.19,-9.04,11.71,314.97,12.89,314.53,12.8,12.77
8.1,-8.31,9.0,-9.1,11.61,315.75,12.8,315.32,12.71,12.68
8.33,-4.55,9.49,-5.23,9.49,298.63,10.83,298.84,10.73,10.7
6.99,-4.71,8.35,-5.46,8.43,303.96,9.98,303.16,9.86,9.82
5.02,-4.86,5.86,-5.58,6.99,314.07,8.09,313.62,8.01,7.98
-1.8,-0.4,-1.44,-0.91,1.85,77.55,1.71,57.68,1.72,1.72
-7.72,0.53,-8.63,0.32,7.74,93.91,8.63,92.16,8.57,8.54
-7.09,0.35,-7.85,0.29,7.1,92.81,7.86,92.1,7.8,7.78
-6.87,1.88,-7.56,1.89,7.12,105.33,7.79,104.07,7.74,7.72
-6.8,2.7,-7.49,2.9,7.32,111.66,8.04,111.16,7.98,7.96
-5.64,2.27,-6.29,2.46,6.08,111.9,6.75,111.39,6.7,6.69
-5.73,1.83,-6.41,2.03,6.02,107.68,6.73,107.53,6.67,6.65
-5.8,2.04,-6.48,2.21,6.15,109.41,6.84,108.86,6.79,6.77
-4.66,1.86,-5.27,2.07,5.01,111.73,5.66,111.44,5.61,5.6
-5.32,1.45,-5.91,1.63,5.51,105.21,6.13,105.42,6.09,6.07
-5.86,1.57,-6.58,1.71,6.07,105.0,6.8,104.59,6.75,6.73
-5.51,1.61,-6.08,1.69,5.74,106.24,6.31,105.52,6.26,6.25
-5.73,1.29,-6.37,1.38,5.88,102.71,6.52,102.18,6.47,6.45
-6.14,1.29,-6.72,1.38,6.28,101.88,6.86,101.57,6.82,6.8
-5.98,1.22,-6.47,1.25,6.1,101.56,6.59,100.94,6.55,6.54
