u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
3.8,2.34,4.04,2.51,4.47,238.43,4.76,238.19,4.76,4.76
3.9,2.12,4.17,2.26,4.44,241.44,4.74,241.55,4.74,4.74
3.81,2.06,4.04,2.2,4.33,241.58,4.6,241.5,4.6,4.6
3.96,2.0,4.2,2.13,4.43,243.24,4.71,243.05,4.71,4.71
4.74,2.49,5.08,2.7,5.35,242.26,5.75,242.04,5.75,5.75
5.18,3.18,5.52,3.38,6.07,238.44,6.47,238.48,6.47,6.47
4.93,3.52,5.23,3.76,6.06,234.44,6.44,234.31,6.44,6.44
4.49,3.68,4.79,3.98,5.8,230.68,6.23,230.29,6.23,6.23
4.3,4.27,4.64,4.61,6.06,225.22,6.54,225.22,6.54,6.54
3.73,5.48,4.21,6.13,6.63,214.29,7.44,214.53,7.44,7.44
1.93,6.3,2.23,7.64,6.59,196.99,7.96,196.28,7.96,7.96
-1.55,8.02,-1.96,9.32,8.17,169.06,9.53,168.1,9.53,9.53
-0.8,6.65,-1.12,7.88,6.7,173.1,7.96,171.94,7.96,7.96
-2.23,5.37,-2.82,6.51,5.82,157.42,7.09,156.56,7.09,7.09
-1.76,4.93,-2.35,6.13,5.24,160.32,6.57,159.05,6.57,6.57
-1.79,3.75,-2.48,4.85,4.16,154.43,5.45,152.89,5.45,5.45
-2.54,2.66,-3.37,3.53,3.68,136.38,4.88,136.34,4.88,4.88
-1.91,2.07,-2.74,2.94,2.82,137.27,4.02,136.98,4.02,4.02
-0.98,2.14,-1.74,2.93,2.35,155.32,3.41,149.26,3.41,3.41
-0.86,2.19,-1.58,3.02,2.36,158.68,3.41,152.36,3.41,3.41
-1.35,1.63,-2.21,2.53,2.12,140.35,3.36,138.77,3.36,3.36
-0.73,1.23,-1.39,1.93,1.44,149.24,2.38,144.16,2.38,2.38
-0.19,2.0,-0.22,2.13,2.01,174.63,2.15,174.03,2.15,2.15
1.25,2.49,1.31,2.66,2.79,206.57,2.97,206.26,2.97,2.97
1.5,3.0,1.6,3.13,3.35,206.54,3.52,207.02,3.52,3.52
1.81,3.71,1.88,3.95,4.13,206.04,4.37,205.52,4.37,4.37
1.93,3.87,2.04,4.07,4.32,206.57,4.55,206.57,4.55,4.55
1.87,3.59,1.94,3.76,4.05,207.54,4.23,207.27,4.23,4.23
1.43,3.12,1.5,3.29,3.43,204.7,3.61,204.54,3.61,3.61
1.56,2.93,1.63,3.07,3.32,208.04,3.48,208.01,3.48,3.48
1.47,3.4,1.54,3.57,3.7,203.33,3.89,203.27,3.89,3.89
0.84,3.99,0.91,4.2,4.08,191.91,4.29,192.25,4.29,4.29
0.03,4.49,0.06,4.79,4.49,180.38,4.8,180.75,4.8,4.8
-1.12,5.17,-1.32,5.71,5.29,167.8,5.87,166.98,5.87,5.87
-2.64,5.28,-3.36,6.35,5.9,153.48,7.18,152.13,7.18,7.18
-3.85,5.12,-4.78,6.32,6.41,143.07,7.92,142.92,7.92,7.92
-4.72,3.35,-5.85,4.21,5.78,125.38,7.2,125.72,7.2,7.2
-4.12,2.91,-5.19,3.67,5.05,125.25,6.35,125.27,6.35,6.35
-3.13,2.82,-4.16,3.58,4.21,132.07,5.49,130.71,5.49,5.49
-2.62,2.54,-3.87,3.27,3.65,134.11,5.06,130.2,5.06,5.06
-1.9,2.89,-3.22,3.68,3.46,146.59,4.89,138.85,4.89,4.89
-2.34,2.08,-3.72,2.73,3.13,131.58,4.62,126.27,4.62,4.62
-2.9,1.92,-4.55,2.47,3.48,123.58,5.18,118.51,5.18,5.18
-3.11,1.93,-4.84,2.16,3.66,121.75,5.3,114.06,5.3,5.3
-3.95,1.06,-5.73,0.81,4.09,105.06,5.79,98.06,5.79,5.79
-2.77,1.52,-4.61,1.54,3.16,118.77,4.86,108.53,4.86,4.86
-2.09,0.44,-4.15,0.44,2.13,101.83,4.18,96.01,4.18,4.18
-3.9,-1.06,-4.13,-1.23,4.04,74.8,4.31,73.4,4.31,4.31
-3.81,-1.96,-3.97,-2.06,4.28,62.71,4.48,62.57,4.48,4.48
-2.18,-2.78,-2.25,-2.95,3.53,38.19,3.71,37.37,3.71,3.71
-0.87,-3.46,-0.87,-3.7,3.57,14.19,3.8,13.32,3.8,3.8
-0.16,-3.87,-0.09,-4.07,3.87,2.34,4.07,1.26,4.07,4.07
0.34,-4.58,0.37,-4.89,4.6,355.74,4.91,355.62,4.91,4.91
0.69,-5.18,0.76,-5.48,5.22,352.44,5.53,352.12,5.53,5.53
1.0,-5.24,1.06,-5.62,5.33,349.23,5.72,349.29,5.72,5.72
1.18,-5.64,1.32,-6.12,5.76,348.15,6.26,347.81,6.26,6.26
1.06,-5.48,1.2,-5.99,5.58,349.07,6.11,348.71,6.11,6.11
0.53,-4.6,0.73,-5.53,4.63,353.48,5.58,352.45,5.58,5.58
-0.11,-4.53,0.51,-5.56,4.53,1.4,5.59,354.77,5.59,5.59
-1.36,-4.83,-0.57,-6.2,5.02,15.78,6.22,5.26,6.22,6.22
-2.26,-4.58,-1.63,-5.98,5.11,26.28,6.2,15.27,6.2,6.2
-2.97,-4.86,-2.64,-6.37,5.69,31.41,6.89,22.54,6.89,6.89
-3.99,-4.73,-3.97,-6.52,6.19,40.14,7.63,31.36,7.63,7.63
-3.4,-5.01,-3.28,-6.83,6.05,34.14,7.58,25.62,7.58,7.58
-3.74,-4.14,-3.72,-5.93,5.58,42.09,7.0,32.12,7.0,7.0
-2.61,-3.17,-2.87,-5.0,4.11,39.41,5.76,29.82,5.76,5.76
2.71,-0.76,2.6,-1.69,2.82,285.59,3.1,303.01,3.1,3.1
2.11,10.31,2.63,12.54,10.52,191.57,12.81,191.83,12.81,12.81
1.74,10.07,2.15,12.1,10.22,189.8,12.29,190.09,12.29,12.29
1.56,9.46,1.73,10.77,9.59,189.35,10.91,189.14,10.91,10.91
1.84,8.44,2.01,9.22,8.64,192.29,9.44,192.29,9.44,9.44
3.33,9.03,3.61,9.85,9.63,200.26,10.49,200.12,10.49,10.49
5.08,8.54,5.55,9.29,9.93,210.74,10.82,210.88,10.82,10.82
6.01,8.91,6.53,9.66,10.75,214.02,11.66,214.04,11.66,11.66
6.33,9.29,6.84,10.07,11.24,214.27,12.17,214.18,12.17,12.17
4.89,11.22,5.3,12.11,12.24,203.56,13.22,203.66,13.22,13.22
2.87,10.04,3.11,10.82,10.44,195.95,11.26,196.02,11.26,11.26
3.46,10.5,3.7,11.42,11.05,198.24,12.0,197.94,12.0,12.0
1.37,11.59,1.47,12.64,11.67,186.75,12.73,186.65,12.73,12.73
1.09,11.5,1.16,12.55,11.55,185.43,12.61,185.28,12.61,12.61
0.81,11.27,0.81,12.37,11.3,184.12,12.39,183.76,12.39,12.39
-0.37,10.83,-0.51,12.1,10.84,178.04,12.11,177.59,12.11,12.11
-1.49,9.27,-1.8,10.57,9.39,170.85,10.72,170.32,10.72,10.72
-0.9,8.74,-1.24,10.05,8.79,174.14,10.12,172.96,10.12,10.12
-0.62,9.15,-0.89,10.41,9.17,176.14,10.45,175.1,10.45,10.45
-0.9,8.49,-1.21,9.76,8.54,173.97,9.83,172.96,9.83,9.83
-1.05,8.05,-1.4,9.29,8.12,172.54,9.39,171.41,9.39,9.39
-1.68,8.55,-2.05,9.79,8.72,168.91,10.0,168.15,10.0,10.0
-1.99,8.96,-2.4,10.26,9.18,167.48,10.54,166.82,10.54,10.54
