u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
1.76,-3.49,2.0,-3.85,3.91,333.21,4.34,332.57,4.29,4.27
2.95,-2.79,3.29,-3.02,4.06,313.42,4.47,312.54,4.42,4.4
3.46,-2.86,3.85,-3.08,4.48,309.56,4.94,308.66,4.88,4.86
4.12,-1.89,4.63,-2.08,4.53,294.6,5.07,294.25,5.0,4.98
3.99,-1.19,4.42,-1.29,4.17,286.64,4.6,286.3,4.55,4.53
3.65,-0.88,4.08,-0.88,3.75,283.5,4.18,282.09,4.12,4.1
3.33,-0.31,3.73,-0.31,3.35,275.36,3.74,274.79,3.69,3.68
2.55,0.01,2.88,0.06,2.55,269.89,2.88,268.76,2.83,2.82
1.45,0.19,1.69,0.33,1.46,262.42,1.72,258.82,1.69,1.68
0.26,1.02,0.58,1.44,1.05,194.37,1.55,202.11,1.49,1.47
-0.52,2.42,-0.9,3.0,2.48,168.0,3.13,163.37,3.05,3.02
-4.28,4.63,-5.77,5.4,6.3,137.28,7.9,133.07,7.7,7.63
-4.86,3.53,-6.0,4.17,6.0,126.01,7.31,124.77,7.14,7.09
-3.48,2.87,-4.71,3.48,4.51,129.5,5.86,126.45,5.69,5.63
-3.48,3.31,-4.71,4.11,4.81,133.58,6.25,131.07,6.07,6.0
-3.43,2.91,-4.75,3.63,4.49,130.3,5.98,127.34,5.79,5.73
-4.11,2.46,-5.48,3.08,4.79,120.91,6.29,119.36,6.1,6.04
-3.7,2.21,-4.96,2.77,4.31,120.8,5.68,119.2,5.51,5.45
-4.18,1.8,-5.46,2.25,4.55,113.31,5.91,112.4,5.73,5.68
-4.02,1.7,-5.27,2.08,4.36,112.97,5.67,111.56,5.5,5.45
-3.19,1.41,-4.06,1.63,3.49,113.91,4.38,111.8,4.26,4.23
-2.55,0.47,-3.04,0.35,2.59,100.37,3.06,96.63,3.0,2.98
-2.73,-1.54,-2.96,-1.81,3.14,60.52,3.47,58.5,3.43,3.41
-1.57,-3.05,-1.62,-3.42,3.43,27.21,3.78,25.43,3.74,3.72
-0.06,-4.21,0.04,-4.65,4.21,0.78,4.65,359.48,4.59,4.57
1.82,-2.83,2.02,-3.13,3.36,327.2,3.72,327.11,3.68,3.66
0.44,-2.11,0.63,-2.42,2.15,348.14,2.5,345.49,2.45,2.44
0.78,-2.48,0.81,-2.71,2.6,342.47,2.83,343.3,2.8,2.79
-0.85,2.04,-0.87,2.17,2.21,157.46,2.34,158.01,2.32,2.31
