u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
-4.99,-1.18,-5.06,-1.31,5.13,76.72,5.23,75.46,5.24,5.25
-5.19,-2.15,-5.19,-2.25,5.62,67.48,5.65,66.55,5.66,5.66
-5.65,-2.55,-5.69,-2.69,6.2,65.69,6.29,64.7,6.3,6.31
-5.84,-1.99,-5.88,-2.13,6.17,71.18,6.25,70.11,6.26,6.26
-6.18,-2.24,-6.25,-2.38,6.57,70.07,6.69,69.19,6.7,6.71
-6.74,-1.99,-6.81,-2.13,7.03,73.55,7.14,72.67,7.15,7.16
-7.3,-2.42,-7.44,-2.63,7.69,71.68,7.89,70.56,7.91,7.93
-7.48,-2.79,-7.63,-3.0,7.98,69.53,8.19,68.52,8.22,8.24
-7.98,-3.14,-8.19,-3.34,8.58,68.51,8.84,67.78,8.88,8.9
-7.67,-3.58,-7.88,-3.75,8.46,64.98,8.72,64.54,8.76,8.78
-7.92,-4.33,-8.13,-4.53,9.02,61.33,9.3,60.85,9.34,9.36
-8.13,-5.36,-8.38,-5.56,9.74,56.63,10.05,56.41,10.1,10.12
-8.11,-5.97,-8.38,-6.28,10.07,53.62,10.47,53.13,10.53,10.55
-7.94,-6.78,-8.22,-7.13,10.45,49.51,10.88,49.08,10.94,10.96
-7.54,-7.66,-7.78,-8.0,10.75,44.57,11.16,44.21,11.22,11.24
-7.41,-7.52,-7.69,-7.94,10.56,44.56,11.05,44.08,11.12,11.15
-6.61,-7.77,-6.81,-8.19,10.2,40.36,10.65,39.76,10.71,10.74
-5.48,-7.35,-5.69,-7.69,9.16,36.73,9.56,36.49,9.62,9.64
-5.37,-6.91,-5.5,-7.19,8.75,37.84,9.05,37.42,9.09,9.11
-6.02,-6.47,-6.19,-6.81,8.84,42.92,9.2,42.25,9.25,9.28
-6.08,-6.78,-6.25,-7.13,9.11,41.87,9.48,41.26,9.53,9.55
-5.92,-8.26,-6.16,-8.88,10.16,35.61,10.8,34.75,10.89,10.93
-5.32,-8.83,-5.56,-9.41,10.3,31.08,10.93,30.6,11.02,11.05
-4.61,-9.14,-4.81,-9.78,10.23,26.75,10.9,26.2,11.0,11.04
-3.86,-9.48,-4.09,-10.16,10.23,22.14,10.95,21.95,11.05,11.1
-3.36,-9.35,-3.56,-10.06,9.94,19.74,10.68,19.49,10.78,10.82
-2.55,-8.79,-2.69,-9.44,9.15,16.19,9.81,15.89,9.91,9.95
-1.59,-7.44,-1.69,-8.25,7.61,12.05,8.42,11.56,8.54,8.59
