u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
-5.42,-3.57,-5.76,-3.98,6.49,56.6,7.0,55.34,7.1,7.15
-5.44,-2.57,-5.96,-3.05,6.02,64.69,6.69,62.86,6.82,6.88
-3.3,-5.35,-3.57,-5.8,6.29,31.67,6.81,31.66,6.91,6.96
-4.11,-5.78,-4.48,-6.43,7.09,35.41,7.84,34.9,7.98,8.05
-3.58,-4.64,-3.85,-5.05,5.86,37.67,6.35,37.36,6.44,6.49
-2.8,-4.04,-3.01,-4.39,4.92,34.7,5.32,34.42,5.39,5.43
-3.29,-3.2,-3.6,-3.48,4.6,45.8,5.01,46.01,5.09,5.12
-2.98,-3.29,-3.32,-3.67,4.44,42.15,4.95,42.16,5.05,5.1
-4.84,-1.18,-5.59,-1.45,4.98,76.34,5.78,75.47,5.93,6.0
-5.98,0.5,-7.08,0.43,6.0,94.78,7.09,93.49,7.3,7.39
-6.81,0.03,-8.25,-0.17,6.81,90.29,8.25,88.81,8.52,8.65
-6.66,-1.29,-7.99,-1.97,6.78,79.04,8.23,76.13,8.51,8.64
-5.69,-1.69,-7.03,-2.58,5.94,73.49,7.48,69.86,7.78,7.92
-5.1,-2.27,-6.23,-3.47,5.58,65.99,7.13,60.88,7.42,7.56
-4.92,-2.27,-5.88,-3.57,5.42,65.27,6.87,58.75,7.15,7.28
-4.06,-1.74,-4.64,-3.0,4.41,66.81,5.53,57.06,5.74,5.84
-4.52,-1.86,-5.17,-3.2,4.89,67.61,6.08,58.27,6.31,6.41
-3.96,-2.54,-4.51,-3.91,4.71,57.31,5.97,49.06,6.21,6.33
-4.24,-4.03,-4.89,-5.61,5.85,46.46,7.44,41.11,7.74,7.89
-4.21,-4.93,-4.93,-6.64,6.49,40.53,8.27,36.61,8.61,8.77
-3.22,-5.16,-3.87,-6.77,6.08,31.98,7.8,29.77,8.12,8.28
-2.36,-4.84,-2.77,-6.32,5.39,25.95,6.9,23.66,7.18,7.32
-1.62,-5.33,-1.72,-6.19,5.57,16.89,6.42,15.55,6.59,6.66
-0.65,-5.06,-0.69,-5.78,5.1,7.35,5.82,6.78,5.96,6.02
0.03,-4.62,0.03,-5.47,4.62,359.65,5.47,359.71,5.64,5.71
-0.37,-6.25,-0.37,-6.9,6.26,3.43,6.91,3.11,7.03,7.09
-1.43,-4.41,-1.53,-4.96,4.63,17.99,5.19,17.2,5.29,5.34
0.22,-4.42,0.28,-4.73,4.43,357.2,4.74,356.56,4.8,4.82
-0.0,-1.71,0.03,-1.88,1.71,0.0,1.88,358.96,1.91,1.93
