u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
-2.0,3.63,-2.06,3.69,4.14,151.11,4.23,150.78,4.22,4.21
-1.34,3.22,-1.37,3.31,3.49,157.34,3.59,157.46,3.58,3.57
0.41,3.88,0.48,4.04,3.9,185.99,4.07,186.72,4.05,4.04
1.38,4.59,1.44,4.83,4.8,196.66,5.04,196.58,5.01,5.0
1.34,4.19,1.45,4.45,4.4,197.79,4.68,198.07,4.65,4.64
1.69,4.38,1.83,4.64,4.69,201.09,4.99,201.5,4.96,4.95
2.28,5.81,2.45,6.22,6.25,201.43,6.68,201.53,6.64,6.62
-1.47,6.69,-1.42,7.23,6.85,167.62,7.37,168.87,7.32,7.3
-4.25,3.94,-4.44,4.2,5.8,132.82,6.11,133.44,6.08,6.07
-4.06,3.81,-4.33,4.12,5.57,133.18,5.97,133.57,5.93,5.92
-5.44,3.13,-6.08,3.51,6.27,119.88,7.02,119.96,6.94,6.92
-5.44,2.78,-6.26,3.27,6.11,117.09,7.07,117.58,6.97,6.93
-5.13,2.5,-6.04,3.0,5.71,116.0,6.74,116.38,6.64,6.6
-5.03,2.38,-5.82,2.91,5.57,115.27,6.51,116.55,6.41,6.38
-5.13,2.72,-5.73,3.17,5.8,117.95,6.55,118.94,6.47,6.45
-4.28,2.88,-4.62,3.22,5.16,123.89,5.63,124.87,5.58,5.56
-3.69,3.63,-3.91,4.03,5.17,134.51,5.62,135.84,5.57,5.56
-3.28,4.19,-3.48,4.59,5.32,141.92,5.76,142.87,5.71,5.7
-3.31,4.5,-3.62,4.94,5.59,143.64,6.13,143.81,6.07,6.05
-3.94,4.25,-4.24,4.65,5.8,137.19,6.3,137.66,6.24,6.23
-4.0,4.25,-4.37,4.69,5.84,136.73,6.41,137.07,6.35,6.33
-4.38,4.1,-4.78,4.43,5.99,133.1,6.52,132.81,6.46,6.44
-4.28,4.1,-4.62,4.43,5.93,133.72,6.4,133.81,6.35,6.33
-3.91,4.47,-4.24,4.84,5.94,138.84,6.44,138.79,6.38,6.37
-3.63,4.78,-3.89,5.12,6.0,142.83,6.43,142.75,6.38,6.37
-3.94,4.81,-4.2,5.14,6.22,140.71,6.64,140.73,6.6,6.58
-4.28,4.85,-4.52,5.18,6.47,138.53,6.87,138.92,6.83,6.81
-4.94,4.69,-5.2,4.99,6.81,133.51,7.21,133.81,7.17,7.15
-5.13,4.03,-5.39,4.26,6.52,128.19,6.87,128.35,6.84,6.82
-5.03,3.91,-5.26,4.18,6.37,127.83,6.72,128.44,6.68,6.67
-4.75,4.41,-4.98,4.7,6.48,132.85,6.85,133.38,6.81,6.8
-4.63,4.69,-4.89,4.99,6.59,135.38,6.99,135.59,6.95,6.93
-4.75,4.66,-5.05,5.03,6.65,134.43,7.13,134.87,7.08,7.06
-5.53,4.85,-5.97,5.32,7.36,131.21,7.99,131.71,7.93,7.9
-5.66,3.88,-6.37,4.42,6.86,124.42,7.75,124.75,7.66,7.63
-5.63,3.19,-6.37,3.63,6.47,119.54,7.33,119.68,7.24,7.21
-5.5,3.31,-6.11,3.76,6.42,121.06,7.17,121.59,7.09,7.07
-5.5,3.53,-6.01,3.94,6.54,122.7,7.19,123.29,7.12,7.09
-5.53,3.75,-6.18,4.27,6.69,124.14,7.52,124.63,7.43,7.4
-6.32,4.53,-6.96,5.04,7.77,125.67,8.59,125.94,8.51,8.48
-6.94,4.0,-7.72,4.48,8.01,119.97,8.93,120.13,8.83,8.8
-6.75,3.56,-7.46,3.97,7.64,117.83,8.45,118.01,8.36,8.33
-7.03,2.84,-7.75,3.12,7.59,112.02,8.35,111.91,8.27,8.24
-7.03,2.25,-7.77,2.41,7.39,107.74,8.14,107.25,8.06,8.03
-6.97,1.66,-7.61,1.75,7.17,103.37,7.81,102.95,7.74,7.72
-7.28,0.66,-7.92,0.69,7.31,95.15,7.95,94.96,7.88,7.86
-6.82,0.44,-7.34,0.4,6.83,93.67,7.35,93.11,7.3,7.28
-6.0,0.03,-6.29,-0.14,6.0,90.29,6.29,88.73,6.26,6.25
-4.56,-0.59,-4.61,-0.84,4.6,82.58,4.69,79.64,4.68,4.67
-3.03,-0.94,-2.98,-1.26,3.17,72.8,3.24,67.18,3.23,3.23
-1.31,-0.53,-1.17,-0.74,1.42,67.92,1.39,57.7,1.39,1.39
-1.34,0.62,-1.23,0.49,1.48,114.93,1.33,111.45,1.34,1.35
-1.53,0.5,-1.42,0.36,1.61,108.07,1.47,104.21,1.48,1.49
-1.37,0.37,-1.23,0.24,1.42,105.24,1.26,100.78,1.27,1.28
-2.25,1.41,-2.17,1.3,2.65,122.0,2.53,120.85,2.54,2.55
-5.81,2.38,-6.04,2.34,6.28,112.22,6.47,111.15,6.45,6.45
-6.35,1.91,-6.7,1.9,6.63,106.72,6.97,105.82,6.93,6.92
-5.75,1.53,-6.43,1.56,5.95,104.91,6.62,103.65,6.55,6.53
-5.35,-0.06,-6.52,-0.4,5.35,89.33,6.53,86.52,6.41,6.36
-5.29,-3.03,-6.29,-4.06,6.1,60.14,7.48,57.16,7.34,7.29
-3.94,-5.32,-3.74,-6.55,6.62,36.54,7.54,29.73,7.45,7.41
-1.4,-6.38,0.09,-7.21,6.53,12.41,7.21,359.28,7.14,7.12
-0.03,-6.38,1.45,-6.78,6.38,0.24,6.94,347.91,6.88,6.86
0.07,-6.69,1.38,-7.12,6.69,359.43,7.25,349.06,7.19,7.17
0.91,-6.88,2.47,-7.64,6.94,352.46,8.03,342.1,7.91,7.88
0.5,-7.6,1.89,-8.67,7.62,356.21,8.87,347.7,8.74,8.7
0.03,-8.76,0.99,-10.65,8.76,359.78,10.69,354.71,10.49,10.42
0.06,-9.48,0.81,-11.79,9.48,359.62,11.81,356.08,11.57,11.49
0.56,-10.07,1.15,-12.53,10.09,356.8,12.58,354.75,12.32,12.23
0.88,-10.63,1.39,-13.18,10.67,355.29,13.26,353.99,12.98,12.89
0.63,-11.38,0.88,-13.59,11.4,356.86,13.62,356.29,13.39,13.31
1.03,-12.22,1.2,-13.66,12.27,355.18,13.71,354.97,13.56,13.51
3.06,-12.22,3.44,-13.5,12.6,345.93,13.94,345.69,13.8,13.75
4.85,-11.94,5.43,-13.17,12.89,337.92,14.24,337.57,14.1,14.05
6.03,-10.82,6.72,-11.9,12.39,330.85,13.67,330.54,13.54,13.49
7.19,-10.1,7.97,-11.11,12.4,324.55,13.68,324.34,13.54,13.5
10.07,-8.69,11.13,-9.57,13.3,310.81,14.68,310.71,14.54,14.49
10.85,4.5,11.79,4.65,11.75,247.47,12.67,248.47,12.57,12.54
7.44,5.19,8.04,5.48,9.07,235.11,9.73,235.76,9.66,9.64
6.63,6.91,7.27,7.34,9.57,223.81,10.33,224.72,10.25,10.23
6.44,7.47,7.04,8.07,9.86,220.76,10.71,221.12,10.62,10.59
4.85,6.97,5.36,7.65,8.49,214.8,9.34,215.02,9.25,9.22
2.38,6.82,2.64,7.42,7.22,199.22,7.88,199.58,7.81,7.78
0.5,7.53,0.54,8.19,7.55,183.8,8.21,183.76,8.14,8.12
1.38,6.94,1.51,7.57,7.08,191.21,7.72,191.32,7.65,7.63
2.41,6.66,2.64,7.33,7.08,199.87,7.79,199.8,7.72,7.69
2.75,6.53,3.05,7.29,7.09,202.83,7.9,202.74,7.82,7.79
