u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
7.99,-6.2,9.05,-7.02,10.11,307.81,11.46,307.79,12.07,12.45
9.48,-5.51,10.75,-6.27,10.97,300.17,12.44,300.24,13.11,13.54
10.04,-5.32,11.38,-6.05,11.36,297.94,12.88,297.99,13.57,14.01
10.63,-5.57,12.03,-6.33,12.0,297.68,13.6,297.74,14.32,14.78
10.19,-4.83,11.66,-5.48,11.28,295.37,12.89,295.18,13.62,14.08
10.13,-4.19,11.53,-4.7,10.96,292.46,12.46,292.17,13.13,13.56
9.69,-3.96,11.13,-4.48,10.47,292.25,12.0,291.92,12.69,13.13
9.16,-3.53,10.57,-4.01,9.82,291.09,11.3,290.79,11.98,12.4
8.73,-3.84,10.1,-4.32,9.53,293.75,10.98,293.17,11.64,12.05
8.11,-4.37,9.48,-4.95,9.21,298.3,10.69,297.58,11.36,11.79
7.26,-3.96,8.66,-4.58,8.27,298.59,9.8,297.84,10.49,10.93
7.16,-3.65,8.67,-4.2,8.04,297.01,9.63,295.85,10.35,10.81
7.98,-2.29,9.48,-2.57,8.3,286.03,9.82,285.15,10.51,10.95
6.62,-3.28,7.91,-3.8,7.39,296.4,8.78,295.63,9.41,9.81
7.05,-3.64,8.41,-4.23,7.93,297.35,9.42,296.69,10.09,10.51
7.91,-2.38,9.35,-2.76,8.26,286.75,9.75,286.44,10.42,10.85
6.46,-1.58,7.76,-1.82,6.65,283.72,7.96,283.19,8.56,8.94
6.02,-1.45,7.35,-1.73,6.19,283.55,7.55,283.21,8.17,8.56
5.83,-0.96,7.1,-1.1,5.91,279.33,7.18,278.78,7.76,8.12
5.0,-0.62,6.06,-0.59,5.04,277.13,6.09,275.58,6.56,6.87
3.8,-0.31,4.58,-0.28,3.81,274.71,4.59,273.48,4.95,5.17
2.8,-2.08,3.62,-2.35,3.49,306.51,4.32,302.98,4.69,4.93
7.35,-0.15,8.08,-0.15,7.35,271.19,8.08,271.09,8.4,8.61
6.89,0.19,7.64,0.22,6.89,268.44,7.65,268.34,7.99,8.2
5.55,0.22,6.1,0.19,5.56,267.71,6.11,268.24,6.36,6.51
4.78,0.31,5.23,0.28,4.79,266.26,5.24,266.95,5.44,5.56
4.48,0.97,4.79,0.97,4.58,257.84,4.88,258.59,5.02,5.11
5.01,0.56,5.35,0.53,5.04,263.59,5.38,264.35,5.53,5.63
5.22,1.37,5.6,1.44,5.4,255.32,5.78,255.6,5.96,6.07
4.32,1.87,4.63,1.97,4.71,246.61,5.03,246.94,5.18,5.27
3.92,2.27,4.16,2.41,4.53,239.9,4.81,239.92,4.93,5.01
3.08,2.49,3.28,2.66,3.95,231.06,4.22,231.01,4.35,4.42
1.68,1.67,1.78,1.85,2.37,225.12,2.57,224.01,2.66,2.71
1.9,1.21,2.07,1.35,2.25,237.49,2.47,236.93,2.57,2.63
1.61,1.49,1.78,1.66,2.19,227.31,2.44,227.08,2.55,2.62
0.37,0.4,0.5,0.67,0.54,222.92,0.84,217.09,0.97,1.06
0.81,-0.04,0.94,0.2,0.81,272.98,0.96,258.24,1.03,1.08
