u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
4.43,-0.44,4.75,-0.48,4.45,275.64,4.78,275.77,4.67,4.65
4.58,0.47,4.92,0.5,4.6,264.12,4.95,264.2,4.84,4.81
5.02,0.82,5.34,0.92,5.09,260.75,5.41,260.24,5.31,5.28
4.14,0.88,4.4,0.88,4.23,258.08,4.48,258.75,4.4,4.38
4.14,1.6,4.48,1.62,4.44,248.92,4.77,250.08,4.66,4.64
3.8,1.35,4.17,1.38,4.03,250.5,4.39,251.75,4.28,4.25
3.58,1.03,3.88,1.11,3.73,253.89,4.03,254.09,3.93,3.91
3.08,0.88,3.42,0.92,3.2,254.14,3.54,254.98,3.43,3.41
2.55,0.72,2.86,0.75,2.65,254.17,2.95,255.3,2.86,2.83
-1.44,-1.29,-1.41,-1.38,1.94,48.21,1.97,45.82,1.96,1.96
-3.29,-2.28,-3.92,-2.9,4.0,55.24,4.88,53.5,4.6,4.53
-5.9,-5.71,-6.97,-7.06,8.21,45.89,9.92,44.64,9.37,9.24
-4.76,-5.37,-5.74,-6.79,7.18,41.56,8.89,40.22,8.34,8.21
-4.01,-4.72,-4.89,-6.21,6.19,40.34,7.9,38.21,7.35,7.22
-3.6,-4.06,-4.41,-5.52,5.43,41.55,7.06,38.6,6.54,6.41
-3.48,-4.72,-4.43,-6.29,5.86,36.4,7.69,35.14,7.11,6.96
-3.16,-5.48,-3.97,-7.25,6.33,29.97,8.27,28.69,7.64,7.49
-2.56,-6.08,-3.11,-8.07,6.6,22.81,8.65,21.09,7.99,7.83
-2.07,-4.76,-2.27,-6.54,5.19,23.55,6.93,19.15,6.37,6.23
-2.9,-1.55,-3.12,-2.94,3.29,61.89,4.29,46.77,3.97,3.89
-2.95,-0.69,-3.42,-1.81,3.03,76.85,3.87,62.1,3.6,3.53
-2.07,-2.25,-2.08,-3.14,3.05,42.64,3.77,33.56,3.54,3.48
-0.72,-3.75,-0.52,-4.26,3.81,10.81,4.29,6.93,4.13,4.1
3.68,-5.31,4.13,-5.82,6.46,325.29,7.14,324.63,6.92,6.86
5.84,-3.52,6.38,-3.82,6.82,301.05,7.43,300.88,7.24,7.19
4.68,-3.3,5.15,-3.52,5.73,305.14,6.24,304.37,6.08,6.04
3.61,-4.17,4.03,-4.36,5.52,319.09,5.93,317.25,5.8,5.77
3.4,-2.11,3.8,-2.42,4.0,301.82,4.5,302.53,4.34,4.3
3.71,-2.2,4.11,-2.4,4.31,300.65,4.76,300.27,4.61,4.58
3.9,0.91,4.4,0.89,4.01,256.89,4.49,258.5,4.34,4.3
3.34,2.11,3.97,2.29,3.95,237.75,4.58,239.97,4.38,4.33
0.06,2.86,0.15,3.09,2.86,181.26,3.09,182.75,3.01,3.0
-6.75,0.91,-8.04,0.89,6.81,97.67,8.09,96.35,7.67,7.57
-7.4,-0.64,-8.34,-0.92,7.42,85.08,8.39,83.7,8.08,8.01
-7.4,-2.62,-8.51,-3.39,7.85,70.48,9.16,68.31,8.74,8.64
-7.05,-1.02,-8.16,-1.53,7.13,81.79,8.3,79.39,7.92,7.83
-7.37,0.02,-8.39,-0.28,7.37,90.17,8.39,88.12,8.06,7.98
-7.14,0.27,-8.03,0.02,7.14,92.18,8.03,90.12,7.75,7.68
-6.83,0.08,-7.72,-0.13,6.83,90.71,7.72,89.05,7.43,7.36
-5.72,-0.39,-6.53,-0.71,5.74,86.13,6.57,83.77,6.3,6.24
-5.76,0.15,-6.66,-0.05,5.77,91.52,6.66,89.61,6.37,6.3
-6.01,-0.16,-6.91,-0.32,6.02,88.48,6.91,87.39,6.62,6.55
-6.2,-0.54,-7.09,-0.8,6.23,85.02,7.14,83.6,6.84,6.77
-6.21,-0.54,-7.24,-0.84,6.23,85.03,7.29,83.4,6.95,6.87
-5.97,-0.92,-6.7,-1.21,6.04,81.29,6.8,79.73,6.56,6.5
-5.41,-1.32,-5.86,-1.52,5.57,76.23,6.05,75.43,5.9,5.86
-5.21,-1.45,-5.44,-1.65,5.41,74.46,5.68,73.14,5.59,5.57
-4.55,-1.45,-4.64,-1.65,4.77,72.31,4.93,70.47,4.88,4.87
-3.07,-1.7,-3.08,-1.94,3.51,61.02,3.64,57.81,3.6,3.59
-0.9,-1.51,-0.79,-1.69,1.76,30.95,1.87,25.04,1.83,1.82
-0.12,-0.57,0.11,-0.67,0.58,11.81,0.68,350.82,0.65,0.64
0.42,0.59,0.59,0.52,0.72,215.1,0.78,228.38,0.76,0.76
-2.22,0.56,-2.16,0.52,2.29,104.21,2.23,103.5,2.25,2.25
-2.57,-1.69,-2.58,-1.79,3.08,56.6,3.14,55.23,3.12,3.12
-3.07,-3.2,-3.17,-3.4,4.43,43.8,4.65,42.99,4.58,4.56
-3.32,-3.71,-3.52,-4.0,4.98,41.9,5.33,41.35,5.22,5.19
-3.74,-4.34,-4.11,-4.88,5.73,40.73,6.38,40.09,6.17,6.12
-4.6,-5.48,-5.24,-6.43,7.15,40.0,8.29,39.16,7.92,7.84
-4.6,-5.65,-5.36,-6.85,7.28,39.17,8.7,38.06,8.24,8.13
-4.04,-5.96,-4.8,-7.31,7.2,34.09,8.75,33.3,8.25,8.13
-3.59,-6.13,-4.26,-7.69,7.1,30.38,8.79,28.98,8.25,8.11
-2.52,-6.14,-3.05,-7.96,6.63,22.36,8.53,20.95,7.92,7.77
-1.32,-6.14,-1.52,-8.11,6.28,12.17,8.25,10.63,7.62,7.46
-0.69,-5.18,-0.66,-7.13,5.22,7.63,7.16,5.33,6.54,6.39
-0.08,-5.11,0.26,-6.98,5.11,0.95,6.99,357.9,6.38,6.24
0.7,-4.77,1.15,-6.61,4.82,351.65,6.71,350.1,6.1,5.95
1.24,-3.94,1.82,-5.58,4.13,342.54,5.87,341.94,5.31,5.18
1.49,-3.28,2.11,-4.73,3.6,335.59,5.18,335.91,4.67,4.55
1.5,-3.16,2.26,-4.52,3.49,334.65,5.05,333.41,4.55,4.43
2.09,-2.66,3.08,-3.66,3.38,321.84,4.78,319.94,4.33,4.22
3.52,-2.32,3.86,-2.57,4.22,303.45,4.63,303.62,4.5,4.47
4.4,-2.04,4.8,-2.21,4.85,294.88,5.28,294.75,5.14,5.11
4.14,-2.07,4.48,-2.27,4.63,296.6,5.03,296.88,4.9,4.87
4.02,-1.22,4.36,-1.29,4.2,286.91,4.55,286.52,4.43,4.41
3.23,-1.69,3.55,-1.75,3.65,297.64,3.95,296.27,3.86,3.83
0.19,-2.92,0.38,-3.09,2.92,356.2,3.11,353.02,3.05,3.03
2.17,-3.14,2.42,-3.29,3.81,325.38,4.09,323.68,4.0,3.98
5.31,-1.82,5.73,-1.96,5.61,288.91,6.06,288.88,5.91,5.88
4.12,-0.63,4.48,-0.77,4.16,278.72,4.55,279.78,4.42,4.39
3.14,-0.69,3.53,-0.75,3.22,282.44,3.6,282.01,3.48,3.45
3.68,-1.07,4.24,-1.21,3.84,286.18,4.41,285.95,4.22,4.18
1.96,-4.2,2.49,-5.01,4.64,334.97,5.59,333.6,5.28,5.21
2.21,-5.72,3.54,-6.82,6.13,338.89,7.69,332.58,7.19,7.06
0.88,-6.03,2.14,-7.26,6.1,351.67,7.57,343.55,7.1,6.98
0.36,-6.39,1.16,-7.96,6.4,356.73,8.04,351.72,7.51,7.38
0.52,-7.3,1.33,-9.04,7.32,355.94,9.14,351.66,8.55,8.41
1.53,-8.15,2.58,-10.15,8.3,349.37,10.47,345.74,9.77,9.6
