u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
4.46,-1.6,4.94,-1.73,4.74,289.76,5.23,289.3,5.07,5.03
5.68,-1.73,6.19,-1.85,5.94,286.91,6.46,286.68,6.29,6.25
6.34,-1.76,6.94,-1.9,6.58,285.47,7.19,285.28,7.0,6.95
6.53,-0.32,7.17,-0.38,6.54,272.78,7.18,272.99,6.97,6.92
7.1,-0.06,7.92,-0.06,7.1,270.5,7.92,270.45,7.65,7.59
7.35,0.12,8.23,0.08,7.35,269.03,8.23,269.42,7.95,7.88
7.61,0.94,8.63,1.0,7.67,262.94,8.69,263.39,8.36,8.28
6.7,2.33,7.84,2.67,7.1,250.85,8.28,251.2,7.9,7.81
4.06,1.54,4.94,1.81,4.35,249.2,5.26,249.85,4.97,4.9
1.52,-5.07,2.08,-6.11,5.3,343.32,6.45,341.15,6.08,5.99
1.65,-4.45,2.17,-5.65,4.74,339.71,6.05,339.0,5.63,5.53
1.9,-6.69,2.65,-8.38,6.95,344.13,8.79,342.46,8.2,8.05
3.82,-7.03,5.15,-8.67,8.0,331.46,10.09,329.29,9.42,9.25
5.93,-6.77,7.53,-8.09,9.0,318.79,11.05,317.06,10.39,10.23
6.28,-6.55,7.9,-7.84,9.07,316.22,11.13,314.77,10.47,10.31
7.5,-6.77,9.34,-8.09,10.11,312.07,12.35,310.89,11.63,11.45
7.95,-4.98,9.84,-5.94,9.38,302.07,11.49,301.12,10.81,10.65
8.77,-1.87,10.9,-2.46,8.96,282.02,11.18,282.72,10.46,10.29
9.27,-0.39,11.32,-0.71,9.28,272.38,11.34,273.59,10.68,10.51
5.66,-0.54,7.38,-0.9,5.68,275.49,7.43,276.93,6.87,6.73
5.41,-1.61,7.32,-2.11,5.65,286.58,7.61,286.05,6.98,6.83
9.04,-4.38,11.05,-5.29,10.04,295.83,12.25,295.61,11.54,11.37
10.08,-3.4,11.94,-4.06,10.63,288.65,12.62,288.79,11.98,11.82
12.92,-1.61,14.69,-1.83,13.02,277.09,14.81,277.11,14.23,14.09
12.89,-0.28,14.59,-0.35,12.89,271.26,14.59,271.39,14.04,13.91
13.39,-0.22,15.15,-0.25,13.39,270.95,15.15,270.95,14.59,14.45
12.86,1.57,14.73,1.67,12.96,263.05,14.83,263.55,14.23,14.08
14.36,2.2,16.23,2.44,14.53,261.3,16.42,261.46,15.81,15.66
14.75,2.2,16.78,2.5,14.91,261.51,16.96,261.52,16.3,16.14
13.37,1.95,15.38,2.29,13.51,261.69,15.55,261.52,14.89,14.73
10.95,1.89,12.63,2.31,11.11,260.2,12.84,259.62,12.28,12.15
10.93,3.25,13.09,3.98,11.4,253.45,13.68,253.08,12.95,12.77
11.87,4.06,14.01,4.75,12.54,251.12,14.79,251.26,14.07,13.89
8.22,0.32,9.96,0.46,8.23,267.79,9.97,267.36,9.41,9.28
