u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
-2.28,2.5,-2.41,2.62,3.39,137.62,3.57,137.39,3.51,3.49
-1.13,3.1,-1.19,3.23,3.29,160.01,3.44,159.79,3.39,3.38
-0.38,3.19,-0.38,3.31,3.21,173.29,3.33,173.54,3.29,3.28
-0.31,2.56,-0.31,2.66,2.58,173.05,2.68,173.31,2.65,2.64
0.75,3.78,0.75,3.95,3.86,191.21,4.02,190.74,3.97,3.96
1.28,5.32,1.31,5.58,5.47,193.55,5.73,193.24,5.65,5.63
1.37,6.79,1.34,7.22,6.92,191.45,7.34,190.48,7.21,7.17
1.5,8.07,1.46,8.59,8.21,190.53,8.72,189.65,8.55,8.51
2.16,10.04,2.11,11.02,10.27,192.12,11.22,190.84,10.91,10.84
2.0,9.86,2.06,10.97,10.06,191.48,11.16,190.65,10.81,10.72
0.09,8.48,-0.02,9.79,8.48,180.63,9.79,179.91,9.37,9.27
-1.32,7.11,-1.89,8.46,7.23,169.51,8.66,167.39,8.2,8.09
-3.38,5.64,-4.42,6.96,6.58,149.02,8.24,147.54,7.71,7.58
-4.13,5.86,-5.29,7.32,7.17,144.78,9.04,144.15,8.43,8.29
-4.7,5.48,-5.99,7.11,7.22,139.4,9.3,139.84,8.63,8.47
-5.39,4.89,-6.82,6.48,7.27,132.21,9.41,133.52,8.72,8.56
-6.54,4.29,-8.15,5.82,7.83,123.26,10.01,125.51,9.31,9.14
-7.42,3.1,-9.21,4.35,8.04,112.69,10.18,115.27,9.49,9.33
-7.52,2.73,-9.41,3.79,7.99,109.94,10.15,111.95,9.45,9.29
-8.02,2.51,-10.05,3.5,8.4,107.37,10.64,109.21,9.92,9.75
-8.36,1.82,-10.58,2.71,8.56,102.27,10.93,104.38,10.16,9.98
-7.11,0.94,-8.69,1.48,7.17,97.54,8.82,99.65,8.29,8.16
-7.76,0.81,-8.54,0.95,7.8,95.99,8.59,96.37,8.34,8.28
-8.38,1.31,-8.87,1.45,8.48,98.91,8.99,99.31,8.82,8.79
-7.73,1.88,-8.22,1.98,7.95,103.65,8.45,103.52,8.29,8.25
-6.47,2.22,-6.83,2.35,6.84,108.93,7.22,109.0,7.1,7.07
-5.75,1.78,-6.06,1.88,6.02,107.22,6.34,107.21,6.24,6.21
