u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
6.84,-12.27,7.69,-13.63,14.05,330.87,15.65,330.57,15.47,15.41
8.4,-11.24,9.35,-12.47,14.03,323.23,15.59,323.12,15.41,15.35
11.37,-8.56,12.59,-9.5,14.23,306.97,15.78,307.04,15.6,15.54
11.24,-6.4,12.43,-7.12,12.94,299.66,14.32,299.79,14.17,14.11
11.65,-0.91,12.91,-1.15,11.68,274.44,12.96,275.1,12.81,12.77
10.15,1.72,11.2,1.71,10.29,260.39,11.33,261.31,11.22,11.18
7.31,6.43,8.02,6.94,9.74,228.64,10.6,229.11,10.5,10.47
1.62,10.62,1.73,11.77,10.74,188.7,11.89,188.34,11.76,11.72
-0.37,11.62,-0.48,12.91,11.62,178.15,12.91,177.89,12.77,12.72
-1.47,8.77,-1.7,9.79,8.9,170.51,9.94,170.15,9.82,9.78
-1.47,6.31,-1.81,7.37,6.47,166.9,7.59,166.16,7.46,7.42
-1.62,4.71,-2.18,5.82,4.98,161.01,6.21,159.48,6.07,6.03
-2.78,4.18,-3.68,5.22,5.02,146.42,6.38,144.81,6.23,6.18
-4.59,4.74,-5.4,6.11,6.6,135.95,8.15,138.5,7.98,7.92
-2.25,-0.66,-3.0,0.05,2.34,73.65,3.0,91.04,2.93,2.9
-4.87,-1.59,-6.51,-1.83,5.12,71.89,6.76,74.33,6.58,6.51
-3.49,-0.9,-4.96,-1.33,3.61,75.48,5.13,75.01,4.96,4.9
-3.93,-2.18,-5.36,-2.8,4.5,60.94,6.05,62.38,5.87,5.81
-4.49,-3.0,-5.86,-3.83,5.4,56.31,7.0,56.83,6.82,6.76
-4.62,-1.93,-6.26,-2.7,5.01,67.27,6.82,66.63,6.61,6.55
-4.15,-0.78,-5.75,-1.34,4.22,79.37,5.9,76.87,5.71,5.65
-8.74,-0.84,-10.04,-0.88,8.78,84.49,10.08,85.02,9.94,9.89
-8.93,0.87,-10.02,0.98,8.97,95.59,10.06,95.56,9.94,9.9
-10.06,-0.31,-10.97,-0.35,10.06,88.22,10.97,88.17,10.87,10.83
-10.15,-2.09,-11.13,-2.33,10.36,78.35,11.37,78.2,11.26,11.22
-9.37,-2.06,-10.42,-2.4,9.59,77.6,10.69,77.02,10.57,10.53
-9.06,-2.12,-9.89,-2.6,9.3,76.81,10.23,75.26,10.12,10.09
-10.24,-1.65,-11.04,-2.04,10.38,80.83,11.23,79.53,11.13,11.1
-10.53,-3.53,-11.25,-4.0,11.1,71.47,11.94,70.42,11.85,11.82
-10.34,-3.5,-11.14,-3.98,10.91,71.31,11.83,70.35,11.73,11.69
-10.56,-2.43,-11.43,-2.95,10.83,77.01,11.8,75.51,11.69,11.66
-10.74,-3.5,-11.74,-4.02,11.3,71.97,12.41,71.12,12.28,12.24
-7.62,-1.31,-8.68,-1.84,7.73,80.24,8.87,78.03,8.74,8.7
-0.41,2.97,-0.48,3.16,2.99,172.21,3.2,171.45,3.18,3.17
-1.9,4.37,-2.6,5.02,4.77,156.47,5.65,152.56,5.55,5.52
-4.21,2.84,-5.15,3.43,5.08,123.98,6.19,123.62,6.07,6.02
-6.74,0.06,-8.21,0.31,6.74,90.52,8.21,92.19,8.05,7.99
-5.74,-1.12,-6.96,-1.26,5.85,78.92,7.07,79.71,6.93,6.89
0.03,1.69,-0.18,1.61,1.69,181.09,1.62,173.76,1.63,1.63
-0.0,0.81,0.35,0.67,0.81,179.9,0.76,207.58,0.77,0.77
0.84,1.44,1.3,1.54,1.67,210.37,2.02,220.27,1.98,1.96
4.15,3.75,4.55,4.29,5.59,227.95,6.25,226.69,6.18,6.15
4.06,5.09,4.36,5.56,6.51,218.58,7.07,218.1,7.01,6.99
4.68,5.56,5.09,6.13,7.27,220.13,7.96,219.71,7.89,7.86
5.15,5.25,5.63,5.87,7.35,224.49,8.13,223.81,8.04,8.01
5.12,6.09,5.63,6.88,7.96,220.07,8.89,219.28,8.78,8.75
4.75,6.96,5.15,7.82,8.43,214.28,9.36,213.39,9.26,9.22
4.34,6.96,4.85,7.75,8.21,211.93,9.15,212.04,9.04,9.01
5.0,6.81,5.5,7.38,8.44,216.27,9.2,216.72,9.12,9.09
6.62,7.43,7.23,8.06,9.95,221.69,10.83,221.87,10.73,10.7
7.84,7.12,8.62,7.87,10.59,227.75,11.67,227.61,11.54,11.5
9.03,7.28,9.88,8.03,11.59,231.12,12.73,230.9,12.6,12.56
9.09,7.74,9.83,8.53,11.94,229.56,13.01,229.05,12.89,12.85
8.84,8.12,9.62,8.94,12.0,227.43,13.13,227.08,13.0,12.96
8.84,9.06,9.65,10.02,12.65,224.3,13.91,223.94,13.77,13.72
8.34,9.59,9.19,10.6,12.71,221.02,14.03,220.92,13.88,13.83
7.71,9.18,8.53,10.17,11.99,220.04,13.27,219.99,13.13,13.08
6.84,8.37,7.65,9.35,10.81,219.25,12.09,219.29,11.94,11.89
5.87,6.46,6.69,7.53,8.73,222.25,10.07,221.62,9.92,9.87
5.21,5.65,5.93,6.68,7.69,222.7,8.93,221.59,8.79,8.74
4.46,5.43,5.12,6.47,7.03,219.42,8.25,218.34,8.11,8.06
4.5,5.43,5.18,6.47,7.05,219.61,8.28,218.68,8.15,8.1
4.28,5.37,5.07,6.51,6.86,218.54,8.25,217.91,8.09,8.04
3.9,5.87,4.59,7.04,7.05,213.62,8.41,213.1,8.25,8.2
3.9,5.65,4.67,6.93,6.87,214.63,8.36,213.95,8.19,8.13
3.96,5.4,4.8,6.68,6.7,216.29,8.23,215.72,8.06,8.0
4.25,4.99,4.94,5.93,6.56,220.37,7.72,219.8,7.59,7.54
4.09,4.4,4.85,5.34,6.01,222.9,7.22,222.26,7.08,7.04
4.12,3.46,4.82,4.38,5.38,229.95,6.51,227.71,6.38,6.34
3.84,3.72,4.29,4.45,5.34,225.95,6.18,223.92,6.09,6.06
5.18,4.31,5.73,4.89,6.74,230.27,7.53,229.51,7.44,7.41
6.15,4.25,6.73,4.71,7.48,235.39,8.21,234.98,8.13,8.1
6.87,4.62,7.48,5.06,8.28,236.07,9.03,235.89,8.95,8.92
6.53,4.65,7.1,5.1,8.02,234.51,8.74,234.31,8.66,8.64
6.06,4.4,6.56,4.84,7.49,233.99,8.16,233.6,8.08,8.06
5.59,3.62,6.0,3.96,6.66,237.06,7.19,236.56,7.13,7.11
6.25,4.28,6.69,4.65,7.57,235.59,8.15,235.19,8.08,8.06
6.22,4.65,6.65,5.03,7.76,233.18,8.34,232.92,8.27,8.25
5.93,5.06,6.38,5.46,7.8,229.55,8.4,229.41,8.33,8.31
5.15,4.72,5.53,5.09,6.99,227.54,7.51,227.36,7.45,7.43
4.53,4.22,4.9,4.59,6.19,227.05,6.71,226.89,6.66,6.64
3.75,3.59,4.05,3.9,5.19,226.22,5.62,226.08,5.58,5.56
2.65,3.31,3.14,3.89,4.24,218.73,5.0,218.91,4.91,4.89
2.68,3.4,3.37,4.19,4.33,218.27,5.38,218.76,5.26,5.22
2.75,3.34,3.5,4.2,4.32,219.43,5.47,219.8,5.34,5.3
2.31,3.24,2.89,4.29,3.98,215.43,5.18,213.95,5.04,5.0
1.84,3.24,2.21,4.32,3.73,209.58,4.85,207.15,4.73,4.68
1.53,2.62,1.79,3.48,3.03,210.26,3.91,207.2,3.81,3.78
1.9,2.21,2.3,3.04,2.92,220.68,3.81,217.11,3.71,3.68
2.0,1.71,2.46,2.55,2.63,229.34,3.55,223.96,3.45,3.41
1.46,0.81,2.04,1.54,1.67,241.09,2.56,232.92,2.46,2.42
1.62,0.34,2.63,1.08,1.66,258.13,2.84,247.69,2.71,2.67
2.78,0.22,3.96,0.84,2.78,265.56,4.04,258.0,3.9,3.86
3.37,-0.19,4.71,0.06,3.37,273.2,4.71,269.22,4.56,4.51
6.21,-0.34,6.83,-0.38,6.22,273.16,6.84,273.14,6.77,6.75
7.71,-0.56,8.43,-0.62,7.73,274.17,8.45,274.24,8.37,8.34
9.21,-0.19,10.03,-0.19,9.22,271.17,10.03,271.07,9.94,9.91
9.71,1.44,10.53,1.58,9.82,261.59,10.65,261.49,10.55,10.52
10.06,2.25,10.98,2.45,10.31,257.4,11.25,257.42,11.14,11.11
10.12,2.41,10.97,2.58,10.4,256.63,11.26,256.78,11.17,11.13
9.87,3.62,10.75,3.93,10.51,249.84,11.45,249.94,11.34,11.31
9.74,4.43,10.67,4.84,10.71,245.53,11.71,245.6,11.6,11.56
9.53,6.25,10.48,6.85,11.39,236.75,12.52,236.82,12.39,12.35
9.71,7.24,10.7,8.03,12.12,233.28,13.38,233.13,13.24,13.19
7.9,8.37,8.85,9.35,11.51,223.35,12.88,223.43,12.73,12.67
6.99,8.9,7.82,9.95,11.32,218.17,12.66,218.14,12.51,12.46
5.31,7.74,6.09,8.94,9.39,214.43,10.82,214.26,10.66,10.61
3.93,7.59,4.52,8.86,8.55,207.41,9.94,207.01,9.78,9.73
3.0,6.81,3.48,8.12,7.44,203.77,8.83,203.18,8.68,8.62
3.15,6.31,3.7,7.66,7.05,206.57,8.51,205.81,8.34,8.29
3.09,6.18,3.64,7.59,6.91,206.57,8.42,205.61,8.25,8.19
3.15,5.77,3.74,7.23,6.58,208.64,8.14,207.35,7.97,7.91
3.22,6.18,3.8,7.75,6.97,207.49,8.63,206.15,8.44,8.38
3.71,6.24,4.44,7.81,7.26,210.76,8.98,209.63,8.79,8.73
3.28,5.99,4.04,7.56,6.83,208.68,8.57,208.13,8.38,8.31
1.47,5.99,1.85,7.62,6.17,193.76,7.84,193.66,7.65,7.59
0.94,5.71,1.21,7.35,5.79,189.31,7.45,189.38,7.26,7.2
0.41,5.62,0.37,6.49,5.64,184.14,6.5,183.31,6.41,6.37
0.5,7.96,0.54,8.7,7.98,183.59,8.72,183.54,8.64,8.61
0.13,8.43,0.13,9.25,8.43,180.85,9.25,180.77,9.16,9.13
-0.25,7.87,-0.25,8.62,7.87,178.18,8.62,178.34,8.54,8.51
-0.19,7.75,-0.19,8.43,7.75,178.61,8.43,178.73,8.35,8.33
-0.19,7.68,-0.23,8.29,7.69,178.6,8.29,178.44,8.22,8.2
0.28,7.43,0.25,7.98,7.44,182.17,7.98,181.79,7.92,7.9
0.5,7.46,0.42,8.04,7.48,183.83,8.05,183.02,7.99,7.97
0.44,7.81,0.44,8.41,7.82,183.21,8.43,182.98,8.36,8.34
1.12,8.4,1.12,9.08,8.48,187.63,9.15,187.06,9.07,9.05
1.09,8.4,1.09,9.08,8.47,187.41,9.14,186.83,9.07,9.04
0.56,8.21,0.49,8.93,8.23,183.92,8.94,183.12,8.86,8.83
0.25,7.68,0.11,8.43,7.69,181.87,8.43,180.76,8.35,8.32
1.31,7.06,1.37,8.16,7.18,190.53,8.27,189.57,8.15,8.11
0.97,7.02,0.96,8.37,7.09,187.85,8.42,186.56,8.27,8.22
-0.34,6.74,-0.55,8.02,6.75,177.09,8.04,176.07,7.89,7.84
-1.72,5.12,-2.45,6.29,5.4,161.47,6.75,158.69,6.6,6.55
-3.53,4.59,-4.53,5.66,5.79,142.46,7.25,141.3,7.08,7.03
-4.03,3.56,-5.13,4.45,5.37,131.47,6.79,130.96,6.63,6.58
-4.49,3.12,-5.74,3.92,5.47,124.78,6.95,124.29,6.79,6.73
-5.52,3.06,-6.94,3.85,6.31,118.97,7.94,119.03,7.76,7.7
-6.49,2.93,-8.02,3.67,7.12,114.32,8.82,114.57,8.63,8.56
-7.24,2.4,-8.83,3.03,7.63,108.36,9.34,108.92,9.15,9.08
-8.15,2.43,-9.88,3.03,8.5,106.64,10.34,107.03,10.13,10.06
-8.9,2.28,-10.21,2.63,9.19,104.37,10.54,104.43,10.39,10.34
-9.12,2.53,-10.03,2.76,9.46,105.5,10.4,105.41,10.3,10.26
-7.71,2.75,-8.39,2.95,8.19,109.61,8.89,109.38,8.81,8.79
-5.97,2.81,-6.44,3.01,6.59,115.23,7.11,115.08,7.05,7.03
-4.56,2.94,-4.9,3.14,5.42,122.77,5.82,122.63,5.78,5.76
-3.78,3.31,-4.05,3.51,5.02,131.22,5.36,130.93,5.32,5.31
-4.5,3.62,-4.84,3.86,5.78,128.86,6.19,128.6,6.15,6.13
-4.19,3.78,-4.49,4.01,5.64,132.08,6.02,131.8,5.98,5.96
-4.03,3.84,-4.34,4.08,5.57,133.64,5.95,133.21,5.91,5.9
-3.81,4.09,-4.11,4.4,5.59,137.04,6.02,136.94,5.98,5.96
-3.9,4.19,-4.21,4.46,5.72,136.99,6.14,136.65,6.09,6.08
-4.19,4.0,-4.53,4.3,5.79,133.69,6.24,133.54,6.19,6.18
-4.72,3.62,-5.19,3.96,5.95,127.53,6.53,127.37,6.46,6.44
-4.65,2.84,-5.62,3.43,5.45,121.41,6.58,121.39,6.45,6.41
-5.34,2.65,-6.68,3.45,5.96,116.43,7.52,117.34,7.35,7.29
-5.05,2.65,-6.55,3.45,5.71,117.69,7.4,117.82,7.21,7.15
-5.06,2.9,-6.48,3.74,5.83,119.86,7.49,120.0,7.3,7.24
-5.93,3.37,-7.34,4.2,6.82,119.62,8.46,119.79,8.28,8.22
-5.8,3.0,-7.33,3.91,6.53,117.3,8.31,118.04,8.11,8.04
-6.3,2.46,-7.91,3.34,6.77,111.35,8.59,112.91,8.38,8.31
-7.05,2.25,-8.78,3.02,7.4,107.67,9.29,108.96,9.08,9.0
-8.08,2.0,-9.92,2.63,8.33,103.88,10.26,104.84,10.05,9.97
-8.52,1.65,-10.4,2.22,8.68,100.98,10.63,102.03,10.41,10.34
-8.33,1.4,-10.29,1.89,8.45,99.56,10.46,100.41,10.23,10.16
-8.46,0.94,-9.96,1.29,8.51,96.31,10.04,97.38,9.87,9.81
-8.31,0.19,-9.02,0.19,8.31,91.29,9.02,91.19,8.94,8.91
-6.65,-0.25,-7.11,-0.29,6.66,87.85,7.12,87.68,7.07,7.05
-4.28,0.5,-4.51,0.58,4.31,96.66,4.55,97.27,4.52,4.51
-2.72,1.12,-2.85,1.2,2.94,112.49,3.09,112.84,3.08,3.07
-1.72,1.41,-1.79,1.48,2.22,129.29,2.32,129.53,2.31,2.3
-0.66,2.31,-0.69,2.41,2.4,164.16,2.51,164.09,2.5,2.49
-0.47,3.0,-0.54,3.14,3.04,171.12,3.18,170.27,3.17,3.16
-0.22,3.66,-0.29,3.83,3.66,176.58,3.84,175.7,3.82,3.81
-0.25,4.56,-0.31,4.83,4.57,176.87,4.84,176.29,4.81,4.8
-0.78,4.75,-0.89,5.05,4.81,170.66,5.13,170.03,5.09,5.08
-1.16,4.5,-1.33,4.8,4.64,165.59,4.98,164.56,4.94,4.93
-1.37,4.4,-1.68,4.78,4.61,162.68,5.06,160.66,5.01,4.99
0.66,5.4,0.44,6.39,5.44,186.93,6.41,183.9,6.3,6.26
-0.09,7.21,-0.34,8.56,7.21,179.27,8.56,177.73,8.41,8.36
-1.81,5.81,-2.33,7.19,6.08,162.69,7.56,162.07,7.4,7.34
-3.12,4.12,-4.17,5.37,5.17,142.85,6.8,142.18,6.61,6.55
-4.87,2.25,-6.4,3.08,5.36,114.77,7.1,115.71,6.9,6.84
-5.33,1.25,-7.03,2.05,5.48,103.15,7.33,106.28,7.12,7.05
-5.24,0.4,-7.08,0.94,5.26,94.41,7.15,97.57,6.93,6.86
-5.05,-0.0,-6.94,0.44,5.05,89.99,6.95,93.64,6.74,6.66
-4.71,-0.38,-6.7,-0.05,4.72,85.44,6.7,89.59,6.48,6.4
-4.77,-0.53,-6.69,-0.23,4.8,83.64,6.69,87.99,6.48,6.41
-4.86,-0.34,-6.77,0.09,4.88,85.95,6.77,90.77,6.56,6.49
-4.55,-0.34,-6.6,-0.01,4.56,85.68,6.6,89.92,6.37,6.29
-3.71,-0.25,-4.52,-0.14,3.72,86.15,4.52,88.27,4.43,4.4
-3.25,-0.16,-3.41,-0.09,3.25,87.24,3.41,88.54,3.4,3.39
-1.62,0.91,-1.76,0.98,1.86,119.15,2.02,118.95,2.0,1.99
-0.91,0.66,-0.94,0.69,1.12,125.9,1.16,126.25,1.16,1.16
-0.16,0.62,-0.23,0.59,0.64,165.99,0.63,159.0,0.63,0.63
0.34,0.12,0.31,0.05,0.37,250.03,0.32,261.04,0.32,0.32
0.97,0.34,0.96,0.31,1.03,250.44,1.01,252.01,1.01,1.01
1.69,1.22,1.75,1.25,2.08,234.16,2.15,234.46,2.14,2.14
2.44,2.59,2.44,2.69,3.56,223.23,3.63,222.21,3.62,3.62
3.25,4.34,3.31,4.58,5.42,216.81,5.65,215.9,5.62,5.61
4.22,5.56,4.35,5.96,6.98,217.18,7.38,216.11,7.34,7.32
6.09,5.9,6.69,6.58,8.48,225.9,9.38,225.48,9.28,9.25
4.78,4.56,5.59,5.53,6.6,226.34,7.86,225.31,7.72,7.67
1.41,6.12,1.42,7.75,6.28,192.94,7.88,190.42,7.7,7.64
-0.66,5.99,-0.98,7.7,6.03,173.76,7.76,172.76,7.56,7.5
-2.0,5.46,-2.55,7.2,5.81,159.91,7.64,160.47,7.43,7.36
-3.99,4.68,-4.78,6.5,6.15,139.51,8.07,143.67,7.85,7.78
-6.55,2.4,-8.36,3.46,6.98,110.13,9.05,112.46,8.81,8.74
-6.74,-0.47,-8.69,-0.73,6.76,86.02,8.72,85.21,8.5,8.42
-6.83,-3.71,-8.38,-5.23,7.78,61.49,9.88,58.02,9.65,9.57
-5.31,-4.9,-6.29,-6.66,7.22,47.29,9.16,43.37,8.94,8.87
-4.84,-5.27,-5.5,-7.2,7.16,42.54,9.06,37.39,8.85,8.77
-4.68,-5.65,-5.35,-7.5,7.34,39.66,9.21,35.52,9.0,8.93
-4.09,-5.09,-4.73,-6.77,6.53,38.8,8.26,34.92,8.06,8.0
-3.25,-5.75,-3.34,-6.37,6.6,29.48,7.19,27.67,7.12,7.1
-2.0,-5.09,-1.99,-5.43,5.47,21.44,5.78,20.11,5.74,5.73
-0.5,-3.81,-0.5,-4.01,3.84,7.47,4.04,7.1,4.02,4.01
0.37,-2.53,0.44,-2.66,2.56,351.59,2.7,350.67,2.68,2.68
1.28,-1.31,1.31,-1.41,1.83,315.69,1.93,317.11,1.92,1.91
1.37,-0.03,1.37,-0.06,1.38,271.29,1.38,272.6,1.38,1.38
3.59,2.12,3.69,2.19,4.17,239.4,4.29,239.32,4.27,4.27
4.75,3.75,4.91,3.95,6.05,231.71,6.3,231.19,6.28,6.27
4.25,4.28,4.37,4.55,6.03,224.79,6.31,223.87,6.28,6.27
4.16,4.87,4.29,5.14,6.4,220.45,6.69,219.84,6.66,6.65
5.03,5.75,5.33,6.25,7.64,221.19,8.21,220.43,8.15,8.13
4.5,7.4,4.94,8.39,8.66,211.29,9.74,210.48,9.62,9.58
0.69,7.62,0.65,8.99,7.65,185.16,9.02,184.13,8.86,8.81
-0.72,5.9,-1.06,7.42,5.94,173.07,7.5,171.84,7.32,7.26
-2.37,5.9,-3.1,7.5,6.36,158.1,8.11,157.51,7.92,7.85
-4.37,4.59,-5.62,5.98,6.33,136.4,8.21,136.8,8.0,7.93
-6.24,3.62,-7.91,4.84,7.21,120.11,9.27,121.49,9.04,8.97
