u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
3.49,2.33,3.73,2.47,4.19,236.2,4.47,236.44,4.53,4.56
4.26,2.33,4.54,2.5,4.86,241.31,5.18,241.11,5.26,5.29
4.76,2.12,5.07,2.25,5.21,246.03,5.55,246.03,5.63,5.66
4.98,2.06,5.25,2.16,5.39,247.57,5.68,247.67,5.75,5.78
5.26,2.37,5.54,2.5,5.77,245.78,6.08,245.67,6.15,6.18
5.79,2.81,6.13,2.94,6.43,244.15,6.8,244.38,6.89,6.93
5.66,3.36,6.07,3.57,6.58,239.29,7.04,239.57,7.15,7.2
5.78,4.14,6.23,4.45,7.11,234.42,7.65,234.48,7.78,7.84
5.94,4.79,6.42,5.13,7.63,231.1,8.22,231.34,8.35,8.42
5.99,5.68,6.58,6.26,8.26,226.53,9.08,226.39,9.27,9.36
5.39,5.85,6.14,6.78,7.95,222.63,9.15,222.19,9.41,9.55
5.48,5.94,6.37,7.06,8.08,222.7,9.51,222.03,9.83,10.0
4.58,5.96,5.3,7.16,7.52,217.54,8.91,216.52,9.22,9.38
3.37,5.59,3.89,6.78,6.53,211.12,7.82,209.82,8.11,8.26
1.83,5.49,1.97,6.79,5.79,198.46,7.07,196.19,7.36,7.5
1.49,4.9,1.53,6.16,5.12,196.94,6.35,193.93,6.63,6.77
1.03,4.75,1.0,5.94,4.86,192.21,6.03,189.51,6.29,6.42
1.19,4.53,1.12,5.73,4.69,194.68,5.83,191.08,6.09,6.22
1.09,3.89,1.13,4.84,4.04,195.67,4.97,193.08,5.18,5.29
1.67,3.62,1.88,4.37,3.99,204.83,4.75,203.28,4.93,5.02
2.08,3.43,2.32,4.18,4.01,211.19,4.78,209.0,4.95,5.04
2.55,3.6,2.75,3.95,4.41,215.27,4.81,214.91,4.9,4.95
3.92,4.48,4.23,4.82,5.95,221.17,6.41,221.23,6.51,6.57
4.51,4.48,4.85,4.82,6.35,225.18,6.84,225.17,6.95,7.0
5.44,5.35,5.82,5.7,7.63,225.48,8.14,225.62,8.26,8.32
4.88,5.76,5.23,6.13,7.55,220.3,8.06,220.43,8.17,8.23
4.6,5.94,4.91,6.32,7.52,217.76,8.01,217.85,8.12,8.17
5.04,5.78,5.38,6.2,7.67,221.07,8.21,220.99,8.33,8.39
5.38,5.97,5.76,6.38,8.04,222.02,8.6,222.05,8.72,8.79
5.32,6.1,5.7,6.51,8.09,221.1,8.65,221.19,8.78,8.84
5.78,7.21,6.26,7.76,9.25,218.72,9.97,218.9,10.14,10.22
6.28,7.93,6.79,8.51,10.11,218.36,10.89,218.58,11.07,11.15
5.56,7.33,6.04,7.98,9.2,217.18,10.01,217.12,10.2,10.29
5.65,8.01,6.13,8.83,9.81,215.2,10.75,214.77,10.97,11.08
4.78,6.51,5.36,7.46,8.07,216.29,9.19,215.68,9.44,9.57
4.19,7.4,4.7,8.6,8.5,209.5,9.8,208.67,10.09,10.24
3.01,7.03,3.38,8.22,7.64,203.17,8.89,202.37,9.17,9.32
1.99,6.49,2.26,7.75,6.79,197.01,8.08,196.24,8.37,8.52
1.86,6.24,2.1,7.5,6.51,196.6,7.79,195.63,8.08,8.23
2.72,5.44,3.13,6.66,6.08,206.59,7.36,205.19,7.65,7.8
1.6,5.19,1.91,6.28,5.43,197.16,6.57,196.93,6.83,6.95
1.8,5.11,1.97,5.93,5.42,199.39,6.25,198.39,6.44,6.53
1.8,4.92,1.94,5.81,5.24,200.07,6.12,198.45,6.32,6.42
1.83,3.77,2.0,4.59,4.19,205.93,5.01,203.6,5.19,5.28
1.62,3.52,1.75,4.37,3.87,204.69,4.71,201.87,4.9,4.99
0.78,4.78,0.78,5.26,4.85,189.23,5.32,188.42,5.43,5.48
0.09,6.03,0.12,6.58,6.03,180.86,6.58,181.09,6.7,6.76
-0.31,5.41,-0.31,5.82,5.42,176.69,5.83,176.93,5.92,5.97
-0.12,4.67,-0.09,4.95,4.67,178.47,4.95,178.94,5.01,5.04
0.56,4.11,0.6,4.35,4.15,187.79,4.39,187.8,4.45,4.47
1.37,4.39,1.47,4.66,4.6,197.31,4.89,197.51,4.96,4.99
