u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
-0.41,-2.61,-0.41,-2.95,2.64,8.94,2.97,7.88,3.02,3.04
0.8,-3.71,0.87,-3.88,3.79,347.76,3.98,347.28,4.0,4.01
1.15,-2.28,1.19,-2.31,2.55,333.16,2.6,332.82,2.61,2.61
-0.38,-1.25,-0.38,-1.25,1.31,16.7,1.31,16.7,1.31,1.31
-0.44,-0.9,-0.44,-0.94,1.0,25.87,1.03,25.02,1.04,1.04
-0.5,-0.38,-0.5,-0.41,0.62,53.13,0.65,50.81,0.65,0.65
-0.94,0.0,-0.9,-0.03,0.94,90.0,0.91,87.93,0.9,0.9
-1.44,-0.12,-1.44,-0.16,1.44,85.03,1.45,83.74,1.45,1.45
-1.65,-0.53,-1.69,-0.63,1.73,72.3,1.8,69.59,1.81,1.81
-2.3,0.6,-2.37,0.56,2.38,104.55,2.44,103.33,2.45,2.45
-1.88,1.91,-2.47,2.12,2.68,135.5,3.26,130.67,3.34,3.38
-1.28,1.47,-2.3,2.11,1.95,138.85,3.12,132.49,3.28,3.36
-0.93,0.02,-2.12,0.52,0.93,91.16,2.18,103.7,2.35,2.43
-1.06,0.73,-2.56,0.69,1.29,124.55,2.65,105.09,2.84,2.92
-1.19,0.38,-2.59,0.44,1.24,107.53,2.62,99.66,2.81,2.9
-2.1,-0.5,-4.07,-0.95,2.16,76.54,4.18,76.92,4.46,4.58
-2.78,-2.95,-4.41,-4.31,4.05,43.23,6.17,45.64,6.46,6.59
-1.49,-4.31,-2.61,-5.91,4.56,19.05,6.46,23.87,6.72,6.84
0.1,-3.89,-0.8,-5.47,3.89,358.48,5.52,8.38,5.75,5.85
0.04,-3.18,-0.93,-4.75,3.18,359.26,4.84,11.11,5.07,5.17
0.61,-2.4,-0.66,-3.9,2.48,345.71,3.96,9.62,4.16,4.25
0.85,-2.51,0.13,-4.15,2.65,341.33,4.15,358.25,4.36,4.46
0.4,-2.42,0.08,-3.66,2.46,350.58,3.66,358.77,3.83,3.9
-1.12,-3.48,-1.29,-3.76,3.66,17.77,3.97,18.89,4.01,4.03
-0.31,-5.68,-0.31,-6.2,5.69,3.15,6.2,2.89,6.27,6.31
1.43,-6.99,1.57,-7.44,7.14,348.45,7.61,348.12,7.67,7.7
1.77,-5.98,1.91,-6.29,6.23,343.51,6.57,343.12,6.61,6.64
0.68,-5.98,0.82,-6.32,6.01,353.51,6.37,352.65,6.42,6.44
0.62,-6.13,0.69,-6.47,6.16,354.25,6.51,353.94,6.56,6.58
0.3,-5.91,0.37,-6.26,5.92,357.05,6.27,356.57,6.31,6.34
0.05,-5.63,0.12,-5.94,5.63,359.45,5.94,358.8,5.98,6.0
-0.19,-5.6,-0.19,-5.91,5.6,1.92,5.91,1.82,5.96,5.98
-0.4,-5.53,-0.44,-5.91,5.54,4.16,5.93,4.23,5.98,6.0
-0.9,-4.44,-0.94,-4.88,4.53,11.49,4.97,10.87,5.03,5.06
-0.71,-4.7,-0.85,-5.73,4.76,8.54,5.8,8.38,5.94,6.0
-0.01,-4.73,-0.22,-6.28,4.73,0.13,6.28,2.01,6.49,6.59
1.18,-4.01,1.35,-5.88,4.18,343.61,6.03,347.09,6.29,6.4
0.14,-3.15,0.41,-4.75,3.15,357.39,4.77,355.03,4.99,5.09
-1.45,-2.66,-2.14,-4.19,3.03,28.61,4.7,27.02,4.93,5.04
-2.66,-1.96,-4.5,-3.22,3.31,53.62,5.53,54.47,5.84,5.98
-4.02,-3.25,-5.15,-4.47,5.17,51.1,6.81,49.06,7.04,7.14
-3.44,-5.77,-4.26,-7.63,6.72,30.83,8.74,29.18,9.02,9.15
-1.13,-7.29,-1.67,-9.26,7.37,8.8,9.41,10.22,9.69,9.82
-0.79,-7.72,-1.29,-9.66,7.76,5.82,9.75,7.63,10.02,10.15
-0.45,-7.97,-0.82,-10.01,7.99,3.22,10.05,4.69,10.33,10.46
-0.07,-7.53,-0.51,-9.67,7.53,0.56,9.68,3.03,9.98,10.11
0.62,-8.71,0.59,-9.74,8.73,355.9,9.75,356.52,9.9,9.96
1.24,-9.84,1.38,-10.73,9.91,352.81,10.82,352.68,10.94,11.0
1.33,-10.27,1.54,-11.2,10.36,352.62,11.31,352.2,11.44,11.5
1.64,-11.36,1.88,-12.33,11.48,351.77,12.47,351.33,12.6,12.67
1.46,-10.09,1.63,-10.98,10.19,351.78,11.1,351.57,11.23,11.28
2.17,-9.3,2.41,-10.36,9.55,346.86,10.64,346.9,10.79,10.86
0.48,-6.67,0.76,-7.29,6.69,355.86,7.33,354.08,7.42,7.46
0.41,-2.61,0.85,-3.29,2.64,351.01,3.4,345.47,3.51,3.55
-4.35,10.47,-4.6,11.9,11.34,157.44,12.76,158.89,12.95,13.04
-2.55,14.85,-2.59,16.43,15.07,170.24,16.63,171.03,16.85,16.95
-1.15,15.14,-1.19,16.68,15.18,175.65,16.72,175.93,16.93,17.03
0.28,13.66,0.31,15.34,13.66,181.16,15.34,181.17,15.57,15.68
-2.65,9.99,-3.23,11.59,10.34,165.12,12.04,164.43,12.27,12.37
-4.27,6.85,-5.5,8.31,8.07,148.03,9.96,146.53,10.22,10.34
2.51,10.41,2.79,12.25,10.71,193.56,12.57,192.81,12.82,12.94
1.37,11.23,1.5,12.94,11.32,186.94,13.03,186.62,13.26,13.37
0.55,10.71,0.62,12.28,10.72,182.96,12.29,182.91,12.51,12.61
-0.62,10.34,-0.79,11.84,10.36,176.59,11.87,176.2,12.07,12.17
-0.24,10.02,-0.41,11.59,10.02,178.62,11.6,177.97,11.81,11.91
1.03,10.11,1.0,11.78,10.16,185.8,11.82,184.84,12.05,12.16
-0.83,10.41,-1.04,12.19,10.45,175.43,12.23,175.14,12.48,12.59
-2.9,10.02,-3.38,11.59,10.43,163.83,12.07,163.73,12.3,12.4
-2.25,9.46,-2.7,10.9,9.73,166.61,11.23,166.11,11.43,11.53
-1.77,9.76,-2.01,10.89,9.92,169.72,11.07,169.57,11.23,11.31
-1.98,9.99,-2.19,10.92,10.18,168.77,11.14,168.66,11.27,11.33
-2.08,10.15,-2.25,11.01,10.36,168.41,11.24,168.44,11.36,11.42
-2.46,9.53,-2.63,10.29,9.84,165.55,10.62,165.68,10.73,10.78
-2.21,8.83,-2.41,9.45,9.1,165.96,9.75,165.68,9.84,9.88
-1.27,8.83,-1.44,9.38,8.92,171.83,9.49,171.27,9.57,9.61
-1.09,8.06,-1.16,8.51,8.13,172.3,8.58,172.25,8.65,8.67
-1.62,8.49,-1.69,9.01,8.64,169.21,9.16,169.39,9.23,9.27
-2.24,9.01,-2.31,9.63,9.29,166.03,9.91,166.5,9.99,10.03
-2.18,9.57,-2.22,10.26,9.81,167.17,10.5,167.8,10.59,10.63
-1.46,9.78,-1.47,10.57,9.89,171.48,10.68,172.1,10.78,10.83
-0.69,10.09,-0.66,10.98,10.11,176.1,11.0,176.59,11.12,11.18
-0.69,9.64,-0.66,10.64,9.67,175.92,10.66,176.48,10.8,10.86
0.62,9.47,0.79,10.77,9.49,183.72,10.8,184.17,10.98,11.06
1.21,10.43,1.35,12.0,10.5,186.6,12.07,186.4,12.29,12.39
1.21,10.24,1.22,11.81,10.31,186.76,11.87,185.88,12.09,12.19
-0.28,9.66,-0.44,11.03,9.66,178.36,11.03,177.7,11.22,11.31
0.29,7.47,0.15,8.94,7.48,182.19,8.94,180.97,9.14,9.23
-0.03,6.14,-0.16,7.5,6.14,179.75,7.5,178.77,7.69,7.77
-0.21,5.48,-0.32,6.87,5.48,177.76,6.88,177.37,7.07,7.16
-0.21,5.63,-0.32,7.03,5.64,177.82,7.04,177.43,7.23,7.31
-0.15,5.92,-0.29,7.31,5.92,178.53,7.32,177.76,7.51,7.6
-0.05,6.04,-0.22,7.4,6.04,179.48,7.41,178.27,7.59,7.68
0.22,5.27,0.09,6.56,5.27,182.42,6.56,180.78,6.74,6.82
-0.18,4.8,-0.35,5.58,4.8,177.86,5.59,176.43,5.7,5.75
