u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
7.99,-1.37,8.5,-1.5,8.1,279.7,8.63,280.01,8.46,8.42
8.42,-1.18,8.97,-1.28,8.5,277.97,9.06,278.13,8.88,8.84
8.99,-0.59,9.5,-0.69,9.01,273.75,9.53,274.14,9.36,9.32
9.1,-0.24,9.69,-0.34,9.11,271.51,9.7,272.03,9.51,9.46
8.73,0.38,9.28,0.34,8.74,267.54,9.29,267.88,9.11,9.07
8.3,0.71,8.78,0.75,8.33,265.08,8.82,265.12,8.66,8.62
8.2,1.21,8.72,1.28,8.29,261.58,8.81,261.64,8.65,8.61
7.61,1.8,8.13,1.91,7.82,256.68,8.35,256.8,8.18,8.14
6.77,1.74,7.25,1.84,6.99,255.59,7.48,255.73,7.33,7.29
6.18,1.45,6.69,1.59,6.35,256.75,6.88,256.6,6.71,6.66
4.51,0.74,5.26,0.88,4.57,260.67,5.33,260.54,5.08,5.02
3.55,-0.05,4.54,0.35,3.55,270.89,4.55,265.62,4.23,4.15
3.52,-0.23,4.38,0.38,3.53,273.66,4.4,265.04,4.12,4.05
3.49,-0.36,4.38,0.35,3.51,275.89,4.39,265.44,4.11,4.04
2.86,-0.65,3.76,0.13,2.93,282.72,3.76,268.0,3.49,3.43
2.52,-1.62,3.32,-0.81,3.0,302.7,3.41,283.66,3.28,3.25
3.2,-1.56,4.03,-0.74,3.56,295.94,4.1,280.44,3.93,3.89
2.99,-1.55,4.04,-0.81,3.37,297.33,4.12,281.3,3.88,3.82
2.76,-1.11,4.01,-0.37,2.98,291.9,4.02,275.26,3.69,3.6
1.8,-1.27,3.17,-0.43,2.2,305.26,3.19,277.74,2.87,2.8
1.61,-1.34,2.95,-0.65,2.1,309.79,3.02,282.41,2.72,2.65
1.03,-1.21,2.26,-0.81,1.59,319.63,2.4,289.59,2.14,2.08
1.08,-0.51,1.63,-0.28,1.19,295.26,1.66,279.69,1.51,1.47
2.39,0.94,2.53,0.97,2.57,248.6,2.71,249.05,2.67,2.65
2.71,1.8,2.78,1.87,3.26,236.4,3.35,236.02,3.32,3.32
3.15,1.81,3.19,1.78,3.64,240.09,3.65,240.81,3.65,3.64
3.78,3.09,3.81,3.09,4.88,230.72,4.91,230.95,4.9,4.9
3.49,3.65,3.53,3.66,5.05,223.71,5.08,224.0,5.07,5.07
4.12,5.39,4.16,5.47,6.78,217.35,6.87,217.23,6.84,6.83
3.4,6.36,3.44,6.53,7.21,208.15,7.38,207.76,7.33,7.31
2.31,6.51,2.28,6.72,6.91,199.56,7.1,198.75,7.03,7.02
0.88,6.91,0.75,7.19,6.97,187.3,7.23,185.95,7.14,7.12
-1.14,6.75,-1.35,7.03,6.84,170.4,7.16,169.17,7.06,7.03
-3.94,5.41,-4.31,5.69,6.69,143.96,7.14,142.82,6.99,6.96
-3.55,5.76,-4.16,6.44,6.76,148.33,7.67,147.14,7.38,7.31
-4.33,5.54,-5.48,6.66,7.03,142.02,8.63,140.58,8.11,7.99
-4.99,4.83,-6.48,5.95,6.94,134.02,8.79,132.54,8.2,8.05
-5.73,3.47,-7.39,4.22,6.69,121.22,8.51,119.76,7.93,7.78
-6.38,2.35,-8.11,2.78,6.79,110.2,8.57,108.96,8.0,7.86
-7.14,2.12,-9.14,2.57,7.45,106.55,9.49,105.68,8.84,8.68
-7.24,1.61,-9.3,1.85,7.42,102.5,9.48,101.22,8.82,8.66
-7.48,1.37,-9.61,1.44,7.61,100.34,9.72,98.51,9.04,8.87
-8.01,0.94,-10.27,0.84,8.06,96.68,10.3,94.69,9.58,9.41
-8.22,0.38,-10.49,0.15,8.23,92.68,10.49,90.84,9.76,9.59
-8.26,-0.7,-10.52,-1.16,8.29,85.19,10.58,83.7,9.84,9.67
-8.51,-1.04,-9.63,-1.31,8.58,83.01,9.72,82.23,9.35,9.26
-7.7,-2.04,-8.16,-2.31,7.97,75.14,8.48,74.16,8.32,8.28
-6.21,-2.67,-6.53,-2.94,6.76,66.75,7.16,65.77,7.03,7.0
-5.44,-4.1,-5.75,-4.44,6.81,53.0,7.27,52.33,7.12,7.08
-4.17,-5.84,-4.34,-6.28,7.17,35.53,7.64,34.66,7.49,7.45
-2.34,-6.77,-2.37,-7.25,7.17,19.05,7.63,18.13,7.48,7.45
-1.5,-7.3,-1.5,-7.78,7.45,11.61,7.93,10.91,7.77,7.74
-0.31,-7.7,-0.25,-8.25,7.71,2.32,8.26,1.73,8.08,8.04
1.39,-7.73,1.56,-8.32,7.85,349.79,8.46,349.35,8.27,8.22
4.33,-2.85,4.47,-3.25,5.18,303.33,5.53,306.05,5.42,5.39
6.91,1.21,7.16,0.87,7.01,260.09,7.21,263.05,7.15,7.13
4.07,1.73,4.38,1.37,4.42,246.94,4.59,252.61,4.53,4.52
0.95,2.26,1.25,2.0,2.45,202.91,2.36,212.11,2.39,2.4
-1.94,1.4,-1.34,0.93,2.39,125.89,1.63,124.9,1.88,1.94
-4.07,0.21,-2.93,-0.19,4.07,92.91,2.93,86.25,3.3,3.39
-4.23,-1.3,-3.33,-1.6,4.43,72.89,3.69,64.38,3.93,3.99
11.2,2.29,13.23,3.48,11.43,258.45,13.68,255.27,12.95,12.78
4.34,7.72,5.19,9.74,8.86,209.38,11.03,208.08,10.33,10.16
3.48,6.37,4.29,7.79,7.26,208.65,8.89,208.82,8.37,8.24
2.7,5.16,3.48,6.38,5.83,207.62,7.27,208.56,6.81,6.69
3.29,3.62,4.13,4.57,4.89,222.27,6.16,222.12,5.75,5.65
4.42,3.29,5.13,4.01,5.51,233.3,6.51,232.02,6.19,6.11
6.03,3.55,6.75,4.07,7.0,239.51,7.88,238.95,7.6,7.53
5.72,3.67,6.57,4.38,6.79,237.34,7.9,236.3,7.54,7.45
