u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
-2.08,-3.63,-2.25,-4.01,4.19,29.84,4.6,29.35,4.5,4.48
-1.99,-3.58,-2.06,-3.88,4.09,29.13,4.4,27.97,4.33,4.31
-1.99,-3.79,-2.03,-4.1,4.28,27.73,4.57,26.33,4.51,4.49
-4.26,-1.61,-4.5,-1.82,4.56,69.3,4.86,68.03,4.79,4.77
-6.85,-2.61,-7.33,-2.88,7.33,69.13,7.87,68.51,7.75,7.71
-4.98,-4.63,-5.32,-5.04,6.8,47.07,7.33,46.54,7.21,7.17
-5.97,-4.63,-6.38,-5.04,7.56,52.2,8.14,51.7,8.0,7.96
-6.69,-5.28,-7.17,-5.79,8.52,51.72,9.22,51.06,9.05,9.01
-7.45,-5.27,-8.24,-5.96,9.13,54.73,10.17,54.14,9.92,9.85
-6.57,-2.19,-7.56,-2.67,6.93,71.53,8.02,70.54,7.76,7.69
-6.89,-0.98,-8.26,-1.39,6.96,81.92,8.38,80.46,8.05,7.95
-7.14,-0.95,-8.67,-1.36,7.2,82.41,8.78,81.09,8.41,8.31
-6.96,-1.54,-8.39,-2.08,7.13,77.51,8.65,76.05,8.29,8.19
-5.74,-2.33,-7.01,-3.22,6.2,67.89,7.71,65.33,7.36,7.26
-4.82,-2.64,-5.78,-3.73,5.49,61.3,6.87,57.17,6.55,6.46
-4.35,-3.03,-5.27,-4.33,5.3,55.08,6.82,50.62,6.46,6.36
-4.87,-3.44,-5.87,-4.87,5.96,54.81,7.62,50.34,7.23,7.13
-5.43,-4.18,-6.59,-5.71,6.85,52.41,8.72,49.1,8.28,8.16
-5.41,-4.65,-6.4,-6.15,7.13,49.3,8.88,46.15,8.47,8.35
-3.92,-5.36,-4.64,-7.03,6.64,36.2,8.42,33.45,8.01,7.89
-3.84,-5.82,-4.29,-7.69,6.97,33.42,8.81,29.14,8.38,8.26
-4.93,-3.76,-5.61,-5.15,6.2,52.7,7.62,47.47,7.28,7.19
-5.34,-3.85,-5.89,-5.21,6.58,54.23,7.86,48.51,7.56,7.48
-5.17,-4.35,-5.79,-5.61,6.75,49.92,8.06,45.91,7.75,7.67
-2.36,-5.96,-2.5,-6.74,6.41,21.62,7.19,20.34,7.01,6.96
-0.1,-5.83,0.0,-6.42,5.83,0.96,6.42,359.96,6.28,6.24
-2.46,-2.14,-2.53,-2.41,3.26,49.05,3.5,46.39,3.44,3.43
2.06,-2.37,2.19,-2.47,3.14,319.04,3.3,318.42,3.26,3.25
-0.85,0.9,-0.81,0.94,1.24,136.82,1.24,139.09,1.24,1.24
-0.81,-1.56,-0.78,-1.56,1.76,27.47,1.75,26.49,1.75,1.75
-0.56,0.99,-0.56,1.06,1.14,150.47,1.2,152.11,1.19,1.18
-3.39,0.0,-3.6,0.03,3.39,90.0,3.6,90.53,3.55,3.53
-2.82,-1.96,-3.16,-2.1,3.43,55.22,3.79,56.47,3.71,3.69
-5.29,2.92,-6.31,3.26,6.04,118.86,7.11,117.3,6.86,6.79
-7.0,1.28,-8.19,1.31,7.11,100.35,8.3,99.1,8.02,7.94
-7.68,0.41,-8.94,0.31,7.69,93.05,8.95,91.97,8.65,8.57
-6.24,-0.18,-7.61,-0.38,6.24,88.34,7.62,87.11,7.29,7.2
-5.41,0.38,-6.6,0.18,5.42,94.04,6.6,91.55,6.33,6.25
-4.85,1.44,-5.84,1.3,5.06,106.5,5.99,102.58,5.77,5.71
-3.85,-0.26,-4.91,-0.67,3.86,86.09,4.96,82.21,4.7,4.63
-2.3,1.1,-3.15,0.77,2.55,115.67,3.24,103.66,3.08,3.04
-1.07,3.53,-1.61,3.88,3.69,163.17,4.2,157.41,4.08,4.05
-0.96,4.84,-1.16,5.39,4.93,168.8,5.51,167.82,5.38,5.34
-1.85,5.06,-2.26,5.74,5.38,159.86,6.17,158.48,5.98,5.93
-2.28,4.96,-2.93,5.64,5.46,155.33,6.36,152.59,6.15,6.09
-1.58,4.63,-2.02,5.14,4.89,161.21,5.52,158.58,5.38,5.33
-0.74,5.29,-0.88,5.6,5.34,172.01,5.67,171.07,5.59,5.57
0.26,6.01,0.19,6.32,6.01,182.45,6.32,181.7,6.25,6.23
0.06,5.78,0.03,6.16,5.78,180.62,6.16,180.27,6.07,6.05
0.44,5.78,0.4,6.13,5.8,184.32,6.14,183.77,6.06,6.04
-0.5,7.06,-0.53,7.51,7.08,175.95,7.53,175.94,7.42,7.39
-0.12,8.27,-0.16,8.85,8.27,179.13,8.86,178.98,8.72,8.68
-0.09,8.74,-0.12,9.39,8.74,179.41,9.39,179.24,9.24,9.19
-2.14,9.98,-2.45,10.7,10.21,167.9,10.98,167.12,10.8,10.75
-4.0,11.34,-4.51,12.27,12.02,160.57,13.07,159.8,12.83,12.76
-4.43,11.24,-5.08,12.37,12.08,158.48,13.37,157.67,13.07,12.98
-3.62,10.65,-4.24,11.75,11.25,161.21,12.49,160.16,12.2,12.12
-5.46,8.75,-6.14,9.71,10.31,148.04,11.49,147.68,11.21,11.14
-3.56,8.75,-4.11,9.78,9.45,157.85,10.61,157.2,10.33,10.26
-2.69,8.28,-3.37,9.64,8.7,162.01,10.21,160.74,9.86,9.76
-2.35,8.46,-2.89,9.69,8.78,164.5,10.12,163.38,9.8,9.72
-1.54,7.84,-2.02,9.04,7.99,168.88,9.26,167.41,8.96,8.88
-1.35,7.62,-1.8,8.79,7.74,169.93,8.97,168.44,8.68,8.6
-0.92,7.58,-1.3,8.85,7.64,173.06,8.94,171.66,8.64,8.55
-1.11,7.62,-1.45,8.82,7.7,171.71,8.94,170.66,8.65,8.57
-1.08,7.5,-1.42,8.73,7.58,171.83,8.84,170.78,8.54,8.46
-1.33,7.1,-1.7,8.22,7.22,169.41,8.4,168.31,8.12,8.04
-1.26,6.97,-1.64,8.06,7.09,169.73,8.23,168.52,7.96,7.89
-0.92,6.87,-1.26,8.04,6.94,172.35,8.13,171.07,7.85,7.77
-1.45,7.97,-1.73,8.96,8.1,169.68,9.13,169.1,8.89,8.82
-1.4,8.58,-1.6,9.26,8.69,170.76,9.4,170.2,9.23,9.19
-1.61,8.98,-1.82,9.8,9.12,169.83,9.97,169.5,9.77,9.71
-1.24,10.06,-1.44,10.96,10.14,173.0,11.05,172.5,10.84,10.78
-1.4,9.81,-1.6,10.74,9.91,171.9,10.86,171.52,10.64,10.57
-1.55,10.07,-1.75,10.89,10.19,171.26,11.03,170.85,10.83,10.78
-0.99,10.41,-1.16,11.3,10.46,174.59,11.36,174.15,11.15,11.09
-1.15,9.97,-1.35,10.83,10.04,173.45,10.91,172.89,10.71,10.65
-1.55,9.57,-1.75,10.43,9.69,170.81,10.57,170.45,10.37,10.31
-1.33,9.44,-1.5,10.27,9.54,171.96,10.38,171.66,10.18,10.13
-0.87,9.19,-0.97,10.02,9.23,174.61,10.06,174.46,9.87,9.82
-0.81,9.13,-0.94,10.02,9.17,174.96,10.07,174.63,9.86,9.8
-0.47,9.06,-0.57,10.02,9.07,177.06,10.04,176.76,9.81,9.75
-0.24,7.78,-0.41,8.97,7.78,178.21,8.98,177.37,8.7,8.62
-0.4,7.46,-0.6,8.66,7.47,176.97,8.68,176.03,8.4,8.32
-0.34,7.3,-0.51,8.6,7.31,177.33,8.61,176.61,8.31,8.22
-0.21,7.41,-0.41,8.5,7.41,178.39,8.51,177.22,8.25,8.18
-0.21,7.55,-0.41,8.82,7.56,178.42,8.83,177.32,8.53,8.45
0.22,7.71,0.05,9.01,7.71,181.65,9.01,180.34,8.7,8.62
-0.06,7.62,-0.26,8.88,7.62,179.58,8.89,178.33,8.59,8.5
-0.06,7.96,-0.26,9.29,7.96,179.6,9.29,178.4,8.98,8.89
-0.37,7.93,-0.6,9.23,7.94,177.34,9.25,176.25,8.94,8.85
-0.61,7.65,-0.88,8.85,7.68,175.44,8.89,174.3,8.61,8.53
-0.27,7.59,-0.51,8.82,7.59,177.96,8.83,176.7,8.54,8.46
0.07,7.84,-0.13,9.07,7.84,180.51,9.07,179.15,8.78,8.7
-0.24,7.86,-0.38,8.65,7.86,178.23,8.66,177.49,8.47,8.42
-0.37,8.26,-0.47,9.01,8.26,177.45,9.03,177.01,8.85,8.8
-0.18,8.42,-0.28,9.08,8.42,178.77,9.08,178.21,8.93,8.88
-0.09,8.49,-0.16,9.14,8.49,179.39,9.14,179.01,8.99,8.94
-0.03,9.17,-0.1,9.89,9.17,179.83,9.89,179.44,9.72,9.67
0.19,9.01,0.19,9.73,9.02,181.19,9.74,181.1,9.57,9.52
0.19,9.07,0.19,9.86,9.07,181.18,9.86,181.09,9.68,9.62
0.37,9.19,0.37,9.98,9.2,182.34,9.99,182.15,9.81,9.75
0.62,8.69,0.62,9.45,8.72,184.11,9.47,183.78,9.29,9.24
0.5,8.26,0.47,8.95,8.28,183.46,8.96,182.98,8.8,8.76
0.34,7.58,0.34,8.27,7.59,182.57,8.27,182.37,8.11,8.07
0.37,7.67,0.37,8.49,7.68,182.8,8.5,182.53,8.3,8.25
0.31,6.47,0.28,7.56,6.48,182.76,7.57,182.11,7.31,7.24
0.37,6.47,0.34,7.63,6.48,183.32,7.64,182.56,7.37,7.29
0.26,6.05,0.09,7.35,6.06,182.43,7.35,180.68,7.05,6.97
0.42,5.84,0.21,7.07,5.85,184.08,7.07,181.72,6.79,6.71
0.13,5.26,-0.04,6.38,5.26,181.44,6.38,179.66,6.12,6.04
0.78,5.77,0.81,7.24,5.82,187.68,7.28,186.41,6.94,6.84
0.84,5.77,0.84,7.24,5.83,188.29,7.28,186.63,6.94,6.85
0.78,5.62,0.78,7.02,5.67,187.88,7.06,186.34,6.73,6.64
0.31,5.03,0.25,6.42,5.04,183.56,6.43,182.19,6.1,6.01
0.28,4.99,0.18,6.39,5.0,183.26,6.39,181.64,6.07,5.98
0.1,5.15,-0.04,6.55,5.15,181.08,6.55,179.67,6.22,6.13
0.32,6.38,0.25,7.44,6.39,182.87,7.44,181.92,7.2,7.13
-0.22,8.23,-0.25,9.05,8.23,178.5,9.05,178.42,8.86,8.81
-0.74,8.58,-0.88,9.33,8.61,175.05,9.37,174.62,9.19,9.14
-1.06,8.15,-1.19,8.83,8.21,172.62,8.91,172.31,8.75,8.7
-1.31,7.96,-1.41,8.58,8.06,170.68,8.69,170.67,8.54,8.5
-1.56,7.93,-1.69,8.51,8.08,168.9,8.68,168.76,8.54,8.5
-1.52,8.77,-1.69,9.42,8.9,170.16,9.57,169.82,9.42,9.37
-1.18,9.4,-1.32,10.08,9.47,172.84,10.17,172.56,10.0,9.96
-1.4,9.42,-1.53,10.11,9.53,171.57,10.22,171.37,10.06,10.02
-1.58,9.17,-1.72,9.86,9.31,170.21,10.01,170.1,9.84,9.8
-1.99,9.35,-2.19,10.14,9.56,168.01,10.38,167.81,10.19,10.13
-2.58,9.04,-2.85,9.9,9.4,164.1,10.3,163.93,10.09,10.03
-2.51,8.28,-2.82,9.18,8.66,163.12,9.6,162.91,9.38,9.32
-1.85,7.06,-2.2,8.12,7.3,165.29,8.41,164.87,8.15,8.08
-1.6,6.15,-2.18,7.45,6.36,165.45,7.76,163.71,7.43,7.34
-1.6,5.89,-2.21,7.36,6.11,164.84,7.69,163.29,7.32,7.21
-1.9,5.68,-2.58,7.11,5.99,161.48,7.57,160.03,7.2,7.09
-2.12,5.49,-2.81,6.79,5.89,158.85,7.35,157.55,7.0,6.91
-2.77,5.05,-3.62,6.39,5.76,151.27,7.34,150.43,6.97,6.87
-3.15,4.81,-4.0,6.01,5.75,146.83,7.22,146.35,6.87,6.78
-3.02,4.85,-3.84,6.01,5.71,148.07,7.13,147.41,6.8,6.7
-2.46,5.41,-3.21,6.57,5.94,155.5,7.31,153.93,6.99,6.9
-2.58,5.06,-3.4,6.29,5.68,152.97,7.15,151.6,6.81,6.71
-2.28,4.53,-3.03,5.76,5.07,153.33,6.51,152.28,6.17,6.08
-2.6,4.13,-3.01,4.58,4.88,147.78,5.48,146.63,5.34,5.3
-2.61,4.23,-2.85,4.54,4.97,148.31,5.36,147.86,5.27,5.24
-2.46,3.92,-2.66,4.19,4.62,147.88,4.97,147.57,4.89,4.86
-2.36,4.24,-2.57,4.44,4.85,150.87,5.13,149.98,5.06,5.05
-2.58,4.61,-2.82,4.78,5.29,150.74,5.55,149.47,5.49,5.47
-2.42,4.77,-2.66,4.91,5.35,153.07,5.58,151.52,5.53,5.51
-3.35,5.05,-3.7,5.19,6.06,146.4,6.37,144.53,6.3,6.28
-2.7,5.61,-3.01,5.75,6.23,154.29,6.49,152.38,6.43,6.41
-1.92,7.29,-2.13,7.53,7.54,165.22,7.83,164.21,7.76,7.74
