u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
3.87,1.34,4.11,1.41,4.09,250.86,4.34,251.04,4.26,4.24
4.52,1.81,4.79,1.91,4.87,248.2,5.16,248.27,5.07,5.04
4.74,2.28,5.01,2.38,5.26,244.35,5.54,244.63,5.45,5.43
4.74,2.5,5.08,2.6,5.35,242.22,5.71,242.91,5.59,5.57
4.74,3.37,5.08,3.51,5.81,234.57,6.17,235.37,6.06,6.03
4.68,3.87,5.02,4.04,6.07,230.41,6.44,231.19,6.32,6.29
4.36,3.99,4.7,4.2,5.91,227.54,6.3,228.27,6.18,6.15
3.46,4.55,3.73,4.72,5.72,217.21,6.02,218.31,5.92,5.9
2.8,5.08,3.01,5.36,5.81,208.88,6.14,209.32,6.03,6.01
-1.31,5.95,-1.38,6.56,6.09,167.59,6.7,168.16,6.51,6.46
-2.39,3.14,-2.77,3.45,3.95,142.72,4.42,141.23,4.27,4.23
-0.83,2.83,-1.18,3.27,2.95,163.56,3.47,160.17,3.3,3.26
0.1,2.42,0.03,2.9,2.42,182.26,2.9,180.53,2.75,2.71
-0.07,2.33,0.04,2.78,2.33,178.36,2.78,180.73,2.63,2.6
-0.84,1.58,-0.84,1.82,1.79,152.0,2.01,155.24,1.94,1.92
-1.71,-0.67,-1.81,-0.29,1.84,68.73,1.84,81.0,1.84,1.84
-1.52,-1.24,-1.75,-0.58,1.96,50.8,1.84,71.59,1.88,1.89
-1.08,-1.43,-1.18,-0.6,1.79,37.18,1.32,62.99,1.47,1.51
-1.4,-1.43,-1.39,-0.54,2.0,44.34,1.49,68.87,1.66,1.7
-1.18,-1.5,-1.14,-0.54,1.91,38.28,1.26,64.79,1.47,1.52
-0.57,-0.97,-0.39,-0.06,1.13,30.18,0.4,81.97,0.63,0.69
-0.4,-0.03,-0.54,0.25,0.4,85.24,0.59,114.88,0.53,0.51
0.25,1.12,0.25,1.19,1.15,192.57,1.21,191.88,1.19,1.19
0.56,2.25,0.56,2.31,2.32,194.06,2.38,193.67,2.36,2.35
0.72,2.87,0.79,2.97,2.96,194.02,3.07,194.8,3.04,3.03
1.09,3.18,1.16,3.25,3.37,198.93,3.45,199.65,3.42,3.42
1.28,3.31,1.35,3.41,3.55,201.14,3.67,201.57,3.63,3.62
1.12,3.0,1.19,3.1,3.2,200.51,3.32,200.97,3.28,3.27
0.84,2.5,0.87,2.6,2.63,198.63,2.74,198.61,2.71,2.7
1.03,3.43,1.1,3.57,3.58,196.69,3.74,197.09,3.69,3.68
0.69,4.37,0.69,4.57,4.42,188.95,4.62,188.55,4.56,4.54
-1.75,5.3,-1.81,5.51,5.58,161.78,5.8,161.79,5.73,5.71
-5.95,5.8,-6.29,6.0,8.31,134.25,8.7,133.63,8.57,8.54
-6.23,4.18,-6.7,4.41,7.5,123.83,8.03,123.34,7.86,7.81
-5.66,4.05,-6.35,4.45,6.96,125.55,7.75,125.06,7.5,7.44
-5.47,3.42,-6.29,3.86,6.45,122.02,7.38,121.56,7.08,7.01
-4.75,3.11,-5.78,3.62,5.68,123.2,6.82,122.07,6.45,6.37
-5.0,2.3,-6.13,2.81,5.5,114.68,6.74,114.63,6.34,6.25
-5.46,1.3,-6.8,1.69,5.61,103.44,7.01,103.93,6.56,6.45
-5.55,1.09,-6.96,1.33,5.66,101.09,7.09,100.81,6.63,6.51
-5.49,1.21,-6.8,1.45,5.62,102.45,6.95,102.07,6.53,6.42
-5.37,0.68,-6.58,0.89,5.41,97.25,6.64,97.72,6.24,6.15
-5.03,0.34,-6.27,0.45,5.04,93.89,6.29,94.07,5.89,5.79
-5.21,-0.4,-6.59,-0.3,5.23,85.57,6.6,87.43,6.16,6.05
-5.21,-0.65,-6.74,-0.57,5.25,82.89,6.76,85.14,6.27,6.16
-5.73,-0.09,-6.14,-0.12,5.73,89.08,6.14,88.83,6.01,5.98
-6.08,-0.09,-6.45,-0.16,6.08,89.14,6.45,88.57,6.33,6.3
-6.48,-0.81,-6.82,-0.98,6.53,82.89,6.89,81.81,6.78,6.75
-6.08,-1.18,-6.38,-1.45,6.19,79.02,6.55,77.16,6.43,6.41
-5.46,-1.34,-5.66,-1.58,5.62,76.23,5.88,74.41,5.79,5.77
-4.31,-1.49,-4.37,-1.77,4.56,70.9,4.72,68.01,4.67,4.65
-1.87,-1.43,-1.87,-1.63,2.36,52.68,2.49,48.94,2.45,2.44
-0.53,-2.03,-0.46,-2.23,2.09,14.75,2.28,11.76,2.22,2.21
0.65,-2.37,0.76,-2.61,2.46,344.55,2.71,343.77,2.63,2.61
1.18,-3.37,1.29,-3.64,3.57,340.63,3.86,340.56,3.77,3.74
1.81,-4.11,1.95,-4.45,4.49,336.26,4.86,336.4,4.74,4.71
2.33,-4.7,2.57,-5.25,5.25,333.6,5.84,333.9,5.65,5.61
-3.5,-1.95,-3.22,-2.7,4.01,60.95,4.21,50.03,4.14,4.13
-5.19,-3.25,-5.45,-4.63,6.12,57.98,7.15,49.64,6.82,6.74
-3.77,-4.98,-3.44,-6.76,6.24,37.16,7.59,26.96,7.15,7.05
-2.82,-5.88,-1.79,-7.38,6.52,25.6,7.59,13.64,7.25,7.16
-2.08,-6.94,-0.68,-8.08,7.24,16.68,8.11,4.79,7.83,7.76
-1.67,-8.18,-0.48,-9.31,8.35,11.54,9.32,2.95,9.01,8.93
-1.25,-8.8,-0.19,-10.28,8.89,8.11,10.29,1.08,9.84,9.73
-1.03,-9.2,-0.49,-11.59,9.25,6.39,11.6,2.44,10.85,10.66
-0.22,-9.63,0.2,-12.38,9.64,1.31,12.39,359.06,11.5,11.29
0.99,-9.33,1.44,-12.04,9.38,353.93,12.13,353.16,11.24,11.03
9.91,0.58,11.73,1.14,9.93,266.63,11.78,264.45,11.18,11.04
8.23,1.23,9.71,2.03,8.33,261.48,9.92,258.18,9.41,9.28
6.95,1.89,7.49,2.41,7.2,254.76,7.87,252.17,7.65,7.6
6.54,2.08,7.02,2.39,6.87,252.33,7.41,251.18,7.24,7.19
8.57,4.64,9.28,5.09,9.74,241.55,10.59,241.28,10.32,10.25
9.75,5.11,10.53,5.52,11.01,242.35,11.89,242.36,11.61,11.54
10.25,5.73,11.17,6.18,11.74,240.77,12.76,241.05,12.43,12.35
9.1,6.23,9.88,6.74,11.02,235.59,11.96,235.7,11.66,11.59
8.0,7.7,8.65,8.28,11.1,226.13,11.97,226.27,11.69,11.62
4.8,6.73,5.2,7.2,8.26,215.48,8.89,215.84,8.69,8.64
4.17,8.17,4.48,8.71,9.17,207.08,9.8,207.22,9.6,9.55
3.68,8.54,3.88,9.15,9.3,203.31,9.94,203.0,9.73,9.68
2.68,8.23,2.81,8.84,8.65,198.04,9.27,197.65,9.07,9.03
1.62,8.44,1.69,9.09,8.6,190.87,9.24,190.52,9.03,8.98
-0.15,8.87,-0.19,9.76,8.87,179.0,9.76,178.9,9.47,9.4
-2.36,8.0,-2.63,9.02,8.34,163.54,9.4,163.73,9.06,8.98
-3.33,7.5,-3.67,8.39,8.21,156.06,9.16,156.38,8.85,8.78
-2.52,7.5,-2.83,8.35,7.91,161.42,8.82,161.29,8.53,8.46
-2.27,6.85,-2.54,7.63,7.21,161.65,8.04,161.56,7.78,7.71
-1.28,6.57,-1.45,7.28,6.69,169.01,7.43,168.77,7.19,7.13
-1.74,6.75,-2.02,7.58,6.98,165.54,7.84,165.09,7.56,7.5
-1.52,5.38,-1.83,6.17,5.59,164.21,6.43,163.48,6.16,6.1
-0.78,5.6,-1.02,6.42,5.65,172.11,6.5,170.99,6.22,6.16
-0.5,6.72,-0.7,7.64,6.74,175.78,7.67,174.73,7.37,7.3
-1.24,6.81,-1.59,7.94,6.92,169.66,8.1,168.69,7.72,7.63
-3.05,6.35,-3.43,7.03,7.04,154.34,7.82,154.02,7.57,7.51
-4.14,5.39,-4.59,5.97,6.8,142.45,7.53,142.46,7.29,7.24
-5.98,4.02,-6.45,4.32,7.2,123.89,7.77,123.8,7.59,7.54
-5.85,3.55,-6.37,3.86,6.85,121.23,7.44,121.21,7.25,7.2
-4.8,4.86,-5.28,5.3,6.83,135.37,7.48,135.15,7.27,7.22
-5.33,6.08,-5.8,6.55,8.08,138.76,8.75,138.47,8.54,8.48
-5.92,6.29,-6.46,6.84,8.64,136.76,9.41,136.61,9.16,9.1
-4.92,6.7,-5.33,7.18,8.31,143.7,8.94,143.4,8.74,8.69
-4.98,7.01,-5.46,7.59,8.6,144.58,9.35,144.25,9.11,9.05
-5.23,6.35,-5.68,6.9,8.23,140.52,8.94,140.55,8.71,8.65
-5.98,6.7,-6.53,7.28,8.98,138.24,9.77,138.11,9.52,9.45
-6.13,6.54,-6.75,7.19,8.96,136.83,9.86,136.8,9.57,9.5
-6.04,6.6,-6.72,7.21,8.95,137.55,9.86,137.02,9.57,9.49
