u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
-1.19,-3.04,-1.21,-3.27,3.27,21.39,3.49,20.29,3.45,3.44
-1.32,-3.42,-1.38,-3.64,3.66,21.07,3.9,20.67,3.86,3.85
-1.63,-3.01,-1.69,-3.21,3.42,28.44,3.62,27.75,3.59,3.58
-0.97,-3.82,-1.04,-4.06,3.94,14.25,4.19,14.38,4.15,4.14
-1.66,-4.45,-1.75,-4.79,4.75,20.48,5.1,20.07,5.05,5.03
-2.29,-4.11,-2.42,-4.44,4.7,29.11,5.05,28.58,5.0,4.98
-2.35,-4.42,-2.52,-4.71,5.01,28.0,5.34,28.16,5.29,5.27
-2.38,-5.05,-2.54,-5.48,5.58,25.27,6.04,24.89,5.97,5.95
-2.76,-5.27,-2.96,-5.69,5.95,27.63,6.41,27.48,6.34,6.32
-2.42,-5.02,-2.75,-5.66,5.58,25.72,6.29,25.89,6.18,6.15
-2.27,-3.33,-2.71,-3.95,4.03,34.22,4.79,34.38,4.67,4.64
-1.73,-3.49,-2.14,-4.04,3.89,26.42,4.57,27.96,4.47,4.44
-1.23,-2.49,-1.58,-3.08,2.77,26.3,3.46,27.18,3.36,3.32
-1.26,-1.45,-1.64,-1.87,1.92,41.05,2.49,41.28,2.4,2.38
-1.07,-1.73,-1.46,-2.22,2.04,31.8,2.66,33.19,2.56,2.53
-0.23,-1.33,-0.58,-2.08,1.35,9.74,2.16,15.62,2.03,2.0
0.72,-1.05,0.67,-1.87,1.28,325.6,1.98,340.33,1.88,1.84
0.37,-1.14,0.37,-1.93,1.2,341.86,1.97,349.01,1.85,1.81
0.5,-1.58,0.54,-2.37,1.66,342.46,2.43,347.13,2.31,2.27
0.37,-1.61,0.37,-2.47,1.66,346.93,2.5,351.38,2.37,2.33
0.28,-1.24,0.31,-2.1,1.27,347.14,2.12,351.52,1.99,1.95
0.31,-1.7,0.31,-2.39,1.73,349.61,2.41,352.55,2.31,2.27
0.53,-2.67,0.6,-3.12,2.72,348.71,3.18,349.06,3.11,3.09
0.94,-3.67,1.08,-3.96,3.79,345.61,4.1,344.71,4.05,4.04
0.88,-3.26,0.98,-3.5,3.37,344.9,3.63,344.37,3.59,3.58
0.31,-2.91,0.35,-3.08,2.93,353.88,3.1,353.46,3.08,3.07
-0.97,-2.45,-1.0,-2.6,2.63,21.65,2.79,21.01,2.76,2.76
1.6,-0.09,1.71,-0.06,1.6,273.29,1.71,272.1,1.69,1.69
1.91,-0.53,2.0,-0.56,1.98,285.58,2.08,285.71,2.06,2.06
2.1,-0.44,2.27,-0.5,2.15,281.87,2.32,282.42,2.3,2.29
2.82,-1.28,3.06,-1.31,3.1,294.47,3.33,293.21,3.29,3.28
3.98,-1.32,4.35,-1.38,4.19,288.29,4.56,287.54,4.51,4.49
5.15,0.16,5.97,0.27,5.15,268.24,5.98,267.42,5.85,5.81
1.49,-1.67,2.26,-2.31,2.24,318.32,3.23,315.54,3.08,3.03
1.11,-0.67,1.79,-0.98,1.3,300.94,2.04,298.68,1.92,1.89
1.55,-0.19,2.31,-0.29,1.56,277.04,2.32,277.2,2.21,2.17
2.15,0.29,3.07,0.5,2.17,262.39,3.12,260.8,2.97,2.93
2.19,0.26,3.32,0.54,2.2,263.27,3.37,260.78,3.19,3.13
2.41,0.89,3.53,1.27,2.56,249.77,3.75,250.25,3.57,3.51
0.64,-0.01,1.06,0.04,0.64,270.7,1.06,267.88,1.0,0.98
0.89,-0.48,1.43,-0.5,1.01,298.35,1.52,289.31,1.44,1.42
1.02,-0.16,1.81,-0.04,1.03,279.03,1.81,271.42,1.69,1.65
1.84,0.41,2.89,0.79,1.89,257.4,2.99,254.75,2.83,2.77
1.5,-0.15,2.47,0.25,1.5,275.59,2.48,264.31,2.33,2.29
1.46,0.22,2.12,0.46,1.47,261.39,2.17,257.88,2.06,2.03
1.04,-0.45,1.39,-1.06,1.14,293.52,1.75,307.2,1.66,1.63
1.29,0.06,1.62,0.06,1.29,267.22,1.62,267.79,1.57,1.56
1.41,-0.62,1.62,-0.58,1.54,293.88,1.73,289.79,1.7,1.69
2.6,-0.12,2.87,-0.04,2.61,272.75,2.87,270.85,2.83,2.82
1.69,1.22,1.79,1.39,2.09,234.1,2.27,232.09,2.24,2.23
0.34,2.29,0.31,2.52,2.32,188.49,2.54,187.07,2.51,2.49
