u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
3.06,1.5,3.3,1.56,3.4,243.91,3.65,244.63,3.65,3.65
3.56,1.47,3.8,1.54,3.85,247.58,4.09,247.97,4.09,4.09
3.71,1.53,3.98,1.53,4.01,247.6,4.27,249.03,4.27,4.27
3.37,1.44,3.61,1.4,3.66,246.89,3.87,248.77,3.87,3.87
4.43,1.72,4.73,1.75,4.75,248.8,5.05,249.71,5.05,5.05
5.12,2.37,5.46,2.44,5.64,245.12,5.98,245.93,5.98,5.98
4.68,2.93,5.02,3.0,5.52,237.9,5.85,239.13,5.85,5.85
-0.0,4.99,0.21,5.22,4.99,179.96,5.23,182.27,5.23,5.23
-4.33,5.77,-4.67,6.21,7.21,143.08,7.77,143.04,7.77,7.77
-3.62,5.08,-3.75,5.48,6.24,144.53,6.64,145.63,6.64,6.64
-4.42,3.92,-4.87,4.48,5.91,131.57,6.61,132.6,6.61,6.61
-4.24,2.8,-4.64,3.21,5.08,123.45,5.64,124.62,5.64,5.64
-3.74,2.24,-4.14,2.58,4.36,120.94,4.88,121.92,4.88,4.88
-2.65,2.31,-2.92,2.58,3.51,131.05,3.9,131.48,3.9,3.9
-2.03,2.37,-2.13,2.61,3.12,139.45,3.36,140.83,3.36,3.36
-1.18,2.93,-1.25,3.1,3.16,157.99,3.34,158.02,3.34,3.34
-0.38,2.99,-0.41,3.16,3.02,172.85,3.19,172.58,3.19,3.19
0.5,2.96,0.46,3.06,3.01,189.57,3.1,188.61,3.1,3.1
0.41,2.59,0.27,2.76,2.62,188.95,2.77,185.51,2.77,2.77
1.12,2.43,1.09,2.63,2.68,204.83,2.85,202.45,2.85,2.85
1.99,2.18,2.16,2.42,2.95,222.43,3.25,221.75,3.25,3.25
2.25,2.5,2.24,2.56,3.36,221.98,3.4,221.16,3.4,3.4
2.56,2.78,2.65,2.88,3.77,222.63,3.91,222.68,3.91,3.91
3.34,2.4,3.51,2.54,4.11,234.28,4.33,234.15,4.33,4.33
4.05,2.56,4.32,2.7,4.79,237.73,5.09,238.03,5.09,5.09
4.87,2.71,5.17,2.88,5.57,240.85,5.92,240.84,5.92,5.92
4.77,3.09,5.11,3.26,5.68,237.07,6.06,237.46,6.06,6.06
5.24,4.09,5.58,4.32,6.64,232.06,7.06,232.25,7.06,7.06
5.43,4.43,5.77,4.7,7.0,230.79,7.44,230.85,7.44,7.44
5.86,4.52,6.27,4.83,7.4,232.35,7.92,232.38,7.92,7.92
6.24,5.55,6.68,5.96,8.35,228.34,8.95,228.28,8.95,8.95
5.95,5.99,6.47,6.43,8.44,224.84,9.12,225.16,9.12,9.12
5.86,6.23,6.4,6.74,8.55,223.22,9.3,223.52,9.3,9.3
