u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
5.32,0.25,5.69,0.25,5.32,267.31,5.7,267.49,5.63,5.61
5.72,0.12,6.13,0.12,5.72,268.75,6.13,268.83,6.05,6.03
6.53,0.9,6.94,0.94,6.59,262.13,7.01,262.31,6.93,6.9
6.28,0.69,6.73,0.69,6.32,263.75,6.76,264.17,6.68,6.65
6.32,1.53,6.69,1.56,6.5,256.41,6.87,256.86,6.8,6.78
6.19,2.43,6.6,2.5,6.65,248.57,7.06,249.26,6.98,6.96
7.56,3.42,8.01,3.56,8.3,245.64,8.76,246.01,8.67,8.65
7.77,4.35,8.32,4.63,8.91,240.76,9.52,240.92,9.41,9.37
8.23,4.97,8.95,5.38,9.61,238.88,10.44,238.98,10.28,10.24
5.84,4.53,6.42,4.94,7.39,232.17,8.1,232.39,7.96,7.92
3.71,3.27,4.29,3.92,4.95,228.58,5.82,227.59,5.65,5.6
3.4,2.52,3.92,3.24,4.23,233.4,5.08,230.41,4.92,4.87
3.59,2.36,3.97,3.27,4.29,236.7,5.15,230.49,4.98,4.93
2.81,2.23,3.09,3.08,3.59,231.54,4.37,225.08,4.22,4.17
2.81,2.36,3.09,3.21,3.67,230.01,4.46,223.94,4.3,4.26
2.01,1.73,2.15,2.45,2.65,229.29,3.26,221.31,3.15,3.11
1.7,1.21,1.97,1.89,2.09,234.52,2.73,226.21,2.61,2.57
1.14,-0.18,1.44,0.39,1.15,279.15,1.5,254.8,1.43,1.41
1.07,-0.93,1.45,-0.52,1.42,310.74,1.54,289.72,1.52,1.51
1.19,-1.07,1.64,-0.83,1.6,311.92,1.84,297.04,1.79,1.78
2.66,-0.31,3.04,-0.25,2.68,276.69,3.05,274.64,2.98,2.96
2.64,-0.38,2.75,-0.38,2.67,278.07,2.78,277.77,2.76,2.75
3.17,-0.25,3.35,-0.25,3.18,274.51,3.35,274.27,3.32,3.31
3.8,-0.46,4.0,-0.5,3.83,276.98,4.03,277.12,3.99,3.98
4.88,0.12,5.26,0.12,4.88,268.53,5.26,268.64,5.19,5.16
6.52,3.51,7.01,3.79,7.41,241.71,7.96,241.61,7.86,7.83
5.66,2.92,6.07,3.13,6.37,242.68,6.83,242.73,6.74,6.71
7.0,2.92,7.44,3.13,7.58,247.33,8.08,247.21,7.98,7.95
7.37,3.67,7.85,3.88,8.24,243.52,8.76,243.71,8.66,8.63
7.77,4.1,8.32,4.38,8.79,242.18,9.4,242.25,9.29,9.25
8.39,4.94,9.08,5.32,9.74,239.51,10.52,239.63,10.37,10.32
8.67,5.07,9.39,5.44,10.04,239.69,10.85,239.89,10.7,10.65
8.32,5.56,9.08,6.04,10.01,236.25,10.9,236.36,10.73,10.68
7.66,5.15,8.45,5.7,9.23,236.09,10.19,236.01,10.01,9.95
5.86,3.9,6.64,4.51,7.04,236.34,8.03,235.8,7.84,7.78
4.57,3.21,5.46,3.89,5.59,234.91,6.7,234.51,6.49,6.42
3.83,2.12,4.58,2.77,4.38,241.01,5.35,238.86,5.16,5.11
3.89,1.12,4.68,1.8,4.05,253.92,5.01,248.94,4.83,4.77
3.48,0.78,4.27,1.46,3.57,257.34,4.51,251.13,4.33,4.27
3.91,0.79,4.83,1.26,3.99,258.59,5.0,255.34,4.8,4.74
3.29,0.85,4.08,1.39,3.4,255.5,4.31,251.15,4.14,4.08
3.11,1.03,3.76,1.61,3.28,251.67,4.09,246.85,3.94,3.89
2.68,0.69,3.23,1.3,2.77,255.55,3.48,248.07,3.35,3.31
2.44,0.06,2.89,0.74,2.44,268.61,2.98,255.65,2.88,2.84
2.21,0.07,2.73,0.65,2.21,268.07,2.8,256.67,2.69,2.66
3.55,1.92,3.75,2.19,4.03,241.55,4.35,239.69,4.29,4.27
3.3,3.57,3.5,3.88,4.86,222.69,5.23,222.07,5.16,5.14
2.83,3.61,2.97,3.85,4.59,218.12,4.86,217.66,4.81,4.79
3.08,3.05,3.25,3.25,4.33,225.33,4.6,225.0,4.55,4.53
4.02,2.86,4.19,3.07,4.93,234.57,5.19,233.81,5.14,5.13
4.42,2.55,4.63,2.75,5.1,240.06,5.39,239.25,5.33,5.31
4.48,3.39,4.69,3.6,5.62,232.88,5.91,232.5,5.86,5.84
4.23,2.86,4.41,3.03,5.11,235.97,5.35,235.47,5.3,5.29
4.67,3.23,4.88,3.44,5.68,235.3,5.97,234.8,5.91,5.9
5.14,3.61,5.38,3.82,6.28,234.91,6.59,234.64,6.53,6.52
5.82,4.41,6.13,4.69,7.3,232.8,7.72,232.57,7.64,7.61
6.22,5.07,6.63,5.41,8.02,230.83,8.56,230.79,8.46,8.43
5.78,5.12,6.16,5.57,7.72,228.46,8.31,227.89,8.19,8.16
4.43,4.17,4.98,4.96,6.08,226.72,7.02,225.13,6.84,6.79
3.84,3.82,4.42,4.81,5.41,225.11,6.53,222.58,6.31,6.25
3.34,3.36,3.85,4.31,4.73,224.83,5.78,221.81,5.58,5.52
3.05,2.85,3.6,3.84,4.17,226.97,5.26,223.19,5.05,4.99
2.22,2.48,2.6,3.23,3.33,221.81,4.15,218.78,3.99,3.94
0.98,1.0,1.35,1.58,1.4,224.21,2.08,220.56,1.95,1.91
0.39,0.14,0.69,0.54,0.41,250.51,0.88,231.95,0.79,0.76
0.67,-0.85,0.88,-0.68,1.08,321.58,1.11,307.76,1.11,1.1
0.64,-0.86,0.88,-1.03,1.07,323.46,1.36,319.62,1.3,1.28
