u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
-0.78,3.9,-0.72,4.07,3.97,168.62,4.13,170.02,4.09,4.08
-1.1,4.52,-0.99,4.66,4.65,166.37,4.76,167.95,4.74,4.73
-1.78,4.65,-1.68,4.75,4.98,158.99,5.04,160.5,5.02,5.02
-1.75,4.49,-1.68,4.56,4.82,158.72,4.86,159.76,4.85,4.85
-2.62,4.31,-2.56,4.31,5.04,148.63,5.01,149.3,5.02,5.02
-3.12,4.74,-3.12,4.78,5.68,146.68,5.71,146.86,5.7,5.7
-3.4,4.99,-3.43,5.09,6.03,145.74,6.14,146.01,6.12,6.11
-3.37,5.2,-3.44,5.38,6.2,147.08,6.38,147.4,6.34,6.33
-2.37,5.57,-2.44,5.88,6.05,156.97,6.37,157.48,6.29,6.27
-1.58,5.01,-1.72,5.32,5.25,162.45,5.59,162.06,5.51,5.49
-0.06,4.52,-0.03,5.21,4.52,179.21,5.21,179.68,5.05,5.0
0.15,3.91,0.09,5.17,3.91,182.24,5.17,180.95,4.88,4.8
0.11,4.02,-0.33,5.56,4.02,181.56,5.57,176.56,5.21,5.11
0.11,4.08,-0.37,5.75,4.08,181.54,5.76,176.34,5.37,5.26
-0.07,3.98,-0.69,5.69,3.98,178.97,5.73,173.12,5.32,5.21
-0.87,3.37,-1.92,4.57,3.48,165.62,4.96,157.18,4.61,4.52
-2.54,3.31,-3.74,4.54,4.17,142.51,5.88,140.57,5.48,5.37
-2.97,1.96,-4.2,2.88,3.56,123.35,5.09,124.41,4.73,4.63
-2.35,1.09,-3.61,1.78,2.59,114.99,4.02,116.2,3.69,3.59
-2.44,0.53,-3.77,1.21,2.49,102.29,3.96,107.86,3.62,3.52
-2.49,0.07,-3.9,0.58,2.49,91.64,3.94,98.53,3.6,3.51
-2.42,-0.69,-4.0,-0.49,2.52,74.03,4.03,83.02,3.67,3.58
-1.7,0.44,-2.21,0.47,1.76,104.41,2.26,102.02,2.15,2.11
-2.62,1.25,-2.72,1.22,2.9,115.52,2.98,114.08,2.96,2.96
-3.02,2.06,-3.13,1.96,3.66,124.31,3.69,122.1,3.68,3.68
-3.08,2.44,-3.19,2.34,3.93,128.32,3.95,126.23,3.95,3.95
-3.49,2.57,-3.56,2.4,4.34,126.33,4.29,123.95,4.3,4.31
-4.21,2.6,-4.28,2.43,4.95,121.67,4.92,119.56,4.93,4.93
-4.55,3.22,-4.65,3.09,5.58,125.3,5.58,123.55,5.58,5.58
-5.11,3.72,-5.35,3.61,6.31,126.04,6.45,124.06,6.42,6.41
-4.67,4.27,-4.98,4.27,6.33,132.46,6.56,130.65,6.51,6.49
-4.38,3.68,-4.69,3.68,5.72,130.02,5.97,128.12,5.91,5.89
-4.36,2.59,-4.7,2.52,5.07,120.74,5.33,118.24,5.27,5.25
-3.35,2.21,-3.76,2.21,4.01,123.4,4.36,120.45,4.28,4.26
-2.52,1.19,-3.78,1.98,2.79,115.3,4.27,117.58,3.92,3.82
-3.03,0.9,-4.57,1.96,3.16,106.55,4.97,113.21,4.54,4.42
-3.15,0.47,-4.72,1.32,3.19,98.45,4.91,105.63,4.5,4.39
-4.96,-1.03,-6.5,-1.13,5.06,78.29,6.59,80.13,6.24,6.14
-4.42,-3.29,-6.26,-3.56,5.51,53.35,7.21,60.37,6.81,6.7
-4.47,-4.53,-6.72,-4.84,6.36,44.6,8.28,54.24,7.83,7.71
-4.21,-5.39,-6.57,-6.18,6.84,38.02,9.02,46.77,8.51,8.36
-3.54,-6.64,-5.66,-8.15,7.53,28.08,9.92,34.8,9.36,9.2
-3.37,-8.02,-5.14,-10.11,8.7,22.77,11.34,26.97,10.72,10.55
-3.01,-8.55,-4.34,-10.87,9.06,19.38,11.7,21.76,11.08,10.91
-2.0,-9.07,-3.02,-11.67,9.28,12.42,12.05,14.52,11.4,11.22
-2.09,-8.54,-3.21,-11.1,8.79,13.73,11.56,16.14,10.91,10.73
-2.02,-8.87,-2.36,-10.14,9.1,12.8,10.41,13.09,10.1,10.02
-1.43,-9.97,-1.5,-11.0,10.07,8.17,11.1,7.77,10.86,10.79
0.4,-10.6,0.51,-11.66,10.6,357.82,11.67,357.52,11.42,11.35
1.49,-10.2,1.7,-11.12,10.31,351.67,11.25,351.32,11.03,10.97
1.52,-9.39,1.73,-10.18,9.52,350.8,10.33,350.37,10.14,10.08
1.99,-9.43,2.23,-10.18,9.63,348.1,10.42,347.66,10.24,10.19
2.95,-8.34,3.26,-9.02,8.84,340.5,9.59,340.13,9.42,9.37
2.98,-7.37,3.36,-7.99,7.95,337.98,8.66,337.2,8.5,8.45
3.13,-7.16,3.54,-7.7,7.81,336.35,8.48,335.29,8.32,8.28
4.97,-6.03,5.55,-6.61,7.81,320.52,8.63,319.99,8.44,8.39
10.49,6.59,11.76,7.24,12.39,237.88,13.81,238.39,13.48,13.38
11.89,6.62,13.29,7.33,13.61,240.91,15.18,241.11,14.81,14.71
9.52,8.12,10.82,9.29,12.52,229.53,14.26,229.36,13.85,13.74
7.78,9.8,8.95,11.2,12.51,218.46,14.34,218.61,13.91,13.79
6.05,7.6,6.97,8.76,9.71,218.52,11.19,218.51,10.85,10.75
5.14,6.45,5.93,7.54,8.25,218.57,9.6,218.17,9.28,9.19
4.59,5.39,5.24,6.45,7.08,220.42,8.31,219.1,8.03,7.94
4.32,5.55,4.86,6.47,7.03,217.88,8.09,216.93,7.84,7.77
3.69,4.96,4.17,5.84,6.18,216.67,7.18,215.5,6.95,6.88
4.75,6.26,5.36,7.25,7.86,217.16,9.02,216.47,8.75,8.67
5.52,6.26,6.34,7.35,8.34,221.42,9.71,220.78,9.39,9.3
5.05,5.91,5.77,6.98,7.78,220.5,9.05,219.6,8.75,8.67
4.41,6.64,5.02,7.7,7.97,213.58,9.19,213.12,8.9,8.82
