u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
11.57,-2.37,12.5,-2.47,11.81,281.55,12.75,281.17,12.45,12.37
12.75,-2.58,13.75,-2.72,13.01,281.43,14.02,281.18,13.69,13.62
12.48,-2.21,13.44,-2.25,12.67,280.06,13.63,279.5,13.32,13.25
12.16,-2.24,13.13,-2.31,12.37,280.44,13.33,279.99,13.02,12.95
12.29,-2.95,13.22,-3.06,12.64,283.52,13.57,283.04,13.27,13.2
13.43,-2.34,14.57,-2.37,13.63,279.88,14.76,279.26,14.4,14.31
13.11,-2.2,14.35,-2.28,13.29,279.55,14.53,279.03,14.13,14.03
12.67,-2.03,13.88,-2.06,12.83,279.09,14.03,278.45,13.65,13.55
11.86,-1.53,13.07,-1.53,11.96,277.34,13.16,276.68,12.77,12.68
10.76,-1.21,12.16,-1.22,10.83,276.44,12.22,275.72,11.77,11.67
10.87,-0.81,12.41,-0.75,10.91,274.27,12.44,273.45,11.94,11.82
10.96,-0.19,12.6,-0.16,10.97,270.98,12.6,270.71,12.08,11.95
10.0,-0.25,11.51,-0.22,10.0,271.43,11.51,271.09,11.02,10.91
9.26,-0.37,10.66,-0.44,9.27,272.26,10.67,272.35,10.22,10.11
8.21,-1.05,9.51,-1.16,8.27,277.31,9.58,276.94,9.16,9.06
7.81,-1.12,9.07,-1.19,7.88,278.13,9.15,277.46,8.74,8.64
8.51,0.43,9.94,0.53,8.52,267.12,9.96,266.94,9.5,9.38
8.15,0.59,9.32,0.66,8.18,265.87,9.34,265.97,8.97,8.87
7.38,0.28,8.51,0.34,7.38,267.85,8.51,267.68,8.15,8.06
7.89,0.04,8.88,-0.0,7.89,269.74,8.88,270.0,8.56,8.48
8.75,-0.0,9.53,-0.0,8.75,270.0,9.53,270.0,9.28,9.22
8.62,-0.25,9.38,-0.28,8.62,271.66,9.38,271.72,9.14,9.08
9.68,-0.5,10.47,-0.5,9.7,272.96,10.48,272.73,10.23,10.17
9.99,-1.0,10.72,-1.06,10.04,275.71,10.77,275.66,10.54,10.48
10.49,-1.4,11.28,-1.47,10.59,277.61,11.38,277.42,11.12,11.06
10.99,-1.68,11.88,-1.78,11.11,278.68,12.01,278.53,11.72,11.65
11.76,-1.96,12.63,-2.0,11.92,279.48,12.79,279.0,12.51,12.44
11.18,-3.14,11.97,-3.31,11.62,285.69,12.42,285.47,12.16,12.1
12.29,-3.54,13.25,-3.75,12.79,286.08,13.77,285.8,13.46,13.38
13.37,-3.42,14.5,-3.63,13.8,284.34,14.95,284.03,14.58,14.49
13.89,-2.89,15.1,-3.06,14.19,281.76,15.41,281.47,15.02,14.92
14.01,-2.64,15.32,-2.78,14.26,280.68,15.57,280.29,15.15,15.04
14.21,-2.79,15.73,-2.94,14.49,281.12,16.0,280.58,15.51,15.39
14.18,-1.68,15.82,-1.75,14.28,276.75,15.92,276.31,15.39,15.26
13.27,-1.21,14.95,-1.22,13.32,275.23,15.0,274.66,14.46,14.33
12.74,0.45,14.38,0.66,12.75,267.96,14.4,267.38,13.87,13.74
10.91,1.13,12.41,1.41,10.97,264.08,12.49,263.53,12.0,11.88
10.59,2.22,12.2,2.6,10.82,258.15,12.47,257.98,11.94,11.81
10.06,2.68,11.7,3.1,10.41,255.06,12.1,255.18,11.56,11.43
9.71,3.06,11.32,3.53,10.18,252.51,11.86,252.66,11.32,11.19
8.75,3.4,10.35,3.91,9.39,248.77,11.07,249.31,10.53,10.39
7.11,3.58,8.54,4.1,7.96,243.29,9.47,244.38,8.98,8.87
6.08,3.68,7.44,4.16,7.11,238.85,8.53,240.81,8.07,7.96
6.06,3.18,7.35,3.69,6.84,242.33,8.22,243.34,7.78,7.67
6.31,2.63,7.26,3.03,6.83,247.35,7.86,247.31,7.53,7.45
6.65,1.77,7.03,1.91,6.88,255.12,7.29,254.83,7.16,7.12
5.42,1.62,5.63,1.72,5.65,253.4,5.88,253.01,5.81,5.79
4.12,0.12,4.16,0.22,4.12,268.39,4.16,266.98,4.15,4.14
3.4,-1.34,3.44,-1.34,3.66,291.48,3.69,291.34,3.68,3.68
4.33,-1.94,4.47,-1.94,4.74,294.11,4.87,293.43,4.83,4.82
6.88,-1.54,7.09,-1.5,7.05,282.58,7.25,281.94,7.19,7.17
6.04,-3.27,6.19,-3.37,6.87,298.39,7.05,298.61,6.99,6.98
6.66,-3.45,6.91,-3.56,7.5,297.42,7.77,297.29,7.68,7.66
8.24,-2.33,8.63,-2.44,8.56,285.79,8.96,285.78,8.83,8.8
9.48,-2.12,10.0,-2.19,9.71,282.58,10.24,282.34,10.07,10.03
9.22,-2.55,9.91,-2.66,9.57,285.48,10.26,285.01,10.04,9.98
9.21,-2.27,9.97,-2.37,9.48,283.83,10.25,283.4,10.0,9.94
8.32,-2.18,9.29,-2.28,8.6,284.66,9.56,283.81,9.25,9.18
7.24,-1.49,8.54,-1.56,7.39,281.63,8.68,280.37,8.27,8.17
6.92,-1.12,8.29,-1.16,7.01,279.16,8.37,277.94,7.93,7.83
7.22,-0.34,8.76,-0.34,7.23,272.69,8.76,272.25,8.27,8.15
7.23,1.35,8.66,1.72,7.36,259.46,8.83,258.77,8.36,8.24
7.14,1.63,8.44,1.94,7.33,257.13,8.66,257.07,8.23,8.13
7.01,0.62,8.32,0.69,7.04,264.98,8.35,265.28,7.92,7.82
7.14,-0.58,8.38,-0.75,7.17,274.64,8.41,275.12,8.01,7.92
8.08,-1.02,9.38,-1.25,8.15,277.17,9.46,277.6,9.04,8.94
9.38,-0.62,10.82,-0.72,9.4,273.75,10.84,273.8,10.38,10.27
9.3,-0.83,10.69,-0.97,9.33,275.1,10.74,275.18,10.29,10.18
10.9,-0.87,11.97,-0.97,10.94,274.54,12.01,274.63,11.67,11.58
11.2,-1.4,12.13,-1.5,11.29,277.13,12.22,277.05,11.92,11.85
12.06,-1.24,13.07,-1.34,12.13,275.87,13.14,275.87,12.81,12.73
12.68,-1.45,13.69,-1.56,12.76,276.54,13.78,276.51,13.45,13.37
13.4,-0.81,14.41,-0.78,13.43,273.47,14.43,273.1,14.11,14.03
13.06,-1.15,14.07,-1.19,13.12,275.04,14.12,274.83,13.79,13.72
13.44,-1.8,14.47,-1.84,13.56,277.64,14.59,277.26,14.26,14.18
12.73,-3.29,13.66,-3.44,13.14,284.51,14.09,284.13,13.78,13.71
12.97,-3.33,14.0,-3.44,13.39,284.4,14.42,283.79,14.09,14.01
13.05,-3.11,14.19,-3.22,13.42,283.38,14.55,282.78,14.19,14.1
12.93,-2.37,14.07,-2.41,13.14,280.37,14.27,279.71,13.91,13.82
12.73,-2.18,14.01,-2.25,12.92,279.71,14.19,279.13,13.78,13.68
12.7,-1.99,14.01,-2.03,12.85,278.91,14.15,278.25,13.73,13.63
11.29,-1.68,12.82,-1.75,11.41,278.46,12.94,277.77,12.45,12.33
10.66,-1.3,12.23,-1.38,10.74,276.97,12.3,276.42,11.8,11.68
9.97,-0.88,11.51,-0.88,10.01,275.01,11.54,274.35,11.05,10.93
9.38,0.12,10.85,0.25,9.39,269.3,10.85,268.68,10.38,10.27
8.67,0.92,10.07,1.16,8.72,263.96,10.14,263.44,9.68,9.57
7.88,1.33,9.29,1.56,8.0,260.43,9.42,260.44,8.96,8.85
7.23,0.64,8.54,0.78,7.26,264.93,8.57,264.77,8.15,8.05
6.15,0.8,7.25,0.88,6.21,262.57,7.31,263.12,6.95,6.87
5.5,0.96,6.5,0.94,5.59,260.06,6.57,261.8,6.25,6.18
4.36,1.1,5.22,1.0,4.5,255.86,5.32,259.17,5.05,4.99
3.97,0.66,4.72,0.47,4.02,260.54,4.75,264.35,4.51,4.46
2.81,0.78,3.35,0.72,2.92,254.56,3.42,257.9,3.26,3.22
1.63,-0.09,1.53,-0.16,1.63,273.13,1.54,275.84,1.57,1.57
-0.2,-0.16,-0.44,-0.06,0.26,51.68,0.44,81.99,0.38,0.37
-0.26,-1.45,-0.6,-1.25,1.47,10.05,1.38,25.49,1.41,1.42
-0.04,-2.85,-0.31,-2.75,2.85,0.86,2.77,6.5,2.79,2.8
-0.78,-3.75,-1.13,-3.69,3.83,11.79,3.85,16.98,3.85,3.85
-1.97,-4.43,-2.35,-4.44,4.85,23.99,5.02,27.86,4.96,4.95
-0.82,-4.74,-1.16,-4.78,4.81,9.8,4.92,13.61,4.88,4.88
-0.23,-4.89,-0.53,-4.94,4.9,2.69,4.97,6.16,4.94,4.94
1.55,-5.11,1.28,-5.25,5.33,343.15,5.4,346.3,5.38,5.38
2.88,-4.54,2.75,-4.69,5.38,327.67,5.43,329.61,5.42,5.41
3.71,-4.11,3.62,-4.28,5.54,317.87,5.61,319.76,5.59,5.58
4.39,-3.02,4.44,-3.16,5.33,304.48,5.45,305.43,5.41,5.4
3.49,-1.87,3.44,-1.94,3.96,298.12,3.94,299.42,3.95,3.95
3.02,-1.24,3.31,-1.31,3.27,292.3,3.56,291.62,3.47,3.45
2.44,-1.62,2.59,-1.66,2.93,303.46,3.08,302.56,3.03,3.02
2.45,-1.89,2.56,-2.03,3.1,307.63,3.27,308.41,3.21,3.2
2.81,-1.29,3.06,-1.56,3.09,294.71,3.44,297.06,3.33,3.3
1.94,-1.76,2.12,-2.1,2.62,312.1,2.98,314.6,2.87,2.84
-0.23,-2.9,-0.13,-3.41,2.91,4.6,3.41,2.1,3.25,3.21
-0.16,-2.13,-0.16,-2.88,2.14,4.33,2.88,3.11,2.64,2.58
1.11,-2.0,1.34,-2.79,2.29,331.12,3.09,334.23,2.83,2.77
1.01,-2.63,1.31,-3.44,2.82,339.05,3.68,339.11,3.4,3.34
0.79,-2.43,1.06,-3.07,2.55,341.89,3.25,340.86,3.02,2.97
0.26,-1.29,0.6,-2.07,1.32,348.74,2.15,343.93,1.88,1.82
-0.65,0.17,-0.66,-0.16,0.67,104.68,0.67,76.38,0.67,0.67
-1.71,-1.23,-1.81,-1.6,2.11,54.32,2.42,48.64,2.32,2.29
-1.52,-2.88,-1.69,-3.22,3.26,27.76,3.64,27.66,3.51,3.48
-0.62,-3.6,-0.72,-4.0,3.65,9.71,4.07,10.19,3.93,3.9
-1.62,-4.99,-1.66,-5.47,5.24,17.95,5.72,16.84,5.56,5.53
-1.31,-6.55,-1.22,-7.1,6.68,11.33,7.2,9.74,7.03,6.99
0.67,-6.6,0.94,-7.16,6.64,354.22,7.22,352.53,7.03,6.99
2.52,-6.05,2.69,-6.6,6.55,337.42,7.12,337.83,6.94,6.9
1.64,-6.76,1.84,-7.5,6.96,346.36,7.73,346.19,7.48,7.42
-0.33,-6.91,0.16,-8.39,6.92,2.75,8.39,358.9,7.91,7.8
2.53,-4.68,3.0,-6.48,5.32,331.57,7.14,335.14,6.56,6.41
2.32,0.51,3.76,0.03,2.38,257.63,3.76,269.6,3.32,3.21
4.82,-1.41,5.94,-2.38,5.02,286.25,6.4,291.83,5.96,5.85
4.21,-1.97,5.57,-2.88,4.64,295.08,6.27,297.35,5.75,5.62
1.31,-4.24,2.73,-4.94,4.44,342.79,5.64,331.09,5.26,5.16
3.57,-7.17,5.14,-8.72,8.01,333.5,10.12,329.51,9.44,9.28
9.01,-3.49,11.23,-4.44,9.66,291.15,12.08,291.58,11.3,11.11
10.45,0.02,12.35,0.35,10.45,269.91,12.36,268.39,11.75,11.6
10.54,2.55,12.23,3.1,10.84,256.39,12.61,255.79,12.04,11.9
10.16,2.12,11.7,2.6,10.38,258.2,11.98,257.48,11.47,11.34
10.28,2.99,11.91,3.53,10.7,253.79,12.43,253.48,11.87,11.74
10.12,3.21,11.76,3.69,10.61,252.39,12.32,252.58,11.77,11.64
8.73,3.51,10.16,4.1,9.41,248.08,10.96,248.05,10.46,10.34
6.7,3.84,7.66,4.31,7.72,240.2,8.79,240.61,8.45,8.36
4.69,4.31,5.0,4.66,6.37,227.39,6.83,227.04,6.68,6.65
1.91,2.88,1.75,3.09,3.46,213.55,3.55,209.48,3.52,3.52
-2.16,-0.72,-2.53,-0.66,2.28,71.46,2.62,75.48,2.51,2.48
-2.72,-1.95,-3.13,-1.84,3.35,54.4,3.63,59.47,3.54,3.52
-1.38,-2.41,-1.72,-2.31,2.78,29.8,2.88,36.65,2.85,2.84
-0.97,-3.53,-1.34,-3.47,3.66,15.38,3.72,21.2,3.7,3.69
-2.15,-4.46,-2.63,-4.44,4.95,25.7,5.16,30.62,5.09,5.08
-3.27,-5.39,-3.81,-5.53,6.31,31.26,6.72,34.59,6.59,6.55
-4.59,-5.19,-5.1,-5.47,6.93,41.44,7.48,42.97,7.3,7.26
-5.67,-5.55,-6.19,-6.0,7.94,45.64,8.62,45.88,8.4,8.35
-4.68,-6.15,-5.13,-6.6,7.73,37.3,8.35,37.86,8.15,8.1
-1.73,-5.06,-1.97,-5.41,5.35,18.88,5.75,20.01,5.62,5.59
-1.92,-4.5,-2.19,-4.84,4.89,23.09,5.32,24.31,5.18,5.15
-0.98,-3.53,-1.25,-3.91,3.67,15.51,4.1,17.75,3.96,3.93
0.44,-2.25,0.41,-2.72,2.29,348.98,2.75,351.52,2.6,2.57
1.33,-2.03,1.41,-2.44,2.43,326.83,2.82,330.05,2.69,2.66
1.24,-2.28,1.25,-2.82,2.6,331.49,3.08,336.08,2.93,2.89
1.52,-2.25,1.56,-2.78,2.71,325.99,3.19,330.72,3.04,3.0
0.89,-2.4,1.0,-2.91,2.56,339.61,3.08,341.03,2.91,2.87
2.16,-2.03,2.44,-2.41,2.97,313.29,3.43,314.64,3.28,3.24
2.96,-2.13,3.31,-2.47,3.65,305.75,4.13,306.71,3.98,3.94
3.42,-2.37,3.88,-2.75,4.16,304.78,4.75,305.37,4.56,4.52
3.85,-1.56,4.34,-1.91,4.16,292.04,4.75,293.7,4.56,4.51
3.9,-2.69,4.31,-3.0,4.74,304.65,5.26,304.83,5.09,5.05
5.52,-2.73,5.91,-2.94,6.16,296.31,6.6,296.45,6.46,6.42
6.46,-2.55,6.88,-2.69,6.95,291.56,7.38,291.35,7.24,7.21
6.77,-2.8,7.19,-2.87,7.33,292.48,7.74,291.8,7.61,7.58
8.61,-1.99,9.1,-2.06,8.84,283.01,9.33,282.78,9.17,9.13
10.07,-1.54,10.59,-1.47,10.18,278.68,10.7,277.89,10.53,10.49
11.06,-1.46,11.66,-1.41,11.15,277.54,11.74,276.87,11.55,11.51
10.72,-1.94,11.31,-1.91,10.89,280.25,11.47,279.56,11.29,11.24
10.72,-1.5,11.31,-1.41,10.82,277.97,11.4,277.08,11.21,11.17
10.91,-1.32,11.53,-1.19,10.99,276.91,11.59,275.87,11.4,11.35
