u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
3.05,2.77,3.25,2.94,4.12,227.73,4.39,227.89,4.52,4.61
3.61,2.56,3.82,2.69,4.42,234.71,4.67,234.81,4.79,4.87
4.11,2.12,4.32,2.25,4.62,242.74,4.87,242.43,4.99,5.07
4.85,1.9,5.13,1.97,5.21,248.59,5.49,248.98,5.63,5.73
5.26,2.4,5.54,2.5,5.78,245.53,6.08,245.7,6.22,6.32
5.48,2.93,5.82,3.07,6.21,241.86,6.58,242.22,6.76,6.88
5.76,3.67,6.13,3.88,6.83,237.46,7.26,237.69,7.47,7.61
5.66,4.26,6.07,4.5,7.08,233.01,7.56,233.43,7.79,7.95
5.13,4.79,5.51,5.13,7.02,226.96,7.53,227.02,7.78,7.95
4.87,5.37,5.35,5.89,7.25,222.21,7.96,222.28,8.31,8.53
5.07,5.82,5.9,6.71,7.72,221.06,8.93,221.29,9.53,9.92
4.83,6.09,5.55,7.22,7.78,218.41,9.11,217.55,9.77,10.2
3.47,7.39,3.88,8.72,8.17,205.15,9.55,203.99,10.23,10.68
2.92,6.75,3.29,7.97,7.35,203.37,8.63,202.43,9.26,9.67
2.45,6.4,2.72,7.63,6.85,200.95,8.1,199.66,8.72,9.12
1.46,5.81,1.56,7.0,5.99,194.09,7.18,192.58,7.76,8.15
1.09,5.25,1.16,6.47,5.36,191.74,6.58,190.14,7.18,7.58
1.24,4.56,1.38,5.82,4.72,195.16,5.98,193.29,6.6,7.01
1.92,4.59,2.22,5.98,4.97,202.67,6.38,200.4,7.08,7.54
2.94,4.77,3.29,6.17,5.61,211.65,6.99,208.05,7.68,8.12
3.1,4.23,3.45,5.19,5.25,216.24,6.23,213.6,6.71,7.03
2.92,4.69,3.13,5.07,5.53,211.91,5.96,211.68,6.17,6.31
3.26,4.6,3.5,4.95,5.64,215.33,6.06,215.32,6.27,6.4
3.85,4.42,4.13,4.76,5.86,221.11,6.3,220.95,6.52,6.66
4.67,4.76,5.01,5.04,6.67,224.41,7.1,224.83,7.32,7.46
5.35,5.41,5.7,5.82,7.61,224.71,8.14,224.38,8.41,8.58
4.98,5.51,5.32,5.88,7.42,222.12,7.93,222.13,8.18,8.35
5.1,5.53,5.45,5.95,7.53,222.68,8.06,222.49,8.33,8.5
5.26,6.16,5.63,6.6,8.1,220.48,8.68,220.46,8.97,9.16
4.6,6.01,4.91,6.42,7.57,217.47,8.08,217.44,8.34,8.5
5.32,7.06,5.7,7.54,8.84,216.99,9.45,217.06,9.75,9.95
5.78,8.14,6.26,8.76,9.99,215.38,10.77,215.55,11.16,11.41
5.71,8.39,6.23,9.07,10.15,214.27,11.01,214.47,11.43,11.71
4.66,7.91,5.14,8.77,9.18,210.48,10.16,210.36,10.65,10.97
3.91,8.21,4.35,9.31,9.09,205.45,10.28,205.07,10.86,11.24
2.73,8.24,3.07,9.47,8.68,198.32,9.96,197.97,10.59,11.0
2.64,8.36,2.95,9.66,8.76,197.52,10.1,196.96,10.76,11.19
2.6,8.04,2.91,9.34,8.46,197.93,9.79,197.31,10.45,10.88
2.29,7.02,2.63,8.25,7.39,198.06,8.66,197.69,9.29,9.71
2.38,6.02,2.82,7.29,6.48,201.56,7.81,201.19,8.48,8.91
2.41,5.31,2.85,6.57,5.83,204.4,7.16,203.48,7.82,8.26
2.04,4.53,2.42,5.69,4.97,204.24,6.18,203.01,6.78,7.18
1.64,4.48,1.95,5.4,4.77,200.07,5.74,199.8,6.22,6.54
1.18,3.96,1.28,4.74,4.13,196.61,4.91,195.15,5.3,5.55
1.4,3.54,1.53,4.63,3.8,201.52,4.88,198.33,5.41,5.75
1.06,4.73,1.06,5.07,4.85,192.66,5.18,191.83,5.35,5.46
0.62,4.94,0.56,5.32,4.98,187.21,5.35,185.99,5.53,5.65
0.44,5.6,0.44,5.95,5.62,184.46,5.96,184.21,6.13,6.24
0.56,5.01,0.6,5.38,5.04,186.41,5.42,186.32,5.6,5.73
1.03,4.61,1.06,4.88,4.72,192.57,5.0,192.28,5.13,5.22
1.81,4.79,1.88,5.1,5.12,200.65,5.43,200.19,5.59,5.69
1.34,5.73,1.41,6.07,5.88,193.17,6.23,193.06,6.4,6.52
1.31,5.69,1.41,6.04,5.84,192.91,6.2,193.13,6.38,6.49
1.49,6.53,1.56,6.95,6.7,192.87,7.12,192.68,7.33,7.46
1.49,7.12,1.6,7.57,7.28,191.83,7.74,191.9,7.96,8.11
1.24,7.46,1.35,7.98,7.57,189.45,8.09,189.57,8.35,8.52
1.06,7.24,1.16,7.82,7.32,188.29,7.91,188.42,8.2,8.4
0.69,7.39,0.75,8.08,7.43,185.31,8.11,185.33,8.45,8.68
0.47,6.27,0.53,7.47,6.29,184.24,7.49,184.08,8.08,8.47
0.59,7.01,0.66,8.48,7.03,184.81,8.5,184.44,9.23,9.71
-0.18,7.52,-0.38,8.82,7.52,178.63,8.82,177.51,9.47,9.89
-2.78,5.75,-3.46,6.87,6.38,154.22,7.69,153.3,8.35,8.77
-3.15,5.82,-3.8,6.81,6.62,151.55,7.8,150.83,8.38,8.76
-2.87,4.76,-3.58,5.68,5.56,148.95,6.72,147.77,7.29,7.67
-2.77,3.92,-3.62,4.77,4.8,144.78,5.99,142.83,6.58,6.97
-2.76,3.03,-3.78,3.71,4.1,137.62,5.3,134.43,5.89,6.28
-2.75,2.32,-3.84,2.6,3.6,130.09,4.64,124.02,5.15,5.49
-3.1,0.94,-4.09,0.57,3.24,106.82,4.13,97.95,4.57,4.86
-3.16,-0.12,-4.15,-0.87,3.16,87.76,4.24,78.16,4.78,5.13
-1.08,0.69,-1.62,0.33,1.29,122.69,1.65,101.36,1.83,1.95
-0.5,0.16,-0.57,0.06,0.52,107.73,0.57,95.89,0.59,0.61
0.56,0.44,0.63,0.37,0.71,232.12,0.73,239.47,0.74,0.74
1.62,0.56,1.75,0.56,1.71,250.83,1.84,252.22,1.91,1.95
2.65,1.74,2.82,1.81,3.17,236.62,3.35,237.24,3.44,3.5
2.65,2.22,2.78,2.28,3.45,230.06,3.6,230.64,3.67,3.72
3.55,2.37,3.75,2.47,4.27,236.28,4.49,236.65,4.61,4.68
3.42,2.87,3.63,2.97,4.47,230.04,4.69,230.7,4.8,4.87
3.11,3.08,3.32,3.22,4.38,225.26,4.62,225.84,4.74,4.82
3.05,3.46,3.25,3.56,4.61,221.39,4.82,222.41,4.93,5.0
3.08,3.86,3.29,4.03,4.94,218.61,5.2,219.18,5.33,5.42
3.24,4.58,3.47,4.82,5.6,215.26,5.94,215.81,6.11,6.21
2.42,5.78,2.66,6.29,6.26,202.76,6.83,202.94,7.11,7.3
1.4,5.8,1.6,7.03,5.97,193.52,7.21,192.82,7.83,8.23
0.75,5.79,0.62,7.29,5.84,187.38,7.32,184.83,8.05,8.53
0.63,5.83,0.49,7.19,5.86,186.12,7.21,183.91,7.88,8.32
-2.58,5.09,-3.47,6.12,5.71,153.13,7.03,150.48,7.69,8.12
-4.14,4.8,-5.02,5.55,6.33,139.23,7.49,137.84,8.06,8.43
-3.89,4.02,-4.94,4.74,5.59,135.96,6.84,133.79,7.47,7.87
-3.97,3.68,-5.26,4.3,5.41,132.82,6.79,129.23,7.48,7.92
-3.94,3.25,-5.2,3.73,5.11,129.49,6.4,125.65,7.04,7.46
-3.44,3.4,-4.77,3.88,4.84,134.66,6.15,129.18,6.8,7.22
-3.19,3.34,-4.55,3.85,4.62,136.29,5.96,130.27,6.63,7.06
-2.91,3.14,-4.3,3.7,4.28,137.24,5.67,130.69,6.36,6.81
-2.49,2.31,-2.76,2.28,3.4,132.85,3.58,129.53,3.67,3.73
-2.0,1.31,-2.07,1.25,2.39,123.27,2.41,121.09,2.42,2.43
-1.5,0.75,-1.5,0.75,1.68,116.56,1.68,116.56,1.68,1.68
-0.69,-0.15,-0.65,-0.22,0.7,77.49,0.69,71.35,0.68,0.68
0.97,-0.78,1.03,-0.85,1.24,308.86,1.34,309.3,1.38,1.41
2.96,-1.9,3.16,-2.03,3.51,302.65,3.76,302.74,3.88,3.96
4.89,-2.99,5.2,-3.19,5.73,301.41,6.1,301.56,6.28,6.4
5.63,-2.58,6.01,-2.75,6.19,294.64,6.61,294.63,6.81,6.95
4.92,-2.27,5.19,-2.41,5.41,294.79,5.72,294.89,5.88,5.98
4.39,-1.62,4.7,-1.72,4.68,290.24,5.0,290.13,5.16,5.27
4.05,-0.87,4.32,-0.94,4.14,282.1,4.42,282.24,4.56,4.65
3.49,0.06,3.72,0.06,3.49,268.97,3.73,269.04,3.84,3.92
2.17,0.4,2.38,0.47,2.21,259.5,2.43,258.81,2.53,2.6
1.74,1.24,1.97,1.47,2.13,234.55,2.46,233.25,2.63,2.74
0.97,3.09,0.94,3.64,3.24,197.48,3.76,194.46,4.01,4.18
-0.54,4.66,-0.88,5.39,4.7,173.39,5.46,170.69,5.84,6.09
-2.32,4.05,-2.78,4.4,4.67,150.13,5.2,147.72,5.47,5.65
-4.16,1.98,-4.62,1.99,4.6,115.45,5.03,113.29,5.24,5.37
-3.22,-2.83,-2.92,-3.0,4.29,48.68,4.19,44.2,4.14,4.11
-3.18,-4.63,-3.08,-5.9,5.61,34.5,6.66,27.6,7.17,7.51
-3.27,-5.07,-3.92,-7.25,6.03,32.81,8.24,28.39,9.34,10.06
-3.88,-5.45,-4.84,-7.59,6.69,35.46,9.0,32.49,10.15,10.9
-3.94,-5.76,-4.9,-8.11,6.98,34.39,9.47,31.15,10.71,11.52
-2.94,-6.56,-3.05,-9.21,7.19,24.18,9.7,18.35,10.95,11.77
-2.42,-6.15,-2.56,-8.66,6.61,21.49,9.03,16.48,10.23,11.01
-1.0,-6.77,-0.93,-7.65,6.84,8.4,7.71,6.95,8.14,8.42
0.99,-7.96,1.13,-8.64,8.02,352.89,8.71,352.56,9.06,9.29
4.47,-10.32,4.95,-11.21,11.24,336.57,12.25,336.17,12.75,13.08
7.46,-9.01,8.14,-9.77,11.7,320.4,12.71,320.19,13.22,13.55
8.39,-8.3,9.14,-8.95,11.8,314.69,12.79,314.39,13.29,13.61
8.82,-7.96,9.58,-8.64,11.88,312.04,12.9,312.05,13.41,13.74
8.89,-7.3,9.64,-7.89,11.5,309.42,12.46,309.29,12.93,13.24
8.55,-6.4,9.3,-6.88,10.68,306.83,11.57,306.51,12.01,12.3
8.26,-5.13,9.02,-5.51,9.72,301.84,10.57,301.42,10.98,11.25
12.39,8.14,13.52,8.86,14.82,236.71,16.17,236.78,16.83,17.27
10.83,6.68,12.0,7.3,12.72,238.34,14.04,238.69,14.69,15.12
6.39,7.25,7.14,8.18,9.66,221.36,10.86,221.13,11.45,11.84
4.87,7.55,5.52,8.75,8.98,212.8,10.34,212.23,11.02,11.46
2.58,8.19,2.82,9.73,8.59,197.46,10.13,196.15,10.89,11.39
1.09,7.83,1.06,9.13,7.9,187.93,9.19,186.61,9.83,10.24
2.14,6.59,2.31,7.92,6.93,197.98,8.25,196.29,8.9,9.33
1.4,6.72,1.53,7.81,6.86,191.73,7.96,191.11,8.51,8.86
-0.24,5.35,-0.38,6.24,5.36,177.4,6.25,176.53,6.7,6.99
-3.1,4.1,-3.67,4.99,5.14,142.96,6.2,143.64,6.72,7.07
-2.07,5.82,-2.55,6.68,6.18,160.45,7.15,159.14,7.63,7.94
-2.23,6.19,-2.64,7.18,6.58,160.21,7.65,159.84,8.18,8.53
0.31,6.21,0.25,7.44,6.22,182.88,7.44,181.89,8.05,8.45
1.18,6.12,1.25,7.35,6.23,190.91,7.45,189.65,8.06,8.45
-0.93,7.14,-1.07,7.8,7.2,172.58,7.87,172.21,8.2,8.41
-2.27,5.47,-2.44,5.85,5.92,157.46,6.34,157.35,6.54,6.68
-2.58,3.21,-2.75,3.35,4.12,141.16,4.33,140.54,4.44,4.51
-1.08,4.05,-1.22,4.25,4.19,165.02,4.43,163.99,4.54,4.62
0.56,5.01,0.56,5.25,5.04,186.4,5.28,186.11,5.4,5.48
1.87,5.95,1.94,6.19,6.24,197.43,6.49,197.38,6.61,6.69
