u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
0.75,5.53,0.75,5.95,5.58,187.72,5.99,187.19,5.86,5.83
2.37,5.29,2.4,5.6,5.8,204.11,6.09,203.24,6.0,5.98
3.74,5.44,3.71,5.75,6.61,214.51,6.85,212.83,6.77,6.75
4.81,4.8,4.81,5.0,6.79,225.04,6.94,223.86,6.89,6.88
5.3,4.83,5.4,5.03,7.17,227.67,7.39,227.04,7.31,7.3
5.86,5.04,6.0,5.25,7.73,229.3,7.97,228.81,7.89,7.88
5.92,5.51,6.12,5.82,8.08,227.06,8.45,226.48,8.33,8.3
5.76,5.57,6.0,5.91,8.01,225.98,8.43,225.44,8.29,8.26
5.73,5.97,5.97,6.38,8.27,223.81,8.74,223.09,8.59,8.55
5.67,6.1,5.91,6.51,8.32,222.91,8.79,222.23,8.64,8.6
5.04,6.28,5.32,6.76,8.05,218.77,8.6,218.19,8.42,8.38
4.07,6.33,4.45,6.92,7.53,212.72,8.22,212.73,8.0,7.94
3.01,5.73,3.52,6.72,6.47,207.69,7.58,207.64,7.22,7.14
3.44,6.39,3.82,7.21,7.26,208.33,8.16,207.93,7.87,7.8
3.41,6.66,3.85,7.52,7.49,207.09,8.45,207.13,8.14,8.06
2.76,4.86,3.2,5.65,5.59,209.56,6.49,209.54,6.2,6.13
2.53,4.7,3.08,5.62,5.34,208.33,6.41,208.71,6.06,5.98
2.57,4.77,2.98,5.52,5.42,208.31,6.27,208.35,6.0,5.93
2.76,4.95,3.2,5.87,5.66,209.11,6.69,208.59,6.36,6.28
2.67,4.8,3.07,5.68,5.49,209.06,6.46,208.42,6.15,6.07
2.04,4.32,2.45,5.25,4.78,205.26,5.79,205.03,5.46,5.39
2.68,2.92,3.3,3.71,3.96,222.52,4.96,221.63,4.64,4.56
2.39,3.17,3.15,3.96,3.97,217.05,5.06,218.48,4.71,4.62
3.45,3.85,3.76,4.23,5.17,221.84,5.66,221.63,5.5,5.46
4.01,3.85,4.29,4.16,5.56,226.16,5.98,225.85,5.84,5.81
4.39,3.42,4.63,3.66,5.57,232.04,5.9,231.65,5.79,5.77
5.23,3.52,5.5,3.66,6.3,236.05,6.61,236.39,6.51,6.49
5.2,3.27,5.44,3.41,6.14,237.84,6.42,237.94,6.33,6.31
6.1,3.49,6.38,3.6,7.03,240.22,7.32,240.59,7.23,7.21
6.6,4.11,6.91,4.25,7.78,238.1,8.11,238.42,8.01,7.98
6.88,4.24,7.26,4.44,8.08,238.39,8.51,238.54,8.37,8.34
6.63,4.85,7.01,5.16,8.22,233.8,8.7,233.62,8.55,8.51
5.98,6.16,6.32,6.57,8.58,224.15,9.12,223.89,8.95,8.9
4.92,5.63,5.19,5.97,7.47,221.12,7.92,220.99,7.77,7.74
4.23,5.69,4.54,6.13,7.09,216.64,7.63,216.49,7.45,7.41
4.19,6.33,4.57,6.98,7.59,213.52,8.35,213.21,8.1,8.05
3.41,5.8,3.85,6.55,6.72,210.46,7.6,210.47,7.32,7.25
2.3,5.83,2.54,6.55,6.27,201.51,7.02,201.18,6.78,6.72
2.01,6.05,2.32,6.77,6.37,198.41,7.15,198.93,6.9,6.84
0.86,4.04,1.2,5.0,4.13,192.03,5.14,193.51,4.81,4.73
0.33,3.42,0.6,4.27,3.44,185.56,4.32,188.04,4.03,3.97
1.03,4.25,1.58,5.31,4.37,193.68,5.54,196.57,5.16,5.07
0.73,4.55,1.3,5.85,4.61,189.09,5.99,192.57,5.55,5.44
0.44,4.43,1.05,5.79,4.45,185.72,5.89,190.31,5.42,5.31
0.23,3.99,0.7,5.39,4.0,183.27,5.43,187.45,4.97,4.86
-0.47,4.01,0.11,5.35,4.04,173.36,5.35,181.2,4.92,4.82
-1.08,4.35,-0.64,5.82,4.48,166.09,5.86,173.75,5.41,5.31
-0.37,3.6,-0.21,4.41,3.62,174.05,4.41,177.29,4.16,4.09
0.65,4.78,0.69,5.2,4.83,187.77,5.24,187.54,5.11,5.08
2.12,6.03,2.19,6.48,6.39,199.34,6.84,198.66,6.7,6.66
2.78,7.18,2.78,7.7,7.7,201.15,8.18,199.86,8.03,7.99
2.62,7.0,2.59,7.45,7.47,200.56,7.88,199.19,7.75,7.72
3.68,8.93,3.68,9.55,9.66,202.4,10.23,201.1,10.05,10.0
