u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
1.56,-3.56,1.66,-3.84,3.89,336.32,4.19,336.59,4.09,4.07
1.94,-1.09,2.0,-1.12,2.23,299.44,2.29,299.36,2.27,2.27
1.44,0.62,1.44,0.66,1.57,246.5,1.58,245.2,1.58,1.58
0.31,0.97,0.31,1.0,1.02,197.87,1.05,197.36,1.04,1.04
0.31,0.81,0.31,0.81,0.87,201.04,0.87,201.04,0.87,0.87
0.5,0.84,0.5,0.88,0.98,210.63,1.01,209.75,1.0,1.0
0.62,1.09,0.62,1.12,1.26,209.73,1.29,209.05,1.28,1.28
0.5,1.28,0.5,1.31,1.38,201.31,1.4,200.85,1.4,1.39
0.25,1.28,0.25,1.31,1.31,191.03,1.34,190.78,1.33,1.32
-1.66,0.78,-1.73,0.81,1.83,115.26,1.91,115.2,1.88,1.88
-4.38,0.53,-5.2,0.64,4.42,96.92,5.24,97.02,4.98,4.91
-7.08,1.69,-9.0,2.47,7.28,103.45,9.33,105.36,8.67,8.51
-7.52,1.88,-9.5,2.76,7.75,104.06,9.89,106.2,9.2,9.03
-7.83,1.35,-9.89,2.24,7.95,99.78,10.14,102.75,9.43,9.26
-7.99,0.32,-10.11,0.92,7.99,92.27,10.15,95.17,9.46,9.29
-7.61,-0.28,-9.7,-0.03,7.62,87.9,9.7,89.82,9.03,8.87
-6.52,-1.47,-8.34,-1.8,6.68,77.29,8.53,77.83,7.94,7.79
-4.95,-3.16,-6.12,-4.35,5.88,57.42,7.51,54.61,6.98,6.85
-4.04,-5.33,-4.04,-7.11,6.68,37.15,8.17,29.61,7.69,7.58
-3.1,-7.08,-2.98,-9.14,7.73,23.61,9.62,18.02,9.01,8.86
-3.57,-7.74,-3.85,-10.09,8.52,24.74,10.8,20.89,10.07,9.89
-3.6,-7.02,-4.06,-9.36,7.89,27.15,10.2,23.43,9.45,9.27
-2.35,-7.51,-2.52,-8.67,7.87,17.34,9.02,16.19,8.65,8.56
-1.31,-8.76,-1.38,-9.64,8.86,8.53,9.74,8.12,9.46,9.39
1.0,-7.66,1.1,-8.27,7.73,352.56,8.35,352.42,8.15,8.1
1.88,-6.69,2.02,-7.2,6.95,344.34,7.47,344.35,7.31,7.26
1.47,-5.94,1.6,-6.38,6.12,346.1,6.58,345.92,6.43,6.4
2.56,-5.07,2.74,-5.41,5.68,333.16,6.06,333.1,5.94,5.91
3.28,-4.28,3.52,-4.56,5.4,322.53,5.75,322.34,5.64,5.61
3.78,-3.38,4.02,-3.62,5.07,311.75,5.4,312.01,5.3,5.27
3.88,-2.5,4.08,-2.7,4.61,302.84,4.89,303.54,4.8,4.78
3.69,-1.78,3.89,-1.95,4.1,295.79,4.35,296.66,4.27,4.25
3.44,-1.16,3.64,-1.33,3.63,288.61,3.88,290.05,3.8,3.78
