u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
5.45,0.15,5.83,0.22,5.45,268.39,5.83,267.82,5.71,5.68
5.85,-0.62,6.26,-0.62,5.89,276.09,6.29,275.7,6.16,6.13
6.85,-0.28,7.26,-0.25,6.86,272.37,7.27,271.97,7.14,7.1
6.64,-0.12,7.05,-0.12,6.64,271.08,7.05,271.02,6.92,6.89
6.1,0.65,6.51,0.72,6.14,263.89,6.55,263.67,6.42,6.39
6.14,1.93,6.51,2.03,6.43,252.53,6.82,252.65,6.7,6.67
5.83,3.43,6.2,3.63,6.76,239.53,7.19,239.64,7.05,7.02
4.17,6.79,4.58,7.17,7.97,211.53,8.5,212.56,8.33,8.29
2.55,8.53,2.92,9.15,8.9,196.62,9.6,197.73,9.38,9.32
1.43,8.06,1.67,8.74,8.18,190.04,8.9,190.79,8.67,8.61
0.49,6.66,0.63,7.37,6.67,184.25,7.4,184.9,7.17,7.11
0.28,5.59,0.38,6.41,5.6,182.85,6.42,183.41,6.15,6.09
0.4,4.43,0.51,5.26,4.45,185.2,5.28,185.51,5.01,4.95
0.47,3.63,0.6,4.35,3.66,187.32,4.39,187.91,4.15,4.1
0.59,3.33,0.69,3.74,3.38,190.08,3.8,190.53,3.66,3.63
0.46,2.2,0.74,2.78,2.24,191.86,2.87,194.84,2.67,2.62
1.09,2.3,1.43,2.81,2.54,205.3,3.16,206.96,2.96,2.91
0.49,1.3,0.7,1.74,1.39,200.88,1.88,201.92,1.72,1.68
1.39,0.46,1.77,0.8,1.47,251.89,1.94,245.73,1.79,1.75
2.45,0.17,2.86,0.69,2.46,265.99,2.94,256.49,2.79,2.75
3.29,0.83,3.87,1.41,3.39,255.9,4.12,249.98,3.88,3.83
3.89,0.81,4.17,0.98,3.98,258.29,4.28,256.78,4.18,4.16
4.67,1.68,4.98,1.82,4.97,250.2,5.3,249.93,5.19,5.17
5.58,2.74,5.95,2.94,6.21,243.83,6.64,243.68,6.5,6.47
5.89,3.61,6.26,3.82,6.91,238.45,7.34,238.63,7.2,7.17
4.98,3.98,5.33,4.26,6.38,231.36,6.82,231.37,6.68,6.64
4.61,4.42,4.95,4.73,6.39,226.19,6.85,226.32,6.7,6.66
5.23,4.52,5.58,4.79,6.91,229.2,7.35,229.33,7.21,7.18
5.11,5.36,5.49,5.63,7.4,223.63,7.86,224.25,7.71,7.68
5.38,6.26,5.83,6.64,8.26,220.68,8.83,221.27,8.65,8.6
5.7,7.04,6.21,7.51,9.05,218.99,9.75,219.57,9.52,9.47
5.72,8.16,6.27,8.71,9.97,215.04,10.73,215.76,10.49,10.43
5.75,7.97,6.33,8.62,9.83,215.82,10.69,216.31,10.42,10.35
5.56,7.28,6.15,7.97,9.16,217.39,10.06,217.65,9.77,9.7
4.01,6.55,4.59,7.41,7.68,211.44,8.72,211.78,8.38,8.3
3.29,5.8,3.9,6.73,6.67,209.52,7.78,210.11,7.42,7.34
3.1,4.31,3.75,5.2,5.31,215.72,6.41,215.79,6.06,5.97
3.63,3.5,4.22,4.26,5.05,226.05,5.99,224.72,5.69,5.61
3.88,3.04,4.56,3.72,4.92,231.94,5.89,230.79,5.58,5.5
4.56,2.1,5.42,2.78,5.02,245.28,6.09,242.79,5.75,5.66
4.41,1.89,5.03,2.44,4.8,246.83,5.59,244.14,5.33,5.27
4.22,2.01,5.01,2.73,4.67,244.55,5.7,241.41,5.37,5.29
3.91,1.88,4.69,2.6,4.34,244.27,5.37,240.98,5.04,4.96
3.66,2.01,4.31,2.8,4.18,241.26,5.14,237.02,4.83,4.75
3.32,1.91,3.9,2.81,3.83,240.07,4.81,234.29,4.49,4.42
2.49,2.39,2.63,2.77,3.46,226.19,3.82,223.53,3.7,3.68
1.99,3.8,2.06,4.07,4.29,207.72,4.56,206.88,4.47,4.45
1.49,3.96,1.6,4.26,4.23,200.7,4.55,200.54,4.45,4.42
1.63,3.61,1.69,3.82,3.96,204.21,4.18,203.92,4.11,4.09
2.02,3.49,2.16,3.69,4.03,210.11,4.28,210.31,4.2,4.18
2.52,3.59,2.69,3.76,4.38,215.13,4.62,215.65,4.55,4.53
2.15,5.24,2.32,5.51,5.66,202.3,5.98,202.81,5.88,5.85
2.02,5.23,2.19,5.54,5.61,201.13,5.96,201.6,5.85,5.82
2.18,5.8,2.38,6.1,6.19,200.58,6.55,201.32,6.44,6.41
2.61,7.04,2.82,7.42,7.51,200.37,7.93,200.81,7.8,7.77
2.39,8.04,2.63,8.51,8.38,196.58,8.91,197.18,8.74,8.7
1.68,8.5,1.89,9.05,8.67,191.19,9.24,191.79,9.06,9.01
1.43,8.18,1.63,8.83,8.31,189.89,8.98,190.47,8.77,8.71
0.81,7.18,0.94,8.03,7.22,186.42,8.09,186.7,7.81,7.74
0.34,5.87,0.44,6.76,5.88,183.33,6.77,183.76,6.48,6.41
-0.25,4.12,-0.22,5.08,4.12,176.52,5.08,177.57,4.77,4.7
-0.56,2.87,-0.56,3.73,2.93,168.92,3.77,171.42,3.5,3.43
-0.74,1.97,-0.88,2.79,2.1,159.27,2.93,162.47,2.66,2.6
