u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
-0.16,-2.99,-0.13,-3.2,2.99,3.04,3.2,2.24,3.22,3.23
1.68,-1.09,1.75,-1.16,2.01,302.97,2.1,303.54,2.11,2.11
1.84,-0.0,1.84,-0.0,1.84,270.0,1.84,270.0,1.84,1.84
1.13,0.38,1.13,0.38,1.19,251.57,1.19,251.57,1.19,1.19
1.65,1.72,1.69,1.75,2.38,223.94,2.43,223.96,2.44,2.44
2.03,2.84,2.06,2.94,3.49,215.57,3.59,215.07,3.6,3.6
2.0,3.18,2.0,3.25,3.76,212.14,3.82,211.61,3.82,3.82
1.9,2.81,1.9,2.88,3.39,214.14,3.45,213.49,3.45,3.46
1.53,2.19,1.53,2.19,2.67,214.95,2.67,214.93,2.67,2.67
0.47,2.24,0.37,2.38,2.29,191.88,2.4,188.8,2.41,2.42
0.22,3.81,0.29,4.57,3.82,183.25,4.57,183.57,4.65,4.68
-1.94,3.73,-1.73,4.79,4.21,152.5,5.09,160.09,5.18,5.22
-1.62,2.01,-1.93,3.37,2.57,141.14,3.88,150.29,4.01,4.07
-1.46,0.4,-1.94,1.47,1.51,105.5,2.43,127.16,2.52,2.56
-2.17,-1.03,-2.32,-1.24,2.4,64.61,2.63,61.87,2.65,2.66
-2.56,-1.43,-2.8,-2.25,2.93,60.82,3.59,51.28,3.65,3.68
-2.9,-1.48,-3.15,-2.68,3.26,62.98,4.13,49.61,4.22,4.26
-2.83,-1.39,-3.39,-2.66,3.15,63.86,4.3,51.86,4.42,4.47
-2.25,-1.0,-2.7,-1.94,2.46,65.89,3.32,54.34,3.4,3.44
-2.19,-1.22,-2.43,-2.25,2.5,60.92,3.31,47.26,3.39,3.43
-2.43,-1.27,-2.81,-2.54,2.74,62.4,3.79,47.86,3.89,3.93
-2.15,-0.99,-2.33,-2.16,2.37,65.3,3.17,47.16,3.25,3.29
