u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
-1.99,-0.03,-2.06,0.0,1.99,89.01,2.06,90.0,2.05,2.04
-1.56,-0.49,-1.66,-0.6,1.63,72.41,1.76,70.23,1.74,1.73
-0.44,2.59,-0.44,2.59,2.63,170.41,2.63,170.41,2.63,2.63
-4.3,2.24,-4.57,2.28,4.85,117.56,5.11,116.49,5.06,5.04
-3.64,2.87,-3.91,2.94,4.63,128.24,4.89,126.89,4.84,4.83
-2.77,2.97,-2.91,2.97,4.06,136.94,4.15,135.56,4.14,4.13
-2.27,4.12,-2.41,4.19,4.7,151.12,4.83,150.09,4.81,4.8
-2.61,3.43,-2.78,3.5,4.31,142.72,4.47,141.5,4.44,4.43
-2.67,3.18,-2.88,3.25,4.16,139.95,4.34,138.45,4.3,4.29
-3.35,3.17,-3.7,3.38,4.62,133.41,5.01,132.43,4.93,4.91
-4.29,3.75,-5.45,4.16,5.7,131.19,6.86,127.39,6.62,6.56
-7.98,0.41,-9.58,0.24,7.99,92.94,9.59,91.44,9.26,9.17
-8.7,-0.71,-10.17,-0.98,8.73,85.35,10.22,84.49,9.92,9.83
-8.39,-0.52,-9.86,-0.83,8.41,86.45,9.9,85.2,9.6,9.51
-8.8,-1.58,-10.27,-1.99,8.94,79.84,10.46,79.06,10.16,10.07
-8.71,-1.11,-10.08,-1.42,8.78,82.73,10.18,81.99,9.9,9.81
-8.05,-1.85,-9.55,-2.3,8.26,77.03,9.83,76.47,9.51,9.42
-8.14,-2.88,-9.75,-3.69,8.63,70.54,10.42,69.25,10.06,9.96
-7.65,-6.27,-8.95,-7.98,9.89,50.64,11.99,48.28,11.57,11.44
-4.11,-5.2,-4.8,-7.18,6.63,38.35,8.63,33.77,8.23,8.11
-2.3,-4.68,-2.44,-6.87,5.22,26.14,7.29,19.54,6.87,6.75
-3.39,-3.43,-3.49,-5.14,4.82,44.63,6.21,34.23,5.93,5.85
-1.78,-6.73,-1.78,-7.82,6.96,14.8,8.02,12.81,7.81,7.75
-0.9,-10.38,-0.94,-11.37,10.42,4.97,11.41,4.71,11.21,11.15
0.03,-11.81,0.1,-12.9,11.81,359.86,12.9,359.57,12.68,12.62
1.61,-11.66,1.82,-12.72,11.77,352.13,12.85,351.87,12.63,12.57
3.88,-11.56,4.29,-12.52,12.2,341.44,13.24,341.08,13.03,12.97
6.81,-8.7,7.42,-9.46,11.05,321.97,12.02,321.87,11.83,11.77
5.59,-8.08,6.14,-8.77,9.83,325.33,10.71,325.0,10.53,10.48
6.0,-7.37,6.55,-7.95,9.5,320.84,10.3,320.53,10.14,10.09
4.38,-6.27,4.92,-6.92,7.65,325.1,8.5,324.58,8.33,8.28
6.77,-6.49,7.46,-7.18,9.38,313.8,10.35,313.91,10.16,10.1
4.65,-5.27,5.3,-6.05,7.03,318.53,8.05,318.78,7.84,7.78
3.43,-2.04,4.28,-3.1,3.99,300.74,5.28,305.89,5.02,4.95
-1.97,2.44,-1.93,2.07,3.14,141.2,2.83,136.99,2.89,2.91
-5.97,2.55,-6.36,3.95,6.49,113.15,7.48,121.88,7.28,7.23
-5.59,-0.52,-6.65,-0.01,5.61,84.68,6.65,89.92,6.44,6.38
-5.84,-0.15,-6.37,0.39,5.85,88.51,6.39,93.54,6.28,6.25
-5.07,-4.49,-6.57,-4.23,6.77,48.43,7.81,57.27,7.6,7.54
-2.14,-5.95,-2.31,-6.75,6.33,19.76,7.14,18.91,6.97,6.93
-1.95,-7.48,-0.24,-8.38,7.73,14.61,8.38,1.66,8.25,8.21
0.53,-8.8,1.31,-10.81,8.81,356.56,10.89,353.08,10.48,10.35
0.34,-9.32,0.41,-11.81,9.32,357.91,11.82,358.02,11.32,11.17
-0.72,-13.55,-0.75,-16.22,13.57,3.02,16.24,2.65,15.7,15.54
-0.56,-14.95,-0.66,-17.65,14.96,2.13,17.66,2.14,17.12,16.96
-0.78,-15.41,-0.81,-17.7,15.43,2.89,17.72,2.63,17.26,17.12
0.74,-15.89,0.88,-17.8,15.9,357.32,17.83,357.17,17.44,17.33
2.51,-14.59,2.82,-16.2,14.81,350.22,16.45,350.12,16.12,16.02
2.26,-13.73,2.54,-15.1,13.92,350.64,15.31,350.46,15.03,14.95
1.92,-14.61,2.2,-15.94,14.73,352.5,16.09,352.15,15.82,15.74
3.88,-14.04,4.29,-15.31,14.57,344.55,15.9,344.34,15.64,15.56
5.93,-12.58,6.51,-13.85,13.91,334.75,15.3,334.8,15.02,14.94
6.02,-10.46,6.8,-11.69,12.07,330.1,13.53,329.81,13.23,13.15
10.39,-2.5,11.73,-3.12,10.69,283.53,12.13,284.88,11.84,11.76
1.18,6.29,1.25,7.9,6.4,190.63,8.0,188.99,7.68,7.58
2.15,8.39,2.25,9.08,8.66,194.35,9.35,193.92,9.21,9.17
1.44,9.16,1.4,10.02,9.27,188.92,10.12,187.98,9.95,9.9
-0.43,6.36,-0.57,7.28,6.37,176.12,7.3,175.54,7.11,7.06
-0.79,3.24,-1.24,4.13,3.33,166.25,4.31,163.32,4.11,4.05
-0.91,0.79,-1.49,1.17,1.21,131.02,1.89,128.09,1.76,1.72
-1.93,1.4,-2.68,1.43,2.38,125.85,3.04,118.1,2.91,2.87
-2.93,0.16,-3.91,0.12,2.93,93.12,3.92,91.83,3.72,3.66
3.5,4.87,3.71,6.07,6.0,215.71,7.11,211.45,6.89,6.82
6.63,6.41,7.72,7.54,9.22,225.95,10.79,225.69,10.48,10.38
6.08,6.6,6.97,7.66,8.97,222.65,10.35,222.29,10.08,9.99
4.9,5.79,5.62,6.78,7.59,220.21,8.81,219.62,8.56,8.49
4.78,6.04,5.43,7.1,7.7,218.37,8.94,217.41,8.69,8.61
3.32,6.51,3.76,7.53,7.31,207.03,8.42,206.55,8.2,8.13
2.14,5.48,2.51,6.47,5.88,201.32,6.94,201.23,6.73,6.67
2.15,7.15,2.35,7.83,7.46,196.71,8.18,196.71,8.03,7.99
1.31,7.03,1.44,7.54,7.15,190.52,7.68,190.82,7.57,7.54
0.5,7.1,0.5,7.54,7.12,184.03,7.56,183.79,7.47,7.44
-0.28,6.76,-0.35,7.13,6.76,177.64,7.14,177.22,7.07,7.04
-0.99,6.23,-1.1,6.57,6.31,170.94,6.66,170.53,6.59,6.57
-1.31,6.45,-1.44,6.79,6.58,168.55,6.94,168.0,6.87,6.85
-2.21,6.29,-2.38,6.57,6.67,160.66,6.99,160.08,6.92,6.9
-2.58,5.89,-2.79,6.16,6.43,156.31,6.77,155.66,6.7,6.68
-2.17,5.54,-2.38,5.78,5.95,158.58,6.25,157.63,6.19,6.18
-1.65,6.04,-1.85,6.28,6.26,164.76,6.55,163.59,6.49,6.48
-1.33,6.95,-1.57,7.25,7.07,169.13,7.42,167.77,7.35,7.33
-1.33,8.47,-1.57,8.95,8.57,171.05,9.08,170.03,8.98,8.95
-1.85,8.3,-2.13,8.88,8.51,167.4,9.14,166.52,9.01,8.97
-1.48,7.58,-1.92,8.47,7.72,168.95,8.68,167.2,8.49,8.43
-2.43,5.79,-3.41,6.62,6.28,157.29,7.45,152.7,7.21,7.14
-3.2,4.46,-4.32,5.01,5.49,144.37,6.62,139.21,6.39,6.32
-3.79,3.44,-5.05,3.85,5.12,132.24,6.35,127.33,6.1,6.03
-3.94,3.1,-5.2,3.54,5.01,128.18,6.3,124.26,6.04,5.96
-3.57,2.72,-4.73,3.13,4.49,127.32,5.68,123.52,5.44,5.37
-3.22,2.91,-4.45,3.32,4.34,132.07,5.56,126.73,5.31,5.24
-3.78,2.07,-5.11,2.41,4.31,118.71,5.65,115.27,5.38,5.3
-3.56,2.17,-4.96,2.35,4.17,121.43,5.49,115.32,5.22,5.14
-4.06,2.01,-5.53,2.32,4.53,116.4,5.99,112.8,5.7,5.61
-3.87,2.07,-5.41,2.48,4.39,118.14,5.95,114.66,5.63,5.54
-5.0,1.78,-5.62,1.81,5.31,109.57,5.9,107.89,5.78,5.75
-5.16,3.39,-5.64,3.6,6.17,123.3,6.69,122.52,6.59,6.56
-5.41,3.42,-5.82,3.63,6.4,122.33,6.86,121.94,6.77,6.74
