u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
1.0,-3.58,1.09,-3.78,3.72,344.4,3.93,343.9,4.03,4.09
3.13,-3.26,3.28,-3.4,4.52,316.12,4.72,316.07,4.82,4.87
3.96,-3.42,4.11,-3.59,5.23,310.85,5.46,311.15,5.56,5.62
2.58,-3.11,2.78,-3.28,4.04,320.29,4.3,319.72,4.41,4.49
2.27,-3.14,2.42,-3.25,3.88,324.18,4.05,323.33,4.13,4.18
2.76,-1.85,2.9,-1.96,3.32,303.82,3.51,304.1,3.59,3.64
2.63,-1.35,2.78,-1.46,2.96,297.11,3.14,297.81,3.22,3.27
1.88,-1.85,1.98,-1.92,2.64,314.45,2.76,314.08,2.81,2.85
1.36,-2.55,1.53,-2.78,2.89,332.01,3.17,331.19,3.3,3.37
-6.02,-2.8,-7.13,-3.47,6.64,65.09,7.93,64.07,8.51,8.88
-6.22,-1.98,-7.47,-2.64,6.53,72.38,7.92,70.55,8.56,8.95
-6.57,-1.54,-7.98,-2.2,6.75,76.82,8.28,74.59,8.97,9.41
-6.53,-1.82,-7.92,-2.6,6.78,74.4,8.33,71.8,9.04,9.48
-5.6,-1.86,-7.04,-2.71,5.9,71.64,7.55,68.95,8.29,8.76
-4.43,-1.95,-5.7,-2.82,4.84,66.27,6.36,63.71,7.05,7.48
-3.62,-1.4,-5.02,-2.01,3.88,68.82,5.41,68.17,6.11,6.54
-3.34,-1.35,-4.58,-2.06,3.6,67.96,5.02,65.8,5.66,6.07
-3.92,-1.2,-5.0,-2.07,4.1,73.01,5.41,67.56,6.01,6.39
-3.76,-0.95,-4.68,-1.91,3.88,75.85,5.06,67.84,5.59,5.92
-3.26,-0.82,-4.0,-1.78,3.37,75.83,4.38,66.0,4.84,5.13
-2.37,-0.63,-3.23,-1.4,2.45,75.18,3.52,66.59,4.0,4.31
-1.51,-0.0,-1.65,-0.22,1.51,90.0,1.67,82.25,1.74,1.78
-0.31,-0.82,-0.31,-0.88,0.88,20.81,0.93,19.65,0.95,0.97
0.87,-0.79,0.92,-0.86,1.18,311.93,1.26,312.99,1.29,1.32
1.35,-0.25,1.33,-0.25,1.37,280.5,1.35,280.65,1.35,1.34
0.44,2.7,0.39,2.84,2.73,189.21,2.87,187.87,2.93,2.97
-0.76,1.57,-0.86,1.62,1.75,154.21,1.84,152.18,1.88,1.91
-1.05,1.13,-1.32,1.28,1.55,137.08,1.84,134.01,1.97,2.05
-1.48,3.39,-1.7,3.59,3.7,156.4,3.97,154.69,4.09,4.17
-3.43,2.05,-3.7,2.17,3.99,120.81,4.29,120.41,4.42,4.5
-5.73,0.31,-6.36,0.31,5.74,93.12,6.37,92.81,6.65,6.83
-7.1,-0.25,-7.9,-0.29,7.11,87.98,7.91,87.86,8.28,8.5
-7.32,-1.64,-8.64,-1.93,7.5,77.34,8.85,77.41,9.47,9.85
-7.48,-0.95,-8.92,-1.13,7.54,82.78,8.99,82.75,9.65,10.06
-7.58,-0.66,-9.13,-0.73,7.61,85.01,9.16,85.41,9.87,10.31
-7.07,-0.76,-8.48,-0.9,7.11,83.87,8.53,83.92,9.17,9.58
-7.04,-1.46,-8.61,-1.7,7.19,78.31,8.78,78.85,9.5,9.96
-7.14,-1.33,-8.74,-1.62,7.26,79.44,8.89,79.51,9.63,10.09
-6.51,-1.68,-7.96,-2.08,6.72,75.52,8.23,75.34,8.92,9.35
-6.89,-2.39,-8.49,-3.07,7.29,70.9,9.03,70.09,9.82,10.31
-6.16,-1.18,-7.63,-1.67,6.27,79.15,7.81,77.64,8.51,8.96
-6.0,-1.02,-7.31,-1.39,6.08,80.36,7.44,79.2,8.06,8.45
-6.16,-0.86,-7.54,-1.21,6.22,82.07,7.64,80.9,8.28,8.69
-6.38,-0.63,-7.84,-0.87,6.41,84.32,7.88,83.68,8.55,8.97
-6.09,-0.7,-7.37,-0.97,6.13,83.47,7.44,82.47,8.03,8.41
-6.21,-1.8,-6.68,-2.12,6.47,73.79,7.01,72.41,7.25,7.41
-5.39,-2.64,-5.76,-2.88,6.0,63.86,6.44,63.4,6.64,6.77
