u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
3.05,5.53,3.25,5.95,6.32,208.85,6.78,208.69,6.63,6.59
2.74,5.26,2.94,5.6,5.93,207.5,6.33,207.71,6.2,6.17
2.92,4.92,3.16,5.26,5.72,210.74,6.14,211.02,6.0,5.97
2.89,5.07,3.16,5.41,5.83,209.68,6.27,210.3,6.13,6.09
3.11,5.85,3.35,6.22,6.62,208.02,7.07,208.29,6.93,6.89
3.39,6.85,3.66,7.29,7.64,206.33,8.16,206.67,7.99,7.95
2.3,8.08,2.5,8.67,8.4,195.87,9.02,196.12,8.82,8.77
1.06,8.71,1.13,9.36,8.77,186.91,9.43,186.86,9.21,9.16
0.99,9.57,1.1,10.39,9.62,185.92,10.45,186.02,10.18,10.12
-0.09,9.81,-0.16,10.84,9.81,179.47,10.84,179.16,10.51,10.43
-0.81,8.86,-0.94,10.16,8.89,174.81,10.2,174.7,9.78,9.68
-2.14,8.39,-2.48,9.69,8.66,165.71,10.0,165.65,9.57,9.47
-2.29,7.64,-2.67,8.97,7.98,163.31,9.36,163.45,8.92,8.81
-1.7,7.27,-2.01,8.67,7.46,166.83,8.9,166.95,8.43,8.32
-2.26,7.04,-2.73,8.48,7.4,162.25,8.91,162.13,8.42,8.3
-3.27,5.81,-4.02,6.97,6.67,150.64,8.05,150.02,7.6,7.49
-3.03,6.06,-3.71,7.29,6.77,153.46,8.18,153.03,7.72,7.61
-2.96,6.28,-3.61,7.37,6.95,154.74,8.21,153.9,7.8,7.71
-3.25,5.98,-3.83,6.9,6.8,151.47,7.89,150.97,7.54,7.46
-3.69,5.64,-4.2,6.39,6.73,146.82,7.65,146.69,7.35,7.28
-3.94,5.52,-4.48,6.2,6.78,144.5,7.65,144.15,7.37,7.3
-4.06,6.14,-4.51,6.86,7.36,146.54,8.21,146.7,7.94,7.87
-4.28,6.53,-4.7,7.07,7.81,146.72,8.49,146.43,8.27,8.22
-4.47,6.31,-4.92,6.82,7.73,144.69,8.41,144.23,8.19,8.14
-3.97,6.25,-4.38,6.7,7.4,147.56,8.0,146.79,7.81,7.76
-3.2,6.44,-3.51,6.88,7.19,153.56,7.73,152.99,7.55,7.51
-2.92,7.0,-3.2,7.48,7.58,157.33,8.13,156.86,7.96,7.91
-2.61,7.03,-2.85,7.51,7.5,159.62,8.03,159.21,7.86,7.82
-2.67,7.65,-2.95,8.17,8.1,160.74,8.68,160.17,8.5,8.45
-2.05,8.34,-2.32,8.89,8.59,166.2,9.19,165.37,8.99,8.95
-1.05,9.39,-1.29,10.01,9.45,173.63,10.09,172.67,9.89,9.84
-0.21,10.5,-0.41,11.33,10.51,178.87,11.34,177.91,11.07,11.0
0.1,10.75,-0.04,11.64,10.75,180.52,11.64,179.82,11.35,11.28
0.41,11.42,0.34,12.55,11.43,182.06,12.56,181.56,12.19,12.11
0.31,11.23,0.28,12.63,11.23,181.59,12.63,181.27,12.18,12.07
-0.96,10.82,-1.23,12.42,10.86,174.94,12.48,174.35,11.96,11.83
-1.85,9.69,-2.36,11.33,9.87,169.17,11.57,168.22,11.02,10.89
-3.09,8.69,-3.8,10.26,9.22,160.43,10.94,159.66,10.39,10.26
-3.03,7.73,-3.74,9.17,8.3,158.63,9.9,157.8,9.39,9.26
-2.81,6.8,-3.52,8.1,7.36,157.55,8.83,156.48,8.36,8.24
-2.78,6.49,-3.59,7.79,7.06,156.84,8.58,155.24,8.09,7.97
-2.65,5.93,-3.57,7.22,6.49,155.9,8.06,153.73,7.55,7.43
-3.08,5.55,-4.17,6.75,6.35,150.97,7.93,148.32,7.42,7.3
-3.57,4.93,-4.89,6.02,6.08,144.1,7.76,140.93,7.22,7.09
-3.9,4.71,-5.4,5.71,6.12,140.39,7.85,136.61,7.29,7.16
-3.94,3.46,-5.2,4.01,5.25,131.3,6.57,127.66,6.14,6.04
-4.46,2.51,-5.21,2.72,5.12,119.42,5.88,117.58,5.63,5.57
-4.57,2.68,-4.98,2.72,5.3,120.4,5.67,118.62,5.55,5.52
-3.54,2.87,-3.82,2.94,4.56,129.0,4.82,127.58,4.73,4.71
-2.55,3.61,-2.79,3.75,4.42,144.79,4.67,143.38,4.59,4.57
-2.61,4.58,-2.82,4.82,5.27,150.29,5.58,149.68,5.48,5.45
-2.8,5.14,-3.04,5.41,5.85,151.43,6.21,150.7,6.09,6.06
-3.24,5.94,-3.51,6.25,6.77,151.44,7.17,150.71,7.04,7.01
-3.79,6.57,-4.13,6.95,7.58,150.01,8.08,149.24,7.92,7.88
-4.22,6.62,-4.63,7.07,7.85,147.49,8.45,146.76,8.26,8.21
