u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
8.32,-3.87,9.05,-4.45,9.18,294.95,10.08,296.21,9.79,9.72
6.8,-4.1,7.42,-4.57,7.94,301.05,8.72,301.65,8.47,8.41
6.18,-3.67,6.76,-4.01,7.18,300.68,7.86,300.66,7.64,7.59
6.67,-3.91,7.39,-4.39,7.73,300.36,8.6,300.69,8.32,8.25
7.31,1.03,8.37,1.06,7.38,262.0,8.44,262.77,8.1,8.02
4.5,6.71,5.01,7.26,8.08,213.83,8.82,214.61,8.59,8.53
0.19,13.41,0.22,14.78,13.41,180.8,14.78,180.86,14.34,14.23
-0.28,12.64,-0.31,13.9,12.64,178.74,13.91,178.71,13.5,13.4
-0.22,8.31,-0.09,9.37,8.31,178.47,9.37,179.46,9.03,8.95
-2.3,6.63,-2.5,7.55,7.02,160.88,7.96,161.66,7.65,7.58
-1.76,4.02,-2.17,4.74,4.39,156.4,5.21,155.42,4.94,4.88
-0.63,3.67,-1.21,4.36,3.73,170.25,4.52,164.51,4.27,4.2
-1.26,3.89,-1.93,4.51,4.08,162.09,4.91,156.79,4.64,4.58
-1.24,5.48,-1.74,6.33,5.61,167.29,6.57,164.63,6.26,6.19
-2.94,9.98,-3.42,11.35,10.4,163.56,11.85,163.22,11.38,11.27
-2.72,3.74,-3.2,4.49,4.63,143.97,5.51,144.53,5.23,5.16
-2.71,4.28,-3.43,4.89,5.06,147.6,5.97,144.97,5.68,5.61
-0.78,5.75,-1.8,6.55,5.81,172.25,6.79,164.66,6.47,6.4
-2.49,4.77,-3.67,5.84,5.39,152.45,6.9,147.81,6.41,6.29
-2.36,4.78,-3.55,6.04,5.33,153.74,7.0,149.59,6.47,6.34
-3.24,6.12,-4.06,7.48,6.93,152.1,8.51,151.53,8.0,7.88
-2.71,7.27,-3.56,8.34,7.76,159.59,9.06,156.89,8.65,8.54
-4.99,3.67,-6.49,4.39,6.2,126.34,7.83,124.1,7.31,7.18
-5.0,3.31,-6.0,3.79,6.0,123.49,7.09,122.31,6.74,6.66
-7.08,3.42,-7.77,3.66,7.86,115.75,8.58,115.22,8.35,8.3
-9.25,3.26,-10.05,3.54,9.81,109.42,10.65,109.4,10.38,10.32
-6.21,-1.47,-6.82,-1.5,6.38,76.72,6.99,77.6,6.79,6.74
-10.99,0.13,-12.05,0.09,10.99,90.65,12.05,90.44,11.71,11.63
-12.46,0.28,-13.46,0.15,12.47,91.31,13.46,90.64,13.14,13.06
-9.27,1.16,-10.24,1.03,9.35,97.13,10.29,95.72,9.99,9.91
-11.64,0.69,-12.77,0.46,11.66,93.42,12.78,92.06,12.42,12.33
-10.15,-0.64,-11.21,-0.98,10.17,86.4,11.25,85.01,10.91,10.82
-2.06,2.1,-2.67,1.77,2.95,135.6,3.21,123.45,3.12,3.1
-6.97,3.38,-8.03,3.76,7.75,115.88,8.86,115.08,8.5,8.42
-6.3,2.36,-7.66,2.5,6.72,110.55,8.06,108.07,7.63,7.53
-4.34,2.7,-5.47,2.87,5.12,121.86,6.18,117.72,5.84,5.75
-2.67,3.73,-3.59,4.42,4.59,144.42,5.7,140.91,5.34,5.25
-0.86,7.09,-1.13,8.25,7.14,173.08,8.33,172.18,7.94,7.85
-1.21,7.87,-1.38,8.9,7.96,171.28,9.01,171.19,8.67,8.59
-0.47,5.32,-0.57,6.18,5.34,175.01,6.2,174.76,5.93,5.86
1.37,5.45,1.47,6.27,5.62,194.09,6.44,193.2,6.18,6.11
1.9,4.95,2.03,5.77,5.3,200.96,6.12,199.41,5.85,5.79
3.45,4.78,3.69,5.36,5.89,215.85,6.51,214.57,6.31,6.26
3.94,4.62,4.25,5.17,6.08,220.46,6.7,219.45,6.5,6.45
3.38,5.68,3.72,6.36,6.61,210.77,7.37,210.35,7.13,7.07
2.64,5.21,2.91,5.8,5.84,206.84,6.49,206.68,6.28,6.23
3.14,5.99,3.45,6.51,6.76,207.64,7.36,207.9,7.17,7.12
3.17,5.16,3.47,5.57,6.05,211.54,6.57,211.96,6.4,6.36
4.66,5.53,5.14,6.04,7.23,220.13,7.93,220.38,7.7,7.65
6.46,6.0,7.05,6.51,8.82,227.14,9.59,227.25,9.34,9.28
7.37,6.62,7.95,7.23,9.9,228.07,10.75,227.7,10.48,10.41
8.08,6.8,8.7,7.42,10.56,229.91,11.43,229.54,11.15,11.09
8.39,7.21,9.01,7.86,11.06,229.35,11.96,228.91,11.67,11.6
8.27,7.58,8.92,8.27,11.22,227.48,12.16,227.18,11.86,11.78
7.96,7.73,8.61,8.45,11.1,225.81,12.07,225.52,11.75,11.68
7.49,7.8,8.14,8.48,10.81,223.86,11.76,223.82,11.45,11.38
7.21,7.77,7.89,8.49,10.6,222.85,11.59,222.92,11.27,11.19
6.39,7.2,7.08,7.99,9.63,221.61,10.67,221.55,10.34,10.25
4.53,6.5,5.14,7.53,7.92,214.83,9.12,214.33,8.73,8.64
4.15,6.31,4.77,7.44,7.55,213.34,8.83,212.66,8.42,8.32
4.3,5.72,5.02,6.91,7.16,216.96,8.54,215.99,8.1,7.99
4.05,4.87,4.87,6.13,6.33,219.71,7.83,218.43,7.35,7.23
3.39,3.94,4.15,5.03,5.2,220.73,6.52,219.48,6.1,5.99
2.25,3.57,2.93,4.62,4.22,212.23,5.47,212.35,5.07,4.97
1.94,2.86,2.58,3.75,3.45,214.1,4.55,214.59,4.2,4.11
