u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
1.56,2.4,1.62,2.5,2.86,212.99,2.98,213.02,2.94,2.93
1.68,2.31,1.75,2.41,2.85,216.09,2.98,216.0,2.94,2.93
2.12,2.4,2.19,2.53,3.2,221.48,3.35,220.81,3.3,3.29
2.37,2.18,2.5,2.32,3.22,227.36,3.41,227.23,3.35,3.33
3.86,2.31,4.07,2.41,4.5,239.16,4.73,239.37,4.65,4.63
5.64,2.86,5.91,3.13,6.32,243.1,6.69,242.08,6.57,6.54
6.6,3.98,6.95,4.32,7.71,238.93,8.18,238.12,8.03,7.99
7.16,4.47,7.57,4.88,8.44,238.01,9.01,237.18,8.83,8.78
6.03,5.01,6.45,5.42,7.84,230.32,8.42,229.96,8.23,8.19
2.58,5.9,2.88,6.38,6.44,203.58,7.0,204.31,6.82,6.78
-0.03,6.48,-0.06,7.33,6.48,179.76,7.33,179.51,7.06,6.99
0.84,6.97,0.84,8.0,7.02,186.87,8.04,186.01,7.71,7.63
0.9,6.46,0.94,7.69,6.52,187.95,7.75,186.95,7.35,7.26
0.75,5.5,0.68,6.76,5.55,187.77,6.79,185.77,6.39,6.29
2.51,4.13,2.88,5.22,4.83,211.25,5.96,208.91,5.6,5.51
3.28,4.9,3.82,6.23,5.89,213.77,7.31,211.55,6.85,6.74
2.6,4.93,3.07,6.23,5.58,207.75,6.95,206.27,6.5,6.4
1.92,3.88,2.29,5.04,4.33,206.28,5.53,204.46,5.14,5.05
1.48,3.59,1.85,4.79,3.89,202.35,5.13,201.17,4.73,4.63
1.08,3.73,1.38,4.82,3.89,196.07,5.01,196.01,4.65,4.56
0.06,3.17,0.26,4.19,3.17,181.0,4.2,183.52,3.87,3.79
0.4,3.08,0.54,3.62,3.1,187.46,3.66,188.45,3.48,3.43
0.87,4.19,0.97,4.54,4.28,191.69,4.64,192.08,4.52,4.5
1.37,4.79,1.5,5.13,4.98,195.93,5.35,196.33,5.23,5.2
1.87,5.19,2.0,5.57,5.52,199.78,5.92,199.79,5.79,5.76
1.58,5.29,1.72,5.63,5.52,196.66,5.89,196.99,5.77,5.74
2.15,5.1,2.28,5.38,5.54,202.8,5.84,203.0,5.74,5.72
2.65,4.98,2.82,5.25,5.64,207.99,5.96,208.2,5.86,5.83
2.99,4.98,3.16,5.25,5.8,210.95,6.13,211.01,6.03,6.0
3.65,5.98,3.85,6.32,7.0,211.38,7.4,211.35,7.27,7.24
