u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
-4.21,8.33,-4.73,8.98,9.33,153.18,10.15,152.24,9.69,9.62
-3.6,8.95,-3.98,9.54,9.65,158.09,10.33,157.37,9.95,9.9
-4.07,9.54,-4.44,10.16,10.37,156.92,11.09,156.39,10.69,10.63
-3.6,9.64,-3.94,10.26,10.29,159.52,10.99,158.97,10.6,10.54
-3.41,8.74,-3.72,9.29,9.38,158.66,10.01,158.16,9.66,9.61
-3.29,9.45,-3.6,10.04,10.01,160.82,10.66,160.28,10.3,10.24
-2.86,10.13,-3.13,10.82,10.53,164.24,11.27,163.86,10.85,10.79
-2.51,10.37,-2.79,11.17,10.67,166.39,11.51,165.99,11.04,10.97
-3.16,11.11,-3.47,12.08,11.56,164.11,12.57,163.96,12.0,11.92
-3.81,9.51,-4.39,10.74,10.24,158.18,11.6,157.78,10.85,10.73
-3.18,9.32,-3.73,10.55,9.85,161.15,11.19,160.54,10.45,10.33
-3.15,10.47,-3.67,11.77,10.94,163.24,12.33,162.7,11.56,11.44
-3.99,10.26,-4.7,11.87,11.01,158.77,12.77,158.39,11.79,11.64
-4.3,10.37,-4.98,11.87,11.22,157.48,12.87,157.24,11.96,11.82
-4.85,10.55,-5.67,12.12,11.62,155.31,13.39,154.93,12.4,12.25
-6.19,10.87,-7.14,12.37,12.5,150.35,14.29,150.0,13.29,13.15
-6.99,11.21,-8.02,12.68,13.21,148.05,15.0,147.7,14.0,13.85
-7.86,11.15,-9.05,12.56,13.64,144.84,15.48,144.21,14.46,14.3
-7.64,10.44,-8.77,11.81,12.94,143.79,14.71,143.39,13.72,13.57
-7.43,10.29,-8.52,11.59,12.69,144.17,14.38,143.67,13.44,13.3
-7.33,10.0,-8.46,11.34,12.4,143.76,14.14,143.27,13.17,13.03
-7.78,10.49,-8.61,11.48,13.06,143.43,14.35,143.15,13.63,13.53
-7.88,10.15,-8.67,11.08,12.85,142.17,14.07,141.95,13.39,13.29
-7.67,10.12,-8.35,11.01,12.7,142.86,13.82,142.82,13.2,13.1
-7.35,10.03,-8.01,10.86,12.44,143.76,13.49,143.59,12.91,12.82
-6.74,10.12,-7.35,10.98,12.16,146.36,13.22,146.19,12.63,12.54
-6.15,10.44,-6.7,11.26,12.11,149.5,13.1,149.26,12.55,12.47
-6.15,11.12,-6.7,12.01,12.71,151.07,13.75,150.87,13.17,13.08
-5.62,11.22,-6.13,12.08,12.55,153.4,13.55,153.08,12.99,12.91
-4.78,11.1,-5.29,11.95,12.08,156.69,13.07,156.12,12.52,12.44
-4.47,11.52,-4.91,12.42,12.36,158.81,13.36,158.41,12.8,12.72
-4.22,12.2,-4.66,13.2,12.91,160.94,14.0,160.54,13.4,13.3
-4.22,12.63,-4.66,13.8,13.32,161.54,14.57,161.33,13.87,13.77
-5.15,12.78,-5.7,14.08,13.78,158.06,15.19,157.98,14.4,14.29
-5.14,12.38,-5.92,14.16,13.4,157.45,15.35,157.3,14.26,14.1
-5.88,12.47,-6.77,14.32,13.79,154.75,15.83,154.7,14.69,14.52
