u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
0.22,2.5,0.32,2.53,2.51,184.97,2.55,187.28,2.55,2.55
0.72,0.85,0.79,0.81,1.11,220.32,1.13,224.06,1.13,1.14
-1.19,-3.43,-1.15,-3.64,3.63,19.09,3.81,17.57,3.84,3.85
-3.37,0.88,-3.36,0.88,3.48,104.55,3.48,104.58,3.48,3.48
-4.27,0.19,-4.4,0.11,4.28,92.51,4.4,91.5,4.42,4.43
-1.97,1.19,-2.07,1.15,2.3,121.12,2.37,119.05,2.38,2.39
-0.84,2.06,-0.84,2.06,2.23,157.79,2.23,157.87,2.23,2.23
-1.25,3.03,-1.25,3.06,3.28,157.58,3.31,157.8,3.31,3.31
-2.62,3.28,-2.76,3.38,4.2,141.33,4.36,140.73,4.38,4.39
-3.74,4.05,-4.14,4.4,5.51,137.32,6.04,136.68,6.11,6.15
-5.44,3.33,-6.68,3.71,6.38,121.5,7.64,119.04,7.81,7.89
-6.53,2.87,-7.84,3.17,7.13,113.69,8.46,112.02,8.64,8.72
-6.81,0.5,-8.5,0.56,6.83,94.17,8.52,93.78,8.76,8.86
-6.03,-2.67,-7.62,-3.47,6.59,66.09,8.37,65.51,8.62,8.73
-5.1,-4.06,-6.41,-5.66,6.52,51.45,8.55,48.59,8.83,8.96
-5.53,-2.26,-6.77,-3.76,5.97,67.82,7.74,60.97,7.98,8.09
-5.1,-3.62,-6.19,-5.43,6.25,54.61,8.24,48.78,8.51,8.63
-4.69,-5.92,-5.76,-8.0,7.56,38.38,9.86,35.75,10.17,10.31
-4.32,-7.2,-5.32,-9.45,8.4,30.96,10.84,29.39,11.18,11.33
-4.57,-8.2,-5.43,-10.56,9.39,29.15,11.87,27.24,12.21,12.37
-3.76,-8.08,-4.49,-10.43,8.91,24.99,11.35,23.28,11.69,11.84
-4.14,-8.67,-4.84,-10.93,9.61,25.53,11.95,23.87,12.27,12.42
-4.49,-9.79,-4.9,-10.88,10.77,24.64,11.93,24.22,12.09,12.17
-3.96,-10.13,-4.16,-11.05,10.88,21.36,11.81,20.64,11.94,11.99
-2.28,-10.72,-2.34,-11.68,10.96,11.99,11.91,11.33,12.04,12.1
-0.63,-11.0,-0.63,-12.06,11.02,3.25,12.08,2.97,12.22,12.29
1.46,-10.66,1.63,-11.51,10.76,352.18,11.63,351.92,11.75,11.8
3.68,-9.07,4.02,-9.79,9.79,337.93,10.58,337.68,10.69,10.74
4.52,-7.54,4.93,-8.19,8.79,329.07,9.56,328.95,9.67,9.71
4.11,-7.48,4.52,-8.03,8.54,331.21,9.21,330.63,9.31,9.35
3.12,-7.04,3.46,-7.69,7.7,336.14,8.43,335.79,8.53,8.58
3.93,-7.14,4.37,-7.78,8.14,331.19,8.92,330.68,9.03,9.08
1.59,-6.82,1.86,-7.61,7.01,346.91,7.84,346.28,7.95,8.0
0.62,-6.0,1.03,-7.21,6.03,354.14,7.28,351.86,7.45,7.53
-0.82,-6.9,-0.5,-8.48,6.95,6.74,8.49,3.35,8.7,8.8
-1.35,-7.61,-1.09,-9.64,7.73,10.03,9.7,6.48,9.97,10.1
-1.65,-8.45,-1.51,-10.83,8.61,11.08,10.94,7.92,11.26,11.4
-2.31,-9.85,-2.4,-12.44,10.12,13.18,12.67,10.92,13.02,13.18
-2.68,-9.95,-2.78,-12.44,10.3,15.08,12.75,12.58,13.08,13.23
-3.86,-11.1,-4.44,-13.56,11.75,19.17,14.26,18.14,14.61,14.77
-4.33,-11.29,-4.98,-13.82,12.09,20.97,14.68,19.81,15.04,15.2
-4.61,-12.82,-5.08,-15.31,13.62,19.78,16.13,18.37,16.47,16.63
-2.62,-13.2,-2.75,-15.64,13.45,11.23,15.88,9.97,16.22,16.37
-1.97,-12.92,-2.0,-15.22,13.06,8.66,15.35,7.48,15.67,15.81
-2.06,-12.2,-2.12,-14.36,12.37,9.58,14.52,8.41,14.82,14.95
-3.12,-12.27,-3.29,-14.06,12.66,14.26,14.44,13.16,14.68,14.79
-2.62,-14.17,-2.69,-15.78,14.42,10.48,16.0,9.67,16.22,16.32
-2.28,-15.08,-2.41,-16.65,15.25,8.58,16.83,8.24,17.04,17.14
-0.62,-15.18,-0.62,-16.72,15.19,2.36,16.73,2.14,16.94,17.03
1.03,-14.62,1.2,-16.02,14.65,355.98,16.06,355.72,16.26,16.34
2.96,-14.34,3.27,-15.63,14.64,348.33,15.97,348.19,16.15,16.24
3.46,-14.53,3.83,-15.82,14.93,346.61,16.28,346.38,16.46,16.55
4.36,-13.9,4.9,-15.29,14.57,342.58,16.06,342.22,16.27,16.36
6.82,-8.81,7.78,-10.02,11.15,322.27,12.69,322.15,12.9,12.99
5.76,-7.85,6.55,-8.88,9.74,323.73,11.04,323.59,11.22,11.3
6.22,-5.69,7.43,-6.79,8.43,312.45,10.07,312.44,10.29,10.39
3.83,7.25,4.16,8.7,8.2,207.85,9.64,205.57,9.84,9.93
2.84,5.69,3.11,6.93,6.36,206.49,7.59,204.16,7.76,7.84
3.33,5.72,3.74,6.97,6.62,210.22,7.91,208.26,8.08,8.16
-1.52,4.81,-2.28,6.26,5.05,162.5,6.66,159.96,6.89,6.99
-5.69,2.57,-6.87,3.54,6.25,114.33,7.73,117.3,7.93,8.02
-6.9,-2.21,-8.67,-2.56,7.25,72.23,9.04,73.57,9.28,9.39
-0.73,1.26,-1.53,0.49,1.46,149.8,1.61,107.8,1.63,1.64
6.32,3.12,7.2,3.1,7.05,243.72,7.84,246.67,7.95,8.0
4.2,7.0,4.89,8.21,8.17,210.97,9.55,210.79,9.74,9.83
3.77,5.14,4.35,5.93,6.37,216.26,7.35,216.3,7.49,7.55
3.74,6.63,4.18,7.49,7.61,209.4,8.58,209.18,8.71,8.77
2.68,7.29,3.02,8.25,7.76,200.18,8.78,200.11,8.92,8.99
1.87,8.35,2.07,9.24,8.56,192.62,9.47,192.65,9.59,9.65
0.93,8.85,1.04,9.63,8.9,186.03,9.68,186.14,9.79,9.84
-0.37,7.98,-0.41,8.66,7.99,177.31,8.66,177.28,8.76,8.8
-1.09,7.7,-1.16,8.28,7.78,171.93,8.36,172.02,8.44,8.48
-1.31,7.52,-1.45,8.03,7.63,170.12,8.16,169.78,8.23,8.27
-1.68,6.61,-1.82,7.02,6.82,165.71,7.25,165.45,7.31,7.34
-2.12,5.74,-2.26,6.05,6.12,159.71,6.45,159.5,6.5,6.52
-2.43,5.46,-2.57,5.73,5.98,155.97,6.28,155.84,6.33,6.35
-2.46,5.77,-2.63,6.11,6.27,156.88,6.65,156.67,6.7,6.73
-2.81,5.62,-3.01,5.92,6.28,153.45,6.64,153.05,6.69,6.72
-3.31,5.18,-3.51,5.48,6.14,147.44,6.51,147.38,6.56,6.58
-3.96,5.12,-4.16,5.42,6.47,142.25,6.83,142.49,6.88,6.91
-4.62,5.58,-4.88,5.92,7.24,140.42,7.68,140.48,7.74,7.76
-6.92,3.96,-7.49,4.3,7.97,119.77,8.64,119.83,8.73,8.77
-8.03,2.9,-9.19,3.27,8.54,109.82,9.76,109.58,9.93,10.0
-6.91,2.96,-8.29,3.44,7.51,113.18,8.97,112.55,9.17,9.27
-6.19,3.39,-7.47,4.01,7.06,118.73,8.48,118.27,8.67,8.76
-5.82,3.33,-6.99,3.92,6.7,119.79,8.01,119.25,8.19,8.27
-5.48,3.55,-6.69,4.2,6.52,122.94,7.9,122.13,8.09,8.17
-5.26,3.64,-6.46,4.33,6.39,124.7,7.78,123.79,7.97,8.06
-4.85,4.2,-6.09,5.02,6.41,130.9,7.89,129.52,8.1,8.19
-5.31,4.35,-6.66,5.28,6.87,129.32,8.5,128.42,8.73,8.83
-5.97,4.04,-7.35,4.84,7.21,124.12,8.8,123.35,9.02,9.12
-5.56,4.04,-6.84,4.87,6.88,126.01,8.4,125.46,8.61,8.7
-5.47,3.11,-6.82,3.84,6.29,119.61,7.83,119.34,8.04,8.13
-5.92,3.24,-6.47,3.58,6.75,118.69,7.39,118.98,7.48,7.52
-5.11,3.68,-5.48,3.91,6.3,125.73,6.74,125.5,6.8,6.82
-3.99,5.93,-4.33,6.26,7.14,146.04,7.61,145.31,7.68,7.71
-4.93,4.93,-5.3,5.2,6.97,135.02,7.42,134.46,7.48,7.51
-4.58,5.05,-4.88,5.32,6.82,137.79,7.22,137.45,7.28,7.3
-3.96,4.9,-4.23,5.14,6.3,141.04,6.66,140.5,6.7,6.73
-3.74,2.75,-3.95,2.85,4.64,126.27,4.87,125.82,4.9,4.91
-2.5,4.71,-2.63,4.89,5.33,152.09,5.55,151.66,5.58,5.59
-2.56,4.99,-2.69,5.16,5.61,152.89,5.82,152.49,5.85,5.86
-2.37,5.34,-2.47,5.57,5.84,156.04,6.1,156.06,6.13,6.15
-2.81,5.49,-2.94,5.69,6.17,152.93,6.4,152.69,6.43,6.45
-3.84,6.21,-4.07,6.55,7.3,148.29,7.71,148.11,7.77,7.79
-6.26,5.67,-6.98,6.18,8.45,132.17,9.32,131.54,9.44,9.5
-7.28,4.58,-8.44,5.19,8.6,122.15,9.91,121.58,10.09,10.18
-7.2,4.67,-8.09,5.25,8.58,123.0,9.64,123.01,9.79,9.86
-6.97,3.92,-8.14,4.5,8.0,119.36,9.31,118.95,9.48,9.57
-6.29,3.67,-7.43,4.25,7.28,120.29,8.56,119.8,8.74,8.82
-6.04,2.74,-7.28,3.33,6.63,114.4,8.0,114.56,8.19,8.28
-5.25,2.43,-6.64,3.01,5.79,114.79,7.29,114.42,7.5,7.59
-4.97,2.18,-6.46,2.8,5.42,113.64,7.04,113.44,7.26,7.36
-4.69,2.18,-6.11,2.8,5.17,114.88,6.72,114.62,6.93,7.03
-4.66,2.18,-5.97,2.73,5.14,115.02,6.57,114.54,6.76,6.85
-4.82,1.09,-5.68,1.36,4.94,102.69,5.85,103.44,5.97,6.03
-4.98,1.03,-5.49,1.2,5.09,101.64,5.62,102.3,5.7,5.73
-4.43,1.12,-4.83,1.22,4.57,104.23,4.98,104.21,5.04,5.07
-3.49,2.75,-3.66,2.81,4.44,128.18,4.62,127.53,4.64,4.65
-3.96,1.65,-4.16,1.65,4.29,112.67,4.48,111.64,4.5,4.51
-2.93,1.81,-3.1,1.7,3.45,121.73,3.54,118.8,3.55,3.55
-1.87,2.25,-1.97,2.24,2.92,140.2,2.99,138.62,2.99,3.0
-0.5,2.34,-0.5,2.34,2.39,167.95,2.39,167.94,2.39,2.39
0.65,2.69,0.69,2.65,2.77,193.69,2.74,194.54,2.74,2.73
0.78,3.15,0.85,3.19,3.25,193.88,3.3,194.91,3.31,3.31
0.97,3.68,1.07,3.75,3.81,194.71,3.9,195.96,3.91,3.92
0.4,4.62,0.51,4.75,4.64,185.01,4.78,186.13,4.8,4.81
-1.12,5.21,-1.12,5.41,5.33,167.82,5.53,168.26,5.55,5.57
-5.68,5.99,-6.05,6.36,8.25,136.54,8.77,136.44,8.85,8.88
-6.86,5.27,-7.5,5.74,8.65,127.53,9.45,127.43,9.56,9.61
-7.41,4.43,-8.34,4.87,8.63,120.84,9.65,120.29,9.79,9.86
-6.97,3.3,-8.11,3.74,7.71,115.33,8.93,114.79,9.1,9.17
-6.28,1.8,-7.45,2.15,6.54,106.01,7.76,106.05,7.92,8.0
-5.56,0.18,-7.12,0.32,5.56,91.9,7.13,92.59,7.34,7.44
-5.28,-0.9,-6.94,-1.0,5.36,80.31,7.01,81.8,7.24,7.35
-5.18,-1.62,-6.99,-1.89,5.43,72.69,7.24,74.91,7.49,7.6
-4.69,-2.82,-6.32,-3.4,5.47,58.93,7.17,61.75,7.41,7.51
-4.16,-4.28,-5.45,-5.53,5.97,44.23,7.77,44.56,8.01,8.13
-4.14,-4.49,-5.18,-6.03,6.1,42.65,7.95,40.67,8.2,8.32
