u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
-1.27,4.02,-1.79,5.4,4.22,162.51,5.69,161.71,5.89,5.98
-0.81,9.11,-0.91,10.55,9.14,174.93,10.58,175.06,10.78,10.87
-0.45,8.97,-1.29,9.51,8.99,177.12,9.6,172.3,9.68,9.72
1.03,9.4,0.99,10.49,9.46,186.25,10.54,185.4,10.69,10.75
-0.84,10.59,-1.04,11.71,10.62,175.47,11.76,174.9,11.92,11.99
0.44,8.75,0.4,9.61,8.76,182.86,9.62,182.4,9.73,9.79
-0.75,5.33,-0.88,5.67,5.38,172.03,5.74,171.14,5.79,5.81
1.19,1.81,0.98,1.88,2.17,213.37,2.12,207.64,2.11,2.11
1.07,2.8,0.66,3.18,3.0,200.97,3.25,191.74,3.28,3.3
-3.51,3.15,-3.99,3.18,4.72,131.88,5.1,128.53,5.15,5.18
-2.11,3.89,-2.4,3.98,4.43,151.59,4.65,148.91,4.68,4.69
1.04,4.64,0.9,5.07,4.75,192.61,5.15,190.08,5.21,5.23
-0.14,5.19,-0.69,5.87,5.19,178.46,5.91,173.31,6.0,6.05
0.82,6.62,0.41,7.43,6.67,187.09,7.44,183.16,7.55,7.59
2.36,7.32,2.76,8.75,7.69,197.84,9.18,197.5,9.38,9.47
0.65,2.35,0.85,2.24,2.43,195.41,2.4,200.73,2.39,2.39
0.7,2.32,0.28,2.11,2.42,196.7,2.13,187.48,2.08,2.07
1.29,2.7,1.33,2.46,2.99,205.53,2.79,208.46,2.77,2.75
1.66,5.05,1.55,5.38,5.31,198.19,5.6,196.1,5.64,5.66
1.18,8.3,1.39,9.92,8.38,188.12,10.02,187.99,10.24,10.34
0.75,8.11,0.81,9.77,8.15,185.26,9.8,184.75,10.03,10.13
-0.12,7.69,-0.29,8.48,7.7,179.1,8.49,178.01,8.6,8.65
-0.28,6.74,-0.38,6.9,6.74,177.63,6.91,176.81,6.94,6.95
-0.19,5.99,-0.19,6.05,6.0,178.21,6.06,178.23,6.06,6.07
-0.22,5.65,-0.19,5.85,5.65,177.76,5.85,178.16,5.88,5.89
-0.38,4.78,-0.38,4.95,4.79,175.51,4.96,175.66,4.98,4.99
-0.25,5.12,-0.21,5.32,5.12,177.2,5.33,177.69,5.35,5.37
-0.4,5.11,-0.47,5.42,5.13,175.48,5.44,175.01,5.48,5.5
-0.97,8.67,-1.04,9.04,8.73,173.64,9.1,173.47,9.16,9.18
0.1,7.36,-0.01,7.73,7.36,180.75,7.73,179.93,7.78,7.81
-0.47,5.33,-0.54,5.74,5.35,175.0,5.77,174.67,5.82,5.85
-1.18,6.05,-1.25,6.49,6.16,168.93,6.61,169.1,6.67,6.7
-0.03,7.39,-0.1,8.04,7.39,179.77,8.04,179.3,8.13,8.17
-4.83,5.26,-5.34,5.78,7.14,137.48,7.87,137.25,7.97,8.01
-4.29,1.0,-5.08,1.24,4.4,103.07,5.23,103.73,5.34,5.4
-2.82,1.41,-3.51,2.24,3.16,116.62,4.16,122.57,4.3,4.37
-2.2,1.39,-2.99,2.18,2.6,122.23,3.7,126.07,3.85,3.92
-2.22,1.26,-3.15,1.78,2.56,119.62,3.62,119.41,3.76,3.83
-1.57,0.58,-2.49,0.68,1.67,110.47,2.58,105.23,2.71,2.76
1.69,4.22,1.4,4.83,4.55,201.77,5.03,196.17,5.1,5.13
1.4,6.35,1.25,8.31,6.5,192.44,8.41,188.55,8.67,8.79
1.55,6.64,1.65,8.43,6.82,193.18,8.59,191.09,8.83,8.94
1.03,6.67,1.02,8.49,6.75,188.74,8.55,186.83,8.8,8.91
-0.03,6.86,-0.31,8.72,6.86,179.75,8.72,177.94,8.98,9.09
0.03,6.23,-0.39,7.85,6.23,180.3,7.86,177.13,8.08,8.18
-1.34,5.58,-1.83,6.27,5.74,166.51,6.53,163.72,6.64,6.69
-2.18,4.65,-2.46,4.58,5.14,154.9,5.2,151.8,5.2,5.21
-3.12,2.97,-3.39,2.89,4.3,133.58,4.46,130.45,4.48,4.49
-3.53,1.72,-3.7,1.75,3.92,115.96,4.09,115.33,4.11,4.12
-1.12,2.56,-1.22,2.66,2.79,156.33,2.93,155.31,2.95,2.96
-0.06,5.09,-0.06,5.19,5.09,179.3,5.19,179.31,5.2,5.21
0.47,3.78,0.54,3.95,3.8,187.05,3.98,187.73,4.01,4.02
-0.72,5.71,-0.69,5.88,5.76,172.81,5.92,173.34,5.95,5.96
-2.37,5.12,-2.37,5.32,5.64,155.1,5.83,155.95,5.85,5.86
-5.71,4.93,-5.81,5.2,7.54,130.77,7.8,131.8,7.83,7.85
-7.89,3.8,-8.2,4.07,8.76,115.71,9.15,116.42,9.21,9.23
-7.89,4.68,-8.37,5.02,9.17,120.66,9.76,120.95,9.84,9.87
-7.44,3.61,-8.16,3.96,8.28,115.89,9.07,115.86,9.18,9.23
-6.65,2.92,-7.79,3.44,7.27,113.71,8.51,113.82,8.68,8.76
-6.62,2.17,-8.06,2.65,6.96,108.18,8.49,108.21,8.7,8.79
-5.74,1.86,-7.3,2.41,6.04,107.95,7.68,108.29,7.91,8.01
-7.23,1.9,-8.96,2.1,7.48,104.69,9.2,103.19,9.44,9.54
