u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
-0.56,-2.79,-0.3,-3.06,2.85,11.33,3.07,5.53,3.0,2.98
0.57,-2.44,0.89,-2.64,2.51,346.89,2.79,341.37,2.7,2.68
2.01,-1.88,2.47,-2.02,2.75,313.06,3.19,309.23,3.05,3.02
2.29,-0.66,2.7,-0.73,2.39,286.01,2.8,285.08,2.67,2.63
3.23,0.19,3.79,0.15,3.24,266.68,3.79,267.78,3.61,3.57
4.43,0.28,5.18,0.27,4.44,266.34,5.19,267.0,4.95,4.89
6.69,-0.35,7.6,-0.42,6.69,272.96,7.61,273.13,7.31,7.24
7.66,0.88,8.97,0.98,7.71,263.46,9.02,263.77,8.6,8.5
4.34,1.17,5.57,1.48,4.5,254.99,5.76,255.16,5.35,5.26
1.22,-3.26,2.26,-3.74,3.48,339.57,4.37,328.9,4.09,4.02
0.79,-3.25,1.0,-4.22,3.34,346.38,4.33,346.7,4.01,3.94
0.69,-4.22,0.83,-5.51,4.28,350.71,5.57,351.41,5.15,5.05
1.8,-4.66,2.47,-6.09,5.0,338.93,6.57,337.91,6.06,5.94
3.15,-4.76,4.32,-6.07,5.71,326.46,7.45,324.56,6.89,6.75
3.88,-4.41,5.29,-5.59,5.87,318.66,7.7,316.56,7.11,6.97
5.7,-4.56,7.46,-5.76,7.3,308.67,9.42,307.66,8.74,8.57
7.24,-3.15,9.27,-4.05,7.9,293.51,10.12,293.62,9.4,9.23
8.09,-1.74,10.22,-2.43,8.27,282.13,10.51,283.37,9.79,9.61
7.65,0.03,9.89,-0.27,7.65,269.81,9.89,271.54,9.17,9.0
8.43,-0.01,10.48,-0.47,8.43,270.07,10.49,272.59,9.83,9.67
6.3,0.15,8.0,-0.14,6.3,268.63,8.0,271.01,7.45,7.32
10.97,-3.27,13.41,-4.18,11.45,286.62,14.05,287.3,13.21,13.01
11.22,-3.37,13.39,-4.16,11.71,286.71,14.02,287.25,13.28,13.1
13.32,-1.7,15.5,-2.08,13.42,277.27,15.64,277.64,14.93,14.75
13.53,-0.57,15.62,-0.71,13.54,272.4,15.64,272.59,14.96,14.8
12.97,-0.22,14.98,-0.33,12.97,270.97,14.98,271.27,14.34,14.18
13.78,1.32,15.9,1.42,13.85,264.55,15.96,264.91,15.28,15.11
11.21,2.26,13.17,2.56,11.44,258.6,13.41,259.0,12.78,12.62
12.41,2.51,14.48,2.85,12.66,258.56,14.76,258.86,14.08,13.92
12.06,2.51,14.19,2.99,12.32,258.23,14.5,258.08,13.8,13.63
9.68,5.97,11.5,7.09,11.37,238.32,13.51,238.34,12.82,12.66
9.4,6.31,11.37,7.53,11.32,236.1,13.64,236.5,12.89,12.71
10.62,3.9,12.77,4.76,11.32,249.84,13.63,249.55,12.88,12.7
7.33,1.29,9.06,1.56,7.44,260.02,9.2,260.23,8.63,8.49
7.64,3.18,9.21,3.83,8.27,247.43,9.98,247.44,9.43,9.3
5.6,1.29,7.03,1.68,5.75,257.03,7.22,256.53,6.75,6.63
4.76,-0.06,6.23,0.06,4.76,270.75,6.23,269.45,5.76,5.64
5.32,0.22,6.9,0.23,5.33,267.67,6.9,268.1,6.39,6.27
5.1,-0.22,6.61,-0.21,5.11,272.48,6.61,271.81,6.13,6.01
2.97,-0.78,4.05,-0.57,3.07,284.79,4.09,277.98,3.76,3.68
0.33,-1.29,1.01,-1.29,1.33,345.76,1.64,321.98,1.54,1.52
1.14,-2.62,1.89,-3.67,2.86,336.44,4.13,332.83,3.72,3.62
0.03,-1.71,-0.0,-2.63,1.71,359.02,2.63,0.0,2.34,2.26
-1.21,-0.46,-0.84,-1.24,1.3,69.45,1.5,34.1,1.43,1.42
-1.27,-1.48,-1.81,-2.2,1.95,40.49,2.85,39.42,2.56,2.49
-0.97,-1.67,-1.23,-2.2,1.93,30.28,2.52,29.11,2.33,2.28
-1.16,-2.23,-1.23,-2.72,2.51,27.43,2.99,24.28,2.83,2.8
-1.47,-1.44,-1.38,-1.54,2.06,45.58,2.07,41.8,2.06,2.06
-2.6,-2.69,-2.5,-2.89,3.74,43.93,3.83,40.85,3.8,3.79
-2.85,-2.19,-2.79,-2.35,3.59,52.36,3.65,49.89,3.63,3.63
-3.07,-2.16,-3.08,-2.33,3.75,54.82,3.87,52.91,3.83,3.82
-3.85,-3.04,-4.04,-3.29,4.91,51.69,5.21,50.84,5.11,5.09
-4.01,-4.2,-4.27,-4.64,5.81,43.67,6.31,42.61,6.15,6.11
-4.32,-4.52,-4.62,-5.02,6.25,43.74,6.82,42.66,6.64,6.59
-3.86,-4.17,-4.14,-4.6,5.68,42.75,6.19,42.01,6.03,5.99
-3.39,-4.27,-3.6,-4.73,5.45,38.43,5.94,37.33,5.78,5.74
-2.6,-3.64,-2.79,-4.18,4.48,35.55,5.03,33.72,4.85,4.81
-3.01,-3.14,-3.41,-3.68,4.35,43.8,5.02,42.83,4.81,4.75
-0.19,-1.2,-0.52,-1.72,1.22,9.2,1.8,16.69,1.61,1.57
1.77,0.29,2.66,0.91,1.79,260.59,2.81,251.12,2.48,2.4
4.13,3.02,5.42,3.82,5.11,233.79,6.63,234.81,6.15,6.03
5.42,2.87,6.98,3.74,6.13,242.11,7.92,241.82,7.34,7.2
5.57,2.93,7.11,3.8,6.29,242.27,8.06,241.85,7.49,7.35
6.39,2.99,8.02,3.76,7.05,244.93,8.86,244.88,8.28,8.14
7.05,3.43,8.71,4.16,7.83,244.07,9.65,244.48,9.07,8.92
6.58,2.2,8.13,2.72,6.93,251.49,8.57,251.48,8.05,7.92
6.42,1.73,7.98,2.18,6.65,254.9,8.28,254.71,7.75,7.62
6.33,1.45,8.0,1.87,6.49,257.11,8.22,256.85,7.66,7.53
6.35,1.01,7.69,1.21,6.43,260.99,7.79,261.09,7.35,7.24
7.44,1.26,8.59,1.58,7.55,260.41,8.74,259.59,8.35,8.26
8.38,1.89,9.53,2.23,8.59,257.32,9.79,256.85,9.4,9.31
8.19,1.6,9.28,1.83,8.34,258.93,9.46,258.84,9.1,9.01
8.22,1.16,9.3,1.33,8.3,261.96,9.4,261.85,9.05,8.96
8.35,0.6,9.43,0.67,8.37,265.92,9.45,265.96,9.1,9.02
8.76,0.35,9.91,0.42,8.76,267.74,9.91,267.6,9.54,9.45
9.13,0.44,10.28,0.44,9.14,267.26,10.29,267.56,9.92,9.83
9.35,0.53,10.57,0.6,9.37,266.74,10.59,266.73,10.2,10.1
9.7,1.32,10.99,1.42,9.79,262.27,11.08,262.66,10.66,10.56
9.13,1.85,10.38,2.02,9.32,258.56,10.58,259.0,10.17,10.07
8.63,2.23,9.92,2.54,8.92,255.53,10.24,255.65,9.82,9.71
7.51,2.32,8.84,2.66,7.86,252.81,9.23,253.23,8.79,8.68
6.1,1.67,7.44,1.98,6.32,254.74,7.7,255.14,7.26,7.15
4.31,1.48,5.53,1.91,4.56,251.1,5.85,250.93,5.43,5.33
4.19,2.02,5.4,2.68,4.65,244.29,6.03,243.62,5.59,5.48
3.53,0.44,4.61,0.89,3.56,262.82,4.7,259.09,4.33,4.24
3.25,-0.63,4.59,-0.44,3.31,280.94,4.61,275.51,4.19,4.09
3.41,-0.62,4.92,-0.38,3.47,280.38,4.93,274.42,4.46,4.35
3.82,0.1,5.32,0.74,3.82,268.46,5.37,262.08,4.87,4.75
2.53,-0.24,3.92,0.41,2.54,275.48,3.94,264.09,3.49,3.38
1.93,-0.59,2.97,-0.01,2.02,286.97,2.97,270.2,2.66,2.59
0.79,-1.03,1.22,-0.82,1.3,322.6,1.47,303.76,1.42,1.4
0.14,-1.48,-0.33,-1.83,1.48,354.57,1.86,10.2,1.74,1.71
0.51,-1.26,-0.28,-1.99,1.36,338.09,2.01,8.1,1.8,1.75
0.16,-1.24,0.11,-2.38,1.25,352.73,2.38,357.45,2.02,1.93
-0.06,-2.17,0.08,-2.56,2.17,1.56,2.56,358.17,2.43,2.4
0.0,-2.73,0.18,-3.0,2.73,359.93,3.0,356.47,2.91,2.89
0.13,-3.48,0.31,-3.77,3.48,357.89,3.78,355.3,3.69,3.66
0.16,-3.7,0.37,-4.04,3.7,357.5,4.06,354.73,3.94,3.91
0.69,-3.76,0.93,-4.16,3.83,349.55,4.27,347.35,4.13,4.09
2.67,-3.51,3.12,-3.91,4.41,322.79,5.0,321.44,4.81,4.77
4.49,-3.73,5.14,-4.2,5.84,309.77,6.64,309.29,6.38,6.32
6.34,-3.96,7.18,-4.49,7.47,301.96,8.47,302.05,8.15,8.07
8.16,-4.05,9.28,-4.7,9.11,296.4,10.4,296.87,9.99,9.89
8.54,-3.8,9.84,-4.45,9.35,293.99,10.8,294.34,10.33,10.22
7.42,-2.98,8.82,-3.54,8.0,291.92,9.5,291.85,9.02,8.9
6.98,-1.29,8.61,-1.6,7.1,280.47,8.75,280.54,8.22,8.09
5.57,-1.73,7.15,-2.18,5.83,287.26,7.47,286.98,6.95,6.82
5.35,-1.61,6.96,-2.02,5.59,286.7,7.25,286.16,6.71,6.58
5.54,0.22,7.19,0.33,5.55,267.72,7.2,267.36,6.67,6.54
5.2,0.44,6.81,0.73,5.22,265.11,6.85,263.92,6.33,6.2
5.57,1.92,7.29,2.6,5.9,250.98,7.74,250.41,7.15,7.0
5.73,1.96,7.44,2.74,6.06,251.17,7.93,249.78,7.33,7.18
6.3,1.79,8.06,2.45,6.55,254.11,8.43,253.11,7.82,7.68
7.33,2.3,9.17,2.89,7.68,252.6,9.61,252.51,8.99,8.84
7.11,2.36,8.84,2.85,7.49,251.67,9.28,252.13,8.71,8.57
5.76,1.01,7.25,1.29,5.85,260.08,7.37,259.93,6.88,6.76
5.63,0.57,6.94,0.71,5.66,264.26,6.98,264.19,6.55,6.45
8.07,1.54,9.4,1.81,8.22,259.2,9.58,259.1,9.14,9.03
8.79,1.57,10.15,1.81,8.93,259.88,10.31,259.89,9.87,9.76
9.1,1.47,10.42,1.68,9.22,260.8,10.56,260.82,10.13,10.03
9.76,1.38,11.15,1.54,9.86,261.94,11.26,262.13,10.81,10.7
10.14,1.6,11.53,1.77,10.26,261.04,11.66,261.28,11.21,11.1
10.7,2.51,12.19,2.81,10.99,256.8,12.51,257.02,12.02,11.91
10.89,2.82,12.34,3.16,11.25,255.47,12.74,255.62,12.26,12.14
10.39,3.33,11.78,3.77,10.91,252.24,12.37,252.27,11.9,11.78
10.1,3.8,11.42,4.35,10.79,249.41,12.22,249.16,11.76,11.65
9.13,4.3,10.38,4.91,10.1,244.79,11.49,244.69,11.04,10.93
8.19,4.24,9.34,4.85,9.22,242.65,10.53,242.57,10.11,10.01
7.16,3.11,8.24,3.62,7.81,246.53,9.0,246.28,8.62,8.52
6.32,1.95,7.59,2.43,6.61,252.84,7.97,252.23,7.53,7.43
5.57,1.23,6.96,1.62,5.7,257.57,7.15,256.9,6.68,6.57
1.86,2.23,2.35,2.64,2.9,219.76,3.53,221.64,3.33,3.28
0.68,0.54,0.24,0.67,0.87,231.75,0.71,199.54,0.76,0.77
