u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
7.5,6.18,8.14,6.73,9.72,230.48,10.56,230.43,10.43,10.39
7.03,5.93,7.56,6.44,9.2,229.82,9.93,229.59,9.82,9.79
6.18,5.97,6.73,6.44,8.59,226.03,9.31,226.25,9.2,9.17
6.31,6.81,6.81,7.31,9.28,222.82,10.0,222.97,9.89,9.85
6.5,6.68,7.0,7.23,9.32,224.19,10.06,224.09,9.95,9.91
6.62,7.15,7.16,7.69,9.75,222.79,10.51,222.98,10.39,10.36
6.62,7.75,7.2,8.35,10.19,220.53,11.03,220.77,10.9,10.86
6.15,7.81,6.66,8.45,9.94,218.24,10.76,218.26,10.64,10.6
5.97,7.84,6.48,8.55,9.85,217.27,10.73,217.14,10.59,10.55
4.9,7.9,5.28,8.72,9.3,211.83,10.19,211.19,10.05,10.01
4.34,7.43,4.81,8.43,8.61,210.29,9.71,209.73,9.54,9.49
3.0,6.77,3.34,7.88,7.41,203.87,8.56,202.96,8.38,8.33
-0.47,6.24,-0.68,7.38,6.26,175.72,7.41,174.77,7.24,7.18
-1.53,6.18,-1.84,7.18,6.37,166.1,7.41,165.63,7.25,7.2
-1.5,6.12,-1.78,7.15,6.3,166.24,7.37,166.06,7.21,7.16
-1.34,5.71,-1.69,6.82,5.87,166.78,7.02,166.08,6.85,6.79
-1.37,5.99,-1.61,6.78,6.15,167.1,6.97,166.61,6.84,6.8
-1.28,6.21,-1.53,6.93,6.34,168.36,7.09,167.58,6.98,6.94
-1.78,6.06,-2.03,6.74,6.31,163.63,7.04,163.27,6.93,6.89
-2.28,5.93,-2.65,6.72,6.35,158.99,7.22,158.46,7.09,7.05
-2.81,6.09,-3.15,6.8,6.71,155.23,7.5,155.14,7.38,7.34
-2.37,6.99,-2.71,7.7,7.39,161.26,8.17,160.59,8.05,8.01
-3.53,6.75,-3.86,7.29,7.61,152.39,8.25,152.08,8.15,8.12
-3.69,6.28,-3.99,6.75,7.28,149.59,7.84,149.43,7.76,7.73
-3.19,5.75,-3.43,6.15,6.57,151.0,7.04,150.88,6.97,6.95
-2.75,5.62,-2.91,6.03,6.26,153.95,6.69,154.2,6.63,6.61
-2.69,6.06,-2.85,6.46,6.63,156.09,7.06,156.2,7.0,6.98
-3.06,5.53,-3.26,5.94,6.32,151.03,6.78,151.21,6.71,6.69
-3.28,5.68,-3.51,6.09,6.56,150.02,7.03,150.02,6.96,6.94
-3.47,5.87,-3.74,6.28,6.82,149.44,7.31,149.22,7.23,7.21
-3.47,6.22,-3.74,6.65,7.12,150.85,7.63,150.66,7.55,7.53
-3.31,6.5,-3.59,6.96,7.29,152.99,7.83,152.74,7.75,7.73
-3.03,6.62,-3.3,7.13,7.28,155.41,7.85,155.15,7.77,7.74
-3.47,6.68,-3.88,7.37,7.53,152.59,8.32,152.24,8.2,8.16
-2.81,6.65,-3.29,7.72,7.22,157.1,8.39,156.91,8.21,8.15
-1.81,6.8,-2.19,8.04,7.04,165.1,8.34,164.77,8.14,8.08
-1.62,6.81,-2.04,7.98,7.0,166.59,8.24,165.66,8.05,7.99
-2.87,6.52,-3.68,7.88,7.13,156.25,8.7,154.98,8.46,8.38
-3.68,6.31,-4.69,7.63,7.3,149.72,8.96,148.41,8.71,8.63
-4.49,5.87,-5.58,7.19,7.39,142.55,9.1,142.2,8.84,8.76
-4.9,5.81,-6.06,7.09,7.6,139.83,9.33,139.51,9.06,8.98
-5.12,5.62,-6.34,6.87,7.6,137.66,9.35,137.28,9.08,9.0
-5.12,5.18,-6.44,6.43,7.28,135.35,9.1,134.94,8.83,8.74
-5.27,4.15,-6.61,5.19,6.71,128.2,8.4,128.17,8.15,8.06
-4.99,3.68,-6.39,4.62,6.2,126.41,7.89,125.83,7.63,7.55
-5.21,2.81,-5.84,3.01,5.92,118.33,6.57,117.29,6.47,6.44
-5.12,1.41,-5.39,1.4,5.31,105.35,5.57,104.56,5.53,5.52
-4.72,0.78,-4.87,0.81,4.78,99.4,4.94,99.46,4.92,4.91
-4.34,1.09,-4.54,1.12,4.48,104.13,4.68,103.92,4.65,4.64
-4.25,1.72,-4.41,1.85,4.58,112.01,4.79,112.75,4.75,4.74
-4.56,2.41,-4.79,2.54,5.16,117.81,5.42,117.93,5.38,5.37
