u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
4.5,-1.16,4.74,-1.33,4.65,284.43,4.93,285.65,4.86,4.84
4.44,0.09,4.64,0.02,4.44,268.8,4.64,269.72,4.59,4.58
4.22,1.41,4.39,1.44,4.45,251.57,4.62,251.88,4.58,4.57
3.94,3.47,4.14,3.64,5.25,228.62,5.51,228.68,5.45,5.44
1.94,2.85,2.04,2.98,3.44,214.27,3.61,214.42,3.57,3.56
1.81,3.75,1.91,3.95,4.17,205.8,4.39,205.84,4.34,4.33
0.94,4.19,1.0,4.64,4.3,192.62,4.74,192.17,4.64,4.61
0.78,3.57,0.81,3.91,3.65,192.36,3.99,191.74,3.91,3.89
1.56,4.48,1.7,4.95,4.74,199.26,5.23,199.0,5.12,5.09
2.72,6.92,2.99,7.59,7.43,201.49,8.16,201.53,7.99,7.94
2.44,4.95,2.74,5.77,5.52,206.27,6.39,205.43,6.19,6.13
1.47,4.42,1.52,5.45,4.66,198.41,5.66,195.61,5.43,5.36
0.5,3.92,0.16,4.97,3.95,187.25,4.97,181.85,4.73,4.67
0.31,3.64,-0.13,4.8,3.65,184.86,4.8,178.46,4.53,4.46
1.44,3.48,1.16,4.59,3.77,202.42,4.74,194.18,4.51,4.45
0.9,3.67,0.5,4.86,3.78,193.83,4.89,185.83,4.63,4.55
-0.54,2.92,-1.25,3.93,2.97,169.54,4.12,162.38,3.85,3.78
-1.82,3.17,-2.7,4.42,3.66,150.12,5.18,148.58,4.83,4.73
-3.39,3.33,-4.29,4.49,4.75,134.48,6.2,136.29,5.86,5.77
-3.83,2.92,-4.95,3.97,4.81,127.34,6.34,128.75,5.98,5.88
-3.48,3.32,-4.53,4.34,4.81,133.68,6.28,133.79,5.93,5.84
-3.64,2.98,-4.51,3.89,4.7,129.34,5.96,130.75,5.66,5.58
-4.19,3.69,-4.6,3.99,5.59,131.36,6.09,130.99,5.97,5.94
-4.6,3.16,-4.85,3.35,5.58,124.49,5.9,124.64,5.82,5.8
-3.44,3.69,-3.6,3.88,5.05,137.02,5.29,137.09,5.23,5.22
-2.06,4.07,-2.2,4.23,4.56,153.08,4.77,152.46,4.72,4.71
-0.78,4.25,-0.81,4.45,4.32,169.58,4.53,169.66,4.48,4.47
0.5,4.72,0.54,4.99,4.75,186.04,5.02,186.16,4.96,4.94
1.59,5.82,1.66,6.16,6.03,195.33,6.38,195.12,6.3,6.28
2.69,6.32,2.79,6.72,6.87,203.05,7.28,202.54,7.18,7.15
2.94,6.88,3.04,7.32,7.48,203.13,7.93,202.54,7.82,7.8
3.13,7.01,3.19,7.47,7.67,204.04,8.12,203.11,8.02,7.99
3.32,6.7,3.44,7.16,7.47,206.34,7.94,205.65,7.83,7.8
3.54,6.7,3.73,7.36,7.58,207.82,8.25,206.85,8.09,8.05
2.88,5.64,3.08,6.36,6.33,207.06,7.06,205.85,6.89,6.84
2.66,4.26,2.81,4.96,5.02,212.0,5.7,209.56,5.54,5.5
2.82,2.51,3.06,3.51,3.78,228.32,4.66,221.12,4.45,4.39
2.6,2.01,2.8,3.09,3.29,232.31,4.17,222.16,3.96,3.9
1.69,2.67,1.54,3.88,3.16,212.36,4.17,201.61,3.93,3.87
-0.73,4.02,-1.47,5.42,4.08,169.75,5.61,164.77,5.25,5.15
-2.51,4.77,-3.35,6.09,5.39,152.23,6.95,151.18,6.58,6.48
-3.2,4.61,-4.28,6.04,5.61,145.23,7.4,144.68,6.98,6.87
-3.45,4.33,-4.65,5.91,5.54,141.45,7.52,141.81,7.06,6.93
-3.67,3.83,-4.86,5.39,5.3,136.21,7.26,137.94,6.8,6.67
-3.26,3.39,-4.46,4.81,4.71,136.09,6.56,137.14,6.13,6.0
-3.82,3.67,-4.74,4.62,5.3,133.81,6.62,134.24,6.31,6.22
-4.51,4.26,-4.81,4.56,6.2,133.37,6.62,133.47,6.52,6.49
-3.82,3.79,-4.08,4.02,5.38,134.76,5.72,134.56,5.64,5.62
-3.25,3.5,-3.45,3.7,4.78,137.12,5.06,137.0,5.0,4.98
-2.19,2.75,-2.25,2.85,3.52,141.49,3.63,141.73,3.61,3.6
-0.44,2.06,-0.44,2.06,2.11,168.02,2.11,168.02,2.11,2.11
1.22,2.94,1.25,3.0,3.18,202.53,3.25,202.62,3.23,3.23
2.38,3.5,2.44,3.64,4.23,214.16,4.38,213.79,4.35,4.34
3.28,4.32,3.41,4.52,5.42,217.27,5.66,217.09,5.61,5.59
3.69,4.69,3.81,4.89,5.97,218.2,6.2,217.93,6.15,6.13
3.88,5.35,4.08,5.68,6.61,215.94,6.99,215.68,6.9,6.88
4.41,6.76,4.6,7.22,8.07,213.13,8.56,212.51,8.45,8.41
3.97,8.29,4.2,9.03,9.2,205.6,9.96,204.97,9.78,9.73
3.54,7.45,3.83,8.44,8.25,205.39,9.26,204.42,9.03,8.96
3.13,7.14,3.43,8.06,7.79,203.68,8.76,203.06,8.53,8.47
1.5,5.89,1.52,6.87,6.08,194.31,7.03,192.51,6.81,6.75
0.56,4.86,0.18,6.13,4.89,186.58,6.13,181.71,5.84,5.76
-0.57,4.64,-1.33,5.9,4.68,173.0,6.05,167.32,5.73,5.64
-2.04,3.76,-3.03,4.8,4.28,151.51,5.68,147.75,5.35,5.26
-2.32,2.51,-3.42,3.37,3.42,137.22,4.81,134.58,4.48,4.39
-3.33,2.51,-4.56,3.17,4.17,127.02,5.56,124.77,5.23,5.14
-4.74,2.7,-6.18,3.46,5.45,119.67,7.08,119.22,6.7,6.59
-5.8,2.38,-7.53,2.85,6.27,112.34,8.05,110.71,7.63,7.52
-6.02,2.2,-7.86,2.7,6.41,110.04,8.31,108.95,7.86,7.74
-5.26,2.04,-6.54,2.53,5.64,111.16,7.01,111.12,6.69,6.6
-5.88,2.16,-6.28,2.25,6.27,110.15,6.67,109.7,6.58,6.55
-5.76,2.06,-5.98,2.12,6.11,109.73,6.34,109.57,6.29,6.27
-5.04,2.35,-5.27,2.44,5.56,114.98,5.8,114.84,5.75,5.73
-3.31,2.72,-3.41,2.89,4.29,129.39,4.47,130.26,4.43,4.42
-2.94,3.22,-3.0,3.39,4.36,137.62,4.53,138.51,4.49,4.48
-2.75,4.85,-2.89,5.12,5.57,150.42,5.88,150.54,5.81,5.79
-2.6,5.19,-2.73,5.45,5.81,153.43,6.1,153.43,6.03,6.01
-6.41,6.29,-6.74,6.72,8.98,134.44,9.52,134.9,9.39,9.36
-6.13,5.94,-6.53,6.39,8.54,134.11,9.14,134.34,9.0,8.96
-6.45,5.38,-6.91,5.82,8.4,129.86,9.03,130.13,8.89,8.84
-6.13,4.57,-6.64,4.95,7.65,126.67,8.28,126.71,8.13,8.09
-5.7,4.79,-6.24,5.3,7.44,130.06,8.19,130.35,8.01,7.96
-5.29,3.04,-6.26,3.59,6.1,119.86,7.22,119.81,6.96,6.89
-5.17,2.01,-6.6,2.53,5.55,111.2,7.07,110.94,6.71,6.61
-5.58,1.38,-7.08,1.76,5.75,103.89,7.3,103.96,6.93,6.83
-5.83,0.78,-7.47,0.99,5.89,97.65,7.54,97.57,7.15,7.04
-5.49,1.79,-6.98,2.32,5.77,108.04,7.35,108.36,6.98,6.88
-4.05,2.82,-5.27,3.76,4.93,124.92,6.48,125.51,6.12,6.02
-2.7,1.79,-3.94,2.66,3.24,123.57,4.75,124.05,4.4,4.3
-2.26,1.82,-3.42,2.62,2.91,128.84,4.31,127.46,3.98,3.89
-2.3,1.7,-3.45,2.36,2.86,126.51,4.18,124.44,3.87,3.78
-2.67,1.1,-3.95,1.6,2.89,112.42,4.26,112.02,3.94,3.85
-2.64,0.57,-3.95,1.01,2.7,102.15,4.07,104.36,3.75,3.66
-2.05,0.26,-3.12,0.75,2.07,97.1,3.21,103.58,2.94,2.87
-1.35,0.03,-1.82,0.18,1.35,91.36,1.83,95.7,1.71,1.68
-2.0,1.44,-2.06,1.58,2.47,125.72,2.6,127.44,2.57,2.56
-1.56,2.53,-1.63,2.7,2.98,148.31,3.15,149.0,3.11,3.1
-0.59,3.32,-0.59,3.52,3.37,169.83,3.57,170.55,3.52,3.51
-0.31,3.44,-0.31,3.64,3.46,174.81,3.66,175.09,3.61,3.6
1.34,2.28,1.41,2.49,2.65,210.48,2.87,209.56,2.82,2.8
1.63,3.5,1.73,3.74,3.86,204.9,4.12,204.76,4.06,4.04
2.44,4.44,2.54,4.78,5.07,208.76,5.42,207.96,5.33,5.31
3.22,5.54,3.35,5.87,6.41,210.19,6.76,209.73,6.68,6.65
2.6,5.38,2.69,5.82,5.98,205.75,6.41,204.77,6.31,6.28
2.22,5.57,2.31,5.97,6.0,201.74,6.4,201.17,6.31,6.28
1.63,6.17,1.69,6.82,6.38,194.78,7.02,193.9,6.87,6.83
1.47,5.8,1.68,6.95,5.98,194.24,7.15,193.61,6.87,6.8
1.13,6.11,1.23,7.5,6.21,190.45,7.6,189.29,7.28,7.19
-0.82,5.8,-1.1,7.37,5.86,171.99,7.45,171.54,7.08,6.97
-2.38,5.77,-3.08,7.45,6.24,157.56,8.06,157.52,7.64,7.52
-3.39,5.15,-4.41,6.71,6.16,146.65,8.02,146.69,7.59,7.46
-3.73,4.9,-4.74,6.57,6.16,142.69,8.11,144.2,7.65,7.52
-4.36,4.86,-5.51,6.55,6.53,138.14,8.56,139.95,8.08,7.95
-5.11,5.21,-6.44,6.79,7.3,135.54,9.35,136.5,8.87,8.74
-5.14,4.64,-6.66,6.04,6.93,132.08,8.99,132.21,8.51,8.37
-5.39,3.99,-7.01,5.27,6.71,126.46,8.77,126.95,8.29,8.15
-5.27,3.27,-6.89,4.45,6.2,121.79,8.2,122.84,7.73,7.6
-4.92,2.42,-6.45,3.46,5.48,116.14,7.32,118.23,6.89,6.77
-4.82,2.38,-5.26,2.58,5.37,116.27,5.86,116.12,5.75,5.71
-5.41,2.03,-5.78,2.16,5.78,110.6,6.18,110.52,6.08,6.06
-4.07,1.5,-4.19,1.56,4.33,110.27,4.47,110.46,4.44,4.43
-1.5,1.41,-1.42,1.44,2.06,133.17,2.02,135.33,2.03,2.03
0.28,1.66,0.39,1.69,1.68,189.66,1.73,193.06,1.72,1.72
2.66,3.44,2.79,3.6,4.35,217.69,4.56,217.75,4.51,4.49
3.57,5.07,3.73,5.27,6.2,215.14,6.45,215.29,6.39,6.37
4.13,6.19,4.33,6.53,7.44,213.69,7.84,213.53,7.74,7.72
3.82,7.07,3.98,7.53,8.04,208.35,8.52,207.83,8.41,8.37
3.53,7.04,3.66,7.51,7.88,206.66,8.36,206.01,8.24,8.21
3.41,7.26,3.54,7.8,8.02,205.16,8.57,204.41,8.44,8.4
3.44,7.82,3.6,8.57,8.55,203.74,9.29,202.81,9.12,9.07
3.38,7.45,3.68,8.41,8.18,204.4,9.18,203.63,8.95,8.88
2.79,6.52,3.1,7.66,7.09,203.15,8.26,202.02,7.98,7.91
1.5,5.52,1.38,6.74,5.72,195.21,6.88,191.59,6.6,6.53
0.03,5.24,-0.48,6.67,5.24,180.3,6.68,175.87,6.34,6.25
-1.04,5.49,-1.61,7.04,5.58,169.3,7.22,167.14,6.83,6.73
-0.47,5.64,-0.98,7.34,5.66,175.21,7.41,172.39,7.0,6.88
-2.67,6.62,-3.59,8.44,7.13,158.05,9.18,156.95,8.7,8.56
-4.95,6.55,-6.33,8.28,8.21,142.91,10.42,142.6,9.9,9.76
-6.67,6.17,-8.26,7.68,9.09,132.77,11.28,132.92,10.77,10.63
-7.8,5.49,-9.45,6.85,9.54,125.11,11.67,125.95,11.17,11.03
-8.02,4.33,-9.82,5.41,9.11,118.34,11.21,118.84,10.72,10.58
-7.89,3.66,-9.23,4.33,8.7,114.91,10.2,115.15,9.84,9.75
-8.86,3.16,-9.51,3.31,9.4,109.64,10.07,109.2,9.91,9.87
-8.29,2.28,-8.85,2.38,8.6,105.4,9.16,105.03,9.03,8.99
