u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
-7.06,2.61,-7.77,2.83,7.53,110.25,8.27,110.03,8.03,7.98
-7.0,2.51,-7.71,2.71,7.44,109.72,8.17,109.36,7.94,7.88
-6.88,2.48,-7.54,2.65,7.31,109.8,7.99,109.33,7.77,7.72
-6.72,2.51,-7.4,2.71,7.17,110.49,7.88,110.11,7.65,7.6
-6.69,2.57,-7.4,2.77,7.17,111.04,7.9,110.54,7.66,7.61
-7.07,3.33,-7.84,3.58,7.81,115.21,8.62,114.58,8.36,8.3
-7.32,3.27,-8.19,3.56,8.02,114.03,8.93,113.51,8.64,8.57
-7.2,2.89,-8.06,3.19,7.76,111.87,8.67,111.57,8.38,8.31
-6.88,2.86,-7.69,3.17,7.45,112.54,8.32,112.39,8.04,7.97
-5.88,2.39,-6.63,2.63,6.34,112.09,7.13,111.61,6.88,6.81
-5.1,1.82,-6.38,2.06,5.41,109.67,6.71,107.92,6.29,6.19
-5.14,1.41,-6.23,1.5,5.33,105.37,6.41,103.53,6.06,5.98
-5.06,0.75,-5.71,0.71,5.11,98.43,5.75,97.07,5.55,5.5
-4.9,0.44,-5.48,0.4,4.92,95.1,5.5,94.13,5.31,5.27
-5.06,1.29,-5.63,1.38,5.22,104.29,5.79,103.73,5.61,5.56
-4.85,1.35,-5.67,1.44,5.03,105.58,5.85,104.23,5.59,5.52
-4.94,1.29,-5.73,1.42,5.1,104.62,5.9,103.89,5.65,5.58
-4.79,1.35,-5.69,1.44,4.97,105.77,5.87,104.18,5.58,5.51
-4.73,1.04,-5.65,1.04,4.84,102.39,5.74,100.44,5.45,5.38
-3.97,1.35,-4.82,1.4,4.19,108.81,5.01,106.16,4.75,4.68
-3.55,1.63,-4.4,1.77,3.91,114.64,4.74,111.93,4.47,4.41
-4.17,1.38,-4.56,1.29,4.39,108.25,4.74,105.8,4.63,4.6
-4.99,-0.01,-5.42,-0.06,4.99,89.94,5.42,89.34,5.28,5.25
-4.93,-0.98,-5.36,-1.1,5.02,78.8,5.47,78.35,5.33,5.29
-4.55,-1.26,-4.92,-1.42,4.72,74.52,5.12,73.93,4.99,4.96
-4.36,-1.26,-4.73,-1.4,4.54,73.95,4.93,73.55,4.81,4.77
-3.92,-1.57,-4.21,-1.77,4.23,68.16,4.57,67.18,4.46,4.43
-4.02,-1.82,-4.27,-1.92,4.41,65.65,4.68,65.83,4.59,4.57
-4.96,-0.94,-5.36,-1.08,5.05,79.24,5.46,78.56,5.33,5.3
-5.99,-0.66,-6.46,-0.83,6.03,83.68,6.51,82.64,6.36,6.32
-6.25,-0.32,-6.77,-0.42,6.25,87.09,6.78,86.48,6.61,6.57
-6.37,-0.1,-6.94,-0.12,6.37,89.13,6.94,88.97,6.76,6.71
-7.1,-0.44,-7.81,-0.54,7.12,86.43,7.83,86.03,7.6,7.55
-6.26,-1.07,-6.98,-1.27,6.35,80.27,7.1,79.68,6.86,6.8
-5.12,-0.51,-6.02,-0.81,5.15,84.37,6.08,82.3,5.78,5.71
-4.82,-0.23,-5.71,-0.65,4.82,87.31,5.75,83.53,5.45,5.38
-4.18,0.02,-4.88,-0.15,4.18,90.32,4.88,88.28,4.66,4.6
-4.21,-0.04,-4.84,-0.29,4.21,89.47,4.84,86.54,4.64,4.59
-4.06,-0.35,-4.75,-0.69,4.07,85.05,4.8,81.75,4.57,4.51
-4.13,-0.61,-4.92,-1.04,4.17,81.64,5.03,78.02,4.75,4.69
-4.06,-0.23,-4.81,-0.67,4.07,86.74,4.86,82.1,4.61,4.54
-4.13,-0.45,-4.92,-0.9,4.15,83.81,5.0,79.66,4.73,4.66
-3.91,-0.83,-4.63,-1.46,3.99,78.03,4.85,72.48,4.58,4.51
-3.68,-1.17,-4.38,-1.84,3.87,72.32,4.75,67.24,4.46,4.39
-3.87,-1.77,-4.56,-2.42,4.26,65.43,5.17,62.08,4.87,4.8
-3.08,-2.49,-3.42,-3.09,3.96,51.01,4.6,47.93,4.4,4.35
-2.79,-3.58,-2.96,-4.23,4.54,37.9,5.16,34.96,4.96,4.91
-2.98,-4.05,-3.15,-4.52,5.03,36.28,5.51,34.83,5.35,5.32
-3.29,-3.33,-3.48,-3.67,4.68,44.71,5.06,43.49,4.94,4.91
-2.01,-3.58,-2.1,-3.88,4.1,29.27,4.41,28.5,4.31,4.29
-0.22,-3.96,-0.25,-4.4,3.96,3.2,4.4,3.25,4.26,4.23
3.14,-1.73,3.4,-1.9,3.58,298.8,3.89,299.18,3.79,3.77
1.23,-0.91,1.4,-0.98,1.53,306.54,1.71,305.04,1.65,1.63
0.94,-1.88,1.13,-2.02,2.1,333.37,2.31,330.88,2.25,2.23
0.7,-2.23,0.94,-2.4,2.33,342.6,2.57,338.62,2.5,2.48
-0.37,-2.2,-0.15,-2.35,2.23,9.56,2.36,3.53,2.32,2.31
-2.03,-3.3,-1.98,-3.67,3.88,31.65,4.17,28.35,4.07,4.05
0.83,-0.56,1.36,-0.56,1.0,304.04,1.47,292.53,1.32,1.28
-0.96,-1.76,-0.58,-1.83,2.01,28.64,1.92,17.61,1.95,1.96
-1.63,-3.07,-1.48,-3.67,3.48,27.97,3.95,21.95,3.8,3.76
-0.76,-3.8,-0.62,-4.69,3.87,11.32,4.73,7.57,4.45,4.39
0.57,-4.24,1.19,-5.44,4.28,352.3,5.57,347.66,5.15,5.05
1.71,-4.33,2.5,-5.63,4.66,338.41,6.16,336.03,5.68,5.56
1.43,-4.52,2.19,-5.88,4.74,342.46,6.27,339.57,5.78,5.66
2.44,-4.24,3.44,-5.57,4.89,330.08,6.54,328.28,6.01,5.88
3.1,-3.7,4.23,-4.86,4.83,320.01,6.44,318.93,5.92,5.8
3.57,-3.29,4.82,-4.42,4.86,312.63,6.54,312.54,6.0,5.87
4.07,-2.41,5.23,-3.53,4.73,300.61,6.31,303.96,5.8,5.68
3.98,-2.0,5.17,-3.0,4.46,296.68,5.98,300.15,5.49,5.37
2.22,-0.79,3.28,-1.23,2.36,289.7,3.5,290.6,3.13,3.04
2.92,-0.94,3.31,-1.08,3.07,287.9,3.49,288.11,3.35,3.32
3.96,-1.32,4.31,-1.42,4.17,288.41,4.54,288.19,4.42,4.39
4.2,-1.32,4.54,-1.46,4.4,287.41,4.77,287.8,4.65,4.62
3.92,-1.19,4.33,-1.33,4.1,286.91,4.54,287.1,4.4,4.36
5.37,-1.41,5.98,-1.63,5.55,284.75,6.2,285.21,5.99,5.94
4.87,-0.66,5.44,-0.73,4.92,277.7,5.49,277.64,5.3,5.26
3.04,0.94,3.27,1.04,3.19,252.79,3.43,252.33,3.35,3.33
0.26,2.39,0.27,2.58,2.4,186.1,2.6,185.98,2.53,2.52
-2.14,1.79,-2.33,2.02,2.79,130.04,3.09,130.9,2.99,2.97
-3.61,0.28,-3.98,0.35,3.62,94.49,4.0,95.09,3.88,3.85
-3.58,0.47,-3.98,0.5,3.61,97.49,4.01,97.16,3.88,3.85
-3.46,1.01,-4.09,1.25,3.61,106.26,4.27,107.02,4.06,4.01
-3.38,0.16,-4.25,0.15,3.38,92.69,4.26,91.96,3.97,3.91
-3.56,1.01,-4.44,0.94,3.7,105.75,4.54,101.91,4.27,4.2
-2.78,2.08,-3.59,2.25,3.47,126.77,4.23,122.11,3.99,3.93
-3.31,1.92,-3.96,2.29,3.83,120.17,4.58,120.07,4.34,4.28
-4.41,2.27,-5.29,2.65,4.95,117.21,5.92,116.56,5.61,5.53
-3.2,1.23,-3.79,1.35,3.43,110.95,4.03,109.65,3.84,3.79
-2.96,0.76,-3.56,0.9,3.05,104.32,3.68,104.11,3.48,3.43
-3.05,0.73,-3.56,0.81,3.14,103.38,3.66,102.84,3.49,3.45
-3.0,0.91,-3.56,1.08,3.13,106.96,3.73,106.92,3.53,3.49
-2.65,0.85,-3.27,1.06,2.78,107.81,3.44,108.0,3.23,3.18
-2.3,1.04,-2.79,1.25,2.52,114.32,3.06,114.12,2.89,2.85
-1.1,-0.66,-1.08,-0.73,1.28,59.0,1.31,56.04,1.3,1.3
-1.19,-0.1,-1.1,-0.17,1.19,85.36,1.12,81.4,1.14,1.15
-0.47,-0.28,-0.4,-0.31,0.55,58.66,0.5,51.67,0.52,0.52
2.07,-1.91,2.27,-2.04,2.82,312.72,3.05,311.95,2.98,2.96
4.65,-0.16,5.13,-0.19,4.65,271.96,5.13,272.09,4.97,4.94
4.49,-0.28,5.0,-0.31,4.5,273.62,5.01,273.58,4.85,4.81
6.94,-0.57,7.56,-0.62,6.96,274.68,7.59,274.72,7.39,7.34
7.31,-0.69,8.02,-0.73,7.35,275.37,8.06,275.2,7.83,7.77
7.32,-1.32,8.09,-1.38,7.44,280.2,8.2,279.65,7.96,7.9
7.82,-1.38,8.63,-1.52,7.94,280.01,8.76,280.0,8.5,8.43
7.42,-1.23,8.29,-1.31,7.52,279.39,8.4,278.99,8.11,8.05
6.23,-0.72,7.19,-0.75,6.27,276.61,7.23,275.95,6.92,6.85
4.39,0.38,5.57,0.29,4.41,265.12,5.57,267.01,5.2,5.11
-5.11,5.44,-6.09,6.17,7.47,136.83,8.66,135.39,8.28,8.19
-4.9,3.67,-5.48,4.0,6.12,126.86,6.79,126.13,6.57,6.52
-4.3,2.51,-4.86,2.75,4.98,120.25,5.58,119.53,5.39,5.34
-3.2,1.41,-3.54,1.63,3.5,113.82,3.9,114.65,3.77,3.74
-3.01,1.41,-3.33,1.63,3.33,115.16,3.71,115.99,3.59,3.56
-2.64,0.5,-3.0,0.63,2.68,100.74,3.07,101.78,2.94,2.91
-2.04,1.01,-2.42,1.19,2.27,116.24,2.69,116.17,2.56,2.53
-2.3,1.2,-2.67,1.61,2.59,117.52,3.11,121.05,2.95,2.91
-2.9,1.23,-3.38,1.75,3.15,113.04,3.8,117.43,3.59,3.54
-3.12,0.67,-3.81,1.23,3.19,102.1,4.01,107.89,3.75,3.68
-3.68,0.95,-4.27,1.44,3.8,104.44,4.51,108.62,4.28,4.23
-3.45,1.16,-3.71,1.38,3.64,108.63,3.96,110.35,3.86,3.83
-3.74,1.38,-4.06,1.52,3.98,110.27,4.34,110.53,4.22,4.2
-4.36,0.85,-4.69,0.88,4.44,100.98,4.77,100.57,4.66,4.64
-4.67,0.91,-5.04,0.9,4.76,101.0,5.12,100.07,5.01,4.98
-5.74,1.19,-6.17,1.25,5.86,101.73,6.29,101.46,6.15,6.12
-6.78,1.91,-7.38,2.04,7.05,105.76,7.65,105.47,7.46,7.41
-6.91,2.79,-7.54,2.98,7.45,112.03,8.11,111.55,7.9,7.85
-7.32,5.43,-8.13,6.04,9.12,126.59,10.13,126.63,9.8,9.72
-6.91,5.43,-7.65,6.0,8.79,128.18,9.72,128.12,9.42,9.35
-7.42,5.06,-8.25,5.67,8.98,124.3,10.01,124.49,9.68,9.6
-7.39,5.34,-8.25,5.98,9.12,125.88,10.19,125.93,9.85,9.76
-7.26,5.31,-8.13,6.02,9.0,126.2,10.12,126.54,9.76,9.67
-6.82,5.47,-7.73,6.29,8.75,128.73,9.97,129.15,9.58,9.48
-7.07,5.04,-8.02,5.9,8.68,125.44,9.96,126.32,9.55,9.45
-6.7,4.54,-7.69,5.36,8.09,124.1,9.37,124.86,8.96,8.86
-6.1,3.91,-7.02,4.71,7.25,122.62,8.46,123.85,8.07,7.97
-5.51,4.09,-6.4,4.9,6.86,126.62,8.06,127.44,7.67,7.58
-5.1,4.53,-6.0,5.34,6.82,131.63,8.03,131.63,7.64,7.55
-4.47,4.41,-5.34,5.29,6.28,134.56,7.52,134.78,7.12,7.02
-4.43,4.63,-5.09,5.38,6.41,136.22,7.4,136.6,7.08,7.0
-4.25,4.12,-4.98,4.86,5.92,134.14,6.96,134.27,6.62,6.54
-3.87,4.31,-4.59,5.17,5.79,138.1,6.91,138.42,6.55,6.46
-3.59,4.35,-4.31,5.27,5.64,140.46,6.81,140.71,6.44,6.35
-3.46,4.62,-3.94,5.27,5.77,143.2,6.58,143.24,6.32,6.26
-3.42,4.96,-3.79,5.5,6.03,145.4,6.68,145.42,6.47,6.42
-4.24,5.72,-4.71,6.31,7.12,143.43,7.88,143.28,7.63,7.57
-4.8,5.66,-5.31,6.25,7.42,139.65,8.2,139.63,7.95,7.89
-4.9,6.16,-5.4,6.79,7.87,141.48,8.68,141.53,8.42,8.35
-5.21,5.78,-5.71,6.36,7.78,137.93,8.54,138.07,8.3,8.24
-6.06,5.68,-6.63,6.29,8.31,133.17,9.14,133.52,8.87,8.81
-6.05,5.46,-6.56,6.0,8.15,132.06,8.89,132.44,8.66,8.6
-7.13,5.84,-7.75,6.42,9.21,129.32,10.06,129.63,9.79,9.72
-6.5,5.56,-7.11,6.13,8.55,130.55,9.38,130.77,9.11,9.05
-6.88,5.28,-7.54,5.88,8.67,127.52,9.56,127.92,9.28,9.21
-7.01,5.28,-7.73,5.92,8.77,127.0,9.74,127.44,9.43,9.35
-6.6,5.38,-7.34,6.09,8.51,129.18,9.53,129.68,9.2,9.12
-6.32,5.03,-7.13,5.71,8.08,128.52,9.13,128.7,8.79,8.71
-6.01,4.66,-6.81,5.29,7.6,127.78,8.63,127.84,8.3,8.22
-5.82,4.47,-6.71,5.19,7.34,127.52,8.48,127.72,8.11,8.02
-5.56,4.47,-6.31,5.19,7.14,128.76,8.17,129.42,7.84,7.76
-4.94,4.47,-5.73,5.32,6.66,132.13,7.82,132.84,7.44,7.35
-4.31,4.22,-5.0,5.13,6.03,134.42,7.16,135.71,6.8,6.71
-3.46,4.31,-4.19,5.3,5.53,141.26,6.75,141.65,6.36,6.26
-3.66,4.75,-4.34,5.67,6.0,142.43,7.14,142.6,6.77,6.68
-3.59,4.53,-4.55,5.71,5.78,141.62,7.3,141.49,6.81,6.69
-4.13,4.69,-4.88,5.54,6.25,138.68,7.38,138.66,7.02,6.93
-4.31,4.59,-5.11,5.4,6.3,136.79,7.43,136.59,7.07,6.98
-4.41,4.97,-5.13,5.82,6.64,138.43,7.75,138.6,7.39,7.31
-4.24,5.25,-4.75,5.96,6.75,141.07,7.62,141.44,7.34,7.27
-5.28,5.28,-5.77,5.77,7.46,135.0,8.16,135.0,7.94,7.88
-6.13,5.0,-6.75,5.52,7.91,129.2,8.72,129.28,8.46,8.4
-6.69,4.65,-7.36,5.11,8.15,124.81,8.95,124.76,8.69,8.63
-6.56,4.24,-7.23,4.67,7.82,122.87,8.61,122.84,8.35,8.29
-6.56,4.02,-7.17,4.42,7.69,121.51,8.42,121.64,8.19,8.13
-6.53,3.58,-7.17,3.92,7.45,118.72,8.17,118.66,7.94,7.88
-6.56,3.95,-7.17,4.29,7.66,121.07,8.36,120.91,8.13,8.08
-6.43,3.52,-7.04,3.86,7.33,118.65,8.03,118.69,7.8,7.75
-6.47,3.36,-7.06,3.73,7.29,117.46,7.99,117.84,7.76,7.71
-6.44,3.33,-7.11,3.71,7.25,117.33,8.02,117.57,7.77,7.71
-6.31,3.15,-7.02,3.54,7.05,116.48,7.87,116.77,7.6,7.54
-5.85,2.17,-6.67,2.44,6.24,110.35,7.1,110.08,6.82,6.76
-5.92,1.73,-6.79,1.96,6.16,106.31,7.07,106.08,6.78,6.71
-5.42,1.14,-6.46,1.38,5.53,101.84,6.61,102.02,6.26,6.18
-5.22,1.14,-6.17,1.33,5.35,102.26,6.31,102.2,6.0,5.93
-4.76,0.7,-5.84,0.9,4.81,98.34,5.91,98.73,5.55,5.47
-4.04,0.22,-5.13,0.29,4.05,93.13,5.14,93.26,4.79,4.7
-3.19,0.82,-4.21,0.92,3.3,104.36,4.31,102.28,3.98,3.91
-2.85,1.66,-3.82,1.75,3.3,120.25,4.2,114.64,3.91,3.84
-2.38,2.14,-3.4,2.4,3.2,131.94,4.16,125.18,3.85,3.78
-2.25,2.02,-3.3,2.42,3.03,131.9,4.09,126.26,3.75,3.66
-2.28,2.15,-3.11,2.54,3.13,133.31,4.02,129.29,3.73,3.66
-2.27,1.86,-3.09,2.13,2.93,129.27,3.75,124.55,3.49,3.42
-2.82,0.94,-3.15,0.85,2.97,108.37,3.26,105.18,3.17,3.15
-3.39,0.38,-3.73,0.33,3.41,96.31,3.75,95.1,3.64,3.61
-3.17,-0.16,-3.4,-0.19,3.17,87.13,3.4,86.84,3.33,3.31
-2.76,-0.69,-2.96,-0.79,2.85,75.91,3.06,75.02,2.99,2.98
-2.7,-1.51,-2.94,-1.65,3.09,60.84,3.37,60.74,3.28,3.26
-2.45,-1.57,-2.65,-1.62,2.91,57.36,3.11,58.45,3.04,3.03
-2.82,-0.53,-2.96,-0.52,2.87,79.27,3.0,80.02,2.96,2.95
-3.1,-0.31,-3.23,-0.31,3.12,84.25,3.24,84.47,3.2,3.19
-3.82,-0.31,-4.06,-0.27,3.84,85.33,4.07,86.19,4.0,3.98
-4.33,-0.94,-4.63,-0.94,4.43,77.78,4.72,78.54,4.63,4.6
-4.42,-1.44,-4.79,-1.5,4.65,71.94,5.02,72.62,4.9,4.87
-4.55,-2.26,-4.98,-2.46,5.08,63.61,5.55,63.72,5.4,5.37
-4.09,-2.46,-4.81,-3.06,4.77,59.02,5.71,57.52,5.41,5.33
-4.1,-2.25,-5.11,-3.02,4.68,61.3,5.94,59.37,5.53,5.43
-3.6,-2.09,-4.65,-2.84,4.16,59.91,5.45,58.62,5.03,4.93
-2.5,-1.15,-3.34,-1.9,2.75,65.31,3.84,60.36,3.49,3.4
-1.96,-0.65,-2.63,-1.38,2.07,71.8,2.97,62.32,2.68,2.61
-1.65,-1.18,-2.15,-1.94,2.03,54.46,2.89,47.89,2.62,2.55
-1.27,-2.53,-1.67,-3.34,2.83,26.66,3.73,26.56,3.44,3.37
-0.46,-2.69,-0.86,-3.48,2.73,9.66,3.59,13.8,3.31,3.24
0.21,-2.16,-0.06,-2.75,2.17,354.54,2.75,1.32,2.56,2.52
0.51,-1.55,0.1,-1.69,1.64,341.72,1.69,356.51,1.67,1.67
0.97,-1.02,0.39,-0.87,1.41,316.32,0.96,335.7,1.1,1.14
1.2,-0.42,0.6,-0.19,1.27,289.31,0.63,287.1,0.84,0.88
1.33,-0.02,1.39,0.48,1.33,271.02,1.48,250.95,1.43,1.42
0.85,0.22,0.87,0.38,0.87,255.34,0.95,246.76,0.93,0.92
-0.31,0.63,-0.35,0.77,0.7,153.62,0.85,155.32,0.8,0.79
-1.88,1.01,-2.02,1.15,2.13,118.13,2.32,119.56,2.26,2.25
-3.01,1.19,-3.17,1.33,3.24,111.61,3.44,112.84,3.37,3.36
-3.82,1.07,-4.02,1.21,3.97,105.6,4.2,106.73,4.13,4.11
-4.45,1.26,-4.75,1.4,4.63,105.74,4.95,106.38,4.85,4.82
-5.3,1.07,-5.63,1.17,5.41,101.39,5.75,101.72,5.64,5.61
-6.03,0.76,-6.52,0.9,6.07,97.14,6.58,97.83,6.42,6.38
-6.31,0.53,-6.83,0.6,6.33,94.84,6.86,95.05,6.69,6.65
