u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
-10.86,-6.21,-11.59,-7.47,12.51,60.25,13.79,57.2,13.38,13.28
-11.59,-7.05,-12.75,-8.35,13.56,58.7,15.24,56.79,14.7,14.57
-5.99,-9.06,-6.5,-10.35,10.86,33.45,12.22,32.14,11.78,11.68
-6.81,-9.52,-6.87,-11.54,11.71,35.57,13.43,30.78,12.88,12.74
2.24,-8.18,3.22,-9.03,8.48,344.67,9.59,340.37,9.23,9.15
1.8,-6.79,2.53,-7.56,7.02,345.16,7.98,341.48,7.67,7.6
4.31,-5.18,5.5,-5.63,6.74,320.29,7.87,315.62,7.51,7.42
13.53,-0.26,15.16,-0.06,13.53,271.1,15.16,270.23,14.64,14.51
13.58,0.98,14.97,1.31,13.61,265.87,15.03,264.99,14.57,14.46
13.67,1.2,15.16,1.5,13.72,264.97,15.23,264.35,14.75,14.63
13.59,5.36,14.82,5.94,14.61,248.47,15.96,248.16,15.53,15.42
13.25,5.8,14.38,6.35,14.46,246.36,15.72,246.19,15.31,15.21
13.09,5.34,14.22,5.81,14.13,247.82,15.36,247.77,14.97,14.87
12.87,5.86,14.0,6.44,14.15,245.52,15.41,245.31,15.0,14.91
12.78,6.7,13.94,7.31,14.43,242.33,15.74,242.32,15.32,15.22
14.05,6.26,15.35,6.81,15.38,245.98,16.79,246.06,16.34,16.23
14.52,5.09,15.85,5.53,15.38,250.69,16.79,250.76,16.33,16.22
15.94,4.06,17.32,4.44,16.45,255.72,17.88,255.62,17.42,17.31
15.82,4.68,17.16,5.09,16.5,253.51,17.9,253.46,17.45,17.34
15.7,6.08,16.97,6.63,16.84,248.85,18.22,248.67,17.77,17.67
15.24,6.3,16.44,6.88,16.49,247.54,17.82,247.3,17.39,17.29
15.65,6.24,16.78,6.72,16.85,248.27,18.08,248.18,17.68,17.59
15.15,6.7,16.25,7.25,16.57,246.14,17.8,245.96,17.4,17.3
14.69,7.39,15.69,7.94,16.44,243.3,17.58,243.16,17.22,17.13
14.01,7.66,14.97,8.28,15.97,241.32,17.11,241.05,16.74,16.65
12.81,8.38,13.63,9.03,15.3,236.81,16.35,236.46,16.01,15.93
11.96,8.82,12.75,9.5,14.86,233.6,15.9,233.31,15.57,15.48
11.47,8.54,12.16,9.16,14.3,233.33,15.22,233.01,14.92,14.85
10.48,8.41,11.06,9.06,13.44,231.23,14.3,230.67,14.02,13.96
9.85,8.6,10.41,9.22,13.08,228.88,13.9,228.46,13.64,13.57
9.35,8.72,9.88,9.44,12.78,227.01,13.66,226.3,13.38,13.31
8.61,8.63,9.06,9.28,12.19,224.95,12.97,224.32,12.72,12.66
7.9,7.7,8.31,8.25,11.03,225.73,11.71,225.21,11.49,11.44
6.37,7.51,6.69,8.06,9.85,220.3,10.48,219.67,10.27,10.23
4.53,7.26,4.84,7.85,8.56,211.97,9.22,211.7,9.01,8.96
3.54,6.17,3.75,6.69,7.12,209.85,7.67,209.28,7.49,7.45
3.04,5.53,3.25,5.88,6.31,208.81,6.71,208.95,6.59,6.55
2.83,4.57,3.0,4.84,5.37,211.76,5.7,211.77,5.59,5.57
3.08,3.7,3.28,3.88,4.82,219.74,5.08,220.26,4.99,4.97
3.76,3.14,4.0,3.28,4.9,230.1,5.17,230.64,5.08,5.06
4.04,3.14,4.28,3.28,5.12,232.15,5.39,232.54,5.31,5.28
3.86,3.12,4.06,3.22,4.96,231.06,5.18,231.61,5.11,5.09
3.82,2.58,4.03,2.66,4.61,235.97,4.83,236.62,4.76,4.74
3.89,2.09,4.06,2.09,4.42,241.78,4.57,242.74,4.52,4.51
4.19,1.46,4.44,1.5,4.44,250.76,4.68,251.33,4.61,4.59
4.27,-0.09,4.41,-0.16,4.27,271.19,4.41,272.03,4.36,4.35
4.7,-0.78,4.88,-0.81,4.77,279.37,4.94,279.46,4.89,4.87
7.01,-1.21,7.25,-1.25,7.11,279.83,7.36,279.78,7.28,7.26
8.35,-1.96,8.66,-2.06,8.57,283.24,8.9,283.4,8.79,8.77
8.87,-1.55,9.25,-1.62,9.01,279.93,9.39,279.96,9.27,9.24
10.39,-0.53,10.91,-0.59,10.4,272.9,10.92,273.12,10.76,10.71
9.89,-1.24,10.44,-1.31,9.97,277.15,10.52,277.17,10.34,10.3
10.48,-2.45,11.03,-2.59,10.76,283.18,11.33,283.23,11.15,11.1
12.12,-3.63,12.91,-3.88,12.65,286.68,13.48,286.71,13.21,13.15
13.29,-3.88,14.31,-4.16,13.84,286.29,14.91,286.19,14.56,14.48
13.86,-5.25,15.07,-5.63,14.82,290.73,16.08,290.48,15.68,15.58
14.03,-6.02,15.28,-6.53,15.26,293.24,16.62,293.14,16.19,16.08
15.1,-3.14,16.47,-3.28,15.43,281.75,16.8,281.27,16.36,16.25
15.33,1.02,16.69,1.25,15.36,266.21,16.74,265.71,16.3,16.19
14.88,1.7,16.25,1.91,14.98,263.47,16.36,263.31,15.92,15.81
16.59,1.49,18.07,1.63,16.66,264.87,18.14,264.86,17.66,17.55
17.0,1.33,18.54,1.5,17.05,265.53,18.6,265.37,18.1,17.98
17.0,2.82,18.5,3.09,17.23,260.58,18.76,260.51,18.27,18.15
16.34,1.77,17.85,1.94,16.44,263.83,17.95,263.8,17.47,17.35
16.81,2.07,18.28,2.31,16.94,262.98,18.43,262.79,17.95,17.83
16.56,1.64,18.07,1.84,16.64,264.34,18.16,264.17,17.67,17.55
16.84,2.38,18.28,2.66,17.01,261.95,18.48,261.73,18.01,17.89
17.18,2.11,18.66,2.34,17.31,263.02,18.81,262.84,18.33,18.21
17.37,3.07,18.85,3.34,17.64,259.98,19.14,259.94,18.66,18.54
17.67,2.45,19.0,2.69,17.84,262.09,19.19,261.95,18.76,18.65
16.89,3.26,18.13,3.56,17.2,259.09,18.47,258.88,18.06,17.97
16.09,3.76,17.25,4.09,16.52,256.86,17.73,256.65,17.34,17.25
15.28,4.35,16.38,4.72,15.88,254.12,17.04,253.92,16.67,16.58
14.69,4.41,15.69,4.75,15.33,253.3,16.39,253.15,16.05,15.97
14.66,4.07,15.69,4.34,15.21,254.49,16.28,254.52,15.94,15.85
14.7,3.32,15.66,3.59,15.07,257.27,16.07,257.07,15.74,15.67
14.63,2.54,15.6,2.78,14.85,260.14,15.84,259.89,15.52,15.45
14.3,2.27,15.19,2.47,14.47,260.99,15.39,260.77,15.09,15.02
14.32,3.13,15.25,3.38,14.66,257.67,15.62,257.52,15.31,15.24
13.79,4.01,14.75,4.28,14.36,253.8,15.36,253.81,15.04,14.96
12.92,4.03,13.81,4.34,13.54,252.67,14.48,252.54,14.18,14.1
12.3,2.94,13.19,3.22,12.64,256.54,13.58,256.28,13.28,13.2
11.46,2.54,12.35,2.75,11.74,257.49,12.65,257.44,12.35,12.28
10.46,1.4,11.35,1.5,10.55,262.37,11.44,262.47,11.16,11.09
10.52,-0.12,11.31,-0.12,10.52,270.68,11.31,270.63,11.06,11.0
10.96,-1.28,11.78,-1.34,11.03,276.64,11.86,276.51,11.59,11.53
10.89,-1.43,11.75,-1.53,10.99,277.47,11.85,277.42,11.57,11.51
10.92,-2.52,11.78,-2.66,11.21,282.98,12.08,282.7,11.8,11.73
10.7,-2.45,11.56,-2.63,10.97,282.92,11.86,282.79,11.57,11.5
10.08,-3.61,10.91,-3.84,10.71,289.68,11.57,289.41,11.29,11.22
9.56,-4.97,10.31,-5.31,10.77,297.48,11.6,297.26,11.33,11.27
9.18,-6.27,9.94,-6.75,11.12,304.34,12.02,304.19,11.73,11.66
8.53,-7.08,9.25,-7.59,11.08,309.68,11.97,309.38,11.68,11.61
7.34,-8.91,7.85,-9.47,11.54,320.55,12.3,320.36,12.05,12.0
7.21,-10.19,7.66,-10.78,12.48,324.72,13.22,324.62,12.99,12.93
6.49,-11.06,6.94,-11.75,12.82,329.6,13.65,329.44,13.38,13.32
5.92,-11.99,6.44,-12.72,13.38,333.71,14.26,333.15,13.97,13.9
6.58,-13.1,7.16,-14.0,14.66,333.34,15.73,332.92,15.38,15.3
6.57,-12.66,7.31,-13.69,14.26,332.59,15.52,331.88,15.12,15.02
6.29,-12.66,7.03,-13.72,14.14,333.58,15.42,332.86,15.01,14.91
10.08,-5.37,10.91,-5.72,11.42,298.05,12.32,297.67,12.03,11.96
14.99,-5.4,16.22,-5.81,15.93,289.8,17.23,289.72,16.81,16.71
16.53,-3.51,17.94,-3.72,16.9,281.97,18.32,281.71,17.86,17.75
16.14,-2.48,17.38,-2.69,16.33,278.74,17.58,278.79,17.18,17.08
15.58,-3.38,16.91,-3.59,15.94,282.25,17.29,282.0,16.85,16.75
15.92,-4.19,17.19,-4.47,16.46,284.76,17.76,284.57,17.34,17.24
14.58,-3.51,15.78,-3.78,14.99,283.52,16.23,283.47,15.83,15.74
13.0,-5.27,14.0,-5.72,14.03,292.08,15.13,292.22,14.77,14.69
18.09,-1.59,19.63,-1.59,18.15,275.02,19.69,274.64,19.2,19.08
19.83,3.26,21.5,3.56,20.09,260.67,21.8,260.59,21.25,21.11
21.37,1.98,23.25,2.22,21.46,264.71,23.36,264.55,22.75,22.6
21.64,1.12,23.57,1.25,21.67,267.05,23.6,266.96,22.98,22.83
21.39,3.1,23.32,3.47,21.62,261.77,23.57,261.54,22.94,22.79
19.63,6.48,21.41,7.13,20.67,251.74,22.57,251.59,21.96,21.81
18.3,8.43,19.88,9.22,20.15,245.26,21.91,245.12,21.34,21.21
18.41,9.08,20.07,9.94,20.53,243.75,22.39,243.65,21.79,21.65
18.3,9.33,19.88,10.19,20.54,242.98,22.34,242.86,21.76,21.62
20.25,10.81,22.0,11.88,22.96,241.9,25.01,241.64,24.35,24.19
15.74,12.44,16.91,13.53,20.06,231.69,21.66,231.33,21.14,21.02
16.54,12.34,17.82,13.44,20.64,233.28,22.32,232.97,21.78,21.64
15.89,14.08,17.07,15.35,21.23,228.46,22.95,228.03,22.4,22.26
14.15,14.6,15.22,15.91,20.34,224.1,22.02,223.73,21.48,21.34
14.46,14.29,15.56,15.57,20.33,225.34,22.01,225.0,21.47,21.34
14.69,12.84,15.72,13.97,19.51,228.84,21.03,228.37,20.54,20.42
13.97,12.87,14.97,13.97,19.0,227.34,20.48,226.98,20.0,19.89
12.92,13.09,13.81,14.28,18.39,224.63,19.87,224.04,19.4,19.28
11.62,13.12,12.41,14.25,17.53,221.52,18.9,221.04,18.46,18.35
10.53,12.87,11.28,14.0,16.63,219.28,17.98,218.86,17.55,17.44
8.69,12.59,9.31,13.72,15.3,214.62,16.58,214.17,16.17,16.07
7.7,11.47,8.25,12.53,13.82,213.87,15.01,213.36,14.62,14.53
6.34,11.07,6.78,12.06,12.76,209.78,13.84,209.34,13.49,13.41
5.4,10.3,5.81,11.25,11.62,207.67,12.67,207.32,12.33,12.25
4.84,10.13,5.28,11.16,11.23,205.51,12.35,205.33,11.99,11.9
4.66,10.08,5.03,11.0,11.11,204.8,12.1,204.58,11.78,11.7
4.03,9.58,4.38,10.47,10.4,202.83,11.35,202.68,11.04,10.97
4.34,9.27,4.75,10.1,10.23,205.07,11.16,205.2,10.86,10.79
3.97,8.87,4.38,9.75,9.72,204.12,10.69,204.17,10.38,10.3
3.93,9.18,4.31,10.06,9.99,203.2,10.95,203.2,10.64,10.57
3.07,8.84,3.41,9.69,9.36,199.14,10.27,199.37,9.98,9.91
2.19,8.43,2.5,9.35,8.71,194.59,9.68,194.98,9.36,9.29
1.86,8.12,2.16,8.97,8.33,192.87,9.23,193.52,8.94,8.87
1.86,7.8,2.03,8.44,8.02,193.38,8.68,193.53,8.47,8.41
1.68,8.54,1.78,9.16,8.7,191.11,9.33,191.01,9.13,9.08
1.31,8.88,1.31,9.53,8.97,188.41,9.62,187.84,9.41,9.36
1.78,8.23,1.78,8.81,8.42,192.18,8.99,191.42,8.81,8.76
2.85,7.7,2.75,8.28,8.21,200.3,8.73,198.37,8.56,8.52
4.84,7.88,4.81,8.6,9.25,211.56,9.85,209.24,9.66,9.61
5.99,8.15,5.97,8.91,10.12,216.3,10.72,213.82,10.53,10.48
6.46,8.97,6.44,9.81,11.05,215.79,11.74,213.26,11.52,11.46
5.65,8.87,5.59,9.78,10.52,212.51,11.27,209.76,11.03,10.97
5.53,8.77,5.41,9.72,10.37,212.22,11.12,209.08,10.88,10.82
5.77,8.98,5.78,10.03,10.67,212.7,11.58,209.95,11.29,11.22
4.87,9.21,4.84,10.22,10.41,207.85,11.31,205.35,11.02,10.95
2.5,8.43,2.41,9.41,8.79,196.52,9.71,194.34,9.42,9.34
1.07,7.96,0.75,9.03,8.03,187.68,9.07,184.74,8.73,8.65
0.09,7.9,-0.63,8.97,7.9,180.67,8.99,175.99,8.64,8.56
-1.77,7.55,-2.72,8.53,7.76,166.79,8.96,162.3,8.57,8.48
-3.25,6.19,-4.32,6.69,6.99,152.27,7.96,147.15,7.65,7.57
-3.73,4.48,-4.94,4.25,5.83,140.17,6.52,130.67,6.29,6.24
-3.78,-1.75,-4.66,-2.56,4.17,65.12,5.32,61.17,4.95,4.86
-4.49,-2.34,-5.31,-3.06,5.07,62.47,6.13,60.03,5.79,5.71
