u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
-4.07,7.31,-4.6,7.66,8.37,150.9,8.93,149.03,8.62,8.57
-5.36,7.1,-6.13,7.47,8.89,142.92,9.66,140.64,9.23,9.17
-3.52,6.47,-4.35,6.84,7.37,151.43,8.11,147.58,7.7,7.63
-4.19,2.65,-5.57,2.5,4.96,122.34,6.1,114.17,5.46,5.37
-3.62,2.33,-4.72,1.62,4.31,122.76,4.99,108.95,4.61,4.56
-3.8,2.41,-4.5,1.18,4.5,122.39,4.65,104.72,4.57,4.55
-3.32,3.7,-3.91,2.03,4.97,138.12,4.4,117.4,4.72,4.76
-3.62,3.97,-3.94,2.15,5.37,137.61,4.49,118.64,4.98,5.05
-2.98,3.57,-3.16,2.03,4.65,140.17,3.75,122.7,4.25,4.33
-3.21,0.68,-4.16,-0.44,3.28,101.94,4.18,83.95,3.68,3.6
-2.74,0.71,-4.19,-0.6,2.83,104.62,4.23,81.88,3.45,3.34
-3.91,-0.08,-5.72,-1.5,3.91,88.85,5.92,75.28,4.8,4.63
-4.07,0.87,-6.1,-0.41,4.17,101.99,6.11,86.15,5.03,4.87
-4.13,-0.3,-6.51,-1.97,4.14,85.82,6.8,73.12,5.32,5.1
-3.67,-1.85,-5.32,-3.44,4.11,63.17,6.33,57.08,5.1,4.91
-4.15,-2.96,-5.76,-4.16,5.1,54.48,7.1,54.15,5.99,5.82
-4.43,-4.1,-5.88,-5.25,6.03,47.21,7.88,48.22,6.85,6.7
-4.35,-7.14,-5.66,-8.5,8.36,31.34,10.22,33.65,9.18,9.03
-4.07,-9.02,-5.32,-11.0,9.9,24.3,12.22,25.79,10.93,10.73
-3.33,-9.69,-4.5,-12.07,10.24,18.98,12.88,20.46,11.41,11.19
-2.46,-10.51,-3.13,-12.85,10.79,13.18,13.23,13.68,11.87,11.67
-1.77,-8.34,-2.06,-10.57,8.53,11.96,10.77,11.05,9.52,9.33
-2.14,-8.66,-1.31,-10.32,8.92,13.87,10.4,7.23,9.58,9.45
-1.14,-7.25,0.16,-8.44,7.34,8.95,8.44,358.91,7.83,7.74
-0.14,-8.15,1.07,-9.41,8.15,1.0,9.47,353.53,8.74,8.63
-0.89,-7.45,-0.22,-8.63,7.51,6.8,8.63,1.44,8.0,7.91
0.35,-5.12,0.85,-6.28,5.14,356.15,6.34,352.34,5.67,5.57
1.03,-2.03,1.41,-2.38,2.28,333.06,2.76,329.36,2.49,2.45
-0.06,0.16,0.1,0.03,0.17,158.88,0.1,252.12,0.14,0.15
-1.18,0.82,-1.09,0.72,1.44,124.94,1.31,123.34,1.38,1.39
-2.12,-0.76,-1.94,-0.91,2.26,70.4,2.14,64.92,2.2,2.21
7.2,11.45,8.06,12.0,13.52,212.16,14.46,213.9,13.94,13.86
6.89,7.83,8.91,8.5,10.43,221.33,12.32,226.35,11.27,11.11
7.16,7.13,8.38,8.06,10.11,225.12,11.63,226.08,10.78,10.66
7.17,7.09,7.78,7.84,10.09,225.32,11.05,224.76,10.51,10.43
5.7,6.38,5.93,6.53,8.56,221.74,8.82,222.27,8.67,8.65
2.85,6.16,3.0,6.28,6.79,204.84,6.96,205.53,6.86,6.85
-3.26,10.81,-4.0,12.5,11.3,163.21,13.13,162.25,12.11,11.96
-5.13,9.61,-6.79,10.75,10.89,151.91,12.71,147.74,11.7,11.55
-2.79,4.55,-4.47,3.71,5.34,148.48,5.81,129.69,5.55,5.51
-3.55,6.48,-4.31,4.02,7.39,151.33,5.9,132.99,6.73,6.85
-3.29,5.21,-4.0,2.87,6.16,147.75,4.92,125.61,5.61,5.71
-4.49,4.27,-4.56,1.52,6.19,133.57,4.81,108.45,5.58,5.69
-5.97,-0.14,-5.43,-2.63,5.98,88.62,6.04,64.15,6.0,6.0
-4.03,-5.89,-3.31,-8.29,7.14,34.36,8.92,21.76,7.93,7.78
0.08,1.67,-0.06,0.56,1.67,182.61,0.56,173.76,1.18,1.27
-1.46,0.95,-1.0,0.4,1.74,123.13,1.08,112.08,1.45,1.5
0.12,-0.63,0.66,-0.81,0.64,349.09,1.05,320.99,0.82,0.79
0.33,-1.14,1.1,-1.41,1.19,344.08,1.78,322.07,1.45,1.4
-0.16,-2.49,0.78,-3.0,2.49,3.63,3.1,345.35,2.76,2.71
6.72,4.93,7.85,4.84,8.34,233.76,9.22,238.32,8.73,8.65
5.4,8.61,5.4,9.47,10.16,212.09,10.9,209.71,10.49,10.43
0.62,10.29,0.88,11.79,10.31,183.42,11.82,184.25,10.98,10.85
-1.3,8.48,-0.75,9.94,8.58,171.31,9.97,175.7,9.2,9.08
-1.7,5.4,-1.47,6.82,5.66,162.49,6.97,167.86,6.24,6.13
-6.2,2.87,-6.72,4.51,6.83,114.87,8.09,123.84,7.39,7.29
-3.98,1.0,-4.97,2.13,4.11,104.13,5.41,113.19,4.68,4.58
1.34,3.98,0.5,4.78,4.2,198.57,4.81,185.93,4.47,4.42
0.68,9.62,0.28,10.88,9.65,184.05,10.88,181.47,10.2,10.09
-0.13,12.48,-0.06,13.31,12.48,179.43,13.31,179.73,12.85,12.78
0.38,10.98,0.38,11.53,10.98,181.96,11.54,181.86,11.23,11.18
-1.21,10.41,-1.31,10.94,10.48,173.35,11.02,173.16,10.72,10.68
-2.34,9.42,-2.44,9.91,9.71,166.06,10.2,166.18,9.93,9.89
-1.87,10.24,-1.97,10.75,10.41,169.67,10.93,169.62,10.64,10.59
-1.87,11.29,-1.97,11.84,11.44,170.62,12.01,170.56,11.69,11.65
-3.11,11.16,-3.31,11.72,11.59,164.46,12.18,164.22,11.85,11.8
-3.88,10.54,-4.13,11.06,11.23,159.78,11.81,159.55,11.49,11.44
-4.07,10.11,-4.34,10.56,10.9,158.08,11.42,157.64,11.13,11.09
-4.73,9.59,-4.97,10.0,10.69,153.73,11.17,153.58,10.9,10.86
-5.04,8.53,-5.28,8.84,9.91,149.42,10.3,149.15,10.08,10.05
-5.17,8.19,-5.41,8.47,9.69,147.76,10.05,147.45,9.85,9.82
-5.11,8.69,-5.34,8.97,10.08,149.58,10.44,149.21,10.24,10.21
-4.79,9.26,-5.06,9.53,10.42,152.63,10.79,152.02,10.59,10.56
