u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
3.91,-2.74,4.2,-2.91,4.78,304.98,5.11,304.66,5.06,5.04
3.46,-2.14,3.61,-2.28,4.07,301.69,4.27,302.3,4.24,4.23
3.56,-2.01,3.78,-2.11,4.09,299.46,4.33,299.15,4.29,4.28
0.41,-0.1,0.53,-0.17,0.42,283.65,0.56,287.95,0.54,0.53
0.33,0.44,0.42,0.44,0.55,216.66,0.61,224.01,0.6,0.6
0.75,0.09,0.8,0.06,0.76,263.37,0.8,265.52,0.79,0.79
-1.19,-0.29,-1.19,-0.31,1.22,76.38,1.23,75.26,1.23,1.23
-3.23,-0.04,-3.74,-0.16,3.23,89.33,3.74,87.59,3.66,3.63
-1.82,-0.5,-2.54,-0.81,1.88,74.56,2.66,72.19,2.54,2.5
-4.78,-1.35,-6.06,-1.93,4.97,74.21,6.36,72.35,6.13,6.06
-4.67,-1.3,-6.04,-1.93,4.85,74.41,6.34,72.31,6.1,6.03
-4.18,-1.38,-5.43,-2.19,4.4,71.76,5.86,68.0,5.63,5.55
-4.37,-1.79,-5.52,-2.73,4.72,67.71,6.16,63.73,5.93,5.86
-3.85,-2.47,-4.72,-3.71,4.58,57.39,6.01,51.83,5.78,5.71
-3.33,-3.43,-3.91,-4.92,4.78,44.14,6.28,38.48,6.04,5.97
-3.23,-1.38,-4.34,-2.29,3.51,66.9,4.9,62.17,4.68,4.61
-1.58,-2.82,-2.03,-3.95,3.23,29.24,4.44,27.27,4.25,4.19
-0.34,-4.04,-0.17,-5.24,4.06,4.77,5.25,1.86,5.06,5.0
0.36,-2.72,0.72,-3.82,2.74,352.38,3.89,349.3,3.71,3.65
0.28,-3.1,0.75,-4.21,3.12,354.92,4.28,349.84,4.09,4.04
0.9,-4.15,1.28,-5.35,4.25,347.76,5.51,346.51,5.31,5.24
2.5,-3.9,2.77,-4.41,4.64,327.34,5.21,327.89,5.11,5.09
3.51,-3.7,3.83,-4.02,5.1,316.49,5.55,316.37,5.48,5.46
4.23,-3.48,4.56,-3.81,5.47,309.44,5.95,309.89,5.87,5.85
5.09,-3.66,5.5,-4.0,6.27,305.75,6.8,306.03,6.72,6.69
7.07,-1.2,7.69,-1.34,7.17,279.64,7.81,279.92,7.71,7.67
6.83,0.66,7.41,0.69,6.86,264.46,7.44,264.7,7.35,7.32
3.57,1.2,4.1,1.3,3.76,251.39,4.3,252.43,4.21,4.19
3.19,1.2,3.5,1.3,3.41,249.37,3.74,249.67,3.68,3.67
3.54,3.99,3.78,4.42,5.33,221.58,5.82,220.53,5.74,5.72
1.39,5.54,1.44,6.1,5.71,194.06,6.26,193.27,6.18,6.15
-2.64,4.69,-2.95,5.22,5.38,150.63,6.0,150.5,5.9,5.87
-4.45,2.89,-5.08,3.3,5.31,122.98,6.06,122.99,5.94,5.9
-6.45,1.94,-7.44,2.25,6.74,106.72,7.78,106.83,7.61,7.56
-6.98,2.41,-7.99,2.8,7.39,109.08,8.47,109.31,8.3,8.24
