u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
-8.53,0.12,-9.21,0.06,8.53,90.84,9.21,90.35,9.26,9.28
-8.09,0.38,-8.74,0.38,8.1,92.65,8.75,92.46,8.8,8.82
-7.72,0.12,-8.31,0.06,7.72,90.93,8.31,90.38,8.35,8.36
-6.51,0.59,-6.92,0.62,6.54,95.19,6.95,95.16,6.98,6.99
-5.23,0.94,-5.58,0.94,5.32,100.15,5.65,99.54,5.68,5.69
-4.64,1.34,-4.92,1.41,4.83,106.11,5.11,106.0,5.13,5.14
-4.21,2.03,-4.48,2.1,4.67,115.75,4.95,115.09,4.97,4.97
-3.96,2.15,-4.19,2.26,4.5,118.57,4.76,118.28,4.78,4.79
-3.77,2.62,-4.01,2.72,4.59,124.81,4.84,124.19,4.86,4.87
-4.08,2.43,-4.35,2.5,4.75,120.8,5.02,119.86,5.04,5.05
-3.98,2.8,-4.36,2.94,4.87,125.12,5.26,123.97,5.29,5.3
1.41,8.27,1.17,9.12,8.39,189.67,9.2,187.29,9.26,9.28
1.06,8.57,0.92,10.14,8.63,187.07,10.19,185.2,10.3,10.34
-0.09,7.81,-0.46,9.46,7.81,179.37,9.47,177.19,9.58,9.63
-1.2,7.5,-1.85,9.25,7.59,170.91,9.43,168.67,9.56,9.62
-2.22,5.9,-3.28,7.65,6.3,159.4,8.33,156.77,8.47,8.53
-3.27,5.07,-4.64,6.54,6.03,147.16,8.02,144.62,8.16,8.22
-4.47,4.14,-6.29,5.13,6.09,132.8,8.12,129.21,8.26,8.32
-5.83,3.13,-7.96,3.71,6.61,118.21,8.78,114.99,8.93,8.99
-7.26,0.81,-9.49,0.77,7.31,96.34,9.52,94.64,9.68,9.74
-7.27,-1.08,-9.29,-1.73,7.35,81.58,9.45,79.46,9.6,9.66
-7.07,-0.06,-9.27,-0.27,7.07,89.49,9.27,88.33,9.43,9.49
-6.89,-0.8,-8.95,-1.21,6.94,83.36,9.03,82.27,9.18,9.24
-6.83,-1.3,-8.2,-1.65,6.95,79.2,8.36,78.65,8.46,8.5
-8.21,-3.48,-8.93,-3.9,8.92,67.01,9.74,66.43,9.8,9.82
-8.15,-5.26,-8.83,-5.74,9.7,57.18,10.53,57.0,10.59,10.62
-7.69,-5.23,-8.31,-5.64,9.3,55.78,10.04,55.83,10.09,10.11
-6.42,-2.99,-6.9,-3.19,7.08,65.02,7.6,65.14,7.64,7.65
-6.1,-2.18,-6.51,-2.32,6.48,70.33,6.91,70.4,6.94,6.96
-5.42,-1.62,-5.76,-1.76,5.66,73.37,6.03,73.05,6.05,6.06
-4.77,-1.06,-5.01,-1.12,4.88,77.5,5.13,77.34,5.15,5.16
-4.05,-0.4,-4.26,-0.47,4.07,84.31,4.28,83.67,4.3,4.3
-3.43,-0.0,-3.57,-0.0,3.43,90.0,3.57,90.0,3.58,3.58
-3.05,1.34,-3.22,1.41,3.33,113.72,3.52,113.63,3.53,3.54
-3.21,1.87,-3.44,1.94,3.71,120.25,3.95,119.36,3.97,3.98
-3.71,2.51,-4.53,2.89,4.48,124.09,5.38,122.5,5.44,5.47
