u50,v50,u100,v100,r50,d50,r100,d100,r_log,r_lin
2.37,1.93,2.57,2.04,3.06,230.76,3.28,231.63,3.21,3.19
3.34,2.56,3.57,2.7,4.2,232.5,4.48,232.94,4.39,4.37
3.96,2.87,4.23,2.94,4.89,234.05,5.15,235.24,5.07,5.05
4.12,2.56,4.39,2.66,4.85,238.14,5.14,238.8,5.04,5.02
4.12,3.12,4.46,3.26,5.17,232.82,5.52,233.82,5.41,5.38
4.12,3.81,4.46,3.97,5.61,227.24,5.97,228.28,5.85,5.82
3.93,4.18,4.27,4.38,5.74,223.21,6.12,224.24,6.0,5.97
2.15,5.37,2.46,5.71,5.78,201.82,6.21,203.29,6.07,6.04
-5.18,4.99,-5.41,5.22,7.19,133.95,7.52,133.99,7.41,7.39
-5.24,4.55,-5.64,4.88,6.94,130.98,7.46,130.87,7.29,7.25
-4.23,3.45,-4.82,4.04,5.46,129.21,6.28,129.99,6.02,5.96
-3.61,1.96,-4.15,2.44,4.11,118.48,4.82,120.43,4.59,4.53
-3.45,0.21,-4.24,0.66,3.45,93.5,4.29,98.91,4.02,3.95
-3.16,-0.44,-4.09,-0.09,3.2,82.07,4.1,88.8,3.81,3.74
-2.29,-0.19,-3.22,0.23,2.3,85.16,3.23,94.02,2.93,2.86
-1.98,-0.69,-2.94,-0.31,2.1,70.66,2.96,83.99,2.68,2.61
-1.91,-1.03,-2.91,-0.75,2.17,61.62,3.0,75.59,2.73,2.67
-1.97,-1.34,-3.01,-1.19,2.39,55.79,3.23,68.33,2.96,2.9
-1.82,-1.34,-2.88,-1.26,2.26,53.6,3.14,66.43,2.86,2.79
-0.66,-0.68,-1.56,-0.57,0.95,44.18,1.66,69.93,1.43,1.38
-0.19,-0.57,-1.01,-0.22,0.6,18.88,1.04,77.7,0.9,0.86
-0.49,-0.12,-0.84,-0.02,0.51,75.79,0.84,88.87,0.73,0.71
-1.28,0.47,-1.31,0.5,1.36,110.05,1.4,110.85,1.39,1.39
-1.47,1.25,-1.46,1.25,1.93,130.43,1.93,130.49,1.93,1.93
-1.16,1.87,-1.09,1.94,2.2,148.26,2.22,150.66,2.22,2.21
-0.22,2.62,-0.12,2.69,2.63,175.19,2.69,177.54,2.67,2.67
0.4,3.34,0.51,3.47,3.36,186.91,3.51,188.35,3.46,3.45
0.06,3.15,0.12,3.29,3.15,181.08,3.29,182.18,3.24,3.23
-0.41,2.81,-0.38,2.91,2.84,171.74,2.94,172.66,2.9,2.9
-1.13,2.81,-1.05,2.88,3.03,158.17,3.06,159.89,3.05,3.05
-2.15,3.59,-2.12,3.72,4.19,149.02,4.28,150.4,4.25,4.24
-4.12,4.46,-4.19,4.62,6.07,137.26,6.24,137.84,6.19,6.17
-5.08,5.89,-5.42,6.2,7.78,139.23,8.23,138.82,8.09,8.05
-4.74,5.05,-5.14,5.42,6.92,136.83,7.47,136.5,7.3,7.25
-4.67,3.92,-5.32,4.54,6.1,130.03,6.99,130.5,6.7,6.63
-3.95,3.42,-4.57,4.08,5.23,130.89,6.12,131.75,5.83,5.76
-3.14,2.45,-3.79,3.15,3.98,128.02,4.93,129.72,4.62,4.55
-2.64,2.45,-3.3,3.27,3.6,132.82,4.65,134.77,4.31,4.23
-3.17,2.01,-4.14,2.83,3.75,122.4,5.02,124.4,4.61,4.51
-2.88,0.46,-3.94,0.95,2.92,99.09,4.06,103.55,3.69,3.6
-2.45,0.86,-3.38,1.38,2.6,109.4,3.65,112.17,3.31,3.23
-2.35,0.34,-3.28,0.79,2.38,98.12,3.38,103.52,3.05,2.98
-2.04,-0.29,-2.97,0.07,2.06,82.02,2.97,91.26,2.68,2.61
-1.98,-0.63,-2.94,-0.25,2.08,72.29,2.95,85.2,2.67,2.6
-2.31,-1.12,-3.52,-0.84,2.57,64.06,3.61,76.62,3.28,3.2
-2.43,-0.69,-2.91,-0.62,2.52,74.19,2.98,78.08,2.83,2.8
-3.49,-0.78,-3.62,-0.81,3.58,77.42,3.71,77.37,3.67,3.66
-3.96,-1.0,-4.06,-1.1,4.09,75.88,4.21,74.87,4.17,4.16
-4.52,-1.18,-4.69,-1.36,4.68,75.33,4.88,73.84,4.81,4.8
-4.71,-0.9,-4.84,-1.07,4.8,79.17,4.96,77.51,4.9,4.89
-4.46,-1.18,-4.53,-1.42,4.62,75.18,4.74,72.57,4.7,4.69
-2.94,-1.49,-2.9,-1.7,3.3,63.05,3.36,59.67,3.34,3.33
-2.03,-2.43,-1.93,-2.71,3.17,39.9,3.32,35.45,3.27,3.26
-0.57,-3.3,-0.43,-3.64,3.35,9.72,3.67,6.69,3.57,3.54
0.56,-4.3,0.7,-4.61,4.34,352.59,4.66,351.4,4.56,4.53
1.53,-4.61,1.73,-5.02,4.86,341.69,5.31,340.95,5.16,5.13
1.05,-3.02,1.43,-3.57,3.2,340.76,3.84,338.14,3.63,3.58
-3.83,-0.18,-4.4,-0.81,3.83,87.34,4.48,79.6,4.27,4.22
-2.73,-0.22,-3.4,-0.48,2.74,85.38,3.44,82.03,3.21,3.16
-3.4,-1.98,-4.42,-2.42,3.94,59.77,5.04,61.31,4.69,4.6
-1.9,-3.13,-3.17,-3.84,3.66,31.27,4.98,39.5,4.56,4.45
-1.5,-3.9,-2.41,-4.99,4.18,21.03,5.54,25.83,5.1,5.0
0.11,-5.45,-0.39,-6.99,5.46,358.83,7.0,3.23,6.5,6.38
1.38,-7.56,1.34,-9.35,7.69,349.7,9.45,351.85,8.88,8.74
1.66,-8.66,1.37,-10.77,8.81,349.16,10.86,352.74,10.2,10.04
2.18,-9.34,2.07,-11.92,9.59,346.84,12.09,350.15,11.29,11.09
2.68,-9.68,2.77,-12.51,10.05,344.54,12.81,347.53,11.92,11.7
7.83,-3.41,9.16,-4.62,8.54,293.54,10.26,296.8,9.71,9.57
11.79,1.49,13.64,2.18,11.89,262.81,13.82,260.91,13.2,13.04
9.88,2.77,10.97,3.53,10.26,254.35,11.52,252.15,11.12,11.02
8.44,3.71,9.15,4.19,9.22,246.3,10.07,245.4,9.8,9.73
7.98,4.67,8.63,5.08,9.25,239.64,10.01,239.5,9.77,9.71
7.79,5.3,8.48,5.71,9.42,235.78,10.22,236.05,9.96,9.9
9.19,5.92,9.98,6.33,10.94,237.2,11.82,237.6,11.53,11.46
8.66,6.05,9.41,6.46,10.57,235.08,11.42,235.55,11.14,11.08
7.86,6.67,8.54,7.22,10.31,229.66,11.18,229.8,10.9,10.83
6.27,6.77,6.71,7.28,9.22,222.8,9.9,222.66,9.68,9.63
3.59,6.77,3.86,7.24,7.66,207.92,8.21,208.04,8.03,7.99
2.24,8.54,2.48,9.15,8.83,194.71,9.49,195.18,9.28,9.22
-1.28,9.73,-1.25,10.48,9.81,172.49,10.55,173.2,10.31,10.26
-1.13,9.26,-1.09,10.04,9.33,173.07,10.1,173.81,9.85,9.79
-2.34,9.97,-2.44,10.99,10.24,166.79,11.25,167.49,10.93,10.85
-2.65,8.88,-2.88,9.83,9.27,163.39,10.25,163.65,9.93,9.86
-2.12,7.57,-2.36,8.59,7.86,164.36,8.91,164.66,8.57,8.49
-1.06,7.22,-1.2,8.22,7.3,171.66,8.31,171.71,7.98,7.9
-0.93,6.66,-1.11,7.62,6.73,172.02,7.7,171.72,7.39,7.31
-1.31,6.32,-1.58,7.11,6.46,168.33,7.29,167.46,7.02,6.95
-1.31,6.85,-1.51,7.88,6.97,169.2,8.02,169.15,7.69,7.6
-1.65,6.26,-1.96,7.22,6.47,165.24,7.48,164.83,7.16,7.08
-1.15,6.51,-1.39,7.43,6.61,169.96,7.56,169.37,7.26,7.18
-0.96,6.78,-1.21,7.99,6.85,171.91,8.08,171.41,7.68,7.59
-0.5,7.88,-0.67,9.04,7.89,176.39,9.07,175.76,8.69,8.6
-1.49,7.57,-1.73,8.5,7.72,168.84,8.67,168.47,8.36,8.29
-2.65,6.92,-2.96,7.57,7.41,159.05,8.12,158.65,7.89,7.84
-3.49,5.27,-3.77,5.57,6.32,146.46,6.73,145.92,6.6,6.57
-4.39,4.68,-4.7,4.95,6.42,136.79,6.82,136.48,6.69,6.66
-4.61,4.62,-4.98,4.88,6.52,135.02,6.98,134.43,6.83,6.8
-5.14,5.08,-5.52,5.46,7.23,134.65,7.76,134.67,7.59,7.55
-5.24,5.52,-5.61,6.03,7.61,136.49,8.23,137.07,8.03,7.98
-4.83,6.42,-5.17,7.0,8.04,143.04,8.71,143.56,8.49,8.44
-5.08,6.42,-5.46,6.97,8.19,141.64,8.85,141.93,8.64,8.59
-4.39,6.52,-4.77,7.03,7.86,146.0,8.49,145.84,8.29,8.24
-5.45,6.76,-5.89,7.34,8.69,141.12,9.42,141.24,9.18,9.12
-5.45,6.7,-6.03,7.32,8.64,140.87,9.48,140.5,9.21,9.14
-5.51,6.82,-6.09,7.47,8.77,141.06,9.64,140.79,9.36,9.29
-5.08,6.29,-5.65,6.94,8.09,141.11,8.95,140.83,8.67,8.61
-5.01,5.89,-5.66,6.54,7.73,139.59,8.65,139.1,8.36,8.28
-4.51,5.42,-5.09,6.1,7.05,140.2,7.95,140.16,7.66,7.59
-4.33,4.48,-4.95,5.14,6.23,136.01,7.13,136.06,6.84,6.77
-3.86,4.11,-4.55,4.9,5.63,136.77,6.68,137.11,6.35,6.26
-4.05,3.64,-4.77,4.26,5.44,131.99,6.4,131.77,6.09,6.02
-4.58,3.49,-5.26,4.11,5.75,127.31,6.68,128.0,6.38,6.31
-4.76,2.87,-5.52,3.39,5.56,121.03,6.48,121.53,6.18,6.11
-4.74,2.34,-5.29,2.75,5.28,116.25,5.96,117.5,5.74,5.69
-3.9,2.71,-4.39,3.16,4.75,124.81,5.41,125.8,5.2,5.14
-3.05,3.02,-3.61,3.48,4.3,134.72,5.01,133.91,4.78,4.73
-2.65,3.43,-3.17,3.99,4.33,142.31,5.1,141.47,4.85,4.79
-2.77,2.71,-3.15,3.03,3.88,134.38,4.37,133.84,4.21,4.18
-2.21,2.9,-2.42,3.21,3.65,142.62,4.02,142.95,3.9,3.87
-1.84,2.56,-2.01,2.72,3.15,144.27,3.38,143.58,3.31,3.29
-1.84,1.68,-1.97,1.79,2.49,132.49,2.66,132.15,2.61,2.59
-2.25,1.59,-2.31,1.7,2.75,125.32,2.87,126.28,2.83,2.82
-1.59,2.5,-1.62,2.63,2.96,147.48,3.1,148.34,3.05,3.04
-0.63,2.31,-0.63,2.41,2.39,164.85,2.49,165.47,2.46,2.45
-0.5,3.43,-0.46,3.63,3.47,171.71,3.66,172.73,3.6,3.59
-1.81,4.55,-1.84,4.86,4.9,158.33,5.19,159.27,5.1,5.08
-3.21,5.43,-3.31,5.81,6.31,149.37,6.68,150.29,6.56,6.53
-3.84,5.58,-4.01,6.02,6.77,145.47,7.23,146.33,7.08,7.05
-3.77,5.64,-4.01,6.12,6.79,146.23,7.31,146.76,7.15,7.1
-2.62,5.86,-2.79,6.3,6.42,155.92,6.88,156.13,6.73,6.7
-2.49,5.48,-2.7,5.99,6.02,155.55,6.57,155.77,6.4,6.35
