Windfarm,Mean,Variance,Skewness,Kurtosis,Weibull_Shape,Weibull_Scale,Burr_c,Burr_d,Burr_loc,Burr_scale,GenGamma_a,GenGamma_c,GenGamma_loc,GenGamma_scale
ALBANY_WF1,8.275690452,15.02599013,0.574096343,0.324741829,2.251882383,9.339887076,5.770871812,0.340995792,0.020352123,11.11161205,1.474748562,1.897744493,-0.402250599,7.679350181
ARWF1,6.81011807,11.47145725,0.314320098,-0.366472592,1,1.05,7.686644167,0.199695453,-0.00065023,10.67469536,0.562328537,3.054252557,-0.000248052,10.12693754
BADGINGARRA_WF1,7.128700804,8.749134499,0.158143746,-0.07345155,2.575290215,8.009885738,8.504135779,0.231668394,-0.000869808,10.15814902,1.41020037,2.730268953,-1.900913901,8.650180997
BALDHWF1,7.653503879,14.24293869,0.493310551,-0.059785678,1,1.05,825.9143818,482.4209766,-2657.093301,2643.10497,0.875524392,2.318906268,-0.019772886,9.322332276
BANGOWF1,6.45203756,10.74664021,0.441929491,-0.028378547,2.046168063,7.269813534,6.686579738,0.233891886,0.00932084,9.792968443,4.935312244,1.211802445,-2.483694161,2.423164842
BANGOWF2,6.45203756,10.74664021,0.441929491,-0.028378547,2.046168063,7.269813534,6.686579738,0.233891886,0.00932084,9.792968443,4.935312244,1.211802445,-2.483694161,2.423164842
BLUFF1,7.338413473,10.42078068,0.516832914,0.325195267,2.4078001,8.272162536,6.153017359,0.348602796,0.000586985,9.662696059,1.407504921,2.060564307,-0.282155638,7.043338853
BOCORWF1,6.405464579,10.53014724,0.65614765,0.634946957,2.066718649,7.228705016,5.814893403,0.296474438,0.019032434,9.084762419,1.058210858,2.001554961,-0.009490652,6.989727082
BODWF1,6.513424025,8.826690754,0.206114362,-0.419664538,2.322932066,7.3397595,8.376528577,0.202559128,0.009059852,9.854339474,0.722231692,3.031824955,-0.359611485,9.109834145
BRYB1WF1,7.435504363,12.88076722,0.563830355,0.128148198,1,1.05,9.288702817,1.643356448,-14.29609317,19.84158795,1.213653456,2.006259257,-0.198292351,7.664000205
BULGANA1,6.880283909,9.975106808,0.28871285,-0.18268062,2.300541192,7.753173829,7.607027831,0.229879155,0.008535538,10.14638192,0.654841027,3.011964774,0.001296166,9.382451855
CAPTL_WF,6.761024413,12.66327234,0.822263782,0.628726264,1.995721858,7.636780907,4.620417966,0.408743865,0.035157113,8.68118785,1.978466194,1.410365209,-0.238198882,4.535453396
CATHROCK,8.044631959,12.68053454,0.600348007,0.624608725,2.378957825,9.064055536,5.892760052,0.404269346,-0.281441563,10.42647768,17.4916358,0.889989329,-5.188846618,0.529030907
CHALLHWF,7.32333262,11.08280013,0.351165996,-0.150674957,2.329219737,8.256243285,6.889575087,0.272483694,-0.039420491,10.43870367,1.052467683,2.430131265,-0.357107122,8.418273665
CHYTWF1,5.837523243,11.03162729,0.551505982,-0.316484084,1.822294783,6.572396223,6.138104819,0.219527837,0.009869469,9.512825567,0.761097058,2.164383501,0.009491806,7.756035431
CLEMGPWF,6.369944245,8.663433092,0.432326549,0.20607941,2.278692899,7.179905553,6.719403226,0.27300313,0.013702296,9.036090294,6.616770073,1.294414416,-3.48150508,2.315515049
CNUNDAWF,7.736732118,11.50141414,0.417073753,0.180201186,2.41330049,8.713040139,6.546518174,0.3186679,-0.059454145,10.48093381,7.87470638,1.320210773,-4.837543999,2.663193508
COLLGAR,6.785207335,8.398477435,0.151543237,-0.168825288,1,1.05,311128148.2,1.545257791,-599381398.3,599381403.9,1.624044035,2.732817241,-2.785870136,8.57296615
COLLGAR_WF1,6.785207335,8.398477435,0.151543237,-0.168825288,1,1.05,311128148.2,1.545257791,-599381398.3,599381403.9,1.624044035,2.732817241,-2.785870136,8.57296615
COLWF01,7.002667266,11.44636872,0.540700349,0.218215206,1,1.05,55.30639143,3.768450701,-131.7381358,134.3255281,1.239757738,1.98818433,-0.337075053,7.343046978
COOPGWF1,6.557829968,6.957775938,0.161094819,-0.199418968,1,1.05,8.50006742,0.245232272,-0.005120076,9.178988859,0.728332183,3.277587693,-0.048543986,8.44506189
CROOKWF2,7.606625884,12.37737302,0.660822357,0.497183381,2.277910258,8.583351607,5.359142073,0.424874369,-0.140694284,9.645897894,2.247063348,1.628597278,-0.8455051,5.391332958
CROWLWF1,6.847998802,9.214054477,0.320895025,-0.040047138,1,1.05,4812.14255,2.447208308,-10528.37363,10532.52484,3.07554872,1.842215803,-2.778304929,5.439300687
CRURWF1,5.77301734,8.751878036,0.547342248,0.023601652,2.047593568,6.518072373,5.960656723,0.275018538,0.018942793,8.449852721,0.921546732,2.144460647,0.013579969,6.827875747
CTHLWF1,11.9140138,26.74913058,0.174009424,-0.37752024,2.455543998,13.4104338,8.382477695,0.216986155,0.034769846,17.48635257,0.603647622,3.422050516,-0.057169683,16.5271513
